goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,57,MC,Sunderland,Bournemouth,0,1,2017-04-29,3486,2016,134518,0.05070367828011513,0,2,0,0,0.09703020751476288,0.09703020751476288,924,Steven Pienaar
0,1,0.020625177770853043,43,Sub,Sunderland,Southampton,0,4,2017-02-11,3384,2016,131163,0.013291091658174992,0,1,0,0.020625177770853043,0.06110275909304619,0.04781166464090347,924,Steven Pienaar
0,0,0,9,Sub,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129417,0,0,0,0,0,0.025627002120018005,0.025627002120018005,924,Steven Pienaar
0,0,0,40,Sub,Burnley,Sunderland,4,1,2016-12-31,3157,2016,130133,0.06358103454113007,0,2,0,0,0.03376855328679085,0.03376855328679085,924,Steven Pienaar
0,0,0,87,ML,Swansea,Sunderland,3,0,2016-12-10,3117,2016,130373,0,0,0,0,0,0.2436925768852234,0.2436925768852234,924,Steven Pienaar
0,0,0,50,MC,Sunderland,Leicester,2,1,2016-12-03,3108,2016,128817,0,0,0,0,0,0.18433788418769836,0.18433788418769836,924,Steven Pienaar
0,1,0.11398443579673767,83,MC,Liverpool,Sunderland,2,0,2016-11-26,2710,2016,128090,0,0,0,0,0.11398443579673767,0.11398443579673767,0,924,Steven Pienaar
0,0,0,60,MC,Bournemouth,Sunderland,1,2,2016-11-05,2687,2016,127951,0.014915482141077518,0,1,0,0,0.10096850991249084,0.10096850991249084,924,Steven Pienaar
0,0,0,72,MC,Sunderland,Arsenal,1,4,2016-10-29,2677,2016,127799,0,0,0,0,0,0.01668812893331051,0.01668812893331051,924,Steven Pienaar
0,0,0,82,MC,West Ham,Sunderland,1,0,2016-10-22,542,2016,127478,0,0,0,0,0,0.17288154363632202,0.17288154363632202,924,Steven Pienaar
0,0,0,32,Sub,Stoke,Sunderland,2,0,2016-10-15,535,2016,126938,0,0,0,0,0,0.12273120880126953,0.12273120880126953,924,Steven Pienaar
0,0,0,14,FWL,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126727,0,0,0,0,0,0,0,924,Steven Pienaar
0,1,0.59906405210495,64,FWL,Tottenham,Sunderland,1,0,2016-09-18,510,2016,126462,0,0,0,0,0.59906405210495,0.59906405210495,0,924,Steven Pienaar
0,0,0,68,MC,Southampton,Sunderland,1,1,2016-08-27,484,2016,125876,0,0,0,0,0,0,0,924,Steven Pienaar
0,1,0.018199730664491653,54,Sub,Sunderland,Middlesbrough,1,2,2016-08-21,479,2016,125535,0.023289816454052925,0,1,0,0.018199730664491653,0.3938674032688141,0.37566766142845154,924,Steven Pienaar
0,0,0,25,Sub,Liverpool,Everton,4,0,2016-04-20,418,2015,65694,0,0,0,0,0,0,0,924,Steven Pienaar
0,2,0.07480043917894363,63,Sub,Everton,Swansea,1,2,2016-01-24,309,2015,59956,0.0505041629076004,0,1,0,0.07480043917894363,0.2656593322753906,0.14035473763942719,924,Steven Pienaar
0,0,0,8,Sub,Chelsea,Everton,3,3,2016-01-16,295,2015,61920,0,0,0,0,0,0,0,924,Steven Pienaar
0,0,0,19,Sub,Manchester City,Everton,0,0,2016-01-13,288,2015,60270,0,0,0,0,0,0,0,924,Steven Pienaar
0,1,0.09516092389822006,63,Sub,Swansea,Everton,1,1,2015-04-11,4451,2014,24188,0.09201495349407196,0,1,0,0.09516092389822006,0.2649691700935364,0.1698082536458969,924,Steven Pienaar
0,1,0.03836957365274429,15,Sub,Everton,Queens Park Rangers,3,1,2014-12-15,4618,2014,20866,0,0,0,0,0.03836957365274429,0.09287659078836441,0.05450701713562012,924,Steven Pienaar
0,0,0,25,Sub,Everton,Hull,1,1,2014-12-03,4596,2014,22529,0,0,0,0,0,0,0,924,Steven Pienaar
0,1,0.06393912434577942,19,Sub,Everton,Swansea,0,0,2014-11-01,4654,2014,20020,0,0,0,0,0.06393912434577942,0.06393912434577942,0,924,Steven Pienaar
0,0,0,6,Sub,Burnley,Everton,1,3,2014-10-26,4716,2014,19977,0.030155383050441742,1,1,0,0,0.14873220026493073,0.11857682466506958,924,Steven Pienaar
0,0,0,21,Sub,Everton,Aston Villa,3,0,2014-10-18,4700,2014,19054,0,0,0,0,0,0,0,924,Steven Pienaar
0,0,0,67,AML,Manchester United,Everton,2,1,2014-10-05,4695,2014,20002,0,0,0,0,0,0,0,924,Steven Pienaar
0,0,0,9,AML,Everton,Arsenal,2,2,2014-08-23,4764,2014,17392,0,0,0,0,0,0,0,924,Steven Pienaar
0,2,0.10271931439638138,84,AML,Leicester,Everton,2,2,2014-08-16,4750,2014,17103,0.20749512314796448,1,3,0,0.10271931439638138,0.3635599911212921,0.1795368194580078,924,Steven Pienaar
