goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.025290200486779213,90,MC,Swansea,Stoke,1,2,2018-05-13,7491,2017,240069,0.12623231112957,0,2,0,0.025290200486779213,0.28941160440444946,0.264121413230896,653,Tom Carroll
0,0,0,7,Sub,Swansea,Southampton,0,1,2018-05-08,7426,2017,238633,0,0,0,0,0,0,0,653,Tom Carroll
0,1,0.0254833847284317,90,MC,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237615,0.05207202956080437,0,3,0,0.0254833847284317,0.7459902167320251,0.7205068469047546,653,Tom Carroll
0,1,0.023337097838521004,26,Sub,Swansea,Chelsea,0,1,2018-04-28,7476,2017,235919,0.09308680891990662,0,2,0,0.023337097838521004,0.11642390489578247,0.09308680891990662,653,Tom Carroll
0,0,0,90,ML,Manchester City,Swansea,5,0,2018-04-22,7465,2017,235064,0,0,0,0,0,0,0,653,Tom Carroll
0,2,0.09868873655796051,90,MC,Swansea,Everton,1,1,2018-04-14,7456,2017,232098,0.11883752793073654,1,4,0,0.09868873655796051,0.13416115939617157,0.07931987941265106,653,Tom Carroll
0,0,0,90,MC,West Bromwich Albion,Swansea,1,1,2018-04-07,7448,2017,230504,0,0,0,0,0,0.40892094373703003,0.40892094373703003,653,Tom Carroll
0,0,0,42,Sub,Manchester United,Swansea,2,0,2018-03-31,7435,2017,226887,0.05498548224568367,0,1,0,0,0.05498548224568367,0.05498548224568367,653,Tom Carroll
0,0,0,1,Sub,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222398,0,0,0,0,0,0,0,653,Tom Carroll
0,0,0,1,Sub,Swansea,West Ham,4,1,2018-03-03,7406,2017,220980,0,0,0,0,0,0,0,653,Tom Carroll
0,0,0,67,MC,Brighton,Swansea,4,1,2018-02-24,7391,2017,219227,0.06724298000335693,0,2,0,0,0.06724298000335693,0.016119882464408875,653,Tom Carroll
0,1,0.01834414340555668,90,MC,Swansea,Burnley,1,0,2018-02-10,7386,2017,215249,0.10361979156732559,0,2,0,0.01834414340555668,0.36144569516181946,0.3431015610694885,653,Tom Carroll
0,0,0,55,Sub,Leicester,Swansea,1,1,2018-02-03,7374,2017,214936,0,0,0,0,0,0.1076497957110405,0.1076497957110405,653,Tom Carroll
0,0,0,6,Sub,Swansea,Arsenal,3,1,2018-01-30,7361,2017,215364,0,0,0,0,0,0.5435699820518494,0.5435699820518494,653,Tom Carroll
0,0,0,25,Sub,Swansea,Liverpool,1,0,2018-01-22,7357,2017,210202,0.0630708634853363,0,1,0,0,0.0630708634853363,0.0630708634853363,653,Tom Carroll
0,0,0,90,MC,Newcastle United,Swansea,1,1,2018-01-13,7345,2017,207727,0,0,0,0,0,0,0,653,Tom Carroll
0,0,0,79,MC,Swansea,Tottenham,0,2,2018-01-02,7338,2017,206581,0.07601173222064972,0,1,0,0,0.09775137156248093,0.021739644929766655,653,Tom Carroll
0,0,0,90,MC,Watford,Swansea,1,2,2017-12-30,7327,2017,206180,0.11228713393211365,0,2,0,0,0.017578326165676117,0.017578326165676117,653,Tom Carroll
0,0,0,90,MC,Liverpool,Swansea,5,0,2017-12-26,7313,2017,205767,0.074286088347435,0,2,0,0,0.016959918662905693,0.016959918662905693,653,Tom Carroll
0,1,0.016357313841581345,90,MC,Swansea,Crystal Palace,1,1,2017-12-23,7299,2017,202565,0.06856995820999146,1,3,0,0.016357313841581345,0.4576689898967743,0.40923717617988586,653,Tom Carroll
0,1,0.0642099604010582,83,MC,Everton,Swansea,3,1,2017-12-18,7293,2017,203246,0.5520378351211548,1,1,0,0.0642099604010582,0.023888543248176575,0.023888543248176575,653,Tom Carroll
0,0,0,47,MC,Swansea,Manchester City,0,4,2017-12-13,7281,2017,205394,0,0,0,0,0,0,0,653,Tom Carroll
0,1,0.07491118460893631,78,MC,Swansea,West Bromwich Albion,1,0,2017-12-09,7271,2017,198964,0.05505399778485298,0,2,0,0.07491118460893631,0.03375018760561943,0.03375018760561943,653,Tom Carroll
0,0,0,15,Sub,Stoke,Swansea,2,1,2017-12-02,7263,2017,178708,0.056503329426050186,0,1,0,0,0,0,653,Tom Carroll
0,1,0.017448080703616142,90,MC,Chelsea,Swansea,1,0,2017-11-29,7255,2017,179141,0,0,0,0,0.017448080703616142,0.017448080703616142,0,653,Tom Carroll
0,0,0,90,MC,Swansea,Bournemouth,0,0,2017-11-25,7240,2017,179677,0.1517472267150879,0,2,0,0,0.26707446575164795,0.23370514810085297,653,Tom Carroll
0,1,0.0074887964874506,60,MC,Swansea,Brighton,0,1,2017-11-04,7225,2017,179317,0,0,0,0,0.0074887964874506,0.10964902490377426,0.10216023027896881,653,Tom Carroll
0,0,0,85,MC,Arsenal,Swansea,2,1,2017-10-28,7209,2017,177493,0,0,0,0,0,0,0,653,Tom Carroll
0,3,0.07669802755117416,90,MC,Swansea,Leicester,1,2,2017-10-21,7206,2017,177398,0.05435933917760849,0,2,0,0.07669802755117416,0.04715484753251076,0,653,Tom Carroll
0,0,0,90,MC,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178499,0.5507033467292786,1,2,0,0,0.5724934935569763,0.0217901598662138,653,Tom Carroll
0,1,0.05578314885497093,90,MC,West Ham,Swansea,1,0,2017-09-30,7183,2017,178291,0.019664844498038292,0,1,0,0.05578314885497093,0.07544799149036407,0.019664844498038292,653,Tom Carroll
0,2,0.1189386397600174,90,MC,Swansea,Watford,1,2,2017-09-23,7171,2017,177725,0.22930192947387695,0,3,0,0.1189386397600174,0.016656983643770218,0,653,Tom Carroll
0,1,0.057165633887052536,90,MC,Tottenham,Swansea,0,0,2017-09-16,7166,2017,176586,0.05681801214814186,0,1,0,0.057165633887052536,0.057165633887052536,0,653,Tom Carroll
0,2,0.09349557757377625,87,MC,Swansea,Newcastle United,0,1,2017-09-10,7157,2017,177289,0.49643009901046753,0,1,0,0.09349557757377625,0.7286670804023743,0.6821497678756714,653,Tom Carroll
0,0,0,90,MC,Crystal Palace,Swansea,0,2,2017-08-26,7141,2017,177082,0.3981255888938904,0,1,0,0,0.2661818563938141,0.2661818563938141,653,Tom Carroll
0,0,0,90,MC,Swansea,Manchester United,0,4,2017-08-19,7129,2017,176682,0.23547060787677765,0,2,0,0,0.17404508590698242,0.17404508590698242,653,Tom Carroll
