goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,87,DC,Brighton,Manchester City,1,4,2019-05-12,9576,2018,332218,0,0,0,0,0,0.36351096630096436,0.36351096630096436,612,Vincent Kompany
1,1,0.016918685287237167,90,DC,Manchester City,Leicester,1,0,2019-05-06,9560,2018,331342,0,0,0,1,0.016918685287237167,0.14828811585903168,0.1313694268465042,612,Vincent Kompany
0,0,0,90,DC,Burnley,Manchester City,0,1,2019-04-28,9555,2018,329034,0,0,0,0,0,0.19859714806079865,0.19859714806079865,612,Vincent Kompany
0,0,0,90,DC,Manchester United,Manchester City,0,2,2019-04-24,9501,2018,327649,0,0,0,0,0,0.2588663697242737,0.2588663697242737,612,Vincent Kompany
0,0,0,90,DC,Crystal Palace,Manchester City,1,3,2019-04-14,9534,2018,324884,0,0,0,0,0,0.6668384075164795,0.6668384075164795,612,Vincent Kompany
0,1,0.014300267212092876,90,DC,Manchester City,Watford,3,1,2019-03-09,9489,2018,314682,0,0,0,0,0.014300267212092876,0.2217850685119629,0.20748479664325714,612,Vincent Kompany
0,1,0.11173313856124878,39,Sub,Bournemouth,Manchester City,0,1,2019-03-02,9486,2018,305373,0,0,0,0,0.11173313856124878,0.16083693504333496,0.16083693504333496,612,Vincent Kompany
0,0,0,90,DC,Manchester City,West Ham,1,0,2019-02-27,9475,2018,305100,0,0,0,0,0,0.4398634433746338,0.4398634433746338,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Liverpool,2,1,2019-01-03,9400,2018,303291,0,0,0,0,0,0.11064901947975159,0.11064901947975159,612,Vincent Kompany
0,1,0.0502549447119236,90,DC,Southampton,Manchester City,1,3,2018-12-30,9389,2018,291604,0,0,0,0,0.0502549447119236,1.2687991857528687,1.2687991857528687,612,Vincent Kompany
0,0,0,84,DC,Watford,Manchester City,1,2,2018-12-04,9341,2018,277989,0,0,0,0,0,0.41101574897766113,0.41101574897766113,612,Vincent Kompany
0,0,0,19,Sub,Manchester City,Southampton,6,1,2018-11-04,9300,2018,277016,0,0,0,0,0,0.39723464846611023,0.39723464846611023,612,Vincent Kompany
0,0,0,1,Sub,Tottenham,Manchester City,0,1,2018-10-29,9296,2018,276807,0,0,0,0,0,0,0,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Burnley,5,0,2018-10-20,9281,2018,276369,0.07192530483007431,0,1,0,0,1.2929054498672485,1.2209800481796265,612,Vincent Kompany
0,0,0,1,Sub,Manchester City,Newcastle United,2,1,2018-09-01,9234,2018,259695,0,0,0,0,0,0,0,612,Vincent Kompany
0,1,0.04702730476856232,90,DC,Wolverhampton Wanderers,Manchester City,1,1,2018-08-25,9217,2018,259477,0,0,0,0,0.04702730476856232,0.12372545152902603,0.12372545152902603,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Huddersfield,6,1,2018-08-19,9213,2018,259130,0,0,0,0,0,1.9513537883758545,1.9513537883758545,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Brighton,3,1,2018-05-09,7424,2017,238706,0.014064694754779339,0,1,0,0,0.5669714212417603,0.5669714212417603,612,Vincent Kompany
0,1,0.07703078538179398,90,DC,Manchester City,Swansea,5,0,2018-04-22,7465,2017,235043,0,0,0,0,0.07703078538179398,1.441649079322815,1.3646183013916016,612,Vincent Kompany
0,0,0,90,DC,Tottenham,Manchester City,1,3,2018-04-14,7457,2017,232498,0.29351115226745605,1,1,0,0,0.8098278045654297,0.8098278045654297,612,Vincent Kompany
1,2,0.38519591093063354,90,DC,Manchester City,Manchester United,2,3,2018-04-07,7445,2017,230405,0,0,0,1,0.38519591093063354,0.48624756932258606,0.4161934554576874,612,Vincent Kompany
0,0,0,90,DC,Everton,Manchester City,1,3,2018-03-31,7433,2017,227096,0,0,0,0,0,0.7399973273277283,0.7399973273277283,612,Vincent Kompany
0,0,0,90,DC,Stoke,Manchester City,0,2,2018-03-12,7416,2017,223529,0,0,0,0,0,0.07001838088035583,0.07001838088035583,612,Vincent Kompany
0,0,0,90,DC,Arsenal,Manchester City,0,3,2018-03-01,7389,2017,220433,0,0,0,0,0,1.4159936904907227,1.4159936904907227,612,Vincent Kompany
0,2,0.438503623008728,90,DC,Burnley,Manchester City,1,1,2018-02-03,7372,2017,214875,0,0,0,0,0.438503623008728,0.9459565877914429,0.9459565877914429,612,Vincent Kompany
0,0,0,10,DC,Newcastle United,Manchester City,0,1,2017-12-27,7315,2017,205817,0,0,0,0,0,0.010868175886571407,0.010868175886571407,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Bournemouth,4,0,2017-12-23,7308,2017,203088,0,0,0,0,0,0.9997609257698059,0.9997609257698059,612,Vincent Kompany
0,0,0,50,DC,Manchester United,Manchester City,1,2,2017-12-10,7276,2017,198891,0.0196075439453125,0,1,0,0,0.3963957130908966,0.3767881691455841,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Southampton,2,1,2017-11-29,7257,2017,179287,0,0,0,0,0,0.1350507140159607,0.1350507140159607,612,Vincent Kompany
0,2,0.05994018539786339,81,DC,Huddersfield,Manchester City,1,2,2017-11-26,7245,2017,179273,0,0,0,0,0.05994018539786339,0.7750298380851746,0.7750298380851746,612,Vincent Kompany
0,0,0,90,DC,Leicester,Manchester City,0,2,2017-11-18,7235,2017,178726,0.08104657381772995,0,1,0,0,0.6437403559684753,0.6437403559684753,612,Vincent Kompany
0,1,0.02276170440018177,90,DC,Bournemouth,Manchester City,1,2,2017-08-26,7139,2017,176910,0,0,0,0,0.02276170440018177,0.14275193214416504,0.14275193214416504,612,Vincent Kompany
0,1,0.036719825118780136,90,DC,Manchester City,Everton,1,1,2017-08-21,7138,2017,176206,0,0,0,0,0.036719825118780136,0.48174208402633667,0.48174208402633667,612,Vincent Kompany
0,0,0,90,DC,Brighton,Manchester City,0,2,2017-08-12,7126,2017,175835,0,0,0,0,0,0.7482409477233887,0.7482409477233887,612,Vincent Kompany
1,1,0.05021657422184944,90,DC,Watford,Manchester City,0,5,2017-05-21,3519,2016,125402,0,0,0,1,0.05021657422184944,0.6874091625213623,0.6874091625213623,612,Vincent Kompany
0,1,0.01885635033249855,79,DC,Manchester City,West Bromwich Albion,3,1,2017-05-16,3477,2016,134269,0,0,0,0,0.01885635033249855,0.5354974269866943,0.5354974269866943,612,Vincent Kompany
0,1,0.035839810967445374,90,DC,Manchester City,Leicester,2,1,2017-05-13,3503,2016,135288,0,0,0,0,0.035839810967445374,0,0,612,Vincent Kompany
1,3,0.12648916244506836,90,DC,Manchester City,Crystal Palace,5,0,2017-05-06,3497,2016,135064,0,0,0,1,0.12648916244506836,0.20666438341140747,0.20666438341140747,612,Vincent Kompany
0,1,0.019381621852517128,90,DC,Middlesbrough,Manchester City,2,2,2017-04-30,3483,2016,134444,0.0247185081243515,0,1,0,0.019381621852517128,0.4525044858455658,0.4084043502807617,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Manchester United,0,0,2017-04-27,3398,2016,131850,0,0,0,0,0,0.27897554636001587,0.27897554636001587,612,Vincent Kompany
1,2,0.4394518733024597,90,DC,Southampton,Manchester City,0,3,2017-04-15,3462,2016,134775,0,0,0,1,0.4394518733024597,0.08390326052904129,0.08390326052904129,612,Vincent Kompany
0,0,0,90,DC,Chelsea,Manchester City,2,1,2017-04-05,3448,2016,132718,0.5499556064605713,0,1,0,0,0.15520545840263367,0.15520545840263367,612,Vincent Kompany
0,0,0,36,DC,Crystal Palace,Manchester City,1,2,2016-11-19,2703,2016,128280,0,0,0,0,0,0,0,612,Vincent Kompany
0,0,0,80,DC,Manchester City,Southampton,1,1,2016-10-23,549,2016,127350,0,0,0,0,0,0.07808446884155273,0.07808446884155273,612,Vincent Kompany
0,0,0,1,Sub,Manchester City,Everton,1,1,2016-10-15,534,2016,126840,0,0,0,0,0,0,0,612,Vincent Kompany
0,1,0.02582915686070919,90,DC,Newcastle United,Manchester City,1,1,2016-04-19,415,2015,65907,0,0,0,0,0.02582915686070919,0,0,612,Vincent Kompany
0,3,0.0814383253455162,90,DC,Norwich,Manchester City,0,0,2016-03-12,369,2015,65657,0,0,0,0,0.0814383253455162,0.07340140640735626,0.07340140640735626,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Aston Villa,4,0,2016-03-05,364,2015,66060,0.02082815021276474,0,1,0,0,0.39977359771728516,0.3789454400539398,612,Vincent Kompany
0,0,0,90,DC,Liverpool,Manchester City,3,0,2016-03-03,357,2015,67428,0.013079322874546051,0,1,0,0,0.013079322874546051,0,612,Vincent Kompany
0,1,0.01826850138604641,90,DC,Manchester City,Tottenham,1,2,2016-02-14,340,2015,61567,0,0,0,0,0.01826850138604641,0.11535781621932983,0.11535781621932983,612,Vincent Kompany
0,0,0,9,Sub,Manchester City,Sunderland,4,1,2015-12-26,258,2015,60560,0,0,0,0,0,0,0,612,Vincent Kompany
0,0,0,90,DC,Aston Villa,Manchester City,0,0,2015-11-08,198,2015,60125,0,0,0,0,0,0.6895014643669128,0.6895014643669128,612,Vincent Kompany
0,1,0.051852691918611526,90,DC,Manchester City,Norwich,2,1,2015-10-31,183,2015,65587,0,0,0,0,0.051852691918611526,0.0885603129863739,0.0885603129863739,612,Vincent Kompany
0,0,0,90,DC,Manchester United,Manchester City,0,0,2015-10-25,179,2015,65382,0,0,0,0,0,0.09261820465326309,0.09261820465326309,612,Vincent Kompany
0,1,0.01005295105278492,90,DC,Crystal Palace,Manchester City,0,1,2015-09-12,123,2015,63863,0,0,0,0,0.01005295105278492,0.025314191356301308,0.025314191356301308,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Watford,2,0,2015-08-29,117,2015,63603,0.047442372888326645,0,1,0,0,0.538041353225708,0.538041353225708,612,Vincent Kompany
0,2,0.14296451210975647,90,DC,Everton,Manchester City,0,2,2015-08-23,108,2015,62600,0,0,0,0,0.14296451210975647,0,0,612,Vincent Kompany
1,1,0.06910664588212967,90,DC,Manchester City,Chelsea,3,0,2015-08-16,99,2015,57442,0,0,0,1,0.06910664588212967,0.8224683403968811,0.8224683403968811,612,Vincent Kompany
1,1,0.017916671931743622,90,DC,West Bromwich Albion,Manchester City,0,3,2015-08-10,90,2015,57345,0,0,0,1,0.017916671931743622,0.09264719486236572,0.09264719486236572,612,Vincent Kompany
0,0,0,10,Sub,Manchester City,Southampton,2,0,2015-05-24,4437,2014,26010,0,0,0,0,0,0.02400227077305317,0.02400227077305317,612,Vincent Kompany
0,0,0,9,Sub,Swansea,Manchester City,2,4,2015-05-17,4426,2014,24022,0,0,0,0,0,0,0,612,Vincent Kompany
0,0,0,48,DC,Manchester United,Manchester City,4,2,2015-04-12,4459,2014,23299,0,0,0,0,0,0.9191128611564636,0.9191128611564636,612,Vincent Kompany
0,1,0.057710930705070496,90,DC,Crystal Palace,Manchester City,2,1,2015-04-06,4449,2014,24428,0,0,0,0,0.057710930705070496,0.05554182827472687,0.05554182827472687,612,Vincent Kompany
0,0,0,90,DC,Manchester City,West Bromwich Albion,3,0,2015-03-21,4503,2014,24797,0.06515369564294815,0,1,0,0,0.5113435983657837,0.44618988037109375,612,Vincent Kompany
0,0,0,90,DC,Burnley,Manchester City,1,0,2015-03-14,4498,2014,25140,0,0,0,0,0,0.3505469858646393,0.3505469858646393,612,Vincent Kompany
0,0,0,90,DC,Liverpool,Manchester City,2,1,2015-03-01,4480,2014,26371,0,0,0,0,0,0.40013250708580017,0.40013250708580017,612,Vincent Kompany
0,0,0,90,DC,Manchester City,Newcastle United,5,0,2015-02-21,4541,2014,27178,0,0,0,0,0,0.24317754805088043,0.24317754805088043,612,Vincent Kompany
0,0,0,90,DC,Stoke,Manchester City,1,4,2015-02-11,4530,2014,26426,0,0,0,0,0,0.5119146704673767,0.5119146704673767,612,Vincent Kompany
0,1,0.023725131526589394,90,DC,Manchester City,Hull,1,1,2015-02-07,4519,2014,26192,0,0,0,0,0.023725131526589394,0.21859954297542572,0.21859954297542572,612,Vincent Kompany
