goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,GK,Lorient,Monaco,2,5,2021-01-06,15927,2020,440382,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Monaco,Saint-Etienne,2,2,2020-12-23,15922,2020,437834,0,0,0,0,0,0.6804482936859131,0.6804482936859131,726,Vito Mannone
0,0,0,90,GK,Dijon,Monaco,0,1,2020-12-20,15907,2020,436615,0,0,0,0,0,0.1836683750152588,0.1836683750152588,726,Vito Mannone
0,0,0,90,GK,Monaco,Lens,0,3,2020-12-16,15901,2020,435244,0,0,0,0,0,0.06832282990217209,0.06832282990217209,726,Vito Mannone
0,0,0,90,GK,Marseille,Monaco,2,1,2020-12-12,15890,2020,433095,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Lille,Monaco,2,1,2020-12-06,15879,2020,431764,0,0,0,0,0,0.38139066100120544,0.38139066100120544,726,Vito Mannone
0,0,0,90,GK,Monaco,Nimes,3,0,2020-11-29,15869,2020,430244,0,0,0,0,0,0.5917876958847046,0.5917876958847046,726,Vito Mannone
0,0,0,90,GK,Monaco,Paris Saint Germain,3,2,2020-11-20,15861,2020,427582,0,0,0,0,0,0.10840442776679993,0.10840442776679993,726,Vito Mannone
0,0,0,90,GK,Nice,Monaco,1,2,2020-11-08,15849,2020,427185,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Sunderland,Southampton,0,4,2017-02-11,3384,2016,131151,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129405,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Sunderland,Tottenham,0,0,2017-01-31,3364,2016,132231,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,West Bromwich Albion,Sunderland,2,0,2017-01-21,3355,2016,132028,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Sunderland,Stoke,1,3,2017-01-14,3342,2016,130738,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Sunderland,Liverpool,2,2,2017-01-02,3334,2016,129752,0,0,0,0,0,0,0,726,Vito Mannone
0,0,0,90,GK,Burnley,Sunderland,4,1,2016-12-31,3157,2016,130121,0,0,0,0,0,0,0,726,Vito Mannone
