goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.0321749672293663,75,FW,Nantes,Saint-Etienne,1,1,2022-05-21,18196,2021,537525,0,0,0,0,0.0321749672293663,0,0,734,Wahbi Khazri
0,4,0.11090412735939026,90,FW,Saint-Etienne,Reims,1,2,2022-05-14,18184,2021,535701,0.07563452422618866,0,1,0,0.11090412735939026,0.9156854152679443,0.7937949895858765,734,Wahbi Khazri
1,1,0.7600951194763184,69,FW,Saint-Etienne,Monaco,1,4,2022-04-23,18161,2021,528910,0,0,0,0,0,0,0,734,Wahbi Khazri
0,2,0.08827357739210129,33,Sub,Bordeaux,Saint-Etienne,2,2,2022-04-20,18143,2021,527797,0.4948993921279907,0,2,0,0.08827357739210129,0.5596020221710205,0.05428216978907585,734,Wahbi Khazri
0,3,0.08363498747348785,62,FW,Saint-Etienne,Brest,2,1,2022-04-16,18140,2021,526522,0.023818746209144592,0,1,0,0.08363498747348785,0.10745373368263245,0,734,Wahbi Khazri
0,1,0.08648709952831268,89,FW,Saint-Etienne,Troyes,1,1,2022-03-18,18108,2021,520908,0.033017437905073166,0,1,0,0.08648709952831268,0.033017437905073166,0.033017437905073166,734,Wahbi Khazri
0,3,0.06401807814836502,28,Sub,Lille,Saint-Etienne,0,0,2022-03-11,18095,2021,519055,0,0,0,0,0.06401807814836502,0.07021883875131607,0.01978110335767269,734,Wahbi Khazri
0,0,0,9,Sub,Saint-Etienne,Metz,1,0,2022-03-06,18084,2021,518036,0.12493296712636948,0,1,0,0,0.12493296712636948,0.12493296712636948,734,Wahbi Khazri
1,4,0.7729189395904541,86,FW,Saint-Etienne,Strasbourg,2,2,2022-02-20,18062,2021,514842,0.2728685140609741,0,1,1,0.7729189395904541,0.9733380079269409,0,734,Wahbi Khazri
0,2,0.3959408104419708,87,FW,Clermont Foot,Saint-Etienne,1,2,2022-02-13,18058,2021,513295,0.034388218075037,0,1,0,0.3959408104419708,0.4303290545940399,0,734,Wahbi Khazri
1,11,1.050512433052063,90,AMC,Saint-Etienne,Montpellier,3,1,2022-02-05,18051,2021,511187,0,0,0,1,1.050512433052063,1.170059084892273,0.14467307925224304,734,Wahbi Khazri
0,2,0.0764346644282341,90,FW,Saint-Etienne,Nantes,0,1,2021-12-22,18010,2021,504868,0.04069027304649353,0,2,0,0.0764346644282341,0.19333823025226593,0.15917328000068665,734,Wahbi Khazri
0,2,0.05279335752129555,90,FW,Reims,Saint-Etienne,2,0,2021-12-11,17998,2021,501966,0,0,0,0,0.05279335752129555,0.033861398696899414,0,734,Wahbi Khazri
0,3,0.10726149380207062,90,FW,Saint-Etienne,Rennes,0,5,2021-12-05,17983,2021,500365,0.010177371092140675,0,1,0,0.10726149380207062,0.10726149380207062,0,734,Wahbi Khazri
0,1,0.03463953733444214,82,FW,Brest,Saint-Etienne,1,0,2021-12-01,17973,2021,498873,0.03813411667943001,0,1,0,0.03463953733444214,0,0,734,Wahbi Khazri
0,1,0.0075747426599264145,90,FW,Saint-Etienne,Paris Saint Germain,1,3,2021-11-28,17962,2021,497822,0.2768684923648834,0,2,0,0.0075747426599264145,0.09827631711959839,0.009136433713138103,734,Wahbi Khazri
0,0,0,26,Sub,Troyes,Saint-Etienne,0,1,2021-11-21,17959,2021,496471,0,0,0,0,0,0,0,734,Wahbi Khazri
0,1,0.029683168977499008,90,FWL,Saint-Etienne,Clermont Foot,3,2,2021-11-07,17951,2021,494650,0.14218971133232117,0,2,0,0.029683168977499008,0.20825722813606262,0.03638433665037155,734,Wahbi Khazri
1,3,0.10466831177473068,90,FW,Metz,Saint-Etienne,1,1,2021-10-30,17937,2021,492376,0.013013589195907116,0,1,1,0.10466831177473068,0.10466831177473068,0,734,Wahbi Khazri
1,3,0.17738264799118042,90,FW,Saint-Etienne,Angers,2,2,2021-10-22,17931,2021,489612,0,0,0,1,0.17738264799118042,0.14169111847877502,0.07156924158334732,734,Wahbi Khazri
1,2,0.8376262784004211,69,FW,Strasbourg,Saint-Etienne,5,1,2021-10-17,17920,2021,488749,0,0,0,0,0.0775311291217804,0.0775311291217804,0,734,Wahbi Khazri
1,4,1.0467426776885986,90,FW,Saint-Etienne,Lyon,1,1,2021-10-03,17911,2021,487689,0.03398066386580467,0,1,0,0.2866475582122803,0.31041502952575684,0,734,Wahbi Khazri
