goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,3,Sub,West Ham,Everton,3,1,2018-05-13,7489,2017,240143,0,0,0,0,0,0,0,518,Yannick Bolasie
0,1,0.052772216498851776,47,AMR,Everton,Southampton,1,1,2018-05-05,7486,2017,237741,0,0,0,0,0.052772216498851776,0.052772216498851776,0,518,Yannick Bolasie
0,1,0.08193203061819077,59,FWL,Everton,Newcastle United,1,0,2018-04-23,7461,2017,235331,0,0,0,0,0.08193203061819077,0.18878525495529175,0.10685322433710098,518,Yannick Bolasie
0,3,0.11241590976715088,78,AML,Swansea,Everton,1,1,2018-04-14,7456,2017,232115,0.03288096562027931,0,1,0,0.11241590976715088,0.1452968716621399,0.03288096562027931,518,Yannick Bolasie
0,1,0.018677102401852608,61,FWL,Everton,Liverpool,0,0,2018-04-07,7443,2017,230356,0,0,0,0,0.018677102401852608,0.018677102401852608,0,518,Yannick Bolasie
1,2,0.3838111460208893,90,AML,Everton,Manchester City,1,3,2018-03-31,7433,2017,227089,0,0,0,1,0.3838111460208893,0.3838111460208893,0,518,Yannick Bolasie
0,4,0.7049839496612549,90,AML,Stoke,Everton,1,2,2018-03-17,7425,2017,224006,0.23115324974060059,0,2,0,0.7049839496612549,0.8240826725959778,0.4602471888065338,518,Yannick Bolasie
0,4,0.5489263534545898,79,FWL,Everton,Brighton,2,0,2018-03-10,7412,2017,222355,0,0,0,0,0.5489263534545898,0.09796455502510071,0,518,Yannick Bolasie
0,0,0,5,Sub,Burnley,Everton,2,1,2018-03-03,7400,2017,220713,0,0,0,0,0,0,0,518,Yannick Bolasie
0,0,0,7,Sub,Watford,Everton,1,0,2018-02-24,7392,2017,219342,0,0,0,0,0,0,0,518,Yannick Bolasie
0,0,0,90,FWL,Arsenal,Everton,5,1,2018-02-03,7369,2017,214801,0,0,0,0,0,0,0,518,Yannick Bolasie
