goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,63,DC,Southampton,Watford,0,2,2017-09-09,7150,2017,177188,0,0,0,0,0,0.043100107461214066,0.043100107461214066,736,Younes Kaboul
0,0,0,90,DC,Watford,Liverpool,3,3,2017-08-12,7120,2017,176014,0,0,0,0,0,0.10665380954742432,0.10665380954742432,736,Younes Kaboul
0,0,0,41,DC,Watford,Sunderland,1,0,2017-04-01,3439,2016,133193,0,0,0,0,0,0.02187632955610752,0.02187632955610752,736,Younes Kaboul
0,0,0,90,DC,Crystal Palace,Watford,1,0,2017-03-18,3428,2016,133180,0,0,0,0,0,0,0,736,Younes Kaboul
0,2,0.057466574013233185,90,DR,Watford,Southampton,3,4,2017-03-04,3407,2016,133438,0,0,0,0,0.057466574013233185,0.0723024383187294,0.014835863374173641,736,Younes Kaboul
0,0,0,90,DC,Watford,West Ham,1,1,2017-02-25,3396,2016,132043,0,0,0,0,0,0,0,736,Younes Kaboul
0,0,0,90,DC,Manchester United,Watford,2,0,2017-02-11,3381,2016,130834,0.05404076725244522,0,1,0,0,0.11486826092004776,0.11486826092004776,736,Younes Kaboul
0,0,0,90,DC,Watford,Burnley,2,1,2017-02-04,3374,2016,130166,0,0,0,0,0,0.23577693104743958,0.23577693104743958,736,Younes Kaboul
1,1,0.018574461340904236,90,DC,Arsenal,Watford,1,2,2017-01-31,3360,2016,132085,0,0,0,1,0.018574461340904236,0,0,736,Younes Kaboul
0,0,0,90,DC,Bournemouth,Watford,2,2,2017-01-21,3352,2016,131390,0,0,0,0,0,0,0,736,Younes Kaboul
0,0,0,90,DC,Watford,Middlesbrough,0,0,2017-01-14,3341,2016,131071,0,0,0,0,0,0.0767323225736618,0.0767323225736618,736,Younes Kaboul
0,0,0,90,DC,Stoke,Watford,2,0,2017-01-04,3338,2016,129657,0,0,0,0,0,0,0,736,Younes Kaboul
1,2,1.1229313611984253,90,DC,Watford,Tottenham,1,4,2017-01-01,3328,2016,130986,0,0,0,1,1.1229313611984253,0,0,736,Younes Kaboul
0,0,0,90,DC,Watford,Crystal Palace,1,1,2016-12-26,3145,2016,129891,0,0,0,0,0,0,0,736,Younes Kaboul
0,0,0,80,DR,Sunderland,Watford,1,0,2016-12-17,3139,2016,128713,0,0,0,0,0,0,0,736,Younes Kaboul
0,0,0,20,DC,Watford,Stoke,0,1,2016-11-27,2713,2016,128293,0,0,0,0,0,0,0,736,Younes Kaboul
0,2,0.043243277817964554,90,DC,Watford,Leicester,2,1,2016-11-19,2701,2016,128840,0,0,0,0,0.043243277817964554,0.024826649576425552,0.024826649576425552,736,Younes Kaboul
0,0,0,90,DC,Liverpool,Watford,6,1,2016-11-06,2693,2016,128057,0,0,0,0,0,0.02098638378083706,0.02098638378083706,736,Younes Kaboul
0,2,0.08309325575828552,73,DC,Watford,Hull,1,0,2016-10-29,2679,2016,127849,0,0,0,0,0.08309325575828552,0.0271978210657835,0.015347044914960861,736,Younes Kaboul
0,1,0.05300154164433479,90,DC,Swansea,Watford,0,0,2016-10-22,543,2016,127420,0,0,0,0,0.05300154164433479,0.02119518257677555,0.02119518257677555,736,Younes Kaboul
0,1,0.009018254466354847,90,DC,Middlesbrough,Watford,0,1,2016-10-16,538,2016,126873,0,0,0,0,0.009018254466354847,0,0,736,Younes Kaboul
0,1,0.02941848896443844,90,DC,Watford,Bournemouth,2,2,2016-10-01,525,2016,127433,0.013485600240528584,0,1,0,0.02941848896443844,0.0429040901362896,0,736,Younes Kaboul
0,0,0,85,DC,West Ham,Watford,2,4,2016-09-10,497,2016,126233,0,0,0,0,0,0.025477144867181778,0.025477144867181778,736,Younes Kaboul
0,0,0,90,DC,Watford,Arsenal,1,3,2016-08-27,482,2016,125915,0,0,0,0,0,0.054117217659950256,0.054117217659950256,736,Younes Kaboul
0,0,0,90,DC,Manchester City,Sunderland,2,1,2016-08-13,467,2016,125072,0,0,0,0,0,0.023842213675379753,0.023842213675379753,736,Younes Kaboul
0,2,0.05081148445606232,90,DC,Sunderland,Everton,3,0,2016-05-11,449,2015,65866,0,0,0,0,0.05081148445606232,0.12300708889961243,0.12300708889961243,736,Younes Kaboul
0,1,0.03980240225791931,90,DC,Sunderland,Chelsea,3,2,2016-05-07,442,2015,62753,0,0,0,0,0.03980240225791931,0.04693273827433586,0.04693273827433586,736,Younes Kaboul
0,0,0,90,DC,Stoke,Sunderland,1,1,2016-04-30,427,2015,63397,0.05491190031170845,0,1,0,0,0.1121966689825058,0.1121966689825058,736,Younes Kaboul
0,0,0,90,DC,Sunderland,Arsenal,0,0,2016-04-24,424,2015,62505,0,0,0,0,0,0.013435577973723412,0.013435577973723412,736,Younes Kaboul
0,0,0,90,DC,Norwich,Sunderland,0,3,2016-04-16,405,2015,62794,0,0,0,0,0,0,0,736,Younes Kaboul
0,1,0.013100357726216316,90,DC,Sunderland,Leicester,0,2,2016-04-10,401,2015,67135,0,0,0,0,0.013100357726216316,0.024363597854971886,0.024363597854971886,736,Younes Kaboul
0,0,0,90,DC,Sunderland,West Bromwich Albion,0,0,2016-04-02,389,2015,66363,0.05942593887448311,0,1,0,0,0.05942593887448311,0.05942593887448311,736,Younes Kaboul
0,0,0,74,DC,Newcastle United,Sunderland,1,1,2016-03-20,381,2015,66542,0,0,0,0,0,0,0,736,Younes Kaboul
0,0,0,90,DC,Southampton,Sunderland,1,1,2016-03-05,360,2015,66294,0,0,0,0,0,0,0,736,Younes Kaboul
0,2,0.41380125284194946,63,Sub,Sunderland,Crystal Palace,2,2,2016-03-01,352,2015,67226,0,0,0,0,0.41380125284194946,0,0,736,Younes Kaboul
