goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.0052200802601873875,73,FW,Alaves,Cadiz,0,1,2022-05-22,17506,2021,538089,0.14714506268501282,0,2,0,0.0052200802601873875,0.3617083430290222,0.3390327990055084,1715,Álvaro Negredo
0,4,1.4337412118911743,90,FW,Cadiz,Real Madrid,1,1,2022-05-15,17502,2021,536508,0,0,0,0,0.6904636025428772,0.6904636025428772,0,1715,Álvaro Negredo
0,3,0.2677449882030487,12,Sub,Real Sociedad,Cadiz,3,0,2022-05-12,17491,2021,534974,0.07583556324243546,0,1,0,0.2677449882030487,0.34358057379722595,0,1715,Álvaro Negredo
1,5,0.7942636013031006,86,FW,Cadiz,Elche,3,0,2022-05-07,17482,2021,534349,0,0,0,1,0.7942636013031006,0.8758745789527893,0.0816110298037529,1715,Álvaro Negredo
0,1,0.01908046379685402,10,Sub,Sevilla,Cadiz,1,1,2022-04-29,17472,2021,530105,0,0,0,0,0.01908046379685402,0.01908046379685402,0,1715,Álvaro Negredo
0,10,1.2277435064315796,90,FW,Cadiz,Athletic Club,2,3,2022-04-21,17460,2021,528225,0.2179604172706604,1,3,0,1.2277435064315796,1.3542428016662598,0.053010351955890656,1715,Álvaro Negredo
0,1,0.022791476920247078,90,FW,Cadiz,Real Betis,1,2,2022-04-09,17437,2021,524370,0.15868902206420898,0,2,0,0.022791476920247078,0.2622859477996826,0.10359691083431244,1715,Álvaro Negredo
0,2,0.15473470091819763,90,FW,Valencia,Cadiz,0,0,2022-04-03,17435,2021,523752,0,0,0,0,0.15473470091819763,0.15473470091819763,0,1715,Álvaro Negredo
0,1,0.08708898723125458,90,FW,Cadiz,Villarreal,1,0,2022-03-20,17419,2021,522001,0.09399062395095825,0,2,0,0.08708898723125458,0.18107961118221283,0,1715,Álvaro Negredo
1,4,0.42975977063179016,90,FW,Atletico Madrid,Cadiz,2,1,2022-03-11,17406,2021,519021,0,0,0,1,0.42975977063179016,0.44871872663497925,0.018958954140543938,1715,Álvaro Negredo
0,5,0.3301886022090912,90,FW,Cadiz,Rayo Vallecano,2,0,2022-03-06,17400,2021,518064,0.07986569404602051,0,1,0,0.3301886022090912,0.31392204761505127,0,1715,Álvaro Negredo
0,3,0.498502254486084,90,FW,Granada,Cadiz,0,0,2022-02-28,17390,2021,517059,0.04508836194872856,0,1,0,0.498502254486084,0.6044212579727173,0.0966183990240097,1715,Álvaro Negredo
1,2,0.26722314953804016,90,FW,Cadiz,Getafe,1,1,2022-02-19,17379,2021,514474,0,0,0,1,0.26722314953804016,0.26722314953804016,0,1715,Álvaro Negredo
0,1,0.012979663908481598,90,FW,Cadiz,Celta Vigo,0,0,2022-02-12,17369,2021,512440,0.6020978093147278,0,1,0,0.012979663908481598,0.6150774955749512,0,1715,Álvaro Negredo
0,4,0.12291014194488525,90,FW,Mallorca,Cadiz,2,1,2022-02-05,17360,2021,511172,0.45074206590652466,0,3,0,0.12291014194488525,0.5736522078514099,0,1715,Álvaro Negredo
1,1,0.07084367424249649,84,FW,Levante,Cadiz,0,2,2022-01-22,17350,2021,509511,0,0,0,1,0.07084367424249649,0.6890320777893066,0.6181883811950684,1715,Álvaro Negredo
1,2,0.13305267691612244,90,FW,Cadiz,Espanyol,2,2,2022-01-18,17343,2021,509012,0.2790037989616394,1,2,1,0.13305267691612244,0.41205647587776184,0,1715,Álvaro Negredo
0,2,0.025408027693629265,90,AMR,Cadiz,Sevilla,0,1,2022-01-03,17324,2021,506115,0.028480539098381996,0,2,0,0.025408027693629265,0.05388856679201126,0,1715,Álvaro Negredo
0,1,0.09689339250326157,43,Sub,Real Madrid,Cadiz,0,0,2021-12-19,17313,2021,504317,0,0,0,0,0.09689339250326157,0.09689339250326157,0,1715,Álvaro Negredo
0,0,0,21,Sub,Elche,Cadiz,3,1,2021-12-05,17294,2021,500798,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,0,0,21,Sub,Cadiz,Atletico Madrid,1,4,2021-11-28,17280,2021,498378,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,3,0.1504347324371338,90,FW,Getafe,Cadiz,4,0,2021-11-21,17269,2021,496256,0,0,0,0,0.1504347324371338,0.1504347324371338,0,1715,Álvaro Negredo
0,1,0.028247950598597527,4,Sub,Athletic Club,Cadiz,0,1,2021-11-05,17257,2021,493661,0,0,0,0,0.028247950598597527,0.028247950598597527,0,1715,Álvaro Negredo
1,1,0.7432776093482971,29,Sub,Cadiz,Mallorca,1,1,2021-10-31,17254,2021,492763,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,4,0.27921465039253235,90,FW,Cadiz,Alaves,0,2,2021-10-23,17231,2021,490029,0,0,0,0,0.27921465039253235,0.006984133739024401,0,1715,Álvaro Negredo
0,2,0.20540402829647064,19,Sub,Espanyol,Cadiz,2,0,2021-10-18,17220,2021,489414,0,0,0,0,0.20540402829647064,0.01750924251973629,0,1715,Álvaro Negredo
0,0,0,64,FW,Cadiz,Valencia,0,0,2021-10-02,17215,2021,486727,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,1,0.017480989918112755,19,Sub,Rayo Vallecano,Cadiz,3,1,2021-09-26,17198,2021,485760,0,0,0,0,0.017480989918112755,0.05113153159618378,0.03365053981542587,1715,Álvaro Negredo
0,1,0.0356856994330883,60,FW,Cadiz,Barcelona,0,0,2021-09-23,17191,2021,484284,0.022280778735876083,0,1,0,0.0356856994330883,0.057966481894254684,0,1715,Álvaro Negredo
0,0,0,5,Sub,Celta Vigo,Cadiz,1,2,2021-09-17,17180,2021,481753,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,1,0.44753772020339966,62,FW,Cadiz,Real Sociedad,0,2,2021-09-12,17168,2021,481305,0,0,0,0,0.44753772020339966,0,0,1715,Álvaro Negredo
0,0,0,70,FW,Cadiz,Osasuna,2,3,2021-08-29,17163,2021,479780,0,0,0,0,0,0,0,1715,Álvaro Negredo
1,1,0.7432776093482971,74,FW,Real Betis,Cadiz,1,1,2021-08-20,17146,2021,476629,0.10930631309747696,0,1,0,0,0.10930631309747696,0,1715,Álvaro Negredo
0,0,0,61,FW,Cadiz,Levante,1,1,2021-08-14,17139,2021,475839,0,0,0,0,0,0,0,1715,Álvaro Negredo
1,2,0.10074368864297867,76,FW,Levante,Cadiz,2,2,2021-05-21,15152,2020,472620,0,0,0,1,0.10074368864297867,0.10074368864297867,0,1715,Álvaro Negredo
0,0,0,15,Sub,Cadiz,Elche,1,3,2021-05-16,15144,2020,471760,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,0,0,10,Sub,Osasuna,Cadiz,3,2,2021-05-11,15134,2020,469891,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,0,0,14,Sub,Cadiz,SD Huesca,2,1,2021-05-08,15123,2020,468878,0.1053817868232727,0,1,0,0,0.12335523217916489,0.01797344908118248,1715,Álvaro Negredo
0,2,0.3086564242839813,78,FW,Granada,Cadiz,0,1,2021-05-02,15115,2020,467812,1.2133368253707886,1,4,0,0.3086564242839813,1.4564404487609863,0,1715,Álvaro Negredo
0,0,0,2,Sub,Real Valladolid,Cadiz,1,1,2021-04-24,15095,2020,465387,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,0,0,47,FW,Cadiz,Real Madrid,0,3,2021-04-21,15082,2020,464739,0.04303780943155289,0,1,0,0,0.04303780943155289,0,1715,Álvaro Negredo
0,0,0,60,FW,Cadiz,Celta Vigo,0,0,2021-04-18,15104,2020,463835,0.01565880887210369,0,1,0,0,0.01565880887210369,0,1715,Álvaro Negredo
0,4,0.2058301717042923,61,FW,Getafe,Cadiz,0,1,2021-04-10,15072,2020,460986,0,0,0,0,0.2058301717042923,0.06884969770908356,0,1715,Álvaro Negredo
0,1,0.4467485845088959,76,FW,Cadiz,Valencia,2,1,2021-04-04,15060,2020,460474,0,0,0,0,0.4467485845088959,0,0,1715,Álvaro Negredo
0,1,0.03395268693566322,90,FW,Villarreal,Cadiz,2,1,2021-03-21,15057,2020,458786,0.07486174255609512,0,1,0,0.03395268693566322,0.10881442576646805,0.03395268693566322,1715,Álvaro Negredo
0,3,0.6473674774169922,85,FW,Alaves,Cadiz,1,1,2021-03-13,15038,2020,456140,0,0,0,0,0.6473674774169922,0.6843618750572205,0.03699440881609917,1715,Álvaro Negredo
1,2,0.7176138758659363,75,FW,Cadiz,Eibar,1,0,2021-03-06,15031,2020,454783,0,0,0,1,0.7176138758659363,0.7176138758659363,0,1715,Álvaro Negredo
0,0,0,70,FW,Cadiz,Real Betis,0,1,2021-02-28,15022,2020,453124,0.08107363432645798,0,1,0,0,0.08107363432645798,0,1715,Álvaro Negredo
0,0,0,61,FW,Barcelona,Cadiz,1,1,2021-02-21,15010,2020,451141,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,0,0,48,FW,Cadiz,Athletic Club,0,4,2021-02-15,15002,2020,450142,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,0,0,64,FW,Real Sociedad,Cadiz,4,1,2021-02-07,14995,2020,448127,0,0,0,0,0,0,0,1715,Álvaro Negredo
2,4,0.22054676711559296,90,FW,Cadiz,Atletico Madrid,2,4,2021-01-31,14982,2020,446359,0.3163738548755646,0,1,2,0.22054676711559296,0.5369206070899963,0.3411113917827606,1715,Álvaro Negredo
0,2,0.5285954475402832,82,FW,Sevilla,Cadiz,3,0,2021-01-23,14971,2020,444134,0,0,0,0,0.5285954475402832,0.06049326807260513,0.018086528405547142,1715,Álvaro Negredo
0,1,0.029919609427452087,76,FW,Cadiz,Levante,2,2,2021-01-19,14964,2020,443134,0,0,0,0,0.029919609427452087,0.029919609427452087,0,1715,Álvaro Negredo
1,3,0.24280953407287598,90,FW,Cadiz,Alaves,3,1,2021-01-10,14950,2020,441520,0,0,0,1,0.24280953407287598,0.7224000692367554,0.5707755088806152,1715,Álvaro Negredo
0,0,0,74,FW,Valencia,Cadiz,1,1,2021-01-04,14945,2020,439961,0,0,0,0,0,0,0,1715,Álvaro Negredo
0,4,0.2928066849708557,86,FW,Cadiz,Real Valladolid,0,0,2020-12-29,14932,2020,438582,0.06823593378067017,0,1,0,0.2928066849708557,0.3610426187515259,0.05902111530303955,1715,Álvaro Negredo
0,1,0.07286122441291809,90,FW,Real Betis,Cadiz,1,0,2020-12-23,14918,2020,438043,0.04957068711519241,0,1,0,0.07286122441291809,0.13898226618766785,0.01655036211013794,1715,Álvaro Negredo
0,1,0.014997635036706924,68,FW,Cadiz,Getafe,0,2,2020-12-20,14912,2020,436944,0,0,0,0,0.014997635036706924,0,0,1715,Álvaro Negredo
0,1,0.31155991554260254,75,FW,Celta Vigo,Cadiz,4,0,2020-12-14,14900,2020,434226,0.015275409445166588,0,1,0,0.31155991554260254,0.015275409445166588,0,1715,Álvaro Negredo
1,2,0.6197535991668701,25,Sub,Cadiz,Barcelona,2,1,2020-12-05,14885,2020,431642,0.5487785339355469,0,1,1,0.6197535991668701,1.168532133102417,0,1715,Álvaro Negredo
0,1,0.06645694375038147,90,FW,Atletico Madrid,Cadiz,4,0,2020-11-07,14855,2020,426624,0.0440257266163826,0,1,0,0.06645694375038147,0.11048267036676407,0,1715,Álvaro Negredo
1,3,0.35550129413604736,81,FW,Eibar,Cadiz,0,2,2020-10-30,14849,2020,424156,0.537329375743866,1,2,1,0.35550129413604736,0.31586572527885437,0,1715,Álvaro Negredo
0,0,0,69,FW,Cadiz,Villarreal,0,0,2020-10-25,14838,2020,423609,0,0,0,0,0,0,0,1715,Álvaro Negredo
