goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.029955163598060608,90,ML,Inter,Sampdoria,3,0,2022-05-22,17129,2021,538025,0.12631723284721375,0,2,0,0.029955163598060608,0.5603662133216858,0.48877227306365967,6296,Abdelhamid Sabiri
1,1,0.07348345965147018,90,ML,Sampdoria,Fiorentina,4,1,2022-05-16,17124,2021,536663,0.48293831944465637,1,2,1,0.07348345965147018,1.0084680318832397,0.4520462155342102,6296,Abdelhamid Sabiri
0,2,0.11569452285766602,70,ML,Lazio,Sampdoria,2,0,2022-05-07,17110,2021,533085,0,0,0,0,0.11569452285766602,0.11569452285766602,0,6296,Abdelhamid Sabiri
1,4,0.7975146174430847,90,ML,Sampdoria,Genoa,1,0,2022-04-30,17103,2021,530654,0.1029844731092453,0,1,1,0.7975146174430847,1.357381820678711,0.6004440784454346,6296,Abdelhamid Sabiri
0,1,0.012881000526249409,90,ML,Verona,Sampdoria,1,1,2022-04-23,17089,2021,528985,0,0,0,0,0.012881000526249409,0.012881000526249409,0,6296,Abdelhamid Sabiri
0,0,0,26,Sub,Sampdoria,Salernitana,1,2,2022-04-16,17083,2021,526165,0,0,0,0,0,0,0,6296,Abdelhamid Sabiri
0,1,0.007022308185696602,90,FW,Bologna,Sampdoria,2,0,2022-04-11,17066,2021,525841,0.0313955582678318,0,1,0,0.007022308185696602,0.17234867811203003,0.16532637178897858,6296,Abdelhamid Sabiri
0,4,0.2109062820672989,90,FW,Sampdoria,Roma,0,1,2022-04-03,17063,2021,523677,0,0,0,0,0.2109062820672989,0.1735469549894333,0,6296,Abdelhamid Sabiri
0,0,0,90,FW,Venezia,Sampdoria,0,2,2022-03-20,17055,2021,521618,0.6678742170333862,1,3,0,0,0.6678742170333862,0.3772316873073578,6296,Abdelhamid Sabiri
1,2,0.06860587745904922,28,Sub,Sampdoria,Juventus,1,3,2022-03-12,17042,2021,519487,0.04103854298591614,0,2,1,0.06860587745904922,0.08295220881700516,0.04191366583108902,6296,Abdelhamid Sabiri
0,0,0,19,Sub,Udinese,Sampdoria,2,1,2022-03-05,17034,2021,517338,0,0,0,0,0,0,0,6296,Abdelhamid Sabiri
0,0,0,44,Sub,Atalanta,Sampdoria,4,0,2022-02-28,17016,2021,517032,0,0,0,0,0,0.04151831194758415,0.04151831194758415,6296,Abdelhamid Sabiri
0,1,0.05512499436736107,69,AMC,Sampdoria,Empoli,2,0,2022-02-19,17013,2021,514002,0.11380761116743088,0,1,0,0.05512499436736107,0.3528616428375244,0.18392904102802277,6296,Abdelhamid Sabiri
0,0,0,1,Sub,AC Milan,Sampdoria,1,0,2022-02-13,17001,2021,513031,0,0,0,0,0,0,0,6296,Abdelhamid Sabiri
0,3,0.2057805061340332,90,AMC,Eintracht Frankfurt,Paderborn,3,2,2020-06-27,12704,2019,403114,0,0,0,0,0.2057805061340332,0,0,6296,Abdelhamid Sabiri
0,3,0.2151835858821869,87,AMC,Paderborn,Borussia M.Gladbach,1,3,2020-06-20,12699,2019,401212,0,0,0,0,0.2151835858821869,0.02238512597978115,0,6296,Abdelhamid Sabiri
1,3,0.5780943632125854,25,Sub,Paderborn,Werder Bremen,1,5,2020-06-13,12681,2019,399717,0,0,0,1,0.5780943632125854,0.0728919729590416,0.06764086335897446,6296,Abdelhamid Sabiri
0,1,0.030802052468061447,13,Sub,RasenBallsport Leipzig,Paderborn,1,1,2020-06-06,12665,2019,399209,0,0,0,0,0.030802052468061447,0.2023581564426422,0.17155610024929047,6296,Abdelhamid Sabiri
0,0,0,7,Sub,Paderborn,Borussia Dortmund,1,6,2020-05-31,12663,2019,399071,0,0,0,0,0,0,0,6296,Abdelhamid Sabiri
0,0,0,11,Sub,Augsburg,Paderborn,0,0,2020-05-27,12650,2019,398809,0,0,0,0,0,0,0,6296,Abdelhamid Sabiri
0,0,0,9,Sub,Paderborn,Hoffenheim,1,1,2020-05-23,12637,2019,398341,0,0,0,0,0,0,0,6296,Abdelhamid Sabiri
