goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Borussia Dortmund,Bayer Leverkusen,3,1,2021-05-22,15438,2020,472867,0,0,0,0,0,0.08739059418439865,0.08739059418439865,5219,Aleksandar Dragovic
0,0,0,90,DC,Bayer Leverkusen,Union Berlin,1,1,2021-05-15,15430,2020,470790,0.011580976657569408,0,1,0,0,0.011580976657569408,0.011580976657569408,5219,Aleksandar Dragovic
0,0,0,90,DC,Werder Bremen,Bayer Leverkusen,0,0,2021-05-08,15426,2020,468552,0,0,0,0,0,0.4352174401283264,0.4352174401283264,5219,Aleksandar Dragovic
0,0,0,90,DC,Bayer Leverkusen,Eintracht Frankfurt,3,1,2021-04-24,15412,2020,465534,0,0,0,0,0,0.7648608088493347,0.7648608088493347,5219,Aleksandar Dragovic
0,2,0.11389368027448654,46,Sub,Bayer Leverkusen,Freiburg,1,2,2021-02-28,15341,2020,453243,0,0,0,0,0.11389368027448654,0.5935994386672974,0.4797057509422302,5219,Aleksandar Dragovic
0,0,0,27,Sub,Bayer Leverkusen,VfB Stuttgart,5,2,2021-02-06,15312,2020,447617,0,0,0,0,0,0,0,5219,Aleksandar Dragovic
0,0,0,90,DR,Union Berlin,Bayer Leverkusen,1,0,2021-01-15,15280,2020,441998,0,0,0,0,0,0.4050162434577942,0.4050162434577942,5219,Aleksandar Dragovic
0,0,0,90,DR,Bayer Leverkusen,Werder Bremen,1,1,2021-01-09,15268,2020,440848,0.07613436132669449,0,1,0,0,0.14647182822227478,0.07033747434616089,5219,Aleksandar Dragovic
0,0,0,90,DR,Eintracht Frankfurt,Bayer Leverkusen,2,1,2021-01-02,15260,2020,439061,0,0,0,0,0,0.06123866140842438,0.06123866140842438,5219,Aleksandar Dragovic
0,0,0,90,DR,Bayer Leverkusen,Bayern Munich,1,2,2020-12-19,15250,2020,436090,0,0,0,0,0,0.21221132576465607,0.21221132576465607,5219,Aleksandar Dragovic
0,1,0.018535463139414787,68,DC,FC Cologne,Bayer Leverkusen,0,4,2020-12-16,15241,2020,434984,0.034214746206998825,0,1,0,0.018535463139414787,0.034214746206998825,0,5219,Aleksandar Dragovic
0,0,0,6,Sub,Bayer Leverkusen,Hoffenheim,4,1,2020-12-13,15233,2020,434005,0,0,0,0,0,0.18859560787677765,0.18859560787677765,5219,Aleksandar Dragovic
0,0,0,90,DC,Schalke 04,Bayer Leverkusen,0,3,2020-12-06,15226,2020,432246,0.25097787380218506,0,2,0,0,1.0871267318725586,0.8361489176750183,5219,Aleksandar Dragovic
0,0,0,74,DC,Bayer Leverkusen,Hertha Berlin,0,0,2020-11-29,15215,2020,430395,0.05700370669364929,0,1,0,0,0.062040265649557114,0.062040265649557114,5219,Aleksandar Dragovic
1,1,0.08917473256587982,39,Sub,Arminia Bielefeld,Bayer Leverkusen,1,2,2020-11-21,15207,2020,427876,0,0,0,1,0.08917473256587982,0,0,5219,Aleksandar Dragovic
