goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,2,Sub,Cagliari,Inter,1,3,2022-05-15,17117,2021,536650,0,0,0,0,0,0,0,498,Alexis Sánchez
1,2,1.2230427265167236,5,Sub,Inter,Empoli,4,2,2022-05-06,17109,2021,531850,0,0,0,1,1.2230427265167236,1.3642749786376953,0.5388994812965393,498,Alexis Sánchez
0,1,0.06196089833974838,13,Sub,Udinese,Inter,1,2,2022-05-01,17105,2021,531405,0,0,0,0,0.06196089833974838,0.06196089833974838,0,498,Alexis Sánchez
0,1,0.05554882436990738,23,Sub,Bologna,Inter,2,1,2022-04-27,16947,2021,529951,0.11663369089365005,0,2,0,0.05554882436990738,0.05554882436990738,0,498,Alexis Sánchez
0,0,0,8,Sub,Inter,Roma,3,1,2022-04-23,17090,2021,528766,0,0,0,0,0,0,0,498,Alexis Sánchez
1,3,0.5289022326469421,28,Sub,Spezia,Inter,1,3,2022-04-15,17084,2021,525937,0.19616012275218964,0,2,1,0.5289022326469421,0.8382983803749084,0.17496836185455322,498,Alexis Sánchez
0,1,0.07282717525959015,16,Sub,Inter,Fiorentina,1,1,2022-03-19,17050,2021,521364,0,0,0,0,0.07282717525959015,0.07282717525959015,0.07282717525959015,498,Alexis Sánchez
1,1,0.4137808680534363,21,Sub,Torino,Inter,1,1,2022-03-13,17044,2021,520543,0,0,0,1,0.4137808680534363,1.1347134113311768,0.7209325432777405,498,Alexis Sánchez
0,0,0,73,FW,Genoa,Inter,0,0,2022-02-25,17018,2021,515654,0.010851866565644741,0,1,0,0,0.17148935794830322,0.17148935794830322,498,Alexis Sánchez
0,3,0.17159096896648407,90,FW,Inter,Sassuolo,0,2,2022-02-20,17009,2021,515053,0.046574223786592484,0,1,0,0.17159096896648407,1.3660858869552612,1.1479207277297974,498,Alexis Sánchez
0,0,0,6,Sub,Napoli,Inter,1,1,2022-02-12,17002,2021,512817,0,0,0,0,0,0,0,498,Alexis Sánchez
0,0,0,18,Sub,Inter,AC Milan,1,2,2022-02-05,16989,2021,511221,0,0,0,0,0,0,0,498,Alexis Sánchez
0,0,0,14,Sub,Inter,Venezia,2,1,2022-01-22,16980,2021,509854,0.1572273224592209,0,1,0,0,0.1572273224592209,0,498,Alexis Sánchez
0,1,0.09754078835248947,67,FW,Atalanta,Inter,0,0,2022-01-16,16966,2021,508782,0,0,0,0,0.09754078835248947,0.09754078835248947,0,498,Alexis Sánchez
0,3,0.16655991971492767,74,FW,Inter,Lazio,2,1,2022-01-09,16960,2021,507533,0.15715134143829346,0,2,0,0.16655991971492767,0.4664764106273651,0.37890633940696716,498,Alexis Sánchez
0,2,0.08044064044952393,21,Sub,Inter,Torino,1,0,2021-12-22,16939,2021,504608,0,0,0,0,0.08044064044952393,0.08044064044952393,0,498,Alexis Sánchez
1,1,0.3264518082141876,56,FW,Salernitana,Inter,0,5,2021-12-17,16932,2021,503472,0.33099040389060974,0,1,1,0.3264518082141876,0.9624864459037781,0.6360346078872681,498,Alexis Sánchez
1,6,0.8693285584449768,90,FW,Inter,Cagliari,4,0,2021-12-12,16919,2021,502740,0.058942798525094986,1,2,1,0.8693285584449768,1.3385932445526123,0.5931281447410583,498,Alexis Sánchez
0,1,0.12613412737846375,30,Sub,Roma,Inter,0,3,2021-12-04,16912,2021,500080,0,0,0,0,0.12613412737846375,0.5781668424606323,0.4520326852798462,498,Alexis Sánchez
0,1,0.11379654705524445,15,Sub,Inter,Spezia,2,0,2021-12-01,16901,2021,498800,0.16955164074897766,0,2,0,0.11379654705524445,0.31542959809303284,0.032081421464681625,498,Alexis Sánchez
0,0,0,5,Sub,AC Milan,Inter,1,1,2021-11-07,16870,2021,495180,0,0,0,0,0,0,0,498,Alexis Sánchez
0,1,0.15215648710727692,19,Sub,Inter,Udinese,2,0,2021-10-31,16861,2021,492701,0,0,0,0,0.15215648710727692,0.2250358760356903,0.0728793814778328,498,Alexis Sánchez
0,2,0.18409985303878784,72,FW,Empoli,Inter,0,2,2021-10-27,16847,2021,491568,0.48806652426719666,1,3,0,0.18409985303878784,0.6347439885139465,0,498,Alexis Sánchez
0,0,0,15,Sub,Inter,Juventus,1,1,2021-10-24,16840,2021,490995,0,0,0,0,0,0,0,498,Alexis Sánchez
0,0,0,9,Sub,Inter,Atalanta,2,2,2021-09-25,16808,2021,484887,0.1248345673084259,0,1,0,0,0.1248345673084259,0,498,Alexis Sánchez
