goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,15,Sub,Paris Saint Germain,Metz,5,0,2022-05-21,18197,2021,537546,0.0205276720225811,0,1,0,0,0.19608713686466217,0.19608713686466217,552,Ander Herrera
0,0,0,69,MC,Montpellier,Paris Saint Germain,0,4,2022-05-14,18188,2021,535837,0,0,0,0,0,0.21458157896995544,0.21458157896995544,552,Ander Herrera
0,0,0,13,Sub,Paris Saint Germain,Reims,4,0,2022-01-23,18041,2021,510736,0.03737752512097359,0,1,0,0,0.03737752512097359,0.03737752512097359,552,Ander Herrera
0,2,0.03966560959815979,84,MC,Paris Saint Germain,Brest,2,0,2022-01-15,18026,2021,508322,0.38431835174560547,0,2,0,0.03966560959815979,1.1024383306503296,1.0453705787658691,552,Ander Herrera
0,3,0.0783284604549408,69,MC,Lyon,Paris Saint Germain,1,1,2022-01-09,18021,2021,507603,0.06528407335281372,0,2,0,0.0783284604549408,0.18821251392364502,0.11484704166650772,552,Ander Herrera
0,0,0,75,DMC,Lorient,Paris Saint Germain,1,1,2021-12-22,18004,2021,504707,0.024867890402674675,0,1,0,0,0.27210918068885803,0.27210918068885803,552,Ander Herrera
0,0,0,6,Sub,Paris Saint Germain,Monaco,2,0,2021-12-12,17999,2021,502776,0,0,0,0,0,0.09424605220556259,0.09424605220556259,552,Ander Herrera
0,0,0,90,MC,Bordeaux,Paris Saint Germain,2,3,2021-11-06,17942,2021,494339,0,0,0,0,0,0.9569910168647766,0.9569910168647766,552,Ander Herrera
0,0,0,1,Sub,Paris Saint Germain,Lille,2,1,2021-10-29,17939,2021,491865,0,0,0,0,0,0,0,552,Ander Herrera
0,2,0.08082092553377151,72,MC,Paris Saint Germain,Angers,2,1,2021-10-15,17919,2021,487780,0.12880615890026093,0,1,0,0.08082092553377151,0.20962707698345184,0,552,Ander Herrera
0,0,0,14,Sub,Rennes,Paris Saint Germain,2,0,2021-10-03,17910,2021,486958,0.02759159542620182,0,1,0,0,0.02759159542620182,0,552,Ander Herrera
0,2,0.0982121005654335,90,MC,Paris Saint Germain,Montpellier,2,0,2021-09-25,17897,2021,485063,0.5795297026634216,0,3,0,0.0982121005654335,0.8141140341758728,0.6526495814323425,552,Ander Herrera
0,0,0,25,Sub,Metz,Paris Saint Germain,1,2,2021-09-22,17885,2021,484025,0,0,0,0,0,0.05569549277424812,0.05569549277424812,552,Ander Herrera
0,0,0,89,DMC,Paris Saint Germain,Lyon,2,1,2021-09-19,17879,2021,483166,0.028608106076717377,0,1,0,0,0.5438427925109863,0.5438427925109863,552,Ander Herrera
2,2,0.6014008522033691,90,MC,Paris Saint Germain,Clermont Foot,4,0,2021-09-11,17863,2021,480435,0,0,0,2,0.6014008522033691,1.3203566074371338,0.7189557552337646,552,Ander Herrera
0,0,0,23,Sub,Reims,Paris Saint Germain,0,2,2021-08-29,17861,2021,479896,0,0,0,0,0,0,0,552,Ander Herrera
1,2,0.06563053280115128,90,MC,Brest,Paris Saint Germain,2,4,2021-08-20,17842,2021,476656,0.11885645985603333,1,3,1,0.06563053280115128,0.7300807237625122,0.6644501686096191,552,Ander Herrera
0,0,0,90,MC,Paris Saint Germain,Strasbourg,4,2,2021-08-14,17834,2021,475867,0,0,0,0,0,0.42338934540748596,0.42338934540748596,552,Ander Herrera
0,1,0.04538162052631378,90,MC,Troyes,Paris Saint Germain,1,2,2021-08-07,17824,2021,474800,0.1256330907344818,1,3,0,0.04538162052631378,1.2498537302017212,1.1268929243087769,552,Ander Herrera
