goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.018357161432504654,15,Sub,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332380,0.060161054134368896,0,1,0,0.018357161432504654,0.161555215716362,0.1013941690325737,627,Antonio Valencia
0,0,0,90,DR,Newcastle United,Manchester United,0,2,2019-01-02,9399,2018,303276,0,0,0,0,0,0.18710638582706451,0.18710638582706451,627,Antonio Valencia
0,0,0,90,DR,Manchester United,Wolverhampton Wanderers,1,1,2018-09-22,9248,2018,260264,0,0,0,0,0,0.06029117479920387,0.06029117479920387,627,Antonio Valencia
0,0,0,90,DR,Watford,Manchester United,1,2,2018-09-15,9243,2018,260003,0,0,0,0,0,0.5565555691719055,0.5565555691719055,627,Antonio Valencia
0,0,0,90,DR,Burnley,Manchester United,0,2,2018-09-02,9232,2018,259532,0.24210037291049957,0,2,0,0,0.38079196214675903,0.2412426471710205,627,Antonio Valencia
0,1,0.01900695636868477,90,DMR,Manchester United,Tottenham,0,3,2018-08-27,9226,2018,259356,0.22433732450008392,0,4,0,0.01900695636868477,0.3790731132030487,0.22933368384838104,627,Antonio Valencia
0,0,0,90,DR,West Ham,Manchester United,0,0,2018-05-10,7428,2017,238826,0.1364215612411499,0,2,0,0,0.2709290087223053,0.17240475118160248,627,Antonio Valencia
0,1,0.023175092414021492,90,DR,Manchester United,Arsenal,2,1,2018-04-29,7473,2017,236627,0,0,0,0,0.023175092414021492,0.35981541872024536,0.336640328168869,627,Antonio Valencia
0,0,0,90,DR,Manchester United,West Bromwich Albion,0,1,2018-04-15,7453,2017,232873,0.04486319422721863,0,1,0,0,0.25519633293151855,0.25519633293151855,627,Antonio Valencia
0,0,0,90,DR,Manchester City,Manchester United,2,3,2018-04-07,7445,2017,230417,0,0,0,0,0,0.7957070469856262,0.7957070469856262,627,Antonio Valencia
0,0,0,90,DR,Manchester United,Swansea,2,0,2018-03-31,7435,2017,226862,0.09914131462574005,0,1,0,0,1.1839392185211182,1.084797978401184,627,Antonio Valencia
0,0,0,90,DR,Manchester United,Liverpool,2,1,2018-03-10,7414,2017,222099,0,0,0,0,0,0.4999243915081024,0.4999243915081024,627,Antonio Valencia
0,1,0.024372614920139313,69,DR,Crystal Palace,Manchester United,2,3,2018-03-05,7401,2017,221862,0.23050767183303833,1,4,0,0.024372614920139313,0.08622609078884125,0,627,Antonio Valencia
0,0,0,90,DR,Manchester United,Chelsea,2,1,2018-02-25,7393,2017,219677,0.028135236352682114,0,2,0,0,0.254530131816864,0.23888351023197174,627,Antonio Valencia
0,1,0.02420276775956154,90,DR,Newcastle United,Manchester United,1,0,2018-02-11,7383,2017,215173,0,0,0,0,0.02420276775956154,0.8270406126976013,0.8028378486633301,627,Antonio Valencia
0,1,0.03416447341442108,90,DR,Manchester United,Huddersfield,2,0,2018-02-03,7376,2017,214967,0.1637435406446457,0,2,0,0.03416447341442108,0.3621014654636383,0.32885420322418213,627,Antonio Valencia
0,0,0,90,DR,Tottenham,Manchester United,2,0,2018-01-31,7367,2017,214764,0.11295980960130692,0,2,0,0,0.053210750222206116,0.053210750222206116,627,Antonio Valencia
0,0,0,90,DR,Burnley,Manchester United,0,1,2018-01-20,7351,2017,209183,0.02045099064707756,0,1,0,0,0.02045099064707756,0,627,Antonio Valencia
1,1,0.045972153544425964,90,DR,Manchester United,Stoke,3,0,2018-01-15,7344,2017,208424,0.1452440619468689,0,1,1,0.045972153544425964,0.44945478439331055,0.2582385838031769,627,Antonio Valencia
0,0,0,67,DR,West Bromwich Albion,Manchester United,1,2,2017-12-17,7295,2017,202792,0,0,0,0,0,0.0965859666466713,0.0965859666466713,627,Antonio Valencia
0,1,0.054409805685281754,90,DR,Manchester United,Bournemouth,1,0,2017-12-13,7283,2017,202862,0,0,0,0,0.054409805685281754,0.13756316900253296,0.0831533670425415,627,Antonio Valencia
0,0,0,90,DR,Manchester United,Manchester City,1,2,2017-12-10,7276,2017,198875,0,0,0,0,0,0.5002602338790894,0.5002602338790894,627,Antonio Valencia
