goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.159310445189476,12,Sub,Rennes,Saint-Etienne,2,0,2022-04-30,18167,2021,530889,0,0,0,0,0.159310445189476,0.10473475605249405,0,520,Bakary Sako
0,2,0.06588007509708405,19,Sub,Lorient,Saint-Etienne,6,2,2022-04-08,18127,2021,524242,0,0,0,0,0.06588007509708405,0,0,520,Bakary Sako
0,0,0,7,Sub,Saint-Etienne,Marseille,2,4,2022-04-03,18119,2021,524044,0,0,0,0,0,0,0,520,Bakary Sako
0,0,0,17,Sub,Lille,Saint-Etienne,0,0,2022-03-11,18095,2021,519054,0,0,0,0,0,0,0,520,Bakary Sako
0,0,0,4,Sub,Saint-Etienne,Strasbourg,2,2,2022-02-20,18062,2021,514846,0,0,0,0,0,0,0,520,Bakary Sako
0,1,0.08895459026098251,38,FW,Angers,Saint-Etienne,0,1,2022-01-26,18015,2021,510807,0.013002859428524971,0,1,0,0.08895459026098251,0.10195744782686234,0,520,Bakary Sako
0,1,0.014681386761367321,41,Sub,Lyon,Saint-Etienne,1,0,2022-01-21,18037,2021,509393,0.01870681159198284,0,1,0,0.014681386761367321,0.014681386761367321,0,520,Bakary Sako
0,0,0,2,Sub,Crystal Palace,Bournemouth,5,3,2019-05-12,9574,2018,332268,0,0,0,0,0,0,0,520,Bakary Sako
0,0,0,13,Sub,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330451,0,0,0,0,0,0,0,520,Bakary Sako
0,0,0,3,Sub,Crystal Palace,Manchester City,1,3,2019-04-14,9534,2018,324880,0,0,0,0,0,0,0,520,Bakary Sako
0,0,0,1,Sub,Crystal Palace,Fulham,2,0,2019-02-02,9442,2018,304283,0,0,0,0,0,0,0,520,Bakary Sako
0,0,0,40,ML,West Ham,Crystal Palace,1,1,2018-01-30,7360,2017,215400,0,0,0,0,0,0,0,520,Bakary Sako
0,2,0.057754360139369965,90,FW,Arsenal,Crystal Palace,4,1,2018-01-20,7349,2017,209139,0.14967036247253418,0,1,0,0.057754360139369965,0.20742473006248474,0.14967036247253418,520,Bakary Sako
1,6,0.3394901156425476,90,FW,Crystal Palace,Burnley,1,0,2018-01-13,7341,2017,207666,0.14855258166790009,0,2,1,0.3394901156425476,0.6005704998970032,0.2803528904914856,520,Bakary Sako
0,1,0.01979140006005764,24,Sub,Southampton,Crystal Palace,1,2,2018-01-02,7336,2017,206571,0,0,0,0,0.01979140006005764,0.04365392029285431,0.02386252023279667,520,Bakary Sako
0,2,0.18675635755062103,19,Sub,Crystal Palace,Arsenal,2,3,2017-12-28,7311,2017,205839,0.4067009389400482,0,1,0,0.18675635755062103,0.5934573411941528,0,520,Bakary Sako
0,0,0,13,Sub,Swansea,Crystal Palace,1,1,2017-12-23,7299,2017,202584,0.009926702827215195,0,1,0,0,0.009926702827215195,0,520,Bakary Sako
1,1,0.11064554750919342,1,Sub,Leicester,Crystal Palace,0,3,2017-12-16,7294,2017,202611,0,0,0,1,0.11064554750919342,0.11064554750919342,0,520,Bakary Sako
