goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,14,Sub,Sassuolo,AC Milan,0,3,2022-05-22,17132,2021,538062,0,0,0,0,0,0,0,6421,Brahim Diaz
0,0,0,57,AMC,AC Milan,Fiorentina,1,0,2022-05-01,17100,2021,531108,0.06360521912574768,0,1,0,0,0.5251446962356567,0.46153947710990906,6421,Brahim Diaz
0,2,0.09681100398302078,70,AMC,Lazio,AC Milan,1,2,2022-04-24,17091,2021,529737,0.08419150859117508,0,2,0,0.09681100398302078,0.1525888741016388,0.06839737296104431,6421,Brahim Diaz
0,0,0,1,Sub,AC Milan,Genoa,2,0,2022-04-15,17081,2021,525954,0,0,0,0,0,0,0,6421,Brahim Diaz
0,0,0,55,AMC,Torino,AC Milan,0,0,2022-04-10,17074,2021,525746,0,0,0,0,0,0,0,6421,Brahim Diaz
0,2,0.07847654074430466,90,AMC,AC Milan,Bologna,0,0,2022-04-04,17061,2021,523921,0.2558472156524658,0,3,0,0.07847654074430466,0.586696445941925,0.2687975764274597,6421,Brahim Diaz
0,1,0.35034558176994324,72,AMC,Cagliari,AC Milan,0,1,2022-03-19,17047,2021,521469,0.08111368119716644,0,3,0,0.35034558176994324,0.6464883685112,0.21502912044525146,6421,Brahim Diaz
0,0,0,16,Sub,AC Milan,Empoli,1,0,2022-03-12,17040,2021,519605,0,0,0,0,0,0,0,6421,Brahim Diaz
0,0,0,86,AMC,AC Milan,Udinese,1,1,2022-02-25,17021,2021,515488,0.12115012854337692,0,2,0,0,0.12115012854337692,0,6421,Brahim Diaz
0,0,0,64,AMC,Salernitana,AC Milan,2,2,2022-02-19,17012,2021,514517,0,0,0,0,0,0.12578588724136353,0.12578588724136353,6421,Brahim Diaz
0,0,0,62,AMC,AC Milan,Sampdoria,1,0,2022-02-13,17001,2021,513009,0,0,0,0,0,0,0,6421,Brahim Diaz
0,1,0.07667944580316544,30,Sub,Inter,AC Milan,1,2,2022-02-05,16989,2021,511237,0.08265187591314316,0,1,0,0.07667944580316544,0.23840439319610596,0.07907307893037796,6421,Brahim Diaz
0,0,0,62,AMC,AC Milan,Juventus,0,0,2022-01-23,16982,2021,510699,0,0,0,0,0,0.05808369442820549,0.05808369442820549,6421,Brahim Diaz
0,0,0,72,AMC,AC Milan,Spezia,1,2,2022-01-17,16970,2021,508828,0.23518608510494232,0,1,0,0,0.4915542006492615,0.25636813044548035,6421,Brahim Diaz
0,1,0.0829373449087143,73,AMC,Venezia,AC Milan,0,3,2022-01-09,16965,2021,507043,0,0,0,0,0.0829373449087143,0.45909959077835083,0.37616223096847534,6421,Brahim Diaz
0,2,0.10452363640069962,90,AMC,AC Milan,Roma,3,1,2022-01-06,16951,2021,506431,0.05814449116587639,0,1,0,0.10452363640069962,0.29942643642425537,0.18876303732395172,6421,Brahim Diaz
0,0,0,8,Sub,Empoli,AC Milan,2,4,2021-12-22,16936,2021,504774,0,0,0,0,0,0,0,6421,Brahim Diaz
0,0,0,63,AMC,AC Milan,Napoli,0,1,2021-12-19,16931,2021,504328,0,0,0,0,0,0,0,6421,Brahim Diaz
0,2,0.16760069131851196,82,AMC,Udinese,AC Milan,1,1,2021-12-11,16924,2021,502025,0,0,0,0,0.16760069131851196,0.18748362362384796,0.12445573508739471,6421,Brahim Diaz
0,5,1.5349233150482178,90,AMC,AC Milan,Salernitana,2,0,2021-12-04,16910,2021,499708,0.4848165810108185,1,5,0,1.5349233150482178,2.123112440109253,0.18675783276557922,6421,Brahim Diaz
0,2,0.16103407740592957,81,AMC,Genoa,AC Milan,0,3,2021-12-01,16899,2021,499080,0.2670610249042511,1,3,0,0.16103407740592957,0.5515685677528381,0.17466765642166138,6421,Brahim Diaz
0,0,0,47,AMC,AC Milan,Sassuolo,1,3,2021-11-28,16889,2021,497960,0,0,0,0,0,0,0,6421,Brahim Diaz
0,0,0,59,AMC,Fiorentina,AC Milan,4,3,2021-11-20,16878,2021,496106,0.09498270601034164,0,1,0,0,0.24998970329761505,0.155007004737854,6421,Brahim Diaz
0,0,0,60,AMR,AC Milan,Inter,1,1,2021-11-07,16870,2021,495158,0,0,0,0,0,0,0,6421,Brahim Diaz
0,2,0.19359338283538818,75,AMC,Atalanta,AC Milan,2,3,2021-10-03,16816,2021,487672,0.05159934610128403,0,1,0,0.19359338283538818,0.2451927214860916,0,6421,Brahim Diaz
1,1,0.48070546984672546,8,Sub,Spezia,AC Milan,1,2,2021-09-25,16812,2021,484482,0.026222657412290573,0,1,1,0.48070546984672546,0.5209633111953735,0.014035182073712349,6421,Brahim Diaz
1,2,0.8674423694610596,81,AMC,AC Milan,Venezia,2,0,2021-09-22,16800,2021,483882,0.06336191296577454,0,1,1,0.8674423694610596,1.0068304538726807,0.07602617144584656,6421,Brahim Diaz
0,1,0.011729433201253414,90,AMC,Juventus,AC Milan,1,1,2021-09-19,16790,2021,483211,0.16210627555847168,0,3,0,0.011729433201253414,0.4728195369243622,0.3107132613658905,6421,Brahim Diaz
