goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.010184427723288536,29,MC,Stoke,Everton,1,2,2018-03-17,7425,2017,223989,0,0,0,0,0.010184427723288536,0.03782344236969948,0.02763901650905609,873,Charlie Adam
0,1,0.05116378888487816,14,Sub,Leicester,Stoke,1,1,2018-02-24,7396,2017,218984,0,0,0,0,0.05116378888487816,0,0,873,Charlie Adam
0,1,0.7611688375473022,9,Sub,Stoke,Brighton,1,1,2018-02-10,7385,2017,215227,0.08800321817398071,0,1,0,0,0,0,873,Charlie Adam
0,2,0.13454900681972504,63,DMC,Stoke,Watford,0,0,2018-01-31,7368,2017,215547,0.09360115975141525,0,1,0,0.13454900681972504,0.19786059856414795,0,873,Charlie Adam
0,1,0.012923375703394413,72,DMC,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209256,0,0,0,0,0.012923375703394413,0.1871810406446457,0.17425766587257385,873,Charlie Adam
0,2,0.05101335793733597,90,MC,Stoke,Newcastle United,0,1,2018-01-01,7337,2017,206635,0.5729506015777588,0,1,0,0.05101335793733597,0.46828770637512207,0.4628909230232239,873,Charlie Adam
0,0,0,84,DMC,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206235,0.28218045830726624,0,1,0,0,0.28218045830726624,0,873,Charlie Adam
0,0,0,11,Sub,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205662,0,0,0,0,0,0,0,873,Charlie Adam
0,1,0.043472256511449814,25,Sub,Stoke,West Ham,0,3,2017-12-16,7297,2017,202709,0.49420657753944397,0,2,0,0.043472256511449814,0.5376788377761841,0.4470135271549225,873,Charlie Adam
0,0,0,4,Sub,Stoke,Liverpool,0,3,2017-11-29,7258,2017,179379,0,0,0,0,0,0,0,873,Charlie Adam
0,1,0.21524184942245483,1,Sub,Watford,Stoke,0,1,2017-10-28,7216,2017,177993,0,0,0,0,0.21524184942245483,0.21524184942245483,0,873,Charlie Adam
0,2,0.031566064804792404,8,Sub,Stoke,West Ham,0,0,2017-04-29,3485,2016,134496,0,0,0,0,0.031566064804792404,0.06475618481636047,0.03319011628627777,873,Charlie Adam
