goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,8,Sub,Brighton,Chelsea,0,4,2018-01-20,7350,2017,208918,0.5417491793632507,1,1,0,0,0.5417491793632507,0.5417491793632507,2147,Charly Musonda
0,2,0.11084023118019104,23,Sub,Crystal Palace,Chelsea,2,1,2017-10-14,7191,2017,178379,0,0,0,0,0.11084023118019104,0.16867531836032867,0.057835087180137634,2147,Charly Musonda
0,0,0,1,Sub,Chelsea,Burnley,2,3,2017-08-12,7123,2017,175858,0,0,0,0,0,0,0,2147,Charly Musonda
0,0,0,11,Sub,Real Betis,Las Palmas,2,0,2016-11-18,2786,2016,153744,0,0,0,0,0,0,0,2147,Charly Musonda
0,0,0,20,Sub,Real Sociedad,Real Betis,1,0,2016-09-30,1839,2016,152315,0,0,0,0,0,0,0,2147,Charly Musonda
0,2,0.07498447597026825,90,MR,Real Betis,Malaga,1,0,2016-09-23,1829,2016,151989,0.28487828373908997,1,2,0,0.07498447597026825,0.47061312198638916,0.24606764316558838,2147,Charly Musonda
0,0,0,20,Sub,Sevilla,Real Betis,1,0,2016-09-21,1820,2016,151729,0.026382843032479286,0,1,0,0,0.10773347318172455,0.08135063201189041,2147,Charly Musonda
0,2,0.07356102764606476,55,Sub,Real Betis,Granada,2,2,2016-09-16,1809,2016,151408,0.5697901248931885,0,4,0,0.07356102764606476,1.1286652088165283,0.48531410098075867,2147,Charly Musonda
0,1,0.06079595908522606,19,Sub,Valencia,Real Betis,2,3,2016-09-11,1806,2016,151145,0,0,0,0,0.06079595908522606,0.6716127395629883,0.6716127395629883,2147,Charly Musonda
0,1,0.01668187789618969,21,Sub,Real Betis,Deportivo La Coruna,0,0,2016-08-26,1789,2016,150823,0.02238175831735134,0,1,0,0.01668187789618969,0.01668187789618969,0,2147,Charly Musonda
0,0,0,34,Sub,Barcelona,Real Betis,6,2,2016-08-20,1781,2016,150697,0,0,0,0,0,0,0,2147,Charly Musonda
0,0,0,44,Sub,Real Betis,Getafe,2,1,2016-05-15,1776,2015,103166,0,0,0,0,0,0.12489579617977142,0.12489579617977142,2147,Charly Musonda
0,0,0,89,AMR,Eibar,Real Betis,1,1,2016-05-08,1766,2015,103705,0.029878990724682808,0,1,0,0,0.7164154052734375,0.6865363717079163,2147,Charly Musonda
0,0,0,34,Sub,Real Betis,Barcelona,0,2,2016-04-30,1752,2015,102887,0,0,0,0,0,0,0,2147,Charly Musonda
0,0,0,51,AMR,Sevilla,Real Betis,2,0,2016-04-24,1745,2015,103204,0,0,0,0,0,0,0,2147,Charly Musonda
0,2,0.04681697115302086,37,Sub,Real Betis,Las Palmas,1,0,2016-04-19,1730,2015,102052,0,0,0,0,0.04681697115302086,0.47102823853492737,0.4242112636566162,2147,Charly Musonda
0,1,0.014748695306479931,90,AML,Celta Vigo,Real Betis,1,1,2016-04-17,1723,2015,101345,0,0,0,0,0.014748695306479931,0.07443920522928238,0.05969051271677017,2147,Charly Musonda
0,0,0,90,ML,Real Betis,Levante,1,0,2016-04-10,1713,2015,102021,0.0682533010840416,0,2,0,0,0.5351182222366333,0.4668649137020111,2147,Charly Musonda
0,1,0.027424216270446777,72,AMR,Atletico Madrid,Real Betis,5,1,2016-04-02,1700,2015,100730,0,0,0,0,0.027424216270446777,0.040797557681798935,0.013373342342674732,2147,Charly Musonda
0,1,0.030029283836483955,90,ML,Real Betis,Malaga,0,1,2016-03-20,1694,2015,101218,0,0,0,0,0.030029283836483955,0.4527026116847992,0.4226733148097992,2147,Charly Musonda
0,0,0,90,ML,Athletic Club,Real Betis,3,1,2016-03-13,1686,2015,101456,0,0,0,0,0,0.2551012635231018,0.2551012635231018,2147,Charly Musonda
0,1,0.05873645842075348,90,AMR,Real Betis,Granada,2,0,2016-03-06,1673,2015,102132,0.08277586102485657,0,1,0,0.05873645842075348,0.15838384628295898,0.016871530562639236,2147,Charly Musonda
0,0,0,90,AML,Espanyol,Real Betis,0,3,2016-03-03,1667,2015,100844,0.6544234156608582,1,3,0,0,0.18969689309597015,0.03274114802479744,2147,Charly Musonda
0,2,0.0895867645740509,90,ML,Real Betis,Rayo Vallecano,2,2,2016-02-27,1653,2015,100413,0.03843413293361664,0,1,0,0.0895867645740509,0.578643262386322,0.4775903820991516,2147,Charly Musonda
0,4,0.18905889987945557,90,MR,Real Betis,Sporting Gijon,1,1,2016-02-20,1642,2015,100133,0.17170001566410065,0,3,0,0.18905889987945557,0.41234704852104187,0.19991490244865417,2147,Charly Musonda
1,1,0.41370898485183716,90,MR,Deportivo La Coruna,Real Betis,2,2,2016-02-14,1632,2015,99841,0,0,0,1,0.41370898485183716,0.41370898485183716,0,2147,Charly Musonda
0,1,0.02085920050740242,90,MR,Real Betis,Valencia,1,0,2016-02-07,1624,2015,99354,0.07320541888475418,0,1,0,0.02085920050740242,0.7782397270202637,0.6841750741004944,2147,Charly Musonda
