goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DL,Huddersfield,Manchester United,1,1,2019-05-05,9561,2018,330789,0,0,1,0,0,0,0,6032,Chris Löwe
0,1,0.010153762064874172,24,Sub,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328045,0,0,0,0,0.010153762064874172,0.010153762064874172,0,6032,Chris Löwe
0,0,0,8,Sub,Huddersfield,Watford,1,2,2019-04-20,9541,2018,326043,0.5526081919670105,1,1,0,0,0.5526081919670105,0,6032,Chris Löwe
0,1,0.015785882249474525,90,ML,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324032,0,0,0,0,0.015785882249474525,0.16963191330432892,0.15384604036808014,6032,Chris Löwe
0,1,0.04347584396600723,90,ML,Huddersfield,Leicester,1,4,2019-04-06,9523,2018,322578,0.05339951813220978,0,2,0,0.04347584396600723,0.04347584396600723,0,6032,Chris Löwe
0,3,0.10270465165376663,80,AML,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317936,0.022123726084828377,0,1,0,0.10270465165376663,0.14451663196086884,0.032727982848882675,6032,Chris Löwe
0,1,0.01680777594447136,90,AML,West Ham,Huddersfield,4,3,2019-03-16,9498,2018,316389,0,0,0,0,0.01680777594447136,0.03606240078806877,0.03606240078806877,6032,Chris Löwe
0,0,0,42,Sub,Huddersfield,Bournemouth,0,2,2019-03-09,9492,2018,314494,0,0,0,0,0,0.1163620799779892,0.1163620799779892,6032,Chris Löwe
0,1,0.013512648642063141,90,DL,Newcastle United,Huddersfield,2,0,2019-02-23,9458,2018,304838,0.1103968620300293,0,1,0,0.013512648642063141,0.12390951067209244,0.1103968620300293,6032,Chris Löwe
0,0,0,90,DL,Chelsea,Huddersfield,5,0,2019-02-02,9443,2018,304232,0.057670313864946365,0,1,0,0,0.17322012782096863,0.11554982513189316,6032,Chris Löwe
0,0,0,7,Sub,Huddersfield,Everton,0,1,2019-01-29,9428,2018,303929,0,0,0,0,0,0,0,6032,Chris Löwe
0,0,0,90,DL,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303811,0,0,0,0,0,0.5888698697090149,0.5888698697090149,6032,Chris Löwe
0,0,0,16,Sub,Huddersfield,Burnley,1,2,2019-01-02,9401,2018,303219,0,0,0,0,0,0,0,6032,Chris Löwe
0,1,0.041705407202243805,90,DML,Fulham,Huddersfield,1,0,2018-12-29,9393,2018,291443,0,0,0,0,0.041705407202243805,0.041705407202243805,0,6032,Chris Löwe
0,0,0,32,Sub,Manchester United,Huddersfield,3,1,2018-12-26,9380,2018,279084,0,0,0,0,0,0,0,6032,Chris Löwe
0,0,0,48,ML,Huddersfield,Southampton,1,3,2018-12-22,9371,2018,278869,0,0,0,0,0,0,0,6032,Chris Löwe
0,2,0.07727918028831482,62,DML,Huddersfield,Newcastle United,0,1,2018-12-15,9363,2018,278563,0.2666805386543274,0,3,0,0.07727918028831482,0.07727918028831482,0,6032,Chris Löwe
0,2,0.03118494711816311,90,AML,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278330,0,0,0,0,0.03118494711816311,0.06858311593532562,0.03739817067980766,6032,Chris Löwe
0,0,0,44,DML,Huddersfield,West Ham,1,1,2018-11-10,9311,2018,277203,0,0,0,0,0,0,0,6032,Chris Löwe
0,0,0,90,ML,Huddersfield,Fulham,1,0,2018-11-05,9306,2018,277067,0.10120292007923126,0,1,0,0,0.05346725136041641,0.05346725136041641,6032,Chris Löwe
