goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,4,Sub,Crystal Palace,Tottenham,0,1,2018-02-25,7397,2017,219661,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Manchester United,Crystal Palace,4,0,2017-09-30,7180,2017,178120,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,1,Sub,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135240,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,13,Sub,Manchester City,Crystal Palace,5,0,2017-05-06,3497,2016,135087,0,0,0,0,0,0,0,511,Damien Delaney
0,1,0.05390177294611931,90,DC,Crystal Palace,Burnley,0,2,2017-04-29,3480,2016,134350,0,0,0,0,0.05390177294611931,0.04054694622755051,0.04054694622755051,511,Damien Delaney
0,0,0,32,Sub,Crystal Palace,Tottenham,0,1,2017-04-26,3415,2016,132491,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,5,Sub,Liverpool,Crystal Palace,1,2,2017-04-23,3476,2016,134263,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,1,Sub,Crystal Palace,Arsenal,3,0,2017-04-10,3459,2016,133147,0,0,0,0,0,0.04934887960553169,0.04934887960553169,511,Damien Delaney
0,0,0,31,Sub,Southampton,Crystal Palace,3,1,2017-04-05,3447,2016,132837,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,28,Sub,Chelsea,Crystal Palace,1,2,2017-04-01,3432,2016,132532,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,2,Sub,Crystal Palace,Watford,1,0,2017-03-18,3428,2016,133174,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Stoke,Crystal Palace,1,0,2017-02-11,3383,2016,131057,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,49,DC,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129393,0.5487738251686096,0,1,0,0,0.06698835641145706,0.06698835641145706,511,Damien Delaney
0,0,0,90,DC,Bournemouth,Crystal Palace,0,2,2017-01-31,3361,2016,132140,0.5516468286514282,1,1,0,0,0.015617810189723969,0.015617810189723969,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Everton,0,1,2017-01-21,3353,2016,131541,0,0,0,0,0,0,0,511,Damien Delaney
0,1,0.03921975940465927,90,DC,West Ham,Crystal Palace,3,0,2017-01-14,3346,2016,131194,0,0,0,0,0.03921975940465927,0.07052657753229141,0.07052657753229141,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Swansea,1,2,2017-01-04,3337,2016,131208,0.048941947519779205,0,1,0,0,0.048941947519779205,0,511,Damien Delaney
0,0,0,90,DC,Watford,Crystal Palace,1,1,2016-12-26,3145,2016,129905,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Chelsea,0,1,2016-12-17,3135,2016,131654,0.0664365142583847,0,1,0,0,0.0664365142583847,0.0664365142583847,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131015,0.42520904541015625,1,1,0,0,0.44789743423461914,0.022688403725624084,511,Damien Delaney
0,0,0,90,DC,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129821,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Southampton,3,0,2016-12-03,3106,2016,128400,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Burnley,Crystal Palace,3,2,2016-11-05,2688,2016,127974,0,0,0,0,0,0.014800326898694038,0.014800326898694038,511,Damien Delaney
0,1,0.008424758911132812,90,DC,Leicester,Crystal Palace,3,1,2016-10-22,544,2016,127253,0,0,0,0,0.008424758911132812,0.3314930200576782,0.3314930200576782,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,West Ham,0,1,2016-10-15,537,2016,127710,0,0,0,0,0,0.0157641414552927,0.0157641414552927,511,Damien Delaney
0,0,0,90,DC,Everton,Crystal Palace,1,1,2016-09-30,521,2016,127060,0,0,0,0,0,0,0,511,Damien Delaney
0,1,0.09581746906042099,90,DC,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126733,0,0,0,0,0.09581746906042099,0.17634110152721405,0.17634110152721405,511,Damien Delaney
0,0,0,43,Sub,Crystal Palace,Stoke,4,1,2016-09-18,508,2016,126285,0,0,0,0,0,0.07985372841358185,0.07985372841358185,511,Damien Delaney
0,1,0.0170623529702425,90,DC,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126123,0,0,0,0,0.0170623529702425,0.031646013259887695,0.031646013259887695,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Bournemouth,1,1,2016-08-27,486,2016,125719,0.05359892547130585,0,1,0,0,0.18065623939037323,0.12705731391906738,511,Damien Delaney
0,0,0,84,DC,Tottenham,Crystal Palace,1,0,2016-08-20,475,2016,125593,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,West Bromwich Albion,0,1,2016-08-13,462,2016,124979,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Southampton,Crystal Palace,4,1,2016-05-15,455,2015,57788,0,0,0,0,0,0.01784246228635311,0.01784246228635311,511,Damien Delaney
0,1,0.0628247857093811,90,DC,Crystal Palace,Stoke,2,1,2016-05-07,438,2015,62229,0,0,0,0,0.0628247857093811,0.5523295402526855,0.5523295402526855,511,Damien Delaney
0,1,0.022124644368886948,90,DC,Newcastle United,Crystal Palace,1,0,2016-04-30,428,2015,63231,0,0,0,0,0.022124644368886948,0,0,511,Damien Delaney
0,0,0,90,DC,Manchester United,Crystal Palace,2,0,2016-04-20,417,2015,67399,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Arsenal,Crystal Palace,1,1,2016-04-17,413,2015,67537,0,0,0,0,0,0,0,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Everton,0,0,2016-04-13,404,2015,63245,0,0,0,0,0,0.08423048257827759,0.08423048257827759,511,Damien Delaney
0,2,0.0669044777750969,90,DC,Crystal Palace,Norwich,1,0,2016-04-09,399,2015,66692,0.6637944579124451,0,2,0,0.0669044777750969,0,0,511,Damien Delaney
1,1,0.2712245285511017,90,DC,West Ham,Crystal Palace,2,2,2016-04-02,390,2015,66486,0,0,0,1,0.2712245285511017,0,0,511,Damien Delaney
0,1,0.10479249060153961,90,DC,Crystal Palace,Leicester,0,1,2016-03-19,375,2015,66197,0,0,0,0,0.10479249060153961,0.03406039625406265,0.03406039625406265,511,Damien Delaney
0,1,0.043609488755464554,90,DC,Crystal Palace,Liverpool,1,2,2016-03-06,367,2015,65838,0,0,0,0,0.043609488755464554,0,0,511,Damien Delaney
0,1,0.09786699712276459,90,DC,Sunderland,Crystal Palace,2,2,2016-03-01,352,2015,67231,0,0,0,0,0.09786699712276459,0,0,511,Damien Delaney
0,0,0,90,DC,West Bromwich Albion,Crystal Palace,3,2,2016-02-27,346,2015,66458,0.5876371264457703,1,1,0,0,0.5876371264457703,0,511,Damien Delaney
0,2,0.053621310740709305,90,DC,Crystal Palace,Watford,1,2,2016-02-13,335,2015,61102,0.023643940687179565,0,1,0,0.053621310740709305,0.03290079906582832,0,511,Damien Delaney
0,0,0,90,DC,Swansea,Crystal Palace,1,1,2016-02-06,325,2015,59493,0.5437346696853638,1,1,0,0,0.07304518669843674,0.07304518669843674,511,Damien Delaney
0,0,0,90,DC,Crystal Palace,Bournemouth,1,2,2016-02-03,316,2015,60606,0,0,0,0,0,0.10268203169107437,0.10268203169107437,511,Damien Delaney
0,1,0.08626692742109299,90,DC,Crystal Palace,Tottenham,1,3,2016-01-23,302,2015,59672,0.2817339599132538,0,1,0,0.08626692742109299,0.2817339599132538,0,511,Damien Delaney
