goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,83,Sub,Swansea,Stoke,1,2,2018-05-13,7491,2017,240089,0.1161099299788475,0,2,0,0,0.1161099299788475,0.04735318198800087,809,Darren Fletcher
0,0,0,22,Sub,Liverpool,Stoke,0,0,2018-04-28,7472,2017,235541,0,0,0,0,0,0,0,809,Darren Fletcher
0,0,0,48,MC,Stoke,Brighton,1,1,2018-02-10,7385,2017,215220,0,0,0,0,0,0.0177057646214962,0.0177057646214962,809,Darren Fletcher
0,0,0,90,DMC,Stoke,Watford,0,0,2018-01-31,7368,2017,215548,0,0,0,0,0,0.09360115975141525,0.09360115975141525,809,Darren Fletcher
0,0,0,90,DMC,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209257,0,0,0,0,0,0.10885979235172272,0.10885979235172272,809,Darren Fletcher
0,0,0,90,DMC,Manchester United,Stoke,3,0,2018-01-15,7344,2017,208442,0.04514572396874428,0,1,0,0,0.5559279918670654,0.5107822418212891,809,Darren Fletcher
0,0,0,90,DMC,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206234,0,0,0,0,0,0,0,809,Darren Fletcher
0,0,0,79,DMC,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205655,0.30480408668518066,0,1,0,0,0,0,809,Darren Fletcher
0,2,0.04381129890680313,69,DMC,Stoke,West Bromwich Albion,3,1,2017-12-23,7306,2017,205448,0,0,0,0,0.04381129890680313,0.04381129890680313,0,809,Darren Fletcher
0,0,0,65,MC,Stoke,West Ham,0,3,2017-12-16,7297,2017,202702,0.04784584790468216,0,2,0,0,0.04784584790468216,0.023992370814085007,809,Darren Fletcher
0,1,0.012466705404222012,90,MC,Burnley,Stoke,1,0,2017-12-12,7279,2017,202633,0,0,0,0,0.012466705404222012,0.14657136797904968,0.1341046690940857,809,Darren Fletcher
0,0,0,90,MC,Tottenham,Stoke,5,1,2017-12-09,7270,2017,199006,0.3590594530105591,1,1,0,0,0,0,809,Darren Fletcher
0,0,0,72,MC,Stoke,Swansea,2,1,2017-12-02,7263,2017,178688,0,0,0,0,0,0.04276628419756889,0.04276628419756889,809,Darren Fletcher
0,1,0.026088686659932137,86,MC,Stoke,Liverpool,0,3,2017-11-29,7258,2017,179373,0,0,0,0,0.026088686659932137,0.4682729244232178,0.4421842396259308,809,Darren Fletcher
0,0,0,90,MC,Crystal Palace,Stoke,2,1,2017-11-25,7246,2017,179194,0.25968292355537415,0,3,0,0,0.25968292355537415,0.06017697975039482,809,Darren Fletcher
0,0,0,90,MC,Brighton,Stoke,2,2,2017-11-20,7238,2017,179746,0.12239228188991547,0,4,0,0,0.2981971800327301,0.2859007716178894,809,Darren Fletcher
0,0,0,90,MC,Stoke,Leicester,2,2,2017-11-04,7224,2017,179235,0.02922552265226841,0,1,0,0,0.4152052402496338,0.38597971200942993,809,Darren Fletcher
1,1,0.01705801486968994,90,MC,Watford,Stoke,0,1,2017-10-28,7216,2017,177987,0,0,0,1,0.01705801486968994,0,0,809,Darren Fletcher
0,0,0,90,MC,Stoke,Bournemouth,1,2,2017-10-21,7205,2017,177370,0.11171100288629532,0,2,0,0,0.26542115211486816,0.26542115211486816,809,Darren Fletcher
0,0,0,90,MC,Manchester City,Stoke,7,2,2017-10-14,7194,2017,178458,0,0,0,0,0,0,0,809,Darren Fletcher
0,2,0.10304991900920868,90,MC,Stoke,Southampton,2,1,2017-09-30,7181,2017,178221,0.028215674683451653,0,1,0,0.10304991900920868,0.18539096415042877,0.09805818647146225,809,Darren Fletcher
0,1,0.034232862293720245,90,MC,Stoke,Chelsea,0,4,2017-09-23,7170,2017,177671,0.06485895812511444,0,1,0,0.034232862293720245,0.09152703732252121,0.09152703732252121,809,Darren Fletcher
0,0,0,90,MC,Newcastle United,Stoke,2,1,2017-09-16,7163,2017,176530,0.010087041184306145,0,1,0,0,0.07350162416696548,0.06341458857059479,809,Darren Fletcher
0,0,0,90,MC,Stoke,Manchester United,2,2,2017-09-09,7155,2017,177233,0,0,0,0,0,0.9003162384033203,0.9003162384033203,809,Darren Fletcher
0,1,0.015432248823344707,90,MC,West Bromwich Albion,Stoke,1,1,2017-08-27,7146,2017,176668,0.030305132269859314,0,1,0,0.015432248823344707,0.23057737946510315,0.18484000861644745,809,Darren Fletcher
0,1,0.015106518752872944,90,MC,Stoke,Arsenal,1,0,2017-08-19,7135,2017,176238,0.16288572549819946,0,2,0,0.015106518752872944,0.31562188267707825,0.21178781986236572,809,Darren Fletcher
0,1,0.022010667249560356,90,MC,Everton,Stoke,1,0,2017-08-12,7125,2017,175921,0,0,0,0,0.022010667249560356,0.09051887691020966,0.06850821524858475,809,Darren Fletcher
0,0,0,90,MC,Swansea,West Bromwich Albion,2,1,2017-05-21,3518,2016,125379,0.5389419794082642,1,2,0,0,0.470058798789978,0.15377061069011688,809,Darren Fletcher
0,0,0,90,MC,Manchester City,West Bromwich Albion,3,1,2017-05-16,3477,2016,134288,0,0,0,0,0,0.31508442759513855,0.31508442759513855,809,Darren Fletcher
0,1,0.020023176446557045,90,DMC,West Bromwich Albion,Chelsea,0,1,2017-05-12,3508,2016,133992,0.011441615410149097,0,1,0,0.020023176446557045,0.03146479278802872,0,809,Darren Fletcher
0,0,0,90,DMC,Burnley,West Bromwich Albion,2,2,2017-05-06,3492,2016,134805,0.05097568780183792,0,1,0,0,0.05097568780183792,0.05097568780183792,809,Darren Fletcher
