goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.11769122630357742,90,DR,Norwich,Watford,0,2,2019-11-08,11757,2019,362818,0,0,0,0,0.11769122630357742,0.23367272317409515,0.23367272317409515,764,Daryl Janmaat
0,0,0,76,DR,Watford,Chelsea,1,2,2019-11-02,11751,2019,361749,0.04351761192083359,0,2,0,0,0.04351761192083359,0.015763165429234505,764,Daryl Janmaat
0,0,0,90,DR,Watford,Bournemouth,0,0,2019-10-26,11741,2019,359420,0,0,0,0,0,0.03544945642352104,0.03544945642352104,764,Daryl Janmaat
0,1,0.15552987158298492,75,DR,Tottenham,Watford,1,1,2019-10-19,11731,2019,357823,0.30203521251678467,1,1,0,0.15552987158298492,0.5598479509353638,0.10228283703327179,764,Daryl Janmaat
0,0,0,90,DR,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356248,0.03508831560611725,0,2,0,0,0.6442421674728394,0.6343627572059631,764,Daryl Janmaat
0,0,0,90,DR,Wolverhampton Wanderers,Watford,2,0,2019-09-28,11705,2019,354708,0.017688971012830734,0,1,0,0,0.152902752161026,0.13521377742290497,764,Daryl Janmaat
0,1,0.040846262127161026,10,Sub,Watford,Arsenal,2,2,2019-09-15,11691,2019,349857,0,0,0,0,0.040846262127161026,0.11719032377004623,0.11719032377004623,764,Daryl Janmaat
0,1,0.016697606071829796,90,DMR,Newcastle United,Watford,1,1,2019-08-31,11679,2019,347556,0,0,0,0,0.016697606071829796,0.016697606071829796,0,764,Daryl Janmaat
0,2,0.03805287927389145,90,DR,Watford,Southampton,1,1,2019-04-23,9499,2018,327306,0.07944414764642715,1,1,0,0.03805287927389145,0.2156200408935547,0.09812301397323608,764,Daryl Janmaat
0,1,0.027400298044085503,90,DR,Watford,Arsenal,0,1,2019-04-15,9527,2018,325288,0.04274981841444969,0,1,0,0.027400298044085503,0.08908333629369736,0.018933219835162163,764,Daryl Janmaat
0,0,0,42,Sub,Watford,Fulham,4,1,2019-04-02,9518,2018,321614,0.03351082280278206,0,1,0,0,0.1290244311094284,0.09551361203193665,764,Daryl Janmaat
0,2,0.09615270048379898,58,DR,Manchester United,Watford,2,1,2019-03-30,9509,2018,317846,0.07904677093029022,0,1,0,0.09615270048379898,0.26560723781585693,0.15131032466888428,764,Daryl Janmaat
0,0,0,90,DR,Manchester City,Watford,3,1,2019-03-09,9489,2018,314694,0,0,0,0,0,0,0,764,Daryl Janmaat
0,0,0,90,DR,Watford,Leicester,2,1,2019-03-03,9479,2018,305404,0,0,0,0,0,0,0,764,Daryl Janmaat
0,1,0.0804082602262497,90,DR,Liverpool,Watford,5,0,2019-02-27,9476,2018,305140,0,0,0,0,0.0804082602262497,0.12963269650936127,0.04922443628311157,764,Daryl Janmaat
0,1,0.034583430737257004,90,DR,Cardiff,Watford,1,5,2019-02-22,9463,2018,304754,0,0,0,0,0.034583430737257004,0.5805938839912415,0.5460104942321777,764,Daryl Janmaat
0,0,0,90,DR,Watford,Everton,1,0,2019-02-09,9451,2018,304492,0,0,0,0,0,0.7014661431312561,0.7014661431312561,764,Daryl Janmaat
0,0,0,90,DR,Brighton,Watford,0,0,2019-02-02,9446,2018,304174,0.07624536752700806,0,2,0,0,0.07624536752700806,0.01936710625886917,764,Daryl Janmaat
0,1,0.031971581280231476,90,DR,Tottenham,Watford,2,1,2019-01-30,9435,2018,304094,0,0,0,0,0.031971581280231476,0.031971581280231476,0,764,Daryl Janmaat
0,0,0,90,DR,Watford,Newcastle United,1,1,2018-12-29,9387,2018,291344,0.0375027172267437,0,1,0,0,0.7196589708328247,0.6821562647819519,764,Daryl Janmaat
0,0,0,90,DR,Fulham,Watford,1,1,2018-09-22,9247,2018,260195,0,0,0,0,0,0,0,764,Daryl Janmaat
0,0,0,74,DR,Watford,Manchester United,1,2,2018-09-15,9243,2018,259989,0,0,0,0,0,0,0,764,Daryl Janmaat
0,0,0,90,DR,Watford,Tottenham,2,1,2018-09-02,9236,2018,259713,0.13633032143115997,0,3,0,0,0.13633032143115997,0.06556413322687149,764,Daryl Janmaat
0,1,0.03618290647864342,90,DR,Watford,Crystal Palace,2,1,2018-08-26,9224,2018,259437,0.09480336308479309,1,2,0,0.03618290647864342,0.1682290881872177,0.07342573255300522,764,Daryl Janmaat
0,0,0,90,DR,Burnley,Watford,1,3,2018-08-19,9214,2018,258976,0,0,0,0,0,0,0,764,Daryl Janmaat
0,2,0.12049227952957153,90,DR,Watford,Brighton,2,0,2018-08-11,9199,2018,258878,0,0,0,0,0.12049227952957153,0.12049227952957153,0,764,Daryl Janmaat
0,0,0,90,DR,Manchester United,Watford,1,0,2018-05-13,7496,2017,240273,0.3794868290424347,0,2,0,0,0.4396669864654541,0.3757479786872864,764,Daryl Janmaat
0,0,0,90,DR,Watford,Newcastle United,2,1,2018-05-05,7482,2017,237540,0,0,0,0,0,0.502777099609375,0.502777099609375,764,Daryl Janmaat
0,0,0,90,DR,Huddersfield,Watford,1,0,2018-04-14,7451,2017,232080,0,0,0,0,0,0.09574999660253525,0.09574999660253525,764,Daryl Janmaat
0,2,0.047136735171079636,77,DR,Watford,Burnley,1,2,2018-04-07,7447,2017,230459,0.03154958039522171,0,1,0,0.047136735171079636,0.5710735321044922,0.5529854893684387,764,Daryl Janmaat
0,1,0.06283050030469894,90,DR,Watford,Bournemouth,2,2,2018-03-31,7437,2017,226918,0.05122329667210579,0,1,0,0.06283050030469894,0.11405379325151443,0.06283050030469894,764,Daryl Janmaat
0,0,0,8,Sub,Liverpool,Watford,5,0,2018-03-17,7423,2017,224195,0,0,0,0,0,0,0,764,Daryl Janmaat
0,1,0.04118462651968002,82,DR,Arsenal,Watford,3,0,2018-03-11,7409,2017,222970,0.012991047464311123,0,1,0,0.04118462651968002,0.08922407031059265,0.03504839912056923,764,Daryl Janmaat
0,2,0.33188489079475403,90,DR,Watford,West Bromwich Albion,1,0,2018-03-03,7408,2017,221023,0,0,0,0,0.33188489079475403,0.3806985318660736,0.04881364107131958,764,Daryl Janmaat
0,1,0.03834204375743866,90,DR,Watford,Everton,1,0,2018-02-24,7392,2017,219318,0,0,0,0,0.03834204375743866,0.03834204375743866,0,764,Daryl Janmaat
0,0,0,90,DMR,West Ham,Watford,2,0,2018-02-10,7388,2017,215315,0,0,0,0,0,0.07198474556207657,0.07198474556207657,764,Daryl Janmaat
1,3,0.4271320104598999,90,DMR,Watford,Chelsea,4,1,2018-02-05,7377,2017,214998,0.024476980790495872,0,1,1,0.4271320104598999,0.5647981762886047,0.45417922735214233,764,Daryl Janmaat
0,0,0,82,DR,Leicester,Watford,2,0,2018-01-20,7353,2017,209155,0,0,0,0,0,0.021994207054376602,0.021994207054376602,764,Daryl Janmaat
0,3,0.11444088816642761,90,DR,Watford,Southampton,2,2,2018-01-13,7347,2017,207734,0.13913439214229584,0,3,0,0.11444088816642761,0.4175325036048889,0.2539929151535034,764,Daryl Janmaat
