goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.09045085310935974,90,FW,Rennes,Angers,1,0,2018-08-18,10656,2018,243101,0,0,0,0,0.09045085310935974,0.09045085310935974,0.09045085310935974,656,Diafra Sakho
0,0,0,59,FW,Lille,Rennes,3,1,2018-08-11,10648,2018,242138,0,0,0,0,0,0.013170412741601467,0.013170412741601467,656,Diafra Sakho
0,0,0,31,Sub,Rennes,Montpellier,1,1,2018-05-19,8942,2017,240796,0,0,0,0,0,0,0,656,Diafra Sakho
0,1,0.06048569083213806,33,Sub,Rennes,Toulouse,2,1,2018-04-29,8913,2017,236337,0,0,1,0,0.06048569083213806,0.15267698466777802,0.15267698466777802,656,Diafra Sakho
0,3,0.19084325432777405,40,Sub,Nantes,Rennes,1,1,2018-04-20,8898,2017,233984,0,0,0,0,0.19084325432777405,0.08704812824726105,0,656,Diafra Sakho
0,0,0,33,Sub,Rennes,Metz,1,2,2018-04-14,8893,2017,232440,0.07495111972093582,0,1,0,0,0.07495111972093582,0,656,Diafra Sakho
0,0,0,61,FW,Nice,Rennes,1,1,2018-04-08,8881,2017,230699,0,0,0,0,0,0,0,656,Diafra Sakho
0,1,0.051146119832992554,29,Sub,Rennes,Monaco,1,1,2018-04-04,8872,2017,228345,0.05923375487327576,0,2,0,0.051146119832992554,0.7129219770431519,0.6536881923675537,656,Diafra Sakho
0,1,0.0432860367000103,78,FW,Bordeaux,Rennes,0,2,2018-03-17,8858,2017,224114,0.017180390655994415,0,1,0,0.0432860367000103,0,0,656,Diafra Sakho
0,3,0.5458282828330994,90,FW,Rennes,Saint-Etienne,1,1,2018-03-10,8852,2017,222772,0,0,0,0,0.5458282828330994,0.482264906167984,0,656,Diafra Sakho
0,3,0.3174886107444763,90,FW,Amiens,Rennes,0,2,2018-03-03,8836,2017,221296,0,0,0,0,0.3174886107444763,0.37049806118011475,0.05300944671034813,656,Diafra Sakho
0,2,0.4845105707645416,26,Sub,Rennes,Troyes,2,0,2018-02-24,8825,2017,219469,0.07928873598575592,0,1,0,0.4845105707645416,0.5637993216514587,0,656,Diafra Sakho
2,4,1.1366983652114868,80,FW,Caen,Rennes,2,2,2018-02-17,8819,2017,218203,0,0,0,2,1.1366983652114868,1.1366983652114868,0,656,Diafra Sakho
0,0,0,89,FW,Lyon,Rennes,0,2,2018-02-11,8809,2017,215620,0,0,0,0,0,0,0,656,Diafra Sakho
0,2,0.9173924922943115,90,FW,Rennes,Guingamp,0,1,2018-02-04,8801,2017,215939,0,0,0,0,0.9173924922943115,0.9536977410316467,0.03630523383617401,656,Diafra Sakho
1,3,0.8630863428115845,19,Sub,Stoke,West Ham,0,3,2017-12-16,7297,2017,202722,0,0,0,1,0.8630863428115845,0.8630863428115845,0,656,Diafra Sakho
0,0,0,19,Sub,West Ham,Chelsea,1,0,2017-12-09,7269,2017,199026,0,0,0,0,0,0,0,656,Diafra Sakho
0,1,0.08162626624107361,48,Sub,Manchester City,West Ham,2,1,2017-12-03,7262,2017,178626,0,0,0,0,0.08162626624107361,0.08162626624107361,0,656,Diafra Sakho
0,1,0.05433601140975952,42,Sub,Everton,West Ham,4,0,2017-11-29,7256,2017,179226,0,0,0,0,0.05433601140975952,0.013762632384896278,0.013762632384896278,656,Diafra Sakho
0,0,0,1,Sub,West Ham,Leicester,1,1,2017-11-24,7247,2017,178585,0,0,0,0,0,0,0,656,Diafra Sakho
0,0,0,21,Sub,Watford,West Ham,2,0,2017-11-19,7230,2017,178956,0,0,0,0,0,0.06316117942333221,0.06316117942333221,656,Diafra Sakho
0,0,0,16,Sub,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179488,0,0,0,0,0,0,0,656,Diafra Sakho
0,0,0,13,Sub,Burnley,West Ham,1,1,2017-10-14,7190,2017,178352,0,0,0,0,0,0,0,656,Diafra Sakho
1,1,0.32866165041923523,11,Sub,West Ham,Swansea,1,0,2017-09-30,7183,2017,178283,0.025693746283650398,0,1,1,0.32866165041923523,0.3543553948402405,0,656,Diafra Sakho
0,0,0,6,Sub,West Bromwich Albion,West Ham,0,0,2017-09-16,7165,2017,176730,0,0,0,0,0,0,0,656,Diafra Sakho
0,0,0,6,Sub,West Ham,Huddersfield,2,0,2017-09-11,7158,2017,177539,0,0,0,0,0,0,0,656,Diafra Sakho
0,0,0,14,Sub,Newcastle United,West Ham,3,0,2017-08-26,7142,2017,176509,0,0,0,0,0,0,0,656,Diafra Sakho
0,2,0.09388644993305206,19,Sub,Southampton,West Ham,3,2,2017-08-19,7130,2017,179831,0,0,0,0,0.09388644993305206,0.577203631401062,0.48331719636917114,656,Diafra Sakho
0,1,0.3236076831817627,29,Sub,Manchester United,West Ham,4,0,2017-08-13,7128,2017,175953,0,0,0,0,0.3236076831817627,0.026220358908176422,0.026220358908176422,656,Diafra Sakho
0,1,0.0620671771466732,26,Sub,West Ham,Everton,0,0,2017-04-22,3479,2016,134332,0.057297367602586746,0,1,0,0.0620671771466732,0.11936454474925995,0,656,Diafra Sakho
0,0,0,24,Sub,Arsenal,West Ham,3,0,2017-04-05,3440,2016,133325,0,0,0,0,0,0,0,656,Diafra Sakho
1,2,0.540315568447113,68,FW,Manchester United,West Ham,1,1,2016-11-27,2716,2016,128147,0,0,0,1,0.540315568447113,0.022873785346746445,0.022873785346746445,656,Diafra Sakho
0,0,0,65,FW,Tottenham,West Ham,3,2,2016-11-19,2704,2016,128778,0,0,0,0,0,0,0,656,Diafra Sakho
0,3,0.7111556529998779,64,ML,Stoke,West Ham,2,1,2016-05-15,456,2015,57823,0.00973155815154314,0,1,0,0.7111556529998779,0.7208871841430664,0,656,Diafra Sakho
1,3,0.6288887858390808,86,FW,West Ham,Manchester United,3,2,2016-05-10,447,2015,62731,0.047889623790979385,0,2,1,0.6288887858390808,0.22913981974124908,0.08129331469535828,656,Diafra Sakho
0,3,0.7267569899559021,29,Sub,West Ham,Swansea,1,4,2016-05-07,439,2015,62983,0,0,0,0,0.7267569899559021,0.10053329914808273,0,656,Diafra Sakho
0,0,0,68,FW,West Bromwich Albion,West Ham,0,3,2016-04-30,431,2015,63596,0,0,0,0,0,0.025058023631572723,0.025058023631572723,656,Diafra Sakho
0,2,0.15835973620414734,79,FWR,West Ham,Watford,3,1,2016-04-20,416,2015,65982,0.4564274251461029,0,1,0,0.15835973620414734,0.6578782796859741,0.04309110343456268,656,Diafra Sakho
0,3,0.5955228805541992,71,FW,West Ham,Crystal Palace,2,2,2016-04-02,390,2015,66479,0,0,0,0,0.5955228805541992,0.32823941111564636,0.13204075396060944,656,Diafra Sakho
0,0,0,64,FW,Chelsea,West Ham,2,2,2016-03-19,376,2015,66109,0.06866906583309174,0,1,0,0,0.16197724640369415,0.09330818802118301,656,Diafra Sakho
1,1,0.45779842138290405,26,Sub,Everton,West Ham,2,3,2016-03-05,363,2015,65972,0.5899272561073303,1,1,1,0.45779842138290405,1.0477256774902344,0,656,Diafra Sakho
0,0,0,3,Sub,West Ham,Tottenham,1,0,2016-03-02,354,2015,67338,0.03866501897573471,0,1,0,0,0.03866501897573471,0,656,Diafra Sakho
0,3,0.2144882082939148,75,FW,West Ham,West Bromwich Albion,1,1,2015-11-29,218,2015,58990,0,0,0,0,0.2144882082939148,0.665256679058075,0.4798716902732849,656,Diafra Sakho
0,1,0.02041526325047016,90,AMR,Tottenham,West Ham,4,1,2015-11-22,209,2015,60983,0.019867025315761566,0,1,0,0.02041526325047016,0.04028228670358658,0,656,Diafra Sakho
0,0,0,90,FW,West Ham,Chelsea,2,1,2015-10-24,173,2015,65484,0.01705527864396572,0,1,0,0,0.07101038098335266,0.05395510047674179,656,Diafra Sakho
0,2,0.2539083659648895,87,FW,Crystal Palace,West Ham,1,3,2015-10-17,165,2015,64978,0.06019548699259758,0,2,0,0.2539083659648895,0.2995423972606659,0.01828395389020443,656,Diafra Sakho
0,5,0.3306879997253418,90,FW,Sunderland,West Ham,2,2,2015-10-03,156,2015,64896,0,0,0,0,0.3306879997253418,0.3306879997253418,0,656,Diafra Sakho
1,8,1.6008890867233276,90,FW,West Ham,Norwich,2,2,2015-09-26,147,2015,64634,0.09339357912540436,0,1,1,1.6008890867233276,1.6058660745620728,0,656,Diafra Sakho
1,2,0.8476582765579224,90,FW,Manchester City,West Ham,1,2,2015-09-19,137,2015,64233,0,0,0,1,0.8476582765579224,0.2132205367088318,0,656,Diafra Sakho
0,4,0.3629400432109833,90,FW,West Ham,Newcastle United,2,0,2015-09-14,130,2015,64080,0.45611023902893066,0,1,0,0.3629400432109833,0.9651896953582764,0.319255530834198,656,Diafra Sakho
1,1,0.08702298253774643,90,FW,Liverpool,West Ham,0,3,2015-08-29,116,2015,63568,0,0,0,1,0.08702298253774643,0.08702298253774643,0,656,Diafra Sakho
0,2,0.08641742169857025,77,FW,West Ham,Bournemouth,3,4,2015-08-22,106,2015,63280,0.04106748104095459,0,1,0,0.08641742169857025,0.12748490273952484,0,656,Diafra Sakho
0,3,0.17230676114559174,90,FW,West Ham,Leicester,1,2,2015-08-15,97,2015,57614,0,0,0,0,0.17230676114559174,0.22899898886680603,0.09902071952819824,656,Diafra Sakho
0,2,0.10550374537706375,90,FW,Arsenal,West Ham,0,2,2015-08-09,88,2015,57103,0,0,0,0,0.10550374537706375,0.10550374537706375,0,656,Diafra Sakho
0,1,0.023845229297876358,62,FW,West Ham,Stoke,1,1,2015-04-11,4454,2014,24832,0.12926748394966125,0,2,0,0.023845229297876358,0.15311270952224731,0,656,Diafra Sakho
0,2,0.06534720212221146,81,FW,Leicester,West Ham,2,1,2015-04-04,4442,2014,24874,0.6215618848800659,0,3,0,0.06534720212221146,0.4366037845611572,0.05072726309299469,656,Diafra Sakho
1,4,0.5026423335075378,90,FW,West Ham,Sunderland,1,0,2015-03-21,4509,2014,23540,0.13961219787597656,0,3,1,0.5026423335075378,0.6005144715309143,0.057347334921360016,656,Diafra Sakho
0,1,0.14558564126491547,90,FW,Arsenal,West Ham,3,0,2015-03-14,4494,2014,24930,0,0,0,0,0.14558564126491547,0.14558564126491547,0,656,Diafra Sakho
0,7,0.9717368483543396,90,FW,West Ham,Chelsea,0,1,2015-03-04,4485,2014,23596,0,0,0,0,0.9717368483543396,1.159967303276062,0.188230499625206,656,Diafra Sakho
0,7,0.4514855146408081,90,FW,West Ham,Crystal Palace,1,3,2015-02-28,4545,2014,27025,0,0,0,0,0.4514855146408081,0.42154961824417114,0.03502901643514633,656,Diafra Sakho
1,2,0.42719078063964844,90,FW,Tottenham,West Ham,2,2,2015-02-22,4542,2014,27447,0.06400469690561295,0,2,1,0.42719078063964844,0.4539507329463959,0,656,Diafra Sakho
0,0,0,56,FWR,Southampton,West Ham,0,0,2015-02-11,4532,2014,27226,0.015481877140700817,0,1,0,0,0.015481877140700817,0,656,Diafra Sakho
0,1,0.012171459384262562,90,FW,West Ham,Manchester United,1,1,2015-02-08,4524,2014,26778,0,0,0,0,0.012171459384262562,0,0,656,Diafra Sakho
1,1,0.6107783913612366,73,FW,West Ham,West Bromwich Albion,1,1,2015-01-01,4556,2014,22989,0,0,0,1,0.6107783913612366,0.6107783913612366,0,656,Diafra Sakho
0,0,0,64,FW,West Ham,Arsenal,1,2,2014-12-28,4645,2014,22115,0,0,0,0,0,0,0,656,Diafra Sakho
0,0,0,30,Sub,Chelsea,West Ham,2,0,2014-12-26,4629,2014,22789,0,0,0,0,0,0.3099088668823242,0.3099088668823242,656,Diafra Sakho
0,3,0.2632348835468292,81,FW,West Ham,Leicester,2,0,2014-12-20,4620,2014,22498,0.07997820526361465,1,2,0,0.2632348835468292,0.26370781660079956,0,656,Diafra Sakho
0,6,0.18899914622306824,90,FW,Sunderland,West Ham,1,1,2014-12-13,4613,2014,21206,0.18484902381896973,0,4,0,0.18899914622306824,0.35611477494239807,0.09824401885271072,656,Diafra Sakho
1,4,1.2283695936203003,42,Sub,West Ham,Swansea,3,1,2014-12-07,4606,2014,20293,0,0,0,1,1.2283695936203003,1.1015461683273315,0,656,Diafra Sakho
0,4,0.35045376420021057,90,FW,West Ham,Aston Villa,0,0,2014-11-08,4662,2014,18723,0.09391229599714279,0,1,0,0.35045376420021057,0.5467737913131714,0.10240773111581802,656,Diafra Sakho
1,4,0.36962810158729553,90,FW,West Ham,Manchester City,2,1,2014-10-25,4709,2014,19328,0.5858701467514038,0,1,1,0.36962810158729553,0.36962810158729553,0,656,Diafra Sakho
1,6,1.556326985359192,90,FW,Burnley,West Ham,1,3,2014-10-18,4701,2014,18847,0.7013179063796997,1,4,1,1.556326985359192,1.6222695112228394,0,656,Diafra Sakho
1,1,0.8696978688240051,90,FW,West Ham,Queens Park Rangers,2,0,2014-10-05,4698,2014,20535,0,0,0,1,0.8696978688240051,0,0,656,Diafra Sakho
1,5,0.7820047736167908,90,AMR,Manchester United,West Ham,2,1,2014-09-27,4740,2014,18566,0,0,0,1,0.7820047736167908,0.19431644678115845,0,656,Diafra Sakho
1,2,0.07892776280641556,90,FW,West Ham,Liverpool,3,1,2014-09-20,4734,2014,18390,0,0,0,1,0.07892776280641556,0.14985093474388123,0.07092316448688507,656,Diafra Sakho
1,3,0.0934806764125824,88,FW,Hull,West Ham,2,2,2014-09-15,4728,2014,17961,0,0,0,1,0.0934806764125824,0.0934806764125824,0,656,Diafra Sakho
0,2,0.07846853882074356,18,Sub,Crystal Palace,West Ham,1,3,2014-08-23,4761,2014,17380,0,0,0,0,0.07846853882074356,0.07846853882074356,0,656,Diafra Sakho
