goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.14432945847511292,90,MR,Southampton,Manchester City,0,1,2018-05-13,7498,2017,240041,0.035648856312036514,0,1,0,0.14432945847511292,0.24831491708755493,0.10398546606302261,840,Dusan Tadic
0,0,0,84,AMC,Swansea,Southampton,0,1,2018-05-08,7426,2017,238643,0.1362389475107193,0,2,0,0,0.09387265145778656,0.0733838826417923,840,Dusan Tadic
0,1,0.036379456520080566,71,AMC,Everton,Southampton,1,1,2018-05-05,7486,2017,237757,0,0,0,0,0.036379456520080566,0.26618480682373047,0.26618480682373047,840,Dusan Tadic
2,2,0.4770571291446686,90,FWR,Southampton,Bournemouth,2,1,2018-04-28,7475,2017,235830,0.591052234172821,0,5,2,0.4770571291446686,1.0923669338226318,0.10923801362514496,840,Dusan Tadic
0,3,0.12336622923612595,90,AMC,Leicester,Southampton,0,0,2018-04-19,7464,2017,233895,0.01927271857857704,0,1,0,0.12336622923612595,0.626690149307251,0.5000868439674377,840,Dusan Tadic
1,2,0.4939274489879608,86,AMC,Southampton,Chelsea,2,3,2018-04-14,7455,2017,233047,0.04210639372467995,0,1,1,0.4939274489879608,0.5360338091850281,0,840,Dusan Tadic
0,1,0.06691929697990417,90,AMC,Arsenal,Southampton,3,2,2018-04-08,7439,2017,230262,0.5382542610168457,0,3,0,0.06691929697990417,0.6190869808197021,0.04807133227586746,840,Dusan Tadic
0,1,0.019054554402828217,90,MR,West Ham,Southampton,3,0,2018-03-31,7434,2017,226852,0.10133125633001328,0,2,0,0.019054554402828217,0.11462819576263428,0.008559087291359901,840,Dusan Tadic
0,0,0,47,AMC,Newcastle United,Southampton,3,0,2018-03-10,7415,2017,222287,0,0,0,0,0,0,0,840,Dusan Tadic
0,0,0,69,AMC,Southampton,Stoke,0,0,2018-03-03,7405,2017,220947,0,0,0,0,0,0.1174355074763298,0.1174355074763298,840,Dusan Tadic
0,1,0.10683641582727432,82,AMC,Burnley,Southampton,1,1,2018-02-24,7398,2017,219144,0.031139101833105087,0,1,0,0.10683641582727432,0.1379755139350891,0,840,Dusan Tadic
0,0,0,90,AML,Southampton,Liverpool,0,2,2018-02-11,7384,2017,215195,0.06280465424060822,0,1,0,0,0.34423163533210754,0.2814269959926605,840,Dusan Tadic
0,1,0.02493267133831978,90,AMC,West Bromwich Albion,Southampton,2,3,2018-02-03,7378,2017,215043,0.06642557680606842,0,1,0,0.02493267133831978,0.5959727168083191,0.5046144723892212,840,Dusan Tadic
0,0,0,47,AML,Southampton,Brighton,1,1,2018-01-31,7363,2017,215497,0.11904612183570862,0,3,0,0,0.11904612183570862,0.07628445327281952,840,Dusan Tadic
0,0,0,90,AML,Southampton,Tottenham,1,1,2018-01-21,7355,2017,209895,0.6688758730888367,0,3,0,0,0.6688758730888367,0,840,Dusan Tadic
0,0,0,90,AMC,Watford,Southampton,2,2,2018-01-13,7347,2017,207755,0.5072919726371765,1,2,0,0,0.7114239931106567,0.20413200557231903,840,Dusan Tadic
0,2,0.052599843591451645,81,AMC,Southampton,Crystal Palace,1,2,2018-01-02,7336,2017,206554,0.1502103954553604,0,2,0,0.052599843591451645,0.20281024277210236,0,840,Dusan Tadic
0,2,0.1492973417043686,88,AMC,Manchester United,Southampton,0,0,2017-12-30,7324,2017,206291,0,0,0,0,0.1492973417043686,0.2691096067428589,0.11981227993965149,840,Dusan Tadic
