goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.34060603380203247,90,DC,Nantes,Saint-Etienne,1,1,2022-05-21,18196,2021,537516,0,0,0,0,0.34060603380203247,0.08250090479850769,0.08250090479850769,626,Eliaquim Mangala
1,1,0.09342217445373535,90,DC,Saint-Etienne,Reims,1,2,2022-05-14,18184,2021,535692,0,0,0,1,0.09342217445373535,0.26104387640953064,0.26104387640953064,626,Eliaquim Mangala
0,1,0.12062157690525055,90,DC,Nice,Saint-Etienne,4,2,2022-05-11,18173,2021,534729,0,0,0,0,0.12062157690525055,0.039047062397003174,0.039047062397003174,626,Eliaquim Mangala
0,0,0,90,DC,Rennes,Saint-Etienne,2,0,2022-04-30,18167,2021,530878,0.029155811294913292,0,1,0,0,0.029155811294913292,0,626,Eliaquim Mangala
0,0,0,90,DC,Saint-Etienne,Monaco,1,4,2022-04-23,18161,2021,528902,0,0,0,0,0,0.042236197739839554,0.042236197739839554,626,Eliaquim Mangala
0,0,0,90,DC,Saint-Etienne,Brest,2,1,2022-04-16,18140,2021,526516,0,0,0,0,0,0,0,626,Eliaquim Mangala
0,0,0,71,DC,Lorient,Saint-Etienne,6,2,2022-04-08,18127,2021,524231,0,0,0,0,0,0.20094965398311615,0.20094965398311615,626,Eliaquim Mangala
0,0,0,83,DC,Saint-Etienne,Marseille,2,4,2022-04-03,18119,2021,524034,0,0,0,0,0,0,0,626,Eliaquim Mangala
0,0,0,90,DC,Saint-Etienne,Troyes,1,1,2022-03-18,18108,2021,520899,0,0,0,0,0,0.13612648844718933,0.13612648844718933,626,Eliaquim Mangala
0,0,0,90,DC,Saint-Etienne,Metz,1,0,2022-03-06,18084,2021,518024,0,0,0,0,0,0.17950983345508575,0.17950983345508575,626,Eliaquim Mangala
0,0,0,56,DC,Paris Saint Germain,Saint-Etienne,3,1,2022-02-26,18075,2021,516381,0,0,0,0,0,0,0,626,Eliaquim Mangala
