goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,51,DC,Borussia Dortmund,Hertha Berlin,2,1,2022-05-14,17821,2021,535191,0,0,0,0,0,0.07550639659166336,0.07550639659166336,604,Emre Can
0,0,0,90,DC,Greuther Fuerth,Borussia Dortmund,1,3,2022-05-07,17804,2021,534390,0,0,0,0,0,0.16703127324581146,0.16703127324581146,604,Emre Can
1,1,0.75777667760849,90,DMC,Bayern Munich,Borussia Dortmund,3,1,2022-04-23,17794,2021,528865,0,0,0,0,0,0.18034164607524872,0.18034164607524872,604,Emre Can
1,1,0.01265071053057909,90,DC,Borussia Dortmund,Wolfsburg,6,1,2022-04-16,17785,2021,526248,0,0,0,1,0.01265071053057909,0.4485507309436798,0.4359000325202942,604,Emre Can
0,0,0,90,DR,VfB Stuttgart,Borussia Dortmund,0,2,2022-04-08,17772,2021,524171,0.13772688806056976,0,1,0,0,0.2380642145872116,0.10033732652664185,604,Emre Can
0,0,0,90,DC,Borussia Dortmund,RasenBallsport Leipzig,1,4,2022-04-02,17767,2021,522951,0.4569377601146698,1,1,0,0,0.062306202948093414,0.062306202948093414,604,Emre Can
0,0,0,90,DC,FC Cologne,Borussia Dortmund,1,1,2022-03-20,17752,2021,522220,0,0,0,0,0,0.012824476696550846,0.012824476696550846,604,Emre Can
0,0,0,90,DC,Mainz 05,Borussia Dortmund,0,1,2022-03-16,17736,2021,520712,0,0,0,0,0,0.14081348478794098,0.14081348478794098,604,Emre Can
0,0,0,90,DC,Borussia Dortmund,Arminia Bielefeld,1,0,2022-03-13,17749,2021,520306,0,0,0,0,0,0.5203093886375427,0.5203093886375427,604,Emre Can
0,0,0,90,DC,Augsburg,Borussia Dortmund,1,1,2022-02-27,17725,2021,516808,0,0,0,0,0,0.09378459304571152,0.09378459304571152,604,Emre Can
1,1,0.75777667760849,90,DC,Borussia Dortmund,Borussia M.Gladbach,6,0,2022-02-20,17721,2021,514984,0,0,0,0,0,0.4410005807876587,0.4410005807876587,604,Emre Can
0,0,0,16,Sub,Union Berlin,Borussia Dortmund,0,3,2022-02-13,17710,2021,513418,0,0,0,0,0,0,0,604,Emre Can
0,0,0,47,DC,Borussia Dortmund,Freiburg,5,1,2022-01-14,17686,2021,507788,0,0,0,0,0,0.12781816720962524,0.12781816720962524,604,Emre Can
0,0,0,90,DC,Eintracht Frankfurt,Borussia Dortmund,2,3,2022-01-08,17675,2021,506946,0.05978342890739441,0,1,0,0,0.3163191080093384,0.3163191080093384,604,Emre Can
0,0,0,90,DMC,Hertha Berlin,Borussia Dortmund,3,2,2021-12-18,17663,2021,503834,0,0,0,0,0,0.7721337676048279,0.7721337676048279,604,Emre Can
0,0,0,12,Sub,Borussia Dortmund,Greuther Fuerth,3,0,2021-12-15,17659,2021,503133,0.1134941503405571,0,1,0,0,0.45043817162513733,0.45043817162513733,604,Emre Can
0,2,0.07648254930973053,90,DMC,Bochum,Borussia Dortmund,1,1,2021-12-11,17643,2021,501632,0,0,0,0,0.07648254930973053,0.2800271511077881,0.23757095634937286,604,Emre Can
