goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.0992673859000206,29,Sub,Wolfsburg,Bayern Munich,2,2,2022-05-14,17820,2021,535247,0.11315904557704926,0,1,0,0.0992673859000206,0.21242643892765045,0.11315904557704926,339,Eric Maxim Choupo-Moting
0,0,0,3,Sub,Bayern Munich,VfB Stuttgart,2,2,2022-05-08,17812,2021,533763,0,0,0,0,0,0,0,339,Eric Maxim Choupo-Moting
0,1,0.10089997202157974,68,AML,Mainz 05,Bayern Munich,3,1,2022-04-30,17797,2021,530342,0.3349689543247223,1,1,0,0.10089997202157974,0.3349689543247223,0.3349689543247223,339,Eric Maxim Choupo-Moting
0,0,0,1,Sub,Bayern Munich,Borussia Dortmund,3,1,2022-04-23,17794,2021,528856,0,0,0,0,0,0,0,339,Eric Maxim Choupo-Moting
0,0,0,1,Sub,Arminia Bielefeld,Bayern Munich,0,3,2022-04-17,17777,2021,527053,0,0,0,0,0,0,0,339,Eric Maxim Choupo-Moting
0,0,0,14,Sub,Bayern Munich,Union Berlin,4,0,2022-03-19,17758,2021,521395,0,0,0,0,0,0.01705562137067318,0.01705562137067318,339,Eric Maxim Choupo-Moting
0,1,0.5755955576896667,7,Sub,Hoffenheim,Bayern Munich,1,1,2022-03-12,17743,2021,519294,0,0,0,0,0.5755955576896667,0.5755955576896667,0,339,Eric Maxim Choupo-Moting
0,0,0,15,Sub,Bayern Munich,Bayer Leverkusen,1,1,2022-03-05,17740,2021,517413,0,0,0,0,0,0,0,339,Eric Maxim Choupo-Moting
0,1,0.10401672124862671,1,Sub,Eintracht Frankfurt,Bayern Munich,0,1,2022-02-26,17731,2021,516216,0,0,0,0,0.10401672124862671,0.10401672124862671,0,339,Eric Maxim Choupo-Moting
1,1,0.5840911269187927,40,Sub,Bayern Munich,Greuther Fuerth,4,1,2022-02-20,17722,2021,514874,0.6770769953727722,1,3,1,0.5840911269187927,1.261168122291565,0.5605827569961548,339,Eric Maxim Choupo-Moting
0,2,0.027179483324289322,23,Sub,Bochum,Bayern Munich,4,2,2022-02-12,17706,2021,512642,0,0,0,0,0.027179483324289322,0.012059362605214119,0,339,Eric Maxim Choupo-Moting
