goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.03951306641101837,71,MC,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219185,0,0,0,0,0.03951306641101837,0.03951306641101837,0,590,Gareth Barry
0,0,0,84,MC,Chelsea,West Bromwich Albion,3,0,2018-02-12,7379,2017,215070,0,0,0,0,0,0,0,590,Gareth Barry
0,0,0,90,MC,West Bromwich Albion,Southampton,2,3,2018-02-03,7378,2017,215028,0,0,0,0,0,0.1152157112956047,0.1152157112956047,590,Gareth Barry
0,0,0,58,Sub,Manchester City,West Bromwich Albion,3,0,2018-01-31,7366,2017,215540,0.020414136350154877,0,1,0,0,0.09964626282453537,0.09964626282453537,590,Gareth Barry
0,0,0,90,MC,Everton,West Bromwich Albion,1,1,2018-01-20,7352,2017,209217,0.01228296384215355,0,1,0,0,0.01228296384215355,0,590,Gareth Barry
0,1,0.01742546446621418,90,MC,West Bromwich Albion,Brighton,2,0,2018-01-13,7348,2017,207768,0.20862089097499847,0,1,0,0.01742546446621418,0.2381819188594818,0.029561029747128487,590,Gareth Barry
0,0,0,5,Sub,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206543,0,0,0,0,0,0,0,590,Gareth Barry
0,0,0,90,MC,West Bromwich Albion,Arsenal,1,1,2017-12-31,7328,2017,206359,0.018013104796409607,0,1,0,0,0.018013104796409607,0.018013104796409607,590,Gareth Barry
0,2,0.10898260772228241,90,MC,West Bromwich Albion,Everton,0,0,2017-12-26,7318,2017,205723,0.04223891720175743,0,1,0,0.10898260772228241,0.047048360109329224,0.033877719193696976,590,Gareth Barry
0,1,0.044415395706892014,90,MC,Stoke,West Bromwich Albion,3,1,2017-12-23,7306,2017,205461,0.5085971355438232,0,1,0,0.044415395706892014,0.8522960543632507,0.8522960543632507,590,Gareth Barry
1,3,0.8037530183792114,43,Sub,West Bromwich Albion,Manchester United,1,2,2017-12-17,7295,2017,202789,0,0,0,1,0.8037530183792114,0.15545369684696198,0.10874719172716141,590,Gareth Barry
0,0,0,29,MC,West Bromwich Albion,Crystal Palace,0,0,2017-12-02,7265,2017,178854,0.09963080286979675,0,3,0,0,0,0,590,Gareth Barry
0,0,0,68,MC,West Bromwich Albion,Newcastle United,2,2,2017-11-28,7252,2017,179048,0,0,0,0,0,0,0,590,Gareth Barry
0,1,0.012582153081893921,82,MC,Tottenham,West Bromwich Albion,1,1,2017-11-25,7239,2017,179771,0.045227933675050735,0,1,0,0.012582153081893921,0.057810086756944656,0,590,Gareth Barry
0,1,0.06993912905454636,90,MC,West Bromwich Albion,Chelsea,0,4,2017-11-18,7229,2017,179021,0.012553548440337181,0,1,0,0.06993912905454636,0.4741704761981964,0.4741704761981964,590,Gareth Barry
0,0,0,90,MC,Huddersfield,West Bromwich Albion,1,0,2017-11-04,7221,2017,178208,0.05277279391884804,0,1,0,0,0.05277279391884804,0,590,Gareth Barry
0,0,0,90,MC,West Bromwich Albion,Manchester City,2,3,2017-10-28,7215,2017,178027,0.26467281579971313,1,1,0,0,0.470237135887146,0.20556432008743286,590,Gareth Barry
0,1,0.011118114925920963,55,MC,Southampton,West Bromwich Albion,1,0,2017-10-21,7204,2017,177358,0,0,0,0,0.011118114925920963,0.03136999160051346,0.03136999160051346,590,Gareth Barry
0,0,0,90,MC,Leicester,West Bromwich Albion,1,1,2017-10-16,7192,2017,178402,0.04823777452111244,0,1,0,0,0.07713927328586578,0.028901495039463043,590,Gareth Barry
0,0,0,90,DMC,West Bromwich Albion,Watford,2,2,2017-09-30,7182,2017,178249,0,0,0,0,0,0.05148515850305557,0.05148515850305557,590,Gareth Barry
0,1,0.025516293942928314,90,MC,Arsenal,West Bromwich Albion,2,0,2017-09-25,7178,2017,176808,0.04503476247191429,0,1,0,0.025516293942928314,0.04503476247191429,0,590,Gareth Barry
0,1,0.1276337057352066,90,DMC,West Bromwich Albion,West Ham,0,0,2017-09-16,7165,2017,176709,0,0,0,0,0.1276337057352066,0.17672398686408997,0.17672398686408997,590,Gareth Barry
0,3,0.10317718982696533,90,DMC,Brighton,West Bromwich Albion,3,1,2017-09-09,7153,2017,176832,0.039443522691726685,0,2,0,0.10317718982696533,0.43931472301483154,0.36190658807754517,590,Gareth Barry
0,0,0,90,DMC,West Bromwich Albion,Stoke,1,1,2017-08-27,7146,2017,176653,0,0,0,0,0,0.6421197652816772,0.6421197652816772,590,Gareth Barry
0,0,0,90,DMC,Burnley,West Bromwich Albion,0,1,2017-08-19,7132,2017,176114,0,0,0,0,0,0.09748289734125137,0.09748289734125137,590,Gareth Barry
0,2,0.061848241835832596,42,Sub,Arsenal,Everton,3,1,2017-05-21,3510,2016,125164,0.14714691042900085,0,2,0,0.061848241835832596,0.3571895658969879,0.186279296875,590,Gareth Barry
0,0,0,7,Sub,Everton,Watford,1,0,2017-05-12,3502,2016,135269,0,0,0,0,0,0,0,590,Gareth Barry
0,0,0,66,MC,Swansea,Everton,1,0,2017-05-06,3498,2016,135137,0.018766896799206734,0,1,0,0,0.06326780468225479,0.06326780468225479,590,Gareth Barry
0,0,0,42,Sub,West Ham,Everton,0,0,2017-04-22,3479,2016,134347,0.02497430145740509,0,1,0,0,0.043075982481241226,0.018101681023836136,590,Gareth Barry
0,0,0,13,Sub,Everton,Burnley,3,1,2017-04-15,3467,2016,134605,0,0,0,0,0,0,0,590,Gareth Barry
0,0,0,14,Sub,Everton,Leicester,4,2,2017-04-09,3458,2016,133257,0,0,0,0,0,0,0,590,Gareth Barry
0,1,0.03635060042142868,90,DMC,Manchester United,Everton,1,1,2017-04-04,3446,2016,132639,0.04170624911785126,0,1,0,0.03635060042142868,0.04170624911785126,0,590,Gareth Barry
0,0,0,21,Sub,Liverpool,Everton,3,1,2017-04-01,3435,2016,132783,0,0,0,0,0,0.19199873507022858,0.19199873507022858,590,Gareth Barry
0,1,0.10114876180887222,61,Sub,Everton,Hull,4,0,2017-03-18,3427,2016,133284,0.09885615855455399,0,2,0,0.10114876180887222,0.9559223651885986,0.8547735810279846,590,Gareth Barry
0,0,0,86,DMC,Everton,West Bromwich Albion,3,0,2017-03-11,3416,2016,132569,0.0919993594288826,0,2,0,0,1.1370800733566284,1.1370800733566284,590,Gareth Barry
