goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,2,0.0732000321149826,51,FW,Salernitana,Udinese,0,4,2022-05-22,17131,2021,538185,0,0,0,1,0.0732000321149826,0.13992325961589813,0.06672322750091553,591,Gerard Deulofeu
0,0,0,90,FW,Udinese,Spezia,2,3,2022-05-14,17125,2021,535576,0.7104606628417969,1,6,0,0,0.6471061110496521,0.09887265413999557,591,Gerard Deulofeu
0,2,0.6265413761138916,90,FW,Sassuolo,Udinese,1,1,2022-05-07,17112,2021,532784,0.2713351547718048,0,3,0,0.6265413761138916,1.0783978700637817,0.4518565237522125,591,Gerard Deulofeu
0,1,0.06370192766189575,90,FW,Udinese,Inter,1,2,2022-05-01,17105,2021,531387,0,0,0,0,0.06370192766189575,0.037154898047447205,0.037154898047447205,591,Gerard Deulofeu
1,3,1.1316044330596924,90,FW,Fiorentina,Udinese,0,4,2022-04-27,16948,2021,529919,0.1785660833120346,0,3,1,1.1316044330596924,0.9828207492828369,0.1692027449607849,591,Gerard Deulofeu
0,2,0.10580743104219437,87,FW,Bologna,Udinese,2,2,2022-04-24,17086,2021,529231,0.29915934801101685,1,5,0,0.10580743104219437,0.8019569516181946,0.5998505353927612,591,Gerard Deulofeu
0,3,0.19112654030323029,90,FW,Udinese,Salernitana,0,1,2022-04-20,16944,2021,527627,0.16591642796993256,0,7,0,0.19112654030323029,0.2471904754638672,0.06297167390584946,591,Gerard Deulofeu
1,3,0.2681114077568054,90,FW,Udinese,Empoli,4,1,2022-04-16,17085,2021,526193,0.25609880685806274,1,1,1,0.2681114077568054,0.7373479604721069,0.4692365527153015,591,Gerard Deulofeu
1,1,0.7612988352775574,69,FW,Venezia,Udinese,1,2,2022-04-10,17075,2021,525293,0.1646561324596405,0,2,0,0,0.6982240080833435,0.5561772584915161,591,Gerard Deulofeu
1,3,0.1925656944513321,90,FW,Napoli,Udinese,2,1,2022-03-19,17052,2021,521131,0.13618174195289612,0,3,1,0.1925656944513321,0.22211910784244537,0.0621115006506443,591,Gerard Deulofeu
0,0,0,88,FW,Udinese,Roma,1,1,2022-03-13,17045,2021,520398,0.24696005880832672,0,4,0,0,0.5511403679847717,0.46925219893455505,591,Gerard Deulofeu
1,6,1.1970536708831787,90,FW,Udinese,Sampdoria,2,1,2022-03-05,17034,2021,517319,0.6777980327606201,0,4,1,1.1970536708831787,1.490411400794983,0.22956442832946777,591,Gerard Deulofeu
0,3,0.12425140291452408,90,FW,AC Milan,Udinese,1,1,2022-02-25,17021,2021,515503,0,0,0,0,0.12425140291452408,0.21114493906497955,0.08689354360103607,591,Gerard Deulofeu
1,1,0.37567079067230225,75,FW,Udinese,Lazio,1,1,2022-02-20,17014,2021,515173,0.957837700843811,0,1,1,0.37567079067230225,1.3335084915161133,0,591,Gerard Deulofeu
0,9,0.48461663722991943,90,FW,Verona,Udinese,4,0,2022-02-13,16999,2021,513178,0.11663597822189331,0,3,0,0.48461663722991943,0.465873658657074,0.11808755248785019,591,Gerard Deulofeu
0,0,0,90,FW,Genoa,Udinese,0,0,2022-01-22,16978,2021,509540,0.03839578106999397,0,1,0,0,0,0,591,Gerard Deulofeu
0,2,0.07104288786649704,68,FW,Juventus,Udinese,2,0,2022-01-15,16969,2021,508309,0.07527913898229599,0,2,0,0.07104288786649704,0.14558814465999603,0.09071235358715057,591,Gerard Deulofeu
0,2,0.3273604214191437,90,ML,Udinese,Atalanta,2,6,2022-01-09,16964,2021,507296,0.026672374457120895,0,1,0,0.3273604214191437,0.3142167925834656,0,591,Gerard Deulofeu
2,2,0.07812389731407166,77,FW,Cagliari,Udinese,0,4,2021-12-18,16928,2021,503897,0.043061379343271255,0,2,2,0.07812389731407166,0,0,591,Gerard Deulofeu
0,2,0.3468154966831207,71,FW,Udinese,AC Milan,1,1,2021-12-11,16924,2021,502012,0.09791196882724762,0,2,0,0.3468154966831207,0.3468154966831207,0.02788090705871582,591,Gerard Deulofeu
1,4,0.4590491056442261,90,ML,Empoli,Udinese,3,1,2021-12-06,16908,2021,501098,0.5148825645446777,0,8,1,0.4590491056442261,0.7610083818435669,0.20631536841392517,591,Gerard Deulofeu
0,2,0.09286915510892868,77,ML,Lazio,Udinese,4,4,2021-12-02,16902,2021,499455,0.8706293106079102,1,3,0,0.09286915510892868,1.1132127046585083,0.23799726366996765,591,Gerard Deulofeu
0,2,0.08967237919569016,87,AMC,Udinese,Genoa,0,0,2021-11-28,16894,2021,497790,0.1529407948255539,0,4,0,0.08967237919569016,0.10577409714460373,0,591,Gerard Deulofeu
0,1,0.018492862582206726,84,AMC,Torino,Udinese,2,1,2021-11-22,16885,2021,496886,0.19078177213668823,0,3,0,0.018492862582206726,0.13338010013103485,0.018752219155430794,591,Gerard Deulofeu
1,5,0.6151751279830933,90,ML,Udinese,Sassuolo,3,2,2021-11-07,16874,2021,494565,0,0,0,1,0.6151751279830933,0.5967345237731934,0.011296447366476059,591,Gerard Deulofeu
0,2,0.08264657855033875,30,Sub,Inter,Udinese,2,0,2021-10-31,16861,2021,492718,0.07239390164613724,0,2,0,0.08264657855033875,0.13480126857757568,0.02460244856774807,591,Gerard Deulofeu
0,1,0.05176664888858795,87,FW,Udinese,Bologna,1,1,2021-10-17,16834,2021,488797,0.42210912704467773,0,1,0,0.05176664888858795,0.6827041506767273,0.6309375166893005,591,Gerard Deulofeu
0,1,0.07055546343326569,52,FW,Sampdoria,Udinese,3,3,2021-10-03,16823,2021,487187,0.5320387482643127,1,3,0,0.07055546343326569,0.7663429975509644,0.22788304090499878,591,Gerard Deulofeu
0,3,0.1957431584596634,90,FW,Udinese,Fiorentina,0,1,2021-09-26,16813,2021,485342,0.04764288663864136,0,2,0,0.1957431584596634,0.23311398923397064,0.11116643995046616,591,Gerard Deulofeu
0,2,0.08674176037311554,90,FW,Roma,Udinese,1,0,2021-09-23,16801,2021,484269,0.054972704499959946,0,1,0,0.08674176037311554,0.12846556305885315,0.0758914053440094,591,Gerard Deulofeu
0,2,0.10588204860687256,64,FW,Udinese,Napoli,0,4,2021-09-20,16794,2021,483347,0.010144514963030815,0,1,0,0.10588204860687256,0.11602655798196793,0.010144514963030815,591,Gerard Deulofeu
0,2,0.08944078534841537,86,FW,Spezia,Udinese,0,1,2021-09-12,16784,2021,480983,0.057830240577459335,0,2,0,0.08944078534841537,0.13417069613933563,0,591,Gerard Deulofeu
1,2,0.3594200015068054,29,Sub,Udinese,Venezia,3,0,2021-08-27,16766,2021,478479,0.3714141249656677,0,1,1,0.3594200015068054,0.7654964327812195,0.03466231748461723,591,Gerard Deulofeu
1,2,0.36882734298706055,31,Sub,Udinese,Juventus,2,2,2021-08-22,16761,2021,477933,0.0446489155292511,0,1,1,0.36882734298706055,0.48108550906181335,0.06760924309492111,591,Gerard Deulofeu
0,1,0.06555281579494476,90,FW,Roma,Udinese,3,0,2021-02-14,15645,2020,449394,0.10499104857444763,0,2,0,0.06555281579494476,0.1705438643693924,0,591,Gerard Deulofeu
1,7,1.007428765296936,90,AMC,Udinese,Verona,2,0,2021-02-07,15635,2020,448233,0.0458691269159317,0,1,1,1.007428765296936,1.363646149635315,0.3995150923728943,591,Gerard Deulofeu
0,1,0.06385498493909836,61,FW,Spezia,Udinese,0,1,2021-01-31,15622,2020,445993,0,0,0,0,0.06385498493909836,0.06385498493909836,0,591,Gerard Deulofeu
0,1,0.03092009387910366,63,FW,Udinese,Inter,0,0,2021-01-23,15614,2020,444180,0.01748622953891754,0,1,0,0.03092009387910366,0.17514261603355408,0.12673629820346832,591,Gerard Deulofeu
0,0,0,15,Sub,Udinese,Atalanta,1,1,2021-01-20,15524,2020,443342,0,0,0,0,0,0,0,591,Gerard Deulofeu
0,0,0,8,Sub,Udinese,Benevento,0,2,2020-12-23,15564,2020,437660,0.13927336037158966,0,1,0,0,0.13927336037158966,0,591,Gerard Deulofeu
0,2,0.05469055101275444,54,FW,Cagliari,Udinese,1,1,2020-12-20,15548,2020,436532,0.035405293107032776,0,1,0,0.05469055101275444,0.1600235551595688,0.06992771476507187,591,Gerard Deulofeu
0,0,0,24,Sub,Udinese,Crotone,0,0,2020-12-15,15544,2020,434275,0,0,0,0,0,0.3763943612575531,0.3763943612575531,591,Gerard Deulofeu
0,2,0.16395042836666107,63,FW,Torino,Udinese,2,3,2020-12-12,15535,2020,433167,0.497008740901947,1,1,0,0.16395042836666107,0.6943684816360474,0.03340931236743927,591,Gerard Deulofeu
0,0,0,24,Sub,Sassuolo,Udinese,0,0,2020-11-06,15494,2020,425918,0,0,0,0,0,0,0,591,Gerard Deulofeu
0,2,0.08180775493383408,71,FWL,Udinese,AC Milan,1,2,2020-11-01,15484,2020,424889,0,0,0,0,0.08180775493383408,0.11617296189069748,0.034365203231573105,591,Gerard Deulofeu
