goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.053681280463933945,62,FW,Elche,Getafe,3,1,2022-05-22,17515,2021,537978,0,0,0,0,0.053681280463933945,0.06992866098880768,0.016247382387518883,3424,Guido Carrillo
0,3,0.16808265447616577,64,FW,Celta Vigo,Elche,1,0,2022-05-15,17499,2021,536432,0,0,0,0,0.16808265447616577,0.18939191102981567,0.1226041167974472,3424,Guido Carrillo
0,0,0,31,Sub,Elche,Atletico Madrid,0,2,2022-05-11,17495,2021,534925,0,0,0,0,0,0.009714675135910511,0.009714675135910511,3424,Guido Carrillo
0,0,0,65,FW,Cadiz,Elche,3,0,2022-05-07,17482,2021,534365,0.012872055172920227,0,1,0,0,0.012872055172920227,0,3424,Guido Carrillo
0,1,0.042577337473630905,15,Sub,Elche,Osasuna,1,1,2022-05-01,17475,2021,530964,0,0,0,0,0.042577337473630905,0,0,3424,Guido Carrillo
1,1,0.5730804204940796,41,FW,Elche,Real Sociedad,1,2,2022-04-10,17445,2021,525640,0,0,0,1,0.5730804204940796,0.5730804204940796,0,3424,Guido Carrillo
0,1,0.07201434671878815,28,Sub,Athletic Club,Elche,2,1,2022-04-03,17426,2021,523281,0,0,0,0,0.07201434671878815,0.07201434671878815,0,3424,Guido Carrillo
0,0,0,7,Sub,Elche,Valencia,0,1,2022-03-19,17425,2021,521268,0,0,0,0,0,0,0,3424,Guido Carrillo
0,0,0,14,Sub,Granada,Elche,0,1,2022-03-12,17411,2021,519380,0,0,0,0,0,0.20608185231685638,0.20608185231685638,3424,Guido Carrillo
0,1,0.019829005002975464,24,Sub,Elche,Barcelona,1,2,2022-03-06,17405,2021,518334,0,0,0,0,0.019829005002975464,0.059765178710222244,0.03993617370724678,3424,Guido Carrillo
0,1,0.29681286215782166,90,FW,Levante,Elche,3,0,2022-02-25,17391,2021,515564,0,0,0,0,0.29681286215782166,0.9417634010314941,0.6449505686759949,3424,Guido Carrillo
1,1,0.7922919392585754,90,FW,Elche,Rayo Vallecano,2,1,2022-02-18,17385,2021,513913,0,0,0,1,0.7922919392585754,1.0873565673828125,0.2950645685195923,3424,Guido Carrillo
0,2,0.08136073499917984,90,FW,Sevilla,Elche,2,0,2022-02-11,17373,2021,512396,0,0,0,0,0.08136073499917984,0.04794897511601448,0.019472802057862282,3424,Guido Carrillo
0,0,0,15,Sub,Elche,Alaves,3,1,2022-02-05,17365,2021,510942,0,0,0,0,0,0.4054914712905884,0.4054914712905884,3424,Guido Carrillo
0,0,0,90,FW,Elche,Villarreal,1,0,2022-01-16,17345,2021,508950,0.0678315982222557,0,2,0,0,0.08846797794103622,0.02063637599349022,3424,Guido Carrillo
0,0,0,90,FW,Espanyol,Elche,1,2,2022-01-10,17328,2021,507696,0,0,0,0,0,0.34796467423439026,0.34796467423439026,3424,Guido Carrillo
0,3,0.5293155312538147,87,FW,Elche,Granada,0,0,2022-01-02,17316,2021,505657,0.05644996091723442,0,2,0,0.5293155312538147,0.58952397108078,0.1348205953836441,3424,Guido Carrillo
0,1,0.5732030272483826,1,Sub,Valencia,Elche,2,1,2021-12-11,17304,2021,501906,0,0,0,0,0.5732030272483826,0,0,3424,Guido Carrillo
