goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,3,0.08449920266866684,90,ML,Crystal Palace,West Bromwich Albion,2,0,2018-05-13,7493,2017,240196,0,0,0,0,0.08449920266866684,0.10267483443021774,0.03308340534567833,814,James McClean
0,0,0,88,ML,West Bromwich Albion,Tottenham,1,0,2018-05-05,7483,2017,237575,0.06280520558357239,0,1,0,0,0,0,814,James McClean
0,1,0.03525335714221001,90,ML,Newcastle United,West Bromwich Albion,0,1,2018-04-28,7474,2017,235816,0,0,0,0,0.03525335714221001,0.3373338282108307,0.3020804524421692,814,James McClean
0,2,0.07425916194915771,72,ML,West Bromwich Albion,Liverpool,2,2,2018-04-21,7468,2017,234105,0,0,0,0,0.07425916194915771,0.07425916194915771,0,814,James McClean
0,1,0.020793046802282333,90,ML,Manchester United,West Bromwich Albion,0,1,2018-04-15,7453,2017,232894,0.16035553812980652,0,4,0,0.020793046802282333,0.19622524082660675,0.03597849979996681,814,James McClean
0,3,0.17106564342975616,90,ML,West Bromwich Albion,Swansea,1,1,2018-04-07,7448,2017,230493,0,0,0,0,0.17106564342975616,0.13181746006011963,0,814,James McClean
0,0,0,7,Sub,Watford,West Bromwich Albion,1,0,2018-03-03,7408,2017,221047,0,0,0,0,0,0,0,814,James McClean
0,2,0.2035268396139145,59,ML,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219186,0.01895810104906559,0,1,0,0.2035268396139145,0.22248493134975433,0,814,James McClean
0,0,0,11,Sub,West Bromwich Albion,Southampton,2,3,2018-02-03,7378,2017,215032,0,0,0,0,0,0,0,814,James McClean
0,0,0,90,ML,Manchester City,West Bromwich Albion,3,0,2018-01-31,7366,2017,215536,0,0,0,0,0,0,0,814,James McClean
0,0,0,10,Sub,Everton,West Bromwich Albion,1,1,2018-01-20,7352,2017,209221,0.020437438040971756,0,1,0,0,0,0,814,James McClean
1,3,0.13235506415367126,90,AML,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206541,0,0,0,1,0.13235506415367126,0.13235506415367126,0.09915075451135635,814,James McClean
