goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,26,Sub,Arsenal,West Bromwich Albion,2,0,2017-09-25,7178,2017,176812,0,0,0,0,0,0,0,990,James Morrison
0,1,0.3541835844516754,90,AMC,West Bromwich Albion,West Ham,0,0,2017-09-16,7165,2017,176711,0.08179566264152527,0,2,0,0.3541835844516754,0.4131579101085663,0.05897432193160057,990,James Morrison
1,2,0.5970031023025513,17,Sub,Brighton,West Bromwich Albion,3,1,2017-09-09,7153,2017,176840,0.031191876158118248,0,1,1,0.5970031023025513,0.6566347479820251,0.028439732268452644,990,James Morrison
0,1,0.08132705092430115,71,AMC,West Bromwich Albion,Stoke,1,1,2017-08-27,7146,2017,176656,0,0,0,0,0.08132705092430115,0.4334383010864258,0.4334383010864258,990,James Morrison
0,0,0,85,AMC,Swansea,West Bromwich Albion,2,1,2017-05-21,3518,2016,125380,0.2014111578464508,0,2,0,0,0.3003765642642975,0.24557137489318848,990,James Morrison
0,0,0,23,Sub,Manchester City,West Bromwich Albion,3,1,2017-05-16,3477,2016,134292,0,0,0,0,0,0,0,990,James Morrison
0,1,0.021006233990192413,35,Sub,Burnley,West Bromwich Albion,2,2,2017-05-06,3492,2016,134813,0,0,0,0,0.021006233990192413,0.07198192179203033,0.05097568780183792,990,James Morrison
0,1,0.08151952177286148,81,AMC,West Bromwich Albion,Leicester,0,1,2017-04-29,3489,2016,134629,0.09388653188943863,0,2,0,0.08151952177286148,0.20860162377357483,0.033195577561855316,990,James Morrison
0,0,0,28,Sub,West Bromwich Albion,Liverpool,0,1,2017-04-16,3469,2016,135047,0,0,0,0,0,0,0,990,James Morrison
0,1,0.017149440944194794,90,AMC,West Bromwich Albion,Southampton,0,1,2017-04-08,3454,2016,133911,0.13135077059268951,0,2,0,0.017149440944194794,0.3372456133365631,0.1887454092502594,990,James Morrison
0,1,0.06630399823188782,29,Sub,Watford,West Bromwich Albion,2,0,2017-04-04,3443,2016,132562,0.020123982802033424,0,1,0,0.06630399823188782,0.14158794283866882,0.05515996739268303,990,James Morrison
0,0,0,32,Sub,Manchester United,West Bromwich Albion,0,0,2017-04-01,3436,2016,132891,0,0,0,0,0,0,0,990,James Morrison
