goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,3,0.11283501982688904,90,FW,Atalanta,Empoli,0,1,2022-05-21,17126,2021,537260,0.8553851842880249,0,8,0,0.11283501982688904,1.417108416557312,0.7928207516670227,3544,Jeremie Boga
0,1,0.08707021921873093,19,Sub,AC Milan,Atalanta,2,0,2022-05-15,17121,2021,536310,0,0,0,0,0.08707021921873093,0.13368625938892365,0.13368625938892365,3544,Jeremie Boga
0,2,0.35058146715164185,28,Sub,Spezia,Atalanta,1,3,2022-05-08,17113,2021,533207,0.03317203372716904,0,1,0,0.35058146715164185,0.4985813498497009,0.14799988269805908,3544,Jeremie Boga
0,1,0.014443743042647839,90,AMC,Atalanta,Salernitana,1,1,2022-05-02,17096,2021,531666,0.0255280751734972,0,1,0,0.014443743042647839,0.26058459281921387,0.2206127792596817,3544,Jeremie Boga
0,1,0.03433658927679062,21,Sub,Atalanta,Torino,4,4,2022-04-27,16946,2021,529970,0.06882055848836899,0,1,0,0.03433658927679062,0.10315714031457901,0,3544,Jeremie Boga
0,1,0.08133579045534134,11,Sub,Venezia,Atalanta,1,3,2022-04-23,17095,2021,528457,0,0,0,0,0.08133579045534134,0.08133579045534134,0,3544,Jeremie Boga
0,1,0.057820871472358704,60,AMC,Atalanta,Verona,1,2,2022-04-18,17076,2021,527439,0.11004821956157684,0,3,0,0.057820871472358704,0.3133274018764496,0.22889254987239838,3544,Jeremie Boga
0,1,0.0813651978969574,59,AMC,Sassuolo,Atalanta,2,1,2022-04-10,17073,2021,525233,0.17444775998592377,0,2,0,0.0813651978969574,0.3495025634765625,0.15093739330768585,3544,Jeremie Boga
0,4,0.17787989974021912,42,Sub,Atalanta,Napoli,1,3,2022-04-03,17056,2021,523331,0,0,0,0,0.17787989974021912,0.15537334978580475,0.05800047889351845,3544,Jeremie Boga
0,0,0,44,Sub,Atalanta,Genoa,0,0,2022-03-13,17036,2021,520374,0,0,0,0,0,0.07391980290412903,0.07391980290412903,3544,Jeremie Boga
0,0,0,27,Sub,Roma,Atalanta,1,0,2022-03-05,17033,2021,517754,0,0,0,0,0,0.03717072308063507,0.03717072308063507,3544,Jeremie Boga
0,2,0.04152845963835716,60,AML,Atalanta,Sampdoria,4,0,2022-02-28,17016,2021,517011,0,0,0,0,0.04152845963835716,0.28201162815093994,0.25888296961784363,3544,Jeremie Boga
0,0,0,84,FW,Fiorentina,Atalanta,1,0,2022-02-20,17008,2021,514613,0.03067922405898571,0,1,0,0,0.03067922405898571,0,3544,Jeremie Boga
0,4,0.5104390382766724,90,FW,Atalanta,Juventus,1,1,2022-02-13,16996,2021,513644,0.15448316931724548,0,3,0,0.5104390382766724,0.7001946568489075,0.13227912783622742,3544,Jeremie Boga
0,0,0,32,Sub,Atalanta,Cagliari,1,2,2022-02-06,16986,2021,511436,0,0,0,0,0,0,0,3544,Jeremie Boga
0,0,0,46,AML,Sassuolo,Bologna,0,3,2021-12-22,16943,2021,504544,0.06567349284887314,0,1,0,0,0.06567349284887314,0,3544,Jeremie Boga
0,1,0.06208502873778343,22,Sub,Fiorentina,Sassuolo,2,2,2021-12-19,16929,2021,503965,0,0,0,0,0.06208502873778343,0.06208502873778343,0,3544,Jeremie Boga
0,0,0,9,Sub,Sassuolo,Lazio,2,1,2021-12-12,16922,2021,502681,0,0,0,0,0,0,0,3544,Jeremie Boga
0,2,0.05020085349678993,19,Sub,Spezia,Sassuolo,2,2,2021-12-05,16914,2021,500592,0,0,0,0,0.05020085349678993,0.10487633943557739,0.05467548593878746,3544,Jeremie Boga
0,1,0.06103033944964409,18,Sub,Sassuolo,Empoli,1,2,2021-10-31,16864,2021,492919,0,0,0,0,0.06103033944964409,0.06103033944964409,0.06103033944964409,3544,Jeremie Boga
0,1,0.09421538561582565,90,AML,Sassuolo,Inter,1,2,2021-10-02,16824,2021,486789,0,0,0,0,0.09421538561582565,0.1761481910943985,0.08193280547857285,3544,Jeremie Boga
0,2,0.07990305870771408,74,AML,Sassuolo,Salernitana,1,0,2021-09-26,16811,2021,485310,0.5054572820663452,1,3,0,0.07990305870771408,0.6838017702102661,0.09844144433736801,3544,Jeremie Boga
0,1,0.03378476947546005,60,ML,Atalanta,Sassuolo,2,1,2021-09-21,16796,2021,483486,0,0,0,0,0.03378476947546005,0.39596372842788696,0.3621789515018463,3544,Jeremie Boga
0,0,0,67,AML,Sassuolo,Torino,0,1,2021-09-17,16793,2021,481672,0,0,0,0,0,0,0,3544,Jeremie Boga
0,1,0.28898340463638306,90,AML,Roma,Sassuolo,2,1,2021-09-12,16782,2021,481379,0.37304309010505676,0,1,0,0.28898340463638306,0.7309841513633728,0.06895764172077179,3544,Jeremie Boga
0,3,0.15516962110996246,87,AML,Sassuolo,Sampdoria,0,0,2021-08-29,16772,2021,479719,0.018622152507305145,0,1,0,0.15516962110996246,0.338176429271698,0.18155506253242493,3544,Jeremie Boga
0,3,0.0799892246723175,90,AML,Verona,Sassuolo,2,3,2021-08-21,16756,2021,477222,0.05876656249165535,1,1,0,0.0799892246723175,0.1348745971918106,0.07330633699893951,3544,Jeremie Boga
0,0,0,63,AML,Sassuolo,Lazio,2,0,2021-05-23,15800,2020,473603,0,0,0,0,0,0.08431876450777054,0.08431876450777054,3544,Jeremie Boga
1,2,0.5286760926246643,79,AML,Parma Calcio 1913,Sassuolo,1,3,2021-05-16,15794,2020,471555,0,0,0,1,0.5286760926246643,0.5937174558639526,0.5937174558639526,3544,Jeremie Boga
0,3,0.5003855228424072,77,AML,Sassuolo,Juventus,1,3,2021-05-12,15779,2020,470265,0,0,0,0,0.5003855228424072,0.7554387450218201,0.25505322217941284,3544,Jeremie Boga
0,1,0.02723594568669796,90,AML,Sassuolo,Atalanta,1,1,2021-05-02,15756,2020,467584,0.04712742567062378,0,1,0,0.02723594568669796,0.04712742567062378,0,3544,Jeremie Boga
0,3,0.18056213855743408,44,Sub,Sassuolo,Sampdoria,1,0,2021-04-24,15752,2020,465606,0.39360150694847107,0,2,0,0.18056213855743408,0.5731163024902344,0.05501212924718857,3544,Jeremie Boga
0,2,0.3707665503025055,83,AML,AC Milan,Sassuolo,1,2,2021-04-21,15744,2020,464207,0,0,0,0,0.3707665503025055,0.4114924371242523,0.04072589427232742,3544,Jeremie Boga
0,0,0,90,AML,Sassuolo,Fiorentina,3,1,2021-04-17,15727,2020,462987,0.03091319464147091,0,1,0,0,0.03091319464147091,0,3544,Jeremie Boga
0,3,0.19587351381778717,90,AML,Benevento,Sassuolo,0,1,2021-04-12,15724,2020,462434,0,0,0,0,0.19587351381778717,0.32400885224342346,0.1281353384256363,3544,Jeremie Boga
