goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,3,Sub,Nimes,Paris Saint Germain,0,4,2020-10-16,15822,2020,420783,0,0,0,0,0,0,0,2256,Jesé
0,0,0,16,Sub,Lens,Paris Saint Germain,1,0,2020-09-10,13989,2020,414440,0,0,0,0,0,0,0,2256,Jesé
0,0,0,1,Sub,Metz,Paris Saint Germain,0,2,2019-08-30,12747,2019,347120,0,0,0,0,0,0,0,2256,Jesé
1,1,0.5501997470855713,22,Sub,Real Madrid,Real Betis,0,2,2019-05-19,10328,2018,334145,0,0,0,1,0.5501997470855713,0.5501997470855713,0,2256,Jesé
0,0,0,9,Sub,Real Betis,SD Huesca,2,1,2019-05-12,10323,2018,332744,0,0,0,0,0,0.05138244107365608,0.05138244107365608,2256,Jesé
0,1,0.04014013335108757,4,Sub,Eibar,Real Betis,1,0,2019-05-05,10308,2018,330756,0,0,0,0,0.04014013335108757,0.04014013335108757,0,2256,Jesé
0,0,0,57,FW,Real Betis,Espanyol,1,1,2019-04-29,10304,2018,329499,0,0,0,0,0,0.318155974149704,0.318155974149704,2256,Jesé
0,2,0.12060710787773132,70,FW,Real Betis,Valencia,1,2,2019-04-21,10284,2018,326901,0,0,0,0,0.12060710787773132,0.12060710787773132,0,2256,Jesé
0,4,0.6072216629981995,75,FW,Sevilla,Real Betis,3,2,2019-04-13,10269,2018,324614,0,0,0,0,0.6072216629981995,0.6072216629981995,0,2256,Jesé
0,2,0.17841361463069916,81,FW,Real Betis,Villarreal,2,1,2019-04-07,10263,2018,323553,0.05640881881117821,0,2,0,0.17841361463069916,0.5175809860229492,0.28275853395462036,2256,Jesé
0,1,0.043892454355955124,23,Sub,Real Sociedad,Real Betis,2,1,2019-04-04,10249,2018,322265,0.44706106185913086,0,1,0,0.043892454355955124,0.4909535348415375,0.44706106185913086,2256,Jesé
0,0,0,81,FW,Rayo Vallecano,Real Betis,1,1,2019-03-31,10244,2018,318325,0.037260930985212326,0,1,0,0,0.037260930985212326,0,2256,Jesé
0,2,0.5829120874404907,90,FW,Real Betis,Barcelona,1,4,2019-03-17,10232,2018,317320,0.04623197019100189,0,2,0,0.5829120874404907,0.913642942905426,0.2844988703727722,2256,Jesé
1,3,0.5352045297622681,90,FW,Celta Vigo,Real Betis,0,1,2019-03-10,10219,2018,314923,0.05670022964477539,0,1,1,0.5352045297622681,0.9663930535316467,0.3986521065235138,2256,Jesé
0,0,0,43,Sub,Real Betis,Getafe,1,2,2019-03-03,10215,2018,311588,0,0,0,0,0,0.0566880963742733,0.0566880963742733,2256,Jesé
0,2,0.6067214608192444,66,AMC,Real Betis,Alaves,1,1,2019-02-17,10193,2018,311054,0,0,0,0,0.6067214608192444,0.6355723142623901,0.028850870206952095,2256,Jesé
