goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.03125043213367462,6,Sub,Brighton,Newcastle United,1,0,2017-09-24,7177,2017,176864,0.026080749928951263,0,1,0,0.03125043213367462,0.06524454802274704,0.03399411588907242,2329,Jesús Gámez
0,0,0,90,DL,Swansea,Newcastle United,0,1,2017-09-10,7157,2017,177299,0.09955708682537079,0,3,0,0,0.13207310438156128,0.03251602128148079,2329,Jesús Gámez
0,0,0,90,DL,Atletico Madrid,Rayo Vallecano,1,0,2016-04-30,1751,2015,103299,0,0,0,0,0,0.13717342913150787,0.13717342913150787,2329,Jesús Gámez
0,0,0,90,DR,Sporting Gijon,Atletico Madrid,2,1,2016-03-19,1690,2015,101085,0,0,0,0,0,0.10560186207294464,0.10560186207294464,2329,Jesús Gámez
0,0,0,90,DR,Atletico Madrid,Eibar,3,1,2016-02-06,1619,2015,99210,0.051743462681770325,0,1,0,0,0.08942960202693939,0.03768613561987877,2329,Jesús Gámez
0,0,0,44,Sub,Barcelona,Atletico Madrid,2,1,2016-01-30,1608,2015,99126,0,0,0,0,0,0,0,2329,Jesús Gámez
0,0,0,7,Sub,Celta Vigo,Atletico Madrid,0,2,2016-01-10,1587,2015,97605,0,0,0,0,0,0,0,2329,Jesús Gámez
0,0,0,90,DL,Rayo Vallecano,Atletico Madrid,0,2,2015-12-30,1560,2015,97153,0,0,0,0,0,0,0,2329,Jesús Gámez
0,1,0.04148530587553978,90,DR,Real Betis,Atletico Madrid,0,1,2015-11-22,1517,2015,96846,0,0,1,0,0.04148530587553978,0.0661064088344574,0.02462109737098217,2329,Jesús Gámez
0,1,0.032742686569690704,41,Sub,Atletico Madrid,Sporting Gijon,1,0,2015-11-08,1507,2015,95951,0.04072492569684982,0,1,0,0.032742686569690704,0.3062230944633484,0.26549819111824036,2329,Jesús Gámez
0,0,0,90,DR,Villarreal,Atletico Madrid,1,0,2015-09-26,1453,2015,95120,0.05913734436035156,0,1,0,0,0.21926966309547424,0.21926966309547424,2329,Jesús Gámez
0,0,0,90,DL,Sevilla,Atletico Madrid,0,3,2015-08-30,1415,2015,93568,0.011908140033483505,0,1,0,0,0.3010425865650177,0.2891344428062439,2329,Jesús Gámez
0,0,0,1,Sub,Granada,Atletico Madrid,0,0,2015-05-23,5497,2014,41349,0,0,0,0,0,0,0,2329,Jesús Gámez
0,0,0,90,DL,Villarreal,Atletico Madrid,0,1,2015-04-29,5562,2014,40866,0.07972974330186844,0,2,0,0,0.411224365234375,0.3480477035045624,2329,Jesús Gámez
0,0,0,90,DR,Atletico Madrid,Elche,3,0,2015-04-25,5547,2014,40293,0.11587303131818771,0,2,0,0,0.1520809531211853,0.09795285761356354,2329,Jesús Gámez
0,1,0.03118845447897911,90,DL,Deportivo La Coruna,Atletico Madrid,1,2,2015-04-18,5537,2014,44033,0.10347220301628113,0,1,0,0.03118845447897911,0.6288312077522278,0.49417054653167725,2329,Jesús Gámez
0,0,0,90,DL,Malaga,Atletico Madrid,2,2,2015-04-11,5526,2014,43755,0.13681799173355103,0,2,0,0,1.7087500095367432,1.6937357187271118,2329,Jesús Gámez
0,1,0.024953465908765793,90,DR,Atletico Madrid,Real Sociedad,2,0,2015-04-07,5515,2014,43461,0,0,0,0,0.024953465908765793,0.024953465908765793,0,2329,Jesús Gámez
0,0,0,90,DL,Cordoba,Atletico Madrid,0,2,2015-04-04,5507,2014,44312,0,0,0,0,0,0.604738175868988,0.604738175868988,2329,Jesús Gámez
0,3,0.062370579689741135,90,DL,Atletico Madrid,Getafe,2,0,2015-03-21,5592,2014,45610,0,0,0,0,0.062370579689741135,0.1253318190574646,0.1253318190574646,2329,Jesús Gámez
0,1,0.010278774425387383,90,DL,Espanyol,Atletico Madrid,0,0,2015-03-14,5582,2014,45040,0.014363243244588375,0,1,0,0.010278774425387383,0.014363243244588375,0.014363243244588375,2329,Jesús Gámez
0,0,0,90,DL,Sevilla,Atletico Madrid,0,0,2015-03-01,5568,2014,44704,0,0,0,0,0,0.0317426398396492,0.0317426398396492,2329,Jesús Gámez
0,1,0.013468892313539982,90,DR,Eibar,Atletico Madrid,1,3,2015-01-31,5684,2014,42978,0,0,0,0,0.013468892313539982,0.41702139377593994,0.40355250239372253,2329,Jesús Gámez
0,0,0,84,DL,Barcelona,Atletico Madrid,3,1,2015-01-11,5660,2014,42897,0,0,0,0,0,0,0,2329,Jesús Gámez
0,0,0,6,Sub,Athletic Club,Atletico Madrid,1,4,2014-12-21,5715,2014,39626,0,0,0,0,0,0,0,2329,Jesús Gámez
0,0,0,90,DR,Valencia,Atletico Madrid,3,1,2014-10-04,5755,2014,38084,0.011349564418196678,0,1,0,0,0.06330637633800507,0.06330637633800507,2329,Jesús Gámez
