goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,6,Sub,Manchester United,Burnley,2,2,2017-12-26,7314,2017,205687,0,0,0,0,0,0,0,863,Jonathan Walters
0,1,0.17943578958511353,11,Sub,Burnley,West Bromwich Albion,0,1,2017-08-19,7132,2017,176107,0,0,0,0,0.17943578958511353,0.17943578958511353,0,863,Jonathan Walters
0,0,0,12,Sub,Chelsea,Burnley,2,3,2017-08-12,7123,2017,175873,0,0,0,0,0,0,0,863,Jonathan Walters
0,1,0.012172659859061241,18,Sub,Southampton,Stoke,0,1,2017-05-21,3517,2016,125355,0.03143932670354843,0,1,0,0.012172659859061241,0,0,863,Jonathan Walters
0,1,0.4351153075695038,10,Sub,Bournemouth,Stoke,2,2,2017-05-06,3491,2016,134756,0,0,0,0,0.4351153075695038,0.4351153075695038,0,863,Jonathan Walters
0,2,0.19546575844287872,30,Sub,Stoke,Hull,3,1,2017-04-15,3463,2016,134825,0.11932166665792465,1,2,0,0.19546575844287872,0.335877925157547,0.021090498194098473,863,Jonathan Walters
1,1,0.5885536074638367,71,FW,Stoke,Liverpool,1,2,2017-04-08,3451,2016,133583,0.026435883715748787,0,1,1,0.5885536074638367,0.6056870222091675,0.01713341288268566,863,Jonathan Walters
0,0,0,56,FW,Leicester,Stoke,2,0,2017-04-01,3434,2016,132697,0.028138576075434685,0,1,0,0,0.1072440966963768,0.07910551875829697,863,Jonathan Walters
1,1,0.7611688375473022,90,FW,Stoke,Chelsea,1,2,2017-03-18,3424,2016,133611,0.059082500636577606,0,1,0,0,0.059082500636577606,0.059082500636577606,863,Jonathan Walters
0,1,0.03701013699173927,90,FW,Manchester City,Stoke,0,0,2017-03-08,3418,2016,132751,0.07924780249595642,0,1,0,0.03701013699173927,0.1162579357624054,0,863,Jonathan Walters
0,4,0.984430730342865,90,FWR,Stoke,Watford,2,0,2017-01-04,3338,2016,129650,0,0,0,0,0.984430730342865,0.984430730342865,0,863,Jonathan Walters
1,2,0.18978601694107056,90,FW,Liverpool,Stoke,4,1,2016-12-27,3153,2016,129470,0,0,0,1,0.18978601694107056,0.23257465660572052,0.04278863966464996,863,Jonathan Walters
0,2,0.21711190044879913,90,FW,Stoke,Leicester,2,2,2016-12-17,3138,2016,128628,0.04265030100941658,0,1,0,0.21711190044879913,0.2597621977329254,0.04265030100941658,863,Jonathan Walters
0,2,0.057157136499881744,90,FW,Stoke,Southampton,0,0,2016-12-15,3133,2016,131412,0,0,0,0,0.057157136499881744,0.057157136499881744,0,863,Jonathan Walters
1,1,0.08776886761188507,90,FW,Stoke,Burnley,2,0,2016-12-03,3107,2016,128736,0,0,0,1,0.08776886761188507,0.23347999155521393,0.14571112394332886,863,Jonathan Walters
0,3,0.12501581013202667,90,FW,Watford,Stoke,0,1,2016-11-27,2713,2016,128315,0.02861126884818077,0,1,0,0.12501581013202667,0.1254720240831375,0,863,Jonathan Walters
0,1,0.20324230194091797,15,Sub,Stoke,Bournemouth,0,1,2016-11-19,2699,2016,128602,0,0,0,0,0.20324230194091797,0.23013673722743988,0.026894444599747658,863,Jonathan Walters
0,1,0.08131907880306244,90,AMR,West Ham,Stoke,1,1,2016-11-05,2690,2016,128228,0.3777184784412384,1,2,0,0.08131907880306244,0.3777184784412384,0,863,Jonathan Walters
0,0,0,8,Sub,Stoke,Swansea,3,1,2016-11-01,2686,2016,127776,0,0,0,0,0,0,0,863,Jonathan Walters
0,0,0,11,Sub,Stoke,Sunderland,2,0,2016-10-15,535,2016,126923,0,0,0,0,0,0,0,863,Jonathan Walters
0,0,0,12,Sub,Manchester United,Stoke,1,1,2016-10-02,527,2016,127234,0,0,0,0,0,0,0,863,Jonathan Walters
0,1,0.2950674891471863,90,AMR,Crystal Palace,Stoke,4,1,2016-09-18,508,2016,126294,0.0983540266752243,0,1,0,0.2950674891471863,0.2950674891471863,0.2950674891471863,863,Jonathan Walters
0,1,0.04657075181603432,90,AMR,Stoke,Tottenham,0,4,2016-09-10,493,2016,126142,0,0,0,0,0.04657075181603432,0.27010083198547363,0.22353006899356842,863,Jonathan Walters
0,0,0,23,Sub,Everton,Stoke,1,0,2016-08-27,487,2016,125771,0,0,0,0,0,0.029631393030285835,0.029631393030285835,863,Jonathan Walters
0,0,0,16,Sub,Stoke,Manchester City,1,4,2016-08-20,472,2016,125508,0,0,0,0,0,0,0,863,Jonathan Walters
0,0,0,18,Sub,Middlesbrough,Stoke,1,1,2016-08-13,465,2016,125108,0,0,0,0,0,0.02234796993434429,0.02234796993434429,863,Jonathan Walters
0,0,0,90,AMR,Stoke,West Ham,2,1,2016-05-15,456,2015,57807,0.11770355701446533,0,2,0,0,0.11770355701446533,0,863,Jonathan Walters
0,1,0.05022716522216797,22,Sub,Crystal Palace,Stoke,2,1,2016-05-07,438,2015,62253,0,0,0,0,0.05022716522216797,0.05022716522216797,0,863,Jonathan Walters
