goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,4,0.08674262464046478,90,FW,Levante,Alaves,3,1,2022-05-15,17504,2021,536585,0,0,0,1,0.08674262464046478,0.035653356462717056,0,866,Joselu
0,7,0.6471150517463684,90,FW,Alaves,Espanyol,2,1,2022-05-11,17486,2021,534658,0.5205172896385193,1,4,0,0.6471150517463684,1.0833537578582764,0.09915334731340408,866,Joselu
0,2,0.12497497349977493,90,FW,Celta Vigo,Alaves,4,0,2022-05-07,17479,2021,532966,0,0,0,0,0.12497497349977493,0.12497497349977493,0,866,Joselu
0,2,0.1390225738286972,90,FW,Alaves,Villarreal,2,1,2022-04-30,17466,2021,530202,0.8677140474319458,1,3,0,0.1390225738286972,0.1810009479522705,0,866,Joselu
0,3,0.13884510099887848,90,FW,Mallorca,Alaves,2,1,2022-04-19,17459,2021,527519,0,0,0,0,0.13884510099887848,0.17274244129657745,0.03389735147356987,866,Joselu
1,5,0.2753007113933563,90,FW,Alaves,Rayo Vallecano,1,0,2022-04-16,17446,2021,526461,0.0812893807888031,0,1,1,0.2753007113933563,0.3002089560031891,0,866,Joselu
0,3,0.6312346458435059,90,FW,Osasuna,Alaves,1,0,2022-04-10,17440,2021,525115,0,0,0,0,0.6312346458435059,0.7007633447647095,0.06952869892120361,866,Joselu
0,1,0.09452065825462341,90,FW,Atletico Madrid,Alaves,4,1,2022-04-02,17427,2021,523154,0,0,0,0,0.09452065825462341,0.38189107179641724,0.2873704135417938,866,Joselu
0,3,0.849581778049469,70,FW,Alaves,Granada,2,3,2022-03-19,17416,2021,521055,0,0,0,0,0.10630413144826889,0.13703691959381104,0.030732780694961548,866,Joselu
0,4,0.1888759583234787,90,FW,Real Sociedad,Alaves,1,0,2022-03-13,17413,2021,520445,0.14008250832557678,0,2,0,0.1888759583234787,0.24343769252300262,0.07004650682210922,866,Joselu
0,5,0.8786580562591553,90,FW,Alaves,Sevilla,0,0,2022-03-04,17396,2021,517231,0,0,0,0,0.8786580562591553,1.1596598625183105,0.4076715409755707,866,Joselu
0,1,0.31612905859947205,90,FW,Getafe,Alaves,2,2,2022-02-26,17389,2021,516100,0.007582681719213724,0,1,0,0.31612905859947205,0.9112285375595093,0.5875167846679688,866,Joselu
0,0,0,90,FW,Real Madrid,Alaves,3,0,2022-02-19,17383,2021,514581,0.0487421378493309,0,1,0,0,0.0487421378493309,0,866,Joselu
1,2,0.784821629524231,90,FW,Alaves,Valencia,2,1,2022-02-13,17366,2021,513074,0.41493818163871765,0,3,0,0.04154399037361145,0.41493818163871765,0,866,Joselu
1,2,0.6217931509017944,56,FW,Elche,Alaves,3,1,2022-02-05,17365,2021,510955,0,0,0,1,0.6217931509017944,0.6217931509017944,0,866,Joselu
0,3,0.1683962196111679,90,FW,Alaves,Barcelona,0,1,2022-01-23,17346,2021,510763,0.14454180002212524,0,1,0,0.1683962196111679,0.31293803453445435,0,866,Joselu
0,2,0.053879301995038986,75,FW,Real Betis,Alaves,4,0,2022-01-18,17339,2021,508906,0,0,0,0,0.053879301995038986,0.043150901794433594,0.043150901794433594,866,Joselu
0,3,0.1850356012582779,90,FW,Alaves,Athletic Club,0,0,2022-01-09,17326,2021,507413,0.21277979016304016,0,2,0,0.1850356012582779,0.2842559218406677,0.16395443677902222,866,Joselu
1,6,0.9654585719108582,90,FW,Alaves,Real Sociedad,1,1,2022-01-02,17319,2021,505770,0.15182499587535858,0,4,0,0.22218096256256104,0.3149070739746094,0.07021775841712952,866,Joselu
1,2,0.20540116727352142,90,FW,Villarreal,Alaves,5,2,2021-12-21,17175,2021,504406,0.07697271555662155,1,1,1,0.20540116727352142,0.29737117886543274,0.014997306279838085,866,Joselu
0,1,0.04982557147741318,90,FW,Rayo Vallecano,Alaves,2,0,2021-12-18,17315,2021,503535,0.0517745241522789,0,1,0,0.04982557147741318,0.14804421365261078,0.0464441142976284,866,Joselu
1,4,0.6118730902671814,90,FW,Alaves,Getafe,1,1,2021-12-11,17296,2021,501733,0.036816082894802094,0,1,1,0.6118730902671814,0.5888848900794983,0,866,Joselu
0,2,0.17039854824543,90,FW,Granada,Alaves,2,1,2021-12-03,17290,2021,499575,0.20087462663650513,0,2,0,0.17039854824543,0.3406023383140564,0.10684648156166077,866,Joselu
1,2,0.15530188381671906,90,FW,Alaves,Celta Vigo,1,2,2021-11-27,17276,2021,497107,0.14885051548480988,0,3,1,0.15530188381671906,0.24040670692920685,0.028118794783949852,866,Joselu
1,2,0.8042973279953003,90,FW,Sevilla,Alaves,2,2,2021-11-20,17273,2021,495838,0,0,0,0,0.06101970747113228,0.09468730539083481,0.03366759791970253,866,Joselu
2,3,0.8532882928848267,90,FW,Alaves,Levante,2,1,2021-11-06,17256,2021,494178,0,0,0,1,0.11001066863536835,0.11001066863536835,0,866,Joselu
0,0,0,86,FW,Barcelona,Alaves,1,1,2021-10-30,17252,2021,492617,0.5197935700416565,1,1,0,0,0.5197935700416565,0.5197935700416565,866,Joselu
0,4,0.26742494106292725,90,FW,Alaves,Elche,1,0,2021-10-26,17239,2021,491208,0,0,0,0,0.26742494106292725,0.3200327754020691,0.052607811987400055,866,Joselu
2,6,1.6786656379699707,90,FW,Cadiz,Alaves,0,2,2021-10-23,17231,2021,490045,0.11558198928833008,0,1,1,0.9353879690170288,0.7051987648010254,0,866,Joselu
0,4,0.24281102418899536,90,FW,Alaves,Real Betis,0,1,2021-10-18,17216,2021,489307,0,0,0,0,0.24281102418899536,0.1391848921775818,0.0592365525662899,866,Joselu
0,1,0.013676370494067669,38,Sub,Athletic Club,Alaves,1,0,2021-10-01,17211,2021,486126,0,0,0,0,0.013676370494067669,0.013676370494067669,0,866,Joselu
0,1,0.04843902215361595,28,Sub,Alaves,Atletico Madrid,1,0,2021-09-25,17197,2021,484432,0,0,0,0,0.04843902215361595,0.04843902215361595,0,866,Joselu
0,1,0.017599133774638176,90,FW,Espanyol,Alaves,1,0,2021-09-22,17193,2021,483803,0.14310981333255768,0,2,0,0.017599133774638176,0.160708948969841,0.09685414284467697,866,Joselu
0,3,0.05879908800125122,90,FW,Alaves,Osasuna,0,2,2021-09-18,17176,2021,482428,0.0353424958884716,0,1,0,0.05879908800125122,0.15073814988136292,0.05659656599164009,866,Joselu
0,0,0,90,FW,Valencia,Alaves,3,0,2021-08-27,17157,2021,478673,0,0,0,0,0,0,0,866,Joselu
0,1,0.3582567572593689,79,FW,Alaves,Mallorca,0,1,2021-08-21,17147,2021,477080,0,0,0,0,0.3582567572593689,0.038080859929323196,0.038080859929323196,866,Joselu
1,2,0.7964885830879211,90,FW,Alaves,Real Madrid,1,4,2021-08-14,17140,2021,475932,0,0,0,0,0.053210947662591934,0.09918664395809174,0.0459756962954998,866,Joselu
0,2,0.1581585556268692,23,Sub,Sevilla,Alaves,1,0,2021-05-23,15155,2020,473781,0,0,0,0,0.1581585556268692,0.1581585556268692,0,866,Joselu
1,2,0.6032063961029053,90,FW,Alaves,Granada,4,2,2021-05-16,15138,2020,471571,0.08780928701162338,0,1,1,0.6032063961029053,1.146065592765808,0.5758199691772461,866,Joselu
1,2,0.1426706463098526,90,FW,Elche,Alaves,0,2,2021-05-11,15137,2020,469946,0.7048237919807434,1,3,1,0.1426706463098526,0.7602821588516235,0.05545835942029953,866,Joselu
1,6,0.8987677097320557,90,FW,Alaves,Levante,2,2,2021-05-08,15118,2020,468423,0,0,0,1,0.8987677097320557,0.16231323778629303,0,866,Joselu
0,1,0.03698614612221718,82,FW,Eibar,Alaves,3,0,2021-05-01,15114,2020,466875,0,0,0,0,0.03698614612221718,0.03698614612221718,0,866,Joselu
0,1,0.0895218551158905,90,FW,Valencia,Alaves,1,1,2021-04-24,15094,2020,465525,0.09391696751117706,0,2,0,0.0895218551158905,0.18343882262706757,0,866,Joselu
1,3,0.6112774014472961,90,FW,Alaves,Villarreal,2,1,2021-04-21,15078,2020,464680,0.5728904008865356,1,1,1,0.6112774014472961,1.1841678619384766,0,866,Joselu
0,5,0.11599288880825043,84,FW,Alaves,SD Huesca,1,0,2021-04-18,15098,2020,463652,0,0,0,0,0.11599288880825043,0.1002112403512001,0,866,Joselu
0,4,0.2610279321670532,90,FW,Athletic Club,Alaves,0,0,2021-04-10,15068,2020,461232,0.057747192680835724,0,1,0,0.2610279321670532,0.14633706212043762,0.019779613241553307,866,Joselu
