goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Nice,Lille,1,3,2022-05-14,18187,2021,535810,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,9,Sub,Lille,Lens,1,2,2022-04-16,18132,2021,526738,0.024853629991412163,0,1,0,0,0.024853629991412163,0,1784,Jérémy Pied
0,0,0,13,Sub,Lens,Lille,0,3,2021-05-07,16107,2020,468322,0.04039357602596283,0,1,0,0,0,0,1784,Jérémy Pied
0,0,0,73,DR,Lille,Strasbourg,1,1,2021-02-28,16019,2020,453177,0.047822099179029465,0,1,0,0,0.047822099179029465,0,1784,Jérémy Pied
0,0,0,73,DR,Lille,Lorient,4,0,2020-11-22,15859,2020,428996,0.12128105014562607,0,1,0,0,0.9014024138450623,0.780121386051178,1784,Jérémy Pied
0,1,0.025345519185066223,79,DR,Brest,Lille,3,2,2020-11-08,15852,2020,426763,0.24951408803462982,0,2,0,0.025345519185066223,0.8274111747741699,0.8020656704902649,1784,Jérémy Pied
0,0,0,84,DR,Lille,Metz,1,0,2020-09-13,14194,2020,414823,0,0,0,0,0,0.0762295126914978,0.0762295126914978,1784,Jérémy Pied
0,0,0,2,Sub,Reims,Lille,0,1,2020-08-30,13993,2020,414107,0,0,0,0,0,0.35667991638183594,0.35667991638183594,1784,Jérémy Pied
0,0,0,90,DR,Dijon,Lille,1,0,2020-01-12,12906,2019,388874,0,0,0,0,0,0.05883316323161125,0.05883316323161125,1784,Jérémy Pied
0,1,0.05956295132637024,90,DR,Lille,Dijon,1,0,2019-11-30,12857,2019,366483,0,0,0,0,0.05956295132637024,0.2274399995803833,0.16787704825401306,1784,Jérémy Pied
0,0,0,90,DR,Toulouse,Lille,2,1,2019-10-19,12802,2019,358239,0,0,0,0,0,0.08413015305995941,0.08413015305995941,1784,Jérémy Pied
0,0,0,90,DR,Nice,Lille,1,1,2019-09-28,12779,2019,354956,0.08853911608457565,0,1,0,0,0.17754682898521423,0.17754682898521423,1784,Jérémy Pied
0,1,0.014123274013400078,90,DR,Lille,Angers,2,1,2019-09-13,12755,2019,348594,0.08128135651350021,0,1,0,0.014123274013400078,0.17955486476421356,0.16543158888816833,1784,Jérémy Pied
0,0,0,90,DR,Rennes,Lille,3,1,2019-05-24,11022,2018,334743,0,0,0,0,0,0.14938966929912567,0.14938966929912567,1784,Jérémy Pied
0,0,0,5,Sub,Lille,Angers,5,0,2019-05-18,11005,2018,333881,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,90,DR,Strasbourg,Lille,1,1,2019-02-22,10900,2018,313587,0.007946796715259552,0,1,0,0,0.6964147686958313,0.6964147686958313,1784,Jérémy Pied
0,0,0,90,DR,Lille,Montpellier,0,0,2019-02-17,10886,2018,313406,0.034553419798612595,0,1,0,0,0.05928222835063934,0.05928222835063934,1784,Jérémy Pied
0,0,0,7,Sub,Guingamp,Lille,0,2,2019-02-10,10875,2018,313123,0.11376386880874634,0,1,0,0,0.11376386880874634,0.11376386880874634,1784,Jérémy Pied
0,0,0,5,Sub,Lille,Nice,4,0,2019-02-01,10864,2018,312750,0.6158177852630615,1,1,0,0,0.7393629550933838,0.12354514747858047,1784,Jérémy Pied
0,0,0,37,Sub,Marseille,Lille,1,2,2019-01-25,10855,2018,312490,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,90,DR,Lille,Amiens,2,1,2019-01-18,10851,2018,312160,0.40408751368522644,1,3,0,0,0.6881151795387268,0.5493531227111816,1784,Jérémy Pied
0,0,0,1,Sub,Caen,Lille,1,3,2019-01-11,10840,2018,311769,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,23,Sub,Nimes,Lille,2,3,2018-12-16,10821,2018,290404,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,7,Sub,Lille,Caen,1,0,2018-10-27,10747,2018,288642,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,90,DR,Southampton,Crystal Palace,1,2,2018-01-02,7336,2017,206547,0.12286685407161713,1,1,0,0,0.15442152321338654,0.03155467286705971,1784,Jérémy Pied
0,2,0.028276704251766205,90,DR,Bournemouth,Southampton,1,1,2017-12-03,7267,2017,179547,0.12028099596500397,0,1,0,0.028276704251766205,0.31623193621635437,0.18261785805225372,1784,Jérémy Pied
0,0,0,2,Sub,Southampton,Stoke,0,1,2017-05-21,3517,2016,125341,0,0,0,0,0,0,0,1784,Jérémy Pied
0,0,0,20,Sub,Southampton,Manchester United,0,0,2017-05-17,3412,2016,132956,0,0,0,0,0,0.041841767728328705,0.041841767728328705,1784,Jérémy Pied
0,0,0,90,DR,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135327,0,0,0,0,0,0.284984290599823,0.284984290599823,1784,Jérémy Pied
0,3,0.09670136868953705,7,Sub,Southampton,Watford,1,1,2016-08-13,466,2016,125122,0.07148981839418411,0,1,0,0.09670136868953705,0.18799492716789246,0.09129355847835541,1784,Jérémy Pied
0,1,0.010002367198467255,90,DR,Guingamp,Nice,2,3,2016-05-14,2241,2015,76473,0.08410549908876419,0,1,0,0.010002367198467255,0.3425963819026947,0.33259400725364685,1784,Jérémy Pied
0,1,0.03206002339720726,90,DR,Nice,Saint-Etienne,2,0,2016-05-07,2228,2015,75680,0.15048447251319885,0,2,0,0.03206002339720726,0.659675121307373,0.659675121307373,1784,Jérémy Pied
0,0,0,90,DL,Nantes,Nice,1,0,2016-04-30,2219,2015,76142,0,0,0,0,0,0.4425681233406067,0.4425681233406067,1784,Jérémy Pied
0,0,0,90,DR,Nice,Reims,2,0,2016-04-22,2209,2015,75321,0,0,0,0,0,0.092915840446949,0.092915840446949,1784,Jérémy Pied
0,0,0,90,DR,Lyon,Nice,1,1,2016-04-15,2199,2015,75638,0.1063433587551117,0,1,0,0,0.4212541878223419,0.3149108290672302,1784,Jérémy Pied
0,0,0,90,DR,Nice,Rennes,3,0,2016-04-10,2197,2015,76097,0,0,0,0,0,0.14406746625900269,0.14406746625900269,1784,Jérémy Pied
0,0,0,81,DL,Nice,GFC Ajaccio,3,0,2016-03-20,2177,2015,74411,0.06491681933403015,0,1,0,0,0.06491681933403015,0,1784,Jérémy Pied
0,1,0.012275023385882378,90,DL,Montpellier,Nice,0,2,2016-03-12,2163,2015,74150,0,0,0,0,0.012275023385882378,0.7545531988143921,0.7422781586647034,1784,Jérémy Pied
0,0,0,90,DL,Nice,Troyes,2,1,2016-03-05,2153,2015,74052,0.5035117268562317,1,1,0,0,0.5035117268562317,0,1784,Jérémy Pied
0,1,0.06959354132413864,90,DL,Nice,SC Bastia,0,2,2016-02-26,2138,2015,78046,0.5035271048545837,0,2,0,0.06959354132413864,0.8732356429100037,0.30011501908302307,1784,Jérémy Pied
0,1,0.058191969990730286,90,DL,Bordeaux,Nice,0,0,2016-02-19,2129,2015,77644,0,0,0,0,0.058191969990730286,0.07706817984580994,0.018876206129789352,1784,Jérémy Pied
0,2,0.03347763419151306,90,DL,Nice,Marseille,1,1,2016-02-15,2128,2015,77438,0,0,0,0,0.03347763419151306,0.03347763419151306,0.023800112307071686,1784,Jérémy Pied
0,0,0,90,DR,Monaco,Nice,1,0,2016-02-06,2109,2015,77060,0.13625898957252502,0,2,0,0,0.17586414515972137,0.08526894450187683,1784,Jérémy Pied
0,1,0.010944227688014507,90,DR,Nice,Toulouse,1,0,2016-02-03,2101,2015,76878,0.02873268350958824,0,1,0,0.010944227688014507,0.039676912128925323,0.02873268350958824,1784,Jérémy Pied
0,1,0.02860010601580143,90,DR,Caen,Nice,2,0,2016-01-31,2096,2015,73896,0.41298866271972656,0,3,0,0.02860010601580143,0.40192174911499023,0.3028927743434906,1784,Jérémy Pied
0,0,0,90,DR,Nice,Lorient,2,1,2016-01-23,2085,2015,73548,0.1263604611158371,0,2,0,0,0.1263604611158371,0.09377649426460266,1784,Jérémy Pied
0,0,0,90,DR,Nice,Angers,2,1,2016-01-15,2069,2015,73299,0,0,0,0,0,0.035051386803388596,0.035051386803388596,1784,Jérémy Pied
0,2,0.052267078310251236,90,DR,Lille,Nice,1,1,2016-01-10,2067,2015,72950,0,0,0,0,0.052267078310251236,0.0072382595390081406,0,1784,Jérémy Pied
0,0,0,90,DMR,Nice,Montpellier,1,0,2015-12-18,2049,2015,72408,0.034208375960588455,0,1,0,0,0.05425079166889191,0.05425079166889191,1784,Jérémy Pied
0,2,0.05478616803884506,90,DR,Reims,Nice,1,1,2015-12-12,2040,2015,72087,0,0,0,0,0.05478616803884506,0.3550225794315338,0.3329392671585083,1784,Jérémy Pied
0,1,0.08809930831193924,90,DMR,Toulouse,Nice,2,0,2015-11-28,2013,2015,71035,0.05199698731303215,0,1,0,0.08809930831193924,0.20688429474830627,0.06678800284862518,1784,Jérémy Pied
0,2,0.06836409121751785,90,DMR,Nice,Lyon,3,0,2015-11-20,1999,2015,70521,0.6748655438423157,1,2,0,0.06836409121751785,1.24091374874115,1.0415207147598267,1784,Jérémy Pied
0,0,0,90,DR,Marseille,Nice,0,1,2015-11-08,1996,2015,71081,0,0,0,0,0,0.031439244747161865,0.031439244747161865,1784,Jérémy Pied
0,0,0,90,DR,Nice,Nantes,1,2,2015-11-04,1988,2015,114361,0.05311250686645508,0,2,0,0,0.45096632838249207,0.397853821516037,1784,Jérémy Pied
0,0,0,90,DR,Nice,Lille,0,0,2015-11-01,1985,2015,71436,0.07297951728105545,0,1,0,0,0.07297951728105545,0,1784,Jérémy Pied
0,1,0.04803897440433502,90,DR,GFC Ajaccio,Nice,3,1,2015-10-24,1971,2015,70280,0.07429604977369308,0,1,0,0.04803897440433502,0.12960484623908997,0.12960484623908997,1784,Jérémy Pied
0,1,0.02230660617351532,90,DR,Rennes,Nice,1,4,2015-10-18,1967,2015,70116,0.44172394275665283,0,1,0,0.02230660617351532,0.5541586875915527,0.5318520665168762,1784,Jérémy Pied
0,1,0.013833880424499512,90,DR,Saint-Etienne,Nice,1,4,2015-09-27,1947,2015,69337,0,0,0,0,0.013833880424499512,0.17871060967445374,0.16487672924995422,1784,Jérémy Pied
0,2,0.11466298997402191,90,DR,Nice,Bordeaux,6,1,2015-09-23,1932,2015,69523,0.11948587000370026,1,3,0,0.11466298997402191,1.1574349403381348,1.0064424276351929,1784,Jérémy Pied
0,0,0,90,DR,SC Bastia,Nice,1,3,2015-09-19,1922,2015,68477,0,0,0,0,0,0.02327616885304451,0.02327616885304451,1784,Jérémy Pied
0,1,0.0896461084485054,90,DR,Nice,Guingamp,0,1,2015-09-12,1915,2015,69128,0.13616548478603363,0,2,0,0.0896461084485054,0.29119011759757996,0.06537851691246033,1784,Jérémy Pied
0,0,0,90,DR,Angers,Nice,1,1,2015-08-29,1903,2015,68947,0.07284681499004364,0,2,0,0,0.10773082822561264,0.10773082822561264,1784,Jérémy Pied
