goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,19,Sub,Bayern Munich,Hannover 96,3,1,2019-05-04,10616,2018,330201,0,0,0,0,0,0,0,650,Kevin Wimmer
0,0,0,90,DC,Wolfsburg,Hannover 96,3,1,2019-04-06,10588,2018,322449,0,0,0,0,0,0.5823577046394348,0.5823577046394348,650,Kevin Wimmer
0,0,0,90,DC,Hannover 96,Schalke 04,0,1,2019-03-31,10577,2018,318554,0.017397336661815643,0,1,0,0,0.09297464787960052,0.07557731121778488,650,Kevin Wimmer
0,0,0,90,DC,Augsburg,Hannover 96,3,1,2019-03-16,10567,2018,316270,0,0,0,0,0,0.8493477702140808,0.8493477702140808,650,Kevin Wimmer
0,0,0,90,DC,Hannover 96,Bayer Leverkusen,2,3,2019-03-10,10561,2018,315401,0,0,0,0,0,0,0,650,Kevin Wimmer
0,0,0,90,DC,VfB Stuttgart,Hannover 96,5,1,2019-03-03,10546,2018,308998,0,0,0,0,0,0.5996826887130737,0.5996826887130737,650,Kevin Wimmer
0,0,0,90,DC,Hannover 96,Eintracht Frankfurt,0,3,2019-02-24,10540,2018,308735,0.0440758652985096,0,1,0,0,0.0440758652985096,0,650,Kevin Wimmer
0,1,0.1610938310623169,90,DC,Hoffenheim,Hannover 96,3,0,2019-02-16,10526,2018,308389,0,0,0,0,0.1610938310623169,0,0,650,Kevin Wimmer
0,0,0,47,Sub,Hannover 96,Nuernberg,2,0,2019-02-09,10522,2018,308217,0.03765331581234932,0,1,0,0,0.4983347952365875,0.4606814682483673,650,Kevin Wimmer
0,0,0,90,DC,Borussia Dortmund,Hannover 96,5,1,2019-01-26,10500,2018,307696,0.15564166009426117,0,2,0,0,0.07194291800260544,0.07194291800260544,650,Kevin Wimmer
0,1,0.05016986280679703,90,DC,Hannover 96,Werder Bremen,0,1,2019-01-19,10494,2018,307519,0.05015111714601517,0,1,0,0.05016986280679703,0.07986534386873245,0.07986534386873245,650,Kevin Wimmer
0,0,0,90,DC,Hannover 96,Bayern Munich,0,4,2018-12-15,10469,2018,284074,0,0,0,0,0,0,0,650,Kevin Wimmer
0,0,0,90,DC,Mainz 05,Hannover 96,1,1,2018-12-09,10461,2018,284422,0,0,0,0,0,0.44839173555374146,0.44839173555374146,650,Kevin Wimmer
