goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,6,0.5546280741691589,90,DR,VfB Stuttgart,FC Cologne,2,1,2022-05-14,17816,2021,535348,0.039259906858205795,0,1,0,0.5546280741691589,0.9551856517791748,0.5770968794822693,6722,Konstantinos Mavropanos
0,1,0.009026551619172096,90,DC,Bayern Munich,VfB Stuttgart,2,2,2022-05-08,17812,2021,533769,0,0,0,0,0.009026551619172096,0.10574737191200256,0.09672082215547562,6722,Konstantinos Mavropanos
0,3,0.06916473805904388,90,DC,VfB Stuttgart,Wolfsburg,1,1,2022-04-30,17799,2021,530414,0.03259344398975372,0,1,0,0.06916473805904388,0.439837783575058,0.42626455426216125,6722,Konstantinos Mavropanos
0,2,0.1536135971546173,90,DC,Hertha Berlin,VfB Stuttgart,2,0,2022-04-24,17789,2021,529581,0,0,0,0,0.1536135971546173,0.18827077746391296,0.034657180309295654,6722,Konstantinos Mavropanos
0,0,0,90,DC,Mainz 05,VfB Stuttgart,0,0,2022-04-16,17779,2021,526324,0,0,0,0,0,0.3495338559150696,0.3495338559150696,6722,Konstantinos Mavropanos
0,1,0.4575040936470032,90,DC,VfB Stuttgart,Borussia Dortmund,0,2,2022-04-08,17772,2021,524157,0,0,0,0,0.4575040936470032,0.15893054008483887,0.15893054008483887,6722,Konstantinos Mavropanos
0,1,0.43367111682891846,90,DC,Arminia Bielefeld,VfB Stuttgart,1,1,2022-04-02,17759,2021,522710,0,0,0,0,0.43367111682891846,0.26390114426612854,0.26390114426612854,6722,Konstantinos Mavropanos
0,1,0.10181015729904175,90,DC,VfB Stuttgart,Augsburg,3,2,2022-03-19,17755,2021,521140,0.14380398392677307,0,2,0,0.10181015729904175,0.36223965883255005,0.36223965883255005,6722,Konstantinos Mavropanos
0,1,0.06939450651407242,59,DR,Union Berlin,VfB Stuttgart,1,1,2022-03-12,17746,2021,519253,0.03956979513168335,0,1,0,0.06939450651407242,0,0,6722,Konstantinos Mavropanos
0,1,0.10137919336557388,90,DR,VfB Stuttgart,Borussia M.Gladbach,3,2,2022-03-05,17737,2021,517816,0.03201810643076897,0,1,0,0.10137919336557388,0.7104412317276001,0.7104412317276001,6722,Konstantinos Mavropanos
0,2,0.03647332638502121,90,DC,Hoffenheim,VfB Stuttgart,2,1,2022-02-25,17726,2021,515527,0,0,0,0,0.03647332638502121,0.01538982056081295,0,6722,Konstantinos Mavropanos
0,1,0.04903913661837578,90,DC,VfB Stuttgart,Bochum,1,1,2022-02-19,17719,2021,514059,0,0,0,0,0.04903913661837578,0.32813018560409546,0.32813018560409546,6722,Konstantinos Mavropanos
0,0,0,90,DC,Bayer Leverkusen,VfB Stuttgart,4,2,2022-02-12,17711,2021,512837,0,0,0,0,0,0.08994022011756897,0.08994022011756897,6722,Konstantinos Mavropanos
0,1,0.019354306161403656,90,DC,VfB Stuttgart,Eintracht Frankfurt,2,3,2022-02-05,17701,2021,511025,0,0,0,0,0.019354306161403656,1.0265549421310425,1.0265549421310425,6722,Konstantinos Mavropanos
0,0,0,90,DC,Freiburg,VfB Stuttgart,2,0,2022-01-22,17691,2021,509625,0.06747876852750778,0,1,0,0,0.06747876852750778,0,6722,Konstantinos Mavropanos
0,0,0,83,DC,VfB Stuttgart,RasenBallsport Leipzig,0,2,2022-01-15,17682,2021,508024,0,0,0,0,0,0.09965644031763077,0.09965644031763077,6722,Konstantinos Mavropanos
0,0,0,90,DC,FC Cologne,VfB Stuttgart,1,0,2021-12-19,17662,2021,504187,0,0,0,0,0,0.10446155816316605,0.10446155816316605,6722,Konstantinos Mavropanos
0,0,0,90,DC,VfB Stuttgart,Bayern Munich,0,5,2021-12-14,17654,2021,502914,0,0,0,0,0,0.09275216609239578,0.09275216609239578,6722,Konstantinos Mavropanos
1,1,0.05018654093146324,90,DC,Wolfsburg,VfB Stuttgart,0,2,2021-12-11,17648,2021,501928,0,0,0,1,0.05018654093146324,0.11009185016155243,0.059905312955379486,6722,Konstantinos Mavropanos
0,0,0,90,DC,VfB Stuttgart,Hertha Berlin,2,2,2021-12-05,17637,2021,500743,0,0,0,0,0,0.26984140276908875,0.26984140276908875,6722,Konstantinos Mavropanos
0,0,0,90,DC,VfB Stuttgart,Mainz 05,2,1,2021-11-26,17628,2021,496926,0,0,0,0,0,0.14064395427703857,0.14064395427703857,6722,Konstantinos Mavropanos
0,1,0.031468600034713745,90,DC,Borussia Dortmund,VfB Stuttgart,2,1,2021-11-20,17623,2021,495508,0,0,0,0,0.031468600034713745,0,0,6722,Konstantinos Mavropanos
0,0,0,90,DC,VfB Stuttgart,Union Berlin,1,1,2021-10-24,17593,2021,490808,0.09348486363887787,0,1,0,0,0.15353158116340637,0.15353158116340637,6722,Konstantinos Mavropanos
1,2,0.09911739826202393,90,DC,Borussia M.Gladbach,VfB Stuttgart,1,1,2021-10-16,17583,2021,488408,0,0,0,1,0.09911739826202393,0.015268165618181229,0,6722,Konstantinos Mavropanos
1,2,0.10595975816249847,90,DC,VfB Stuttgart,Hoffenheim,3,1,2021-10-02,17574,2021,486374,0,0,0,1,0.10595975816249847,0.08328960090875626,0,6722,Konstantinos Mavropanos
0,1,0.06520682573318481,85,DR,Bochum,VfB Stuttgart,0,0,2021-09-26,17568,2021,485503,0,0,0,0,0.06520682573318481,0,0,6722,Konstantinos Mavropanos
0,2,0.11847469955682755,90,DC,VfB Stuttgart,Bayer Leverkusen,1,3,2021-09-19,17558,2021,482822,0.025356350466609,0,2,0,0.11847469955682755,0.2385926991701126,0.2385926991701126,6722,Konstantinos Mavropanos
0,0,0,90,DC,Eintracht Frankfurt,VfB Stuttgart,1,1,2021-09-12,17549,2021,509260,0,0,0,0,0,0.06032804772257805,0.06032804772257805,6722,Konstantinos Mavropanos
