goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,4,Sub,Crystal Palace,West Bromwich Albion,2,0,2018-05-13,7493,2017,240187,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,3,Sub,Crystal Palace,Leicester,5,0,2018-04-28,7470,2017,235751,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,7,Sub,Chelsea,Crystal Palace,2,1,2018-03-10,7411,2017,222509,0,0,0,0,0,0.3192349970340729,0.3192349970340729,526,Lee Chung-yong
0,0,0,2,Sub,Crystal Palace,Tottenham,0,1,2018-02-25,7397,2017,219662,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,1,Sub,Crystal Palace,Manchester City,0,0,2017-12-31,7321,2017,206338,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,68,FWL,Burnley,Crystal Palace,1,0,2017-09-10,7156,2017,176891,0.05953376740217209,0,1,0,0,0.1365516036748886,0.07701783627271652,526,Lee Chung-yong
0,1,0.01777133345603943,41,Sub,Crystal Palace,Swansea,0,2,2017-08-26,7141,2017,177073,0.038291580975055695,0,1,0,0.01777133345603943,0.10455844551324844,0.10455844551324844,526,Lee Chung-yong
0,0,0,32,Sub,Manchester City,Crystal Palace,5,0,2017-05-06,3497,2016,135088,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,29,Sub,Crystal Palace,Everton,0,1,2017-01-21,3353,2016,131553,0.07714372873306274,0,1,0,0,0,0,526,Lee Chung-yong
0,1,0.04538581520318985,19,Sub,West Ham,Crystal Palace,3,0,2017-01-14,3346,2016,131205,0,0,0,0,0.04538581520318985,0.04538581520318985,0,526,Lee Chung-yong
0,0,0,18,Sub,Arsenal,Crystal Palace,2,0,2017-01-01,3329,2016,130023,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,82,ML,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131021,0,0,0,0,0,0.01900569163262844,0.01900569163262844,526,Lee Chung-yong
0,0,0,6,Sub,Crystal Palace,Manchester City,1,2,2016-11-19,2703,2016,128276,0,0,0,0,0,0.07931072264909744,0.07931072264909744,526,Lee Chung-yong
0,0,0,69,AML,Crystal Palace,Liverpool,2,4,2016-10-29,2683,2016,127521,0,0,0,0,0,0,0,526,Lee Chung-yong
0,1,0.009232277050614357,17,Sub,Leicester,Crystal Palace,3,1,2016-10-22,544,2016,127264,0,0,0,0,0.009232277050614357,0.009232277050614357,0,526,Lee Chung-yong
0,0,0,1,Sub,Everton,Crystal Palace,1,1,2016-09-30,521,2016,127070,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,1,Sub,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126744,0.4947815239429474,1,1,0,0,0,0,526,Lee Chung-yong
0,0,0,4,Sub,Crystal Palace,Stoke,4,1,2016-09-18,508,2016,126286,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,12,Sub,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126134,0.022447459399700165,0,1,0,0,0.05409347265958786,0.031646013259887695,526,Lee Chung-yong
0,2,0.1959657073020935,22,Sub,Crystal Palace,Bournemouth,1,1,2016-08-27,486,2016,125730,0.007153944578021765,0,1,0,0.1959657073020935,0.25602203607559204,0.06005632504820824,526,Lee Chung-yong
0,0,0,84,AMC,Tottenham,Crystal Palace,1,0,2016-08-20,475,2016,125599,0,0,0,0,0,0.0182535108178854,0.0182535108178854,526,Lee Chung-yong
0,0,0,67,AMC,Crystal Palace,West Bromwich Albion,0,1,2016-08-13,462,2016,124985,0.30572766065597534,0,3,0,0,0.3581995964050293,0.0951698049902916,526,Lee Chung-yong
0,0,0,10,Sub,Southampton,Crystal Palace,4,1,2016-05-15,455,2015,57799,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,61,AMC,Manchester United,Crystal Palace,2,0,2016-04-20,417,2015,67405,0.054125674068927765,0,1,0,0,0.054125674068927765,0,526,Lee Chung-yong
0,1,0.03667725622653961,41,Sub,Crystal Palace,Watford,1,2,2016-02-13,335,2015,61112,0.06615504622459412,0,3,0,0.03667725622653961,0.016700588166713715,0.007443730719387531,526,Lee Chung-yong
0,1,0.019693266600370407,47,AML,Swansea,Crystal Palace,1,1,2016-02-06,325,2015,59500,0,0,0,0,0.019693266600370407,0.019693266600370407,0,526,Lee Chung-yong
0,2,0.08212590962648392,70,AML,Crystal Palace,Bournemouth,1,2,2016-02-03,316,2015,60613,0,0,0,0,0.08212590962648392,0.2031697779893875,0.14423148334026337,526,Lee Chung-yong
0,0,0,4,Sub,Manchester City,Crystal Palace,4,0,2016-01-16,292,2015,57937,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,82,AML,Crystal Palace,Chelsea,0,3,2016-01-03,279,2015,61026,0.03664625436067581,0,1,0,0,0.2960079312324524,0.2960079312324524,526,Lee Chung-yong
0,0,0,18,Sub,Crystal Palace,Swansea,0,0,2015-12-28,264,2015,58281,0,0,0,0,0,0.08896797150373459,0.08896797150373459,526,Lee Chung-yong
1,1,0.019753960892558098,8,Sub,Stoke,Crystal Palace,1,2,2015-12-19,243,2015,58377,0.30146345496177673,0,1,1,0.019753960892558098,0,0,526,Lee Chung-yong
0,0,0,13,Sub,Crystal Palace,Newcastle United,5,1,2015-11-28,214,2015,61992,0,0,0,0,0,0.10282900929450989,0.10282900929450989,526,Lee Chung-yong
0,0,0,3,Sub,Crystal Palace,Manchester City,0,1,2015-09-12,123,2015,63860,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,5,Sub,Chelsea,Crystal Palace,1,2,2015-08-29,115,2015,63518,0,0,0,0,0,0,0,526,Lee Chung-yong
0,0,0,13,Sub,Crystal Palace,Arsenal,1,2,2015-08-16,98,2015,57397,0,0,0,0,0,0,0,526,Lee Chung-yong
0,2,0.09530611336231232,60,ML,Liverpool,Crystal Palace,1,3,2015-05-16,4425,2014,25391,0,0,0,0,0.09530611336231232,0.12591233849525452,0.07193107903003693,526,Lee Chung-yong
0,0,0,2,Sub,Crystal Palace,Manchester United,1,2,2015-05-09,4415,2014,23626,0,0,0,0,0,0.05618482083082199,0.05618482083082199,526,Lee Chung-yong
0,0,0,24,Sub,Crystal Palace,Hull,0,2,2015-04-25,4474,2014,25192,0,0,0,0,0,0.023852787911891937,0.023852787911891937,526,Lee Chung-yong
