goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.04808919504284859,66,DC,Lens,Nantes,2,2,2022-04-30,18162,2021,530616,0.01746152900159359,0,1,0,0.04808919504284859,0.1337118297815323,0.085622638463974,943,Massadio Haidara
0,1,0.010558889247477055,29,Sub,Paris Saint Germain,Lens,1,1,2022-04-23,18158,2021,529020,0,0,0,0,0.010558889247477055,0.010558889247477055,0,943,Massadio Haidara
0,0,0,16,ML,Lens,Nice,3,0,2022-04-10,18126,2021,525487,0,0,0,0,0,0,0,943,Massadio Haidara
1,1,0.11450739949941635,90,DC,Lens,Clermont Foot,3,1,2022-03-19,18104,2021,521292,0,0,0,1,0.11450739949941635,0.25777876377105713,0.25777876377105713,943,Massadio Haidara
0,0,0,79,ML,Metz,Lens,0,0,2022-03-13,18097,2021,519999,0.019113797694444656,0,1,0,0,0.019113797694444656,0,943,Massadio Haidara
0,0,0,76,ML,Lens,Brest,0,1,2022-03-05,18086,2021,517699,0,0,0,0,0,0.7750592827796936,0.7750592827796936,943,Massadio Haidara
0,0,0,74,DML,Angers,Lens,1,2,2022-02-27,18077,2021,516653,0,0,0,0,0,0,0,943,Massadio Haidara
0,0,0,90,ML,Lens,Lyon,1,1,2022-02-19,18068,2021,514355,0,0,0,0,0,0.11394456028938293,0.11394456028938293,943,Massadio Haidara
0,0,0,90,ML,Lens,Bordeaux,3,2,2022-02-13,18059,2021,513458,0.11149559915065765,1,1,0,0,0.21984872221946716,0.10835312306880951,943,Massadio Haidara
0,0,0,90,DML,Lorient,Lens,2,0,2022-02-06,18045,2021,511472,0,0,0,0,0,0.036072034388780594,0.036072034388780594,943,Massadio Haidara
0,0,0,90,DC,Nice,Lens,2,1,2021-12-22,18009,2021,504849,0,0,0,0,0,0.054872460663318634,0.054872460663318634,943,Massadio Haidara
0,0,0,90,DML,Nantes,Lens,3,2,2021-12-10,18000,2021,501302,0,0,0,0,0,0,0,943,Massadio Haidara
0,1,0.03411681950092316,9,Sub,Lens,Paris Saint Germain,1,1,2021-12-04,17991,2021,500281,0,0,0,0,0.03411681950092316,0.03411681950092316,0,943,Massadio Haidara
0,0,0,80,DC,Clermont Foot,Lens,2,2,2021-12-01,17974,2021,499164,0,0,0,0,0,0.23092849552631378,0.23092849552631378,943,Massadio Haidara
0,1,0.1282111555337906,43,Sub,Lens,Angers,2,2,2021-11-26,17965,2021,496999,0,0,0,0,0.1282111555337906,1.0674511194229126,1.0674511194229126,943,Massadio Haidara
0,0,0,15,Sub,Brest,Lens,4,0,2021-11-21,17953,2021,496226,0,0,0,0,0,0,0,943,Massadio Haidara
0,0,0,11,Sub,Lens,Troyes,4,0,2021-11-05,17943,2021,493586,0,0,0,0,0,0,0,943,Massadio Haidara
0,0,0,15,Sub,Lens,Reims,2,0,2021-10-01,17903,2021,486145,0,0,0,0,0,0.12191128730773926,0.12191128730773926,943,Massadio Haidara
0,0,0,3,Sub,Marseille,Lens,2,3,2021-09-26,17896,2021,485825,0,0,0,0,0,0,0,943,Massadio Haidara
0,0,0,10,Sub,Monaco,Lens,0,2,2021-08-21,17843,2021,477132,0,0,0,0,0,0,0,943,Massadio Haidara
0,0,0,90,DL,Lens,Monaco,0,0,2021-05-23,16128,2020,473846,0.09497550129890442,0,1,0,0,0.10698898136615753,0.01201348565518856,943,Massadio Haidara
1,1,0.3703547418117523,90,DC,Lens,Nimes,2,1,2021-04-25,16094,2020,465857,0,0,0,1,0.3703547418117523,0.18484129011631012,0.18484129011631012,943,Massadio Haidara
0,0,0,90,DC,Brest,Lens,1,1,2021-04-18,16084,2020,463391,0,0,0,0,0,0,0,943,Massadio Haidara
0,1,0.4954361617565155,90,ML,Lens,Lorient,4,1,2021-04-11,16067,2020,461726,0,0,0,0,0.4954361617565155,0.11520975083112717,0.11520975083112717,943,Massadio Haidara
0,0,0,90,ML,Lens,Lyon,1,1,2021-04-03,16060,2020,459979,0,0,0,0,0,0.22872640192508698,0.22872640192508698,943,Massadio Haidara
1,1,0.1374875009059906,90,ML,Strasbourg,Lens,1,2,2021-03-21,16053,2020,458402,0,0,0,1,0.1374875009059906,0.44556817412376404,0.44556817412376404,943,Massadio Haidara
0,0,0,90,ML,Lens,Metz,2,2,2021-03-14,16038,2020,456951,0,0,0,0,0,0.1414143443107605,0.1414143443107605,943,Massadio Haidara
0,1,0.03951273486018181,90,ML,Saint-Etienne,Lens,2,3,2021-03-03,16034,2020,453658,0.03182957321405411,0,1,0,0.03951273486018181,0.4231035113334656,0.35176119208335876,943,Massadio Haidara
0,0,0,85,ML,Angers,Lens,2,2,2021-02-28,16016,2020,453075,0.08478384464979172,0,1,0,0,0.1310843974351883,0.046300552785396576,943,Massadio Haidara
0,0,0,90,ML,Lens,Dijon,2,1,2021-02-21,16007,2020,451299,0.06394108384847641,0,1,0,0,0.14445601403713226,0.14445601403713226,943,Massadio Haidara
0,3,0.25300151109695435,84,ML,Reims,Lens,1,1,2021-02-13,16004,2020,449243,0.4210856854915619,0,2,0,0.25300151109695435,0.4632599651813507,0.4210856854915619,943,Massadio Haidara
0,0,0,90,ML,Lens,Marseille,2,2,2021-02-03,15978,2020,447131,0.09778092056512833,0,2,0,0,0.3365384638309479,0.26026642322540283,943,Massadio Haidara
0,1,0.39220547676086426,90,ML,Montpellier,Lens,1,2,2021-01-30,15972,2020,445757,0.0818796455860138,0,1,0,0.39220547676086426,0.0818796455860138,0,943,Massadio Haidara
0,0,0,90,ML,Marseille,Lens,0,1,2021-01-20,15845,2020,443621,0.48127204179763794,1,4,0,0,0.5342522263526917,0.13532903790473938,943,Massadio Haidara
0,0,0,90,DC,Nantes,Lens,1,1,2021-01-17,15953,2020,442669,0,0,0,0,0,0.0525779202580452,0.0525779202580452,943,Massadio Haidara
0,1,0.02078111842274666,90,DC,Lens,Strasbourg,0,1,2021-01-09,15938,2020,441121,0,0,0,0,0.02078111842274666,0.16068916022777557,0.13990803062915802,943,Massadio Haidara
0,2,0.13780994713306427,24,Sub,Lens,Brest,2,1,2020-12-23,15920,2020,437566,0.11153765022754669,0,1,0,0.13780994713306427,0.6058384776115417,0.3564909100532532,943,Massadio Haidara
0,0,0,90,DC,Metz,Lens,2,0,2020-12-19,15910,2020,436045,0.08946996927261353,0,1,0,0,0.1554020494222641,0.06593208014965057,943,Massadio Haidara
0,0,0,90,DC,Monaco,Lens,0,3,2020-12-16,15901,2020,435263,0,0,0,0,0,0.48835864663124084,0.48835864663124084,943,Massadio Haidara
0,0,0,90,DC,Lens,Montpellier,2,3,2020-12-12,15887,2020,433347,0,0,0,0,0,0.19540327787399292,0.19540327787399292,943,Massadio Haidara
0,0,0,90,DC,Rennes,Lens,0,2,2020-12-05,15885,2020,431377,0,0,0,0,0,0.3431468605995178,0.3431468605995178,943,Massadio Haidara
0,0,0,62,ML,Lens,Angers,1,3,2020-11-29,15867,2020,430189,0,0,0,0,0,0.42214515805244446,0.42214515805244446,943,Massadio Haidara
0,0,0,90,DC,Lens,Nantes,1,1,2020-11-25,15834,2020,429168,0,0,0,0,0,0,0,943,Massadio Haidara
0,0,0,90,ML,Lille,Lens,4,0,2020-10-18,15818,2020,422335,0,0,0,0,0,0.06536270678043365,0.06536270678043365,943,Massadio Haidara
0,1,0.346985787153244,86,ML,Lens,Saint-Etienne,2,0,2020-10-03,15807,2020,419579,0.13633093237876892,0,2,0,0.346985787153244,0.6003938913345337,0.11707718670368195,943,Massadio Haidara
