goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.01692982017993927,87,MC,Manchester United,Watford,1,0,2018-05-13,7496,2017,240264,0,0,0,0,0.01692982017993927,0.3846633732318878,0.36773353815078735,654,Michael Carrick
0,1,0.38730108737945557,23,Sub,Newcastle United,Manchester United,1,0,2018-02-11,7383,2017,215184,0.039173245429992676,0,1,0,0.38730108737945557,0.42647433280944824,0.039173245429992676,654,Michael Carrick
0,0,0,46,Sub,Manchester United,Crystal Palace,2,0,2017-05-21,3516,2016,125314,0,0,0,0,0,0.17734813690185547,0.17734813690185547,654,Michael Carrick
0,0,0,25,Sub,Southampton,Manchester United,0,0,2017-05-17,3412,2016,132972,0,0,0,0,0,0.02418779581785202,0.02418779581785202,654,Michael Carrick
0,0,0,90,DMC,Tottenham,Manchester United,2,1,2017-05-14,3507,2016,133894,0.10020852088928223,0,1,0,0,0.10020852088928223,0,654,Michael Carrick
0,0,0,90,MC,Arsenal,Manchester United,2,0,2017-05-07,3490,2016,134696,0.014121079817414284,0,1,0,0,0.09947769343852997,0.09947769343852997,654,Michael Carrick
0,1,0.04580928385257721,90,DMC,Manchester United,Swansea,1,1,2017-04-30,3482,2016,134407,0.0678715780377388,0,1,0,0.04580928385257721,0.6244516372680664,0.5565800666809082,654,Michael Carrick
0,0,0,90,MC,Manchester City,Manchester United,0,0,2017-04-27,3398,2016,131868,0,0,0,0,0,0,0,654,Michael Carrick
0,0,0,1,Sub,Burnley,Manchester United,0,2,2017-04-23,3472,2016,134097,0,0,0,0,0,0,0,654,Michael Carrick
0,0,0,28,Sub,Manchester United,Chelsea,2,0,2017-04-16,3460,2016,134661,0.05733770504593849,0,1,0,0,0.05733770504593849,0,654,Michael Carrick
0,2,0.06863687187433243,67,MC,Manchester United,Everton,1,1,2017-04-04,3446,2016,132626,0.04523298144340515,0,2,0,0.06863687187433243,0.1332847625017166,0.04212663322687149,654,Michael Carrick
0,1,0.03425262123346329,90,DMC,Manchester United,West Bromwich Albion,0,0,2017-04-01,3436,2016,132872,0.022802725434303284,0,1,0,0.03425262123346329,0.15903878211975098,0.1019834354519844,654,Michael Carrick
0,1,0.016075456514954567,90,DMC,Middlesbrough,Manchester United,1,3,2017-03-19,3425,2016,133510,0,0,0,0,0.016075456514954567,0.6320400834083557,0.6159646511077881,654,Michael Carrick
0,0,0,74,DMC,Manchester United,Bournemouth,1,1,2017-03-04,3402,2016,132898,0.14988014101982117,0,2,0,0,0.16468004882335663,0.043995052576065063,654,Michael Carrick
0,0,0,49,MC,Manchester United,Hull,0,0,2017-02-01,3368,2016,132320,0,0,0,0,0,0.294922411441803,0.294922411441803,654,Michael Carrick
0,0,0,47,MC,Manchester United,Liverpool,1,1,2017-01-15,3349,2016,130635,0,0,0,0,0,0.07093485444784164,0.07093485444784164,654,Michael Carrick
0,0,0,90,MC,West Ham,Manchester United,0,2,2017-01-02,3335,2016,130100,0,0,0,0,0,0.8938266634941101,0.8938266634941101,654,Michael Carrick
0,1,0.01713034138083458,90,MC,Manchester United,Sunderland,3,1,2016-12-26,3147,2016,129564,0.0320783406496048,0,1,0,0.01713034138083458,0.22148407995700836,0.1722753942012787,654,Michael Carrick
0,0,0,90,MC,West Bromwich Albion,Manchester United,0,2,2016-12-17,3140,2016,128886,0.015366140753030777,0,1,0,0,0.3505384027957916,0.33517226576805115,654,Michael Carrick
0,0,0,90,MC,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131034,0.06912456452846527,0,1,0,0,0.17347632348537445,0.10435176640748978,654,Michael Carrick
0,1,0.014502943493425846,90,MC,Manchester United,Tottenham,1,0,2016-12-11,3122,2016,130142,0,0,0,0,0.014502943493425846,0.1075238361954689,0.09302089363336563,654,Michael Carrick
0,0,0,90,MC,Everton,Manchester United,1,1,2016-12-04,3113,2016,128503,0,0,0,0,0,0.016212424263358116,0.016212424263358116,654,Michael Carrick
0,1,0.014371569268405437,90,MC,Manchester United,Arsenal,1,1,2016-11-19,2697,2016,128377,0,0,0,0,0.014371569268405437,0.014371569268405437,0,654,Michael Carrick
0,0,0,90,DMC,Swansea,Manchester United,1,3,2016-11-06,2695,2016,128171,0,0,0,0,0,0.5932432413101196,0.5932432413101196,654,Michael Carrick
0,0,0,10,Sub,Manchester United,Leicester,4,1,2016-09-24,511,2016,126646,0,0,0,0,0,0,0,654,Michael Carrick
0,1,0.019785400480031967,90,DMC,Manchester United,Bournemouth,3,1,2016-05-17,460,2015,57721,0,0,0,0,0.019785400480031967,1.1381964683532715,1.1184110641479492,654,Michael Carrick
0,0,0,43,Sub,West Ham,Manchester United,3,2,2016-05-10,447,2015,62749,0,0,0,0,0,0,0,654,Michael Carrick
0,0,0,90,DMC,Norwich,Manchester United,0,1,2016-05-07,437,2015,62657,0,0,0,0,0,0.5134513974189758,0.5134513974189758,654,Michael Carrick
0,0,0,90,DMC,Manchester United,Leicester,1,1,2016-05-01,434,2015,63138,0.04958434775471687,0,2,0,0,0.24682508409023285,0.22897246479988098,654,Michael Carrick
0,0,0,90,DMC,Tottenham,Manchester United,3,0,2016-04-10,402,2015,67375,0.012828079052269459,0,1,0,0,0.0428277961909771,0.029999716207385063,654,Michael Carrick
0,0,0,59,DMC,Manchester United,Everton,1,0,2016-04-03,393,2015,66035,0,0,0,0,0,0.20851647853851318,0.20851647853851318,654,Michael Carrick
0,0,0,90,DMC,Manchester City,Manchester United,0,1,2016-03-20,382,2015,66433,0,0,0,0,0,0.12608037889003754,0.12608037889003754,654,Michael Carrick
0,0,0,90,DMC,West Bromwich Albion,Manchester United,1,0,2016-03-06,368,2015,66737,0,0,0,0,0,0.014119202271103859,0.014119202271103859,654,Michael Carrick
0,0,0,90,DC,Manchester United,Arsenal,3,2,2016-02-28,348,2015,65783,0,0,0,0,0,0.05503924936056137,0.05503924936056137,654,Michael Carrick
