goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,6,MC,Wolverhampton Wanderers,Tottenham,2,3,2018-11-03,9304,2018,276996,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,77,DMC,Tottenham,Manchester City,0,1,2018-10-29,9296,2018,276787,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,11,Sub,West Ham,Tottenham,0,1,2018-10-20,9279,2018,276338,0,0,0,0,0,0.14455239474773407,0.14455239474773407,642,Mousa Dembélé
0,0,0,51,MC,Huddersfield,Tottenham,0,2,2018-09-29,9261,2018,260475,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,90,DMC,Brighton,Tottenham,1,2,2018-09-22,9254,2018,260090,0,0,0,0,0,0.2483634054660797,0.2483634054660797,642,Mousa Dembélé
0,0,0,61,DMC,Tottenham,Liverpool,1,2,2018-09-15,9237,2018,259965,0,0,0,0,0,0.07095704227685928,0.07095704227685928,642,Mousa Dembélé
0,0,0,87,DMC,Watford,Tottenham,2,1,2018-09-02,9236,2018,259730,0,0,0,0,0,0.06373380869626999,0.06373380869626999,642,Mousa Dembélé
0,0,0,90,DMC,Manchester United,Tottenham,0,3,2018-08-27,9226,2018,259371,0,0,0,0,0,0.20868836343288422,0.20868836343288422,642,Mousa Dembélé
0,0,0,25,Sub,Tottenham,Fulham,3,1,2018-08-18,9209,2018,259169,0,0,0,0,0,1.2249449491500854,1.2249449491500854,642,Mousa Dembélé
0,1,0.030214399099349976,20,Sub,Newcastle United,Tottenham,1,2,2018-08-11,9198,2018,258846,0,0,0,0,0.030214399099349976,0.030214399099349976,0,642,Mousa Dembélé
0,0,0,64,DMC,Tottenham,Watford,2,0,2018-04-30,7477,2017,236960,0.01725384220480919,0,1,0,0,0.5755054950714111,0.5755054950714111,642,Mousa Dembélé
0,0,0,12,Sub,Brighton,Tottenham,1,1,2018-04-17,7462,2017,233259,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,75,DMC,Tottenham,Manchester City,1,3,2018-04-14,7457,2017,232487,0,0,0,0,0,0.12178396433591843,0.12178396433591843,642,Mousa Dembélé
0,0,0,90,DMC,Stoke,Tottenham,1,2,2018-04-07,7446,2017,230449,0.028845449909567833,0,1,0,0,0.5475064516067505,0.5475064516067505,642,Mousa Dembélé
0,0,0,90,DMC,Chelsea,Tottenham,1,3,2018-04-01,7431,2017,227044,0,0,0,0,0,0.2098006159067154,0.2098006159067154,642,Mousa Dembélé
0,0,0,90,DMC,Bournemouth,Tottenham,1,4,2018-03-11,7410,2017,223254,0,0,0,0,0,0.023264985531568527,0.023264985531568527,642,Mousa Dembélé
0,0,0,79,DMC,Tottenham,Huddersfield,2,0,2018-03-03,7407,2017,220999,0.01948145031929016,0,1,0,0,0.16154426336288452,0.14206281304359436,642,Mousa Dembélé
0,0,0,81,DMC,Crystal Palace,Tottenham,0,1,2018-02-25,7397,2017,219668,0,0,0,0,0,0.015440579503774643,0.015440579503774643,642,Mousa Dembélé
0,1,0.03871887922286987,90,DMC,Tottenham,Arsenal,1,0,2018-02-10,7387,2017,215275,0.12603335082530975,0,1,0,0.03871887922286987,0.4134214222431183,0.4134214222431183,642,Mousa Dembélé
0,2,0.08928138762712479,80,DMC,Liverpool,Tottenham,2,2,2018-02-04,7375,2017,214957,0,0,0,0,0.08928138762712479,0.024477643892169,0.024477643892169,642,Mousa Dembélé
0,0,0,90,DMC,Tottenham,Manchester United,2,0,2018-01-31,7367,2017,214754,0.0741715058684349,0,3,0,0,0.34541746973991394,0.32040101289749146,642,Mousa Dembélé
0,1,0.039721373468637466,86,DMC,Southampton,Tottenham,1,1,2018-01-21,7355,2017,209905,0.023387400433421135,0,1,0,0.039721373468637466,0.07386253774166107,0.034141167998313904,642,Mousa Dembélé
0,0,0,83,DMC,Tottenham,Everton,4,0,2018-01-13,7346,2017,207849,0.05003255233168602,0,2,0,0,1.6921955347061157,1.6421629190444946,642,Mousa Dembélé
0,0,0,55,DMC,Tottenham,Southampton,5,2,2017-12-26,7316,2017,205557,0.08602190017700195,0,1,0,0,0.8077811002731323,0.7217592000961304,642,Mousa Dembélé
0,0,0,9,Sub,Burnley,Tottenham,0,3,2017-12-23,7304,2017,202971,0,0,0,0,0,0.016482772305607796,0.016482772305607796,642,Mousa Dembélé
0,0,0,90,DMC,Manchester City,Tottenham,4,1,2017-12-16,7298,2017,202659,0,0,0,0,0,0.04309732839465141,0.04309732839465141,642,Mousa Dembélé
0,0,0,21,Sub,Tottenham,Brighton,2,0,2017-12-13,7288,2017,203068,0,0,0,0,0,0.12024782598018646,0.12024782598018646,642,Mousa Dembélé
0,2,0.06498008966445923,90,DMC,Tottenham,Stoke,5,1,2017-12-09,7270,2017,198991,0,0,0,0,0.06498008966445923,1.733534812927246,1.668554663658142,642,Mousa Dembélé
0,1,0.011223218403756618,90,DMC,Watford,Tottenham,1,1,2017-12-02,7264,2017,178785,0,0,0,0,0.011223218403756618,0,0,642,Mousa Dembélé
0,0,0,71,MC,Leicester,Tottenham,2,1,2017-11-28,7249,2017,178922,0.014650956727564335,0,1,0,0,0.5520738363265991,0.5520738363265991,642,Mousa Dembélé
0,0,0,26,Sub,Tottenham,West Bromwich Albion,1,1,2017-11-25,7239,2017,179763,0,0,0,0,0,0.9061092138290405,0.9061092138290405,642,Mousa Dembélé
0,0,0,64,MC,Arsenal,Tottenham,2,0,2017-11-18,7236,2017,179579,0.023459620773792267,0,1,0,0,0.08420024067163467,0.06074061989784241,642,Mousa Dembélé
0,0,0,42,Sub,Tottenham,Crystal Palace,1,0,2017-11-05,7226,2017,179405,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,27,Sub,Manchester United,Tottenham,1,0,2017-10-28,7218,2017,177938,0.04258078336715698,0,2,0,0,0.04258078336715698,0.0249710101634264,642,Mousa Dembélé
0,0,0,17,Sub,Everton,Tottenham,0,3,2017-09-09,7154,2017,176973,0,0,0,0,0,0,0,642,Mousa Dembélé
0,2,0.04300662502646446,90,DMC,Tottenham,Burnley,1,1,2017-08-27,7147,2017,176542,0.039348650723695755,0,1,0,0.04300662502646446,0.18927423655986786,0.12726116180419922,642,Mousa Dembélé
0,1,0.02580123580992222,90,MC,Tottenham,Chelsea,1,2,2017-08-20,7137,2017,176764,0.035708747804164886,0,1,0,0.02580123580992222,0.12007933109998703,0.09427809715270996,642,Mousa Dembélé
0,1,0.04437759891152382,90,DMC,Newcastle United,Tottenham,0,2,2017-08-13,7127,2017,175975,0.018995588645339012,0,1,0,0.04437759891152382,0.6561782956123352,0.6118006706237793,642,Mousa Dembélé
0,0,0,15,Sub,Hull,Tottenham,1,7,2017-05-21,3513,2016,125245,0.02693011797964573,0,1,0,0,0.5795116424560547,0.5525815486907959,642,Mousa Dembélé
0,0,0,87,MC,Leicester,Tottenham,1,6,2017-05-18,3475,2016,134229,0,0,0,0,0,0.7335593104362488,0.7335593104362488,642,Mousa Dembélé
0,0,0,17,Sub,Tottenham,Manchester United,2,1,2017-05-14,3507,2016,133886,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,21,Sub,West Ham,Tottenham,1,0,2017-05-05,3499,2016,135198,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,8,Sub,Tottenham,Arsenal,2,0,2017-04-30,3487,2016,134548,0,0,0,0,0,0,0,642,Mousa Dembélé
0,0,0,47,MC,Crystal Palace,Tottenham,0,1,2017-04-26,3415,2016,132498,0.02762989141047001,0,2,0,0,0.05451621860265732,0.02688632719218731,642,Mousa Dembélé
1,2,0.26432734727859497,90,DMC,Tottenham,Bournemouth,4,0,2017-04-15,3465,2016,134928,0.13617432117462158,0,1,1,0.26432734727859497,0.4152538776397705,0.2524116039276123,642,Mousa Dembélé
0,1,0.04860371723771095,76,DMC,Tottenham,Watford,4,0,2017-04-08,3453,2016,133797,0.03502677381038666,0,1,0,0.04860371723771095,0.22957615554332733,0.22957615554332733,642,Mousa Dembélé
0,0,0,90,DMC,Swansea,Tottenham,1,3,2017-04-05,3444,2016,132470,0.15990665555000305,0,3,0,0,1.100364089012146,1.0772513151168823,642,Mousa Dembélé
0,0,0,47,Sub,Burnley,Tottenham,0,2,2017-04-01,3431,2016,132448,0,0,0,0,0,0.017148127779364586,0.017148127779364586,642,Mousa Dembélé
0,1,0.03984660282731056,90,MC,Tottenham,Southampton,2,1,2017-03-19,3422,2016,133825,0.07636557519435883,1,2,0,0.03984660282731056,0.22633787989616394,0.11012570559978485,642,Mousa Dembélé
0,0,0,79,MC,Tottenham,Everton,3,2,2017-03-05,3406,2016,133333,0,0,0,0,0,0.09160061925649643,0.09160061925649643,642,Mousa Dembélé
0,1,0.029304321855306625,90,MC,Tottenham,Stoke,4,0,2017-02-26,3397,2016,131991,0,0,0,0,0.029304321855306625,0.14927123486995697,0.11996691673994064,642,Mousa Dembélé
