goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Everton,Newcastle United,2,2,2020-01-21,11877,2019,386291,0,0,0,0,0,0,0,599,Oumar Niasse
0,0,0,15,Sub,West Ham,Everton,1,1,2020-01-18,11872,2019,386088,0,0,0,0,0,0.03237203508615494,0.03237203508615494,599,Oumar Niasse
0,0,0,1,Sub,Manchester United,Everton,1,1,2019-12-15,11809,2019,370317,0,0,0,0,0,0,0,599,Oumar Niasse
0,0,0,70,FW,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328348,0.021607184782624245,0,1,0,0,0.021607184782624245,0,599,Oumar Niasse
0,1,0.14587831497192383,69,FW,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326790,0,0,0,0,0.14587831497192383,0,0,599,Oumar Niasse
0,1,0.06201022490859032,87,FW,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325364,0,0,0,0,0.06201022490859032,0.06201022490859032,0,599,Oumar Niasse
0,0,0,10,Sub,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324280,0,0,0,0,0,0.010835075750946999,0.010835075750946999,599,Oumar Niasse
0,1,0.030191386118531227,90,FW,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321901,0,0,0,0,0.030191386118531227,0.030191386118531227,0,599,Oumar Niasse
0,1,0.05822962149977684,86,FW,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318506,0,0,0,0,0.05822962149977684,0.05822962149977684,0,599,Oumar Niasse
0,5,1.6431635618209839,90,FW,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314577,0,0,0,0,1.6431635618209839,1.6625564098358154,0.01939288340508938,599,Oumar Niasse
0,1,0.03222645819187164,83,FW,Wolverhampton Wanderers,Cardiff,2,0,2019-03-02,9477,2018,305260,0,0,0,0,0.03222645819187164,0.08743832260370255,0.0552118644118309,599,Oumar Niasse
0,2,0.7315833568572998,73,FW,Cardiff,Watford,1,5,2019-02-22,9463,2018,304748,0,0,0,0,0.7315833568572998,0.7315833568572998,0,599,Oumar Niasse
0,0,0,84,FW,Southampton,Cardiff,1,2,2019-02-09,9453,2018,304542,0,0,0,0,0,0,0,599,Oumar Niasse
0,3,0.20847822725772858,84,FW,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304308,0.6306148767471313,0,3,0,0.20847822725772858,1.346045970916748,0.6206545829772949,599,Oumar Niasse
0,2,0.08315442502498627,74,FW,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303884,0.02448435127735138,0,1,0,0.08315442502498627,0.2410941869020462,0.13345541059970856,599,Oumar Niasse
0,0,0,67,FW,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303774,0,0,0,0,0,0,0,599,Oumar Niasse
0,1,0.05592234432697296,9,Sub,Brighton,Everton,1,0,2018-12-29,9396,2018,291475,0,0,0,0,0.05592234432697296,0.05592234432697296,0,599,Oumar Niasse
0,2,0.33723652362823486,19,Sub,Everton,West Ham,1,3,2018-09-16,9245,2018,259836,0,0,0,0,0.33723652362823486,0.2892577350139618,0,599,Oumar Niasse
0,0,0,12,Sub,Everton,Huddersfield,1,1,2018-09-01,9229,2018,259639,0.09282712638378143,0,1,0,0,0,0,599,Oumar Niasse
0,0,0,1,Sub,Everton,Southampton,2,1,2018-08-18,9211,2018,259084,0,0,0,0,0,0,0,599,Oumar Niasse
0,0,0,6,Sub,Wolverhampton Wanderers,Everton,2,2,2018-08-11,9203,2018,258931,0,0,0,0,0,0,0,599,Oumar Niasse
1,7,1.1780474185943604,90,FW,West Ham,Everton,3,1,2018-05-13,7489,2017,240141,0.29827073216438293,0,1,1,1.1780474185943604,0.9446815848350525,0.05683433637022972,599,Oumar Niasse
0,2,0.11743105947971344,31,Sub,Everton,Southampton,1,1,2018-05-05,7486,2017,237747,0,0,0,0,0.11743105947971344,0.04837939143180847,0,599,Oumar Niasse
0,0,0,17,Sub,Huddersfield,Everton,0,2,2018-04-28,7471,2017,235792,0,0,0,0,0,0.05797309800982475,0.05797309800982475,599,Oumar Niasse
0,0,0,5,Sub,Everton,Newcastle United,1,0,2018-04-23,7461,2017,235332,0,0,0,0,0,0,0,599,Oumar Niasse
0,1,0.2638627290725708,10,Sub,Everton,Manchester City,1,3,2018-03-31,7433,2017,227092,0,0,0,0,0.2638627290725708,0.2638627290725708,0,599,Oumar Niasse
0,1,0.09258151799440384,20,Sub,Burnley,Everton,2,1,2018-03-03,7400,2017,220714,0,0,0,0,0.09258151799440384,0.09258151799440384,0,599,Oumar Niasse
0,0,0,58,FW,Watford,Everton,1,0,2018-02-24,7392,2017,219340,0,0,0,0,0,0.11833339929580688,0.11833339929580688,599,Oumar Niasse
1,3,0.5730923414230347,90,FW,Everton,Crystal Palace,3,1,2018-02-10,7380,2017,215087,0.10321913659572601,1,2,1,0.5730923414230347,0.6763114929199219,0,599,Oumar Niasse
0,1,0.42020106315612793,80,FW,Arsenal,Everton,5,1,2018-02-03,7369,2017,214800,0,0,0,0,0.42020106315612793,0.5363133549690247,0.11611228436231613,599,Oumar Niasse
0,1,0.4708770513534546,90,FW,Everton,Leicester,2,1,2018-01-31,7365,2017,215442,0,0,0,0,0.4708770513534546,0.4708770513534546,0,599,Oumar Niasse
1,1,0.5344635844230652,20,Sub,Everton,West Bromwich Albion,1,1,2018-01-20,7352,2017,209208,0.059843067079782486,0,1,1,0.5344635844230652,0.5344635844230652,0,599,Oumar Niasse
0,3,0.6806790828704834,82,FW,Everton,Manchester United,0,2,2018-01-01,7333,2017,206500,0,0,0,0,0.6806790828704834,0.5756866931915283,0.020212583243846893,599,Oumar Niasse
0,0,0,34,Sub,Bournemouth,Everton,2,1,2017-12-30,7319,2017,206213,0.44853609800338745,1,2,0,0,0.32201269268989563,0,599,Oumar Niasse
0,2,0.0898134782910347,29,Sub,West Bromwich Albion,Everton,0,0,2017-12-26,7318,2017,205743,0.12125498056411743,0,1,0,0.0898134782910347,0.21106845140457153,0,599,Oumar Niasse
0,0,0,47,FW,Liverpool,Everton,1,1,2017-12-10,7275,2017,198869,0,0,0,0,0,0,0,599,Oumar Niasse
1,2,0.37872734665870667,90,FW,Crystal Palace,Everton,2,2,2017-11-18,7234,2017,178650,0,0,0,1,0.37872734665870667,0.8434293270111084,0.46470198035240173,599,Oumar Niasse
1,2,0.6413317322731018,90,FW,Everton,Watford,3,2,2017-11-05,7220,2017,178140,0.42155149579048157,0,2,1,0.6413317322731018,1.4219708442687988,0.35908758640289307,599,Oumar Niasse
0,3,0.12030535936355591,42,Sub,Leicester,Everton,2,0,2017-10-29,7214,2017,177828,0.07146654278039932,0,1,0,0.12030535936355591,0.15606689453125,0.03576154261827469,599,Oumar Niasse
1,1,0.5243693590164185,13,Sub,Everton,Arsenal,2,5,2017-10-22,7200,2017,177155,0,0,0,1,0.5243693590164185,0.5243693590164185,0,599,Oumar Niasse
0,1,0.053124867379665375,20,Sub,Brighton,Everton,1,1,2017-10-15,7189,2017,178324,0,0,0,0,0.053124867379665375,0.053124867379665375,0,599,Oumar Niasse
0,4,0.23540006577968597,83,FW,Everton,Burnley,0,1,2017-10-01,7187,2017,178003,0.02299119159579277,0,1,0,0.23540006577968597,0.27428245544433594,0.015891186892986298,599,Oumar Niasse
2,2,1.0429900884628296,34,Sub,Everton,Bournemouth,2,1,2017-09-23,7175,2017,177015,0,0,0,2,1.0429900884628296,1.071737289428711,0.13883192837238312,599,Oumar Niasse
