goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,47,GK,Arsenal,Watford,2,0,2018-09-29,9263,2018,260319,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Arsenal,Everton,2,0,2018-09-23,9256,2018,260044,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Newcastle United,Arsenal,1,2,2018-09-15,9238,2018,259919,0,0,0,0,0,0.026955559849739075,0.026955559849739075,491,Petr Cech
0,0,0,90,GK,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259558,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259212,0,0,0,0,0,0.019927890971302986,0.019927890971302986,491,Petr Cech
0,0,0,90,GK,Chelsea,Arsenal,3,2,2018-08-18,9212,2018,259031,0,0,0,0,0,0.4667409360408783,0.4667409360408783,491,Petr Cech
0,0,0,90,GK,Arsenal,Manchester City,0,2,2018-08-12,9206,2018,258654,0,0,0,0,0,0.019882772117853165,0.019882772117853165,491,Petr Cech
0,0,0,90,GK,Leicester,Arsenal,3,1,2018-05-09,7422,2017,238691,0,0,0,0,0,0.051554832607507706,0.051554832607507706,491,Petr Cech
0,0,0,90,GK,Arsenal,Burnley,5,0,2018-05-06,7487,2017,238348,0,0,0,0,0,0.17586763203144073,0.17586763203144073,491,Petr Cech
0,0,0,90,GK,Newcastle United,Arsenal,2,1,2018-04-15,7454,2017,232663,0,0,0,0,0,0.08084622770547867,0.08084622770547867,491,Petr Cech
0,0,0,90,GK,Arsenal,Southampton,3,2,2018-04-08,7439,2017,230240,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Arsenal,Watford,3,0,2018-03-11,7409,2017,222955,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Brighton,Arsenal,2,1,2018-03-04,7399,2017,221560,0,0,0,0,0,0.0760408341884613,0.0760408341884613,491,Petr Cech
0,0,0,90,GK,Arsenal,Manchester City,0,3,2018-03-01,7389,2017,220419,0,0,0,0,0,0.04275254160165787,0.04275254160165787,491,Petr Cech
0,0,0,90,GK,Tottenham,Arsenal,1,0,2018-02-10,7387,2017,215283,0,0,0,0,0,0.3443548381328583,0.3443548381328583,491,Petr Cech
0,0,0,72,GK,Arsenal,Everton,5,1,2018-02-03,7369,2017,214777,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Swansea,Arsenal,3,1,2018-01-30,7361,2017,215367,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Arsenal,Crystal Palace,4,1,2018-01-20,7349,2017,209115,0,0,0,0,0,0.027370179072022438,0.027370179072022438,491,Petr Cech
0,0,0,90,GK,Bournemouth,Arsenal,2,1,2018-01-14,7339,2017,208136,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Arsenal,Chelsea,2,2,2018-01-03,7330,2017,206656,0,0,0,0,0,0.14594390988349915,0.14594390988349915,491,Petr Cech
0,0,0,90,GK,West Bromwich Albion,Arsenal,1,1,2017-12-31,7328,2017,206367,0,0,0,0,0,0.13432221114635468,0.13432221114635468,491,Petr Cech
0,0,0,90,GK,Crystal Palace,Arsenal,2,3,2017-12-28,7311,2017,205842,0,0,0,0,0,0.10503620654344559,0.10503620654344559,491,Petr Cech
0,0,0,90,GK,Arsenal,Liverpool,3,3,2017-12-22,7301,2017,202833,0,0,0,0,0,0.019118929281830788,0.019118929281830788,491,Petr Cech
0,0,0,90,GK,Arsenal,Newcastle United,1,0,2017-12-16,7289,2017,203113,0,0,0,0,0,0.020453035831451416,0.020453035831451416,491,Petr Cech
0,0,0,90,GK,West Ham,Arsenal,0,0,2017-12-13,7286,2017,202764,0,0,0,0,0,0.0280029084533453,0.0280029084533453,491,Petr Cech
0,0,0,90,GK,Southampton,Arsenal,1,1,2017-12-10,7278,2017,198944,0,0,0,0,0,0.022738788276910782,0.022738788276910782,491,Petr Cech
0,0,0,90,GK,Arsenal,Manchester United,1,3,2017-12-02,7266,2017,179448,0,0,0,0,0,0.1946181058883667,0.1946181058883667,491,Petr Cech
0,0,0,90,GK,Arsenal,Huddersfield,5,0,2017-11-29,7254,2017,178654,0,0,0,0,0,0.1790333390235901,0.1790333390235901,491,Petr Cech
0,0,0,90,GK,Burnley,Arsenal,0,1,2017-11-26,7248,2017,179108,0,0,0,0,0,0.023635804653167725,0.023635804653167725,491,Petr Cech
0,0,0,90,GK,Arsenal,Tottenham,2,0,2017-11-18,7236,2017,179560,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Manchester City,Arsenal,3,1,2017-11-05,7228,2017,178999,0,0,0,0,0,0,0,491,Petr Cech
0,0,0,90,GK,Arsenal,Swansea,2,1,2017-10-28,7209,2017,177473,0,0,0,0,0,0.12707087397575378,0.12707087397575378,491,Petr Cech
0,0,0,90,GK,Everton,Arsenal,2,5,2017-10-22,7200,2017,177158,0,0,0,0,0,0.21577481925487518,0.21577481925487518,491,Petr Cech
