goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.0870300903916359,60,AML,Burnley,Huddersfield,1,1,2018-10-06,9272,2018,276143,0.032206106930971146,0,2,0,0.0870300903916359,0.14339910447597504,0.024162907153367996,6036,Rajiv van La Parra
0,1,0.010482896119356155,90,ML,Leicester,Huddersfield,3,1,2018-09-22,9250,2018,260231,0,0,0,0,0.010482896119356155,0.010482896119356155,0,6036,Rajiv van La Parra
0,1,0.06097206473350525,81,FWL,Huddersfield,Crystal Palace,0,1,2018-09-15,9240,2018,259862,0,0,0,0,0.06097206473350525,0.06097206473350525,0,6036,Rajiv van La Parra
0,1,0.07854722440242767,90,ML,Everton,Huddersfield,1,1,2018-09-01,9229,2018,259651,0.037698011845350266,0,2,0,0.07854722440242767,0.13177978992462158,0.034599438309669495,6036,Rajiv van La Parra
0,0,0,90,AML,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259305,0,0,0,0,0,0.04536968469619751,0.04536968469619751,6036,Rajiv van La Parra
0,0,0,55,FW,Chelsea,Huddersfield,1,1,2018-05-09,7460,2017,238782,0,0,0,0,0,0,0,6036,Rajiv van La Parra
0,0,0,8,Sub,Manchester City,Huddersfield,0,0,2018-05-06,7480,2017,237928,0,0,0,0,0,0,0,6036,Rajiv van La Parra
0,1,0.10120536386966705,76,AML,Huddersfield,Everton,0,2,2018-04-28,7471,2017,235775,0.028099767863750458,0,1,0,0.10120536386966705,0.1293051391839981,0,6036,Rajiv van La Parra
0,2,0.07554948329925537,78,AML,Huddersfield,Watford,1,0,2018-04-14,7451,2017,232074,0,0,0,0,0.07554948329925537,0.18588650226593018,0.1103370189666748,6036,Rajiv van La Parra
0,0,0,90,ML,Brighton,Huddersfield,1,1,2018-04-07,7441,2017,230313,0.02780640684068203,0,2,0,0,0.14276708662509918,0.114960677921772,6036,Rajiv van La Parra
