goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,28,Sub,Huddersfield,Newcastle United,0,1,2018-12-15,9363,2018,278570,0.12947608530521393,0,2,0,0,0.14768896996974945,0.01821289211511612,1764,Ramadan Sobhi
0,0,0,10,Sub,Bournemouth,Huddersfield,2,1,2018-12-04,9338,2018,279163,0,0,0,0,0,0.024235336109995842,0.024235336109995842,1764,Ramadan Sobhi
0,0,0,26,Sub,Watford,Huddersfield,3,0,2018-10-27,9291,2018,276640,0.047524258494377136,0,1,0,0,0.047524258494377136,0,1764,Ramadan Sobhi
0,0,0,4,Sub,Manchester City,Huddersfield,6,1,2018-08-19,9213,2018,259155,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,18,Sub,Stoke,Crystal Palace,1,2,2018-05-05,7481,2017,237188,0,0,0,0,0,0.056383103132247925,0.056383103132247925,1764,Ramadan Sobhi
0,2,0.10156155377626419,35,Sub,Liverpool,Stoke,0,0,2018-04-28,7472,2017,235540,0,0,0,0,0.10156155377626419,0.10156155377626419,0,1764,Ramadan Sobhi
0,2,0.13727593421936035,63,ML,West Ham,Stoke,1,1,2018-04-16,7458,2017,233200,0.05389542132616043,0,1,0,0.13727593421936035,0.2609676420688629,0.06979627907276154,1764,Ramadan Sobhi
0,0,0,70,ML,Stoke,Tottenham,1,2,2018-04-07,7446,2017,230438,0,0,0,0,0,0.5414689779281616,0.5414689779281616,1764,Ramadan Sobhi
0,0,0,81,ML,Arsenal,Stoke,3,0,2018-04-01,7429,2017,226993,0.06916109472513199,0,1,0,0,0,0,1764,Ramadan Sobhi
0,0,0,73,FWL,Stoke,Everton,1,2,2018-03-17,7425,2017,223993,0.16817650198936462,0,2,0,0,0.19581551849842072,0.02763901650905609,1764,Ramadan Sobhi
0,0,0,1,Sub,Stoke,Manchester City,0,2,2018-03-12,7416,2017,223524,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,1,Sub,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209262,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,1,0.03288182616233826,28,Sub,Manchester United,Stoke,3,0,2018-01-15,7344,2017,208449,0,0,0,0,0.03288182616233826,0.03288182616233826,0,1764,Ramadan Sobhi
0,0,0,90,AML,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206238,0,0,0,0,0,0,0,1764,Ramadan Sobhi
1,1,0.11971063166856766,59,Sub,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205660,0,0,0,1,0.11971063166856766,0.11971063166856766,0,1764,Ramadan Sobhi
1,1,0.4245331287384033,9,Sub,Stoke,West Bromwich Albion,3,1,2017-12-23,7306,2017,205453,0.1500180959701538,0,1,1,0.4245331287384033,0.5745512247085571,0,1764,Ramadan Sobhi
0,2,0.04149379953742027,90,ML,Stoke,West Ham,0,3,2017-12-16,7297,2017,202704,0.09672120213508606,0,3,0,0.04149379953742027,0.15603579580783844,0.08857117593288422,1764,Ramadan Sobhi
0,3,0.08403827995061874,90,ML,Burnley,Stoke,1,0,2017-12-12,7279,2017,202635,0.056870102882385254,0,1,0,0.08403827995061874,0.2203485667705536,0.14591887593269348,1764,Ramadan Sobhi
0,0,0,18,Sub,Stoke,Swansea,2,1,2017-12-02,7263,2017,178694,0.10306373983621597,0,1,0,0,0.10306373983621597,0,1764,Ramadan Sobhi
0,0,0,69,AMC,Crystal Palace,Stoke,2,1,2017-11-25,7246,2017,179196,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,1,0.1290128082036972,90,AMC,Brighton,Stoke,2,2,2017-11-20,7238,2017,179748,0.019425665959715843,0,1,0,0.1290128082036972,0.36319807171821594,0.23418524861335754,1764,Ramadan Sobhi
0,0,0,73,AMC,Stoke,Leicester,2,2,2017-11-04,7224,2017,179237,0.13152635097503662,0,1,0,0,0.14883291721343994,0.01730656437575817,1764,Ramadan Sobhi
0,0,0,80,AMC,Watford,Stoke,0,1,2017-10-28,7216,2017,177989,0.09542729705572128,0,1,0,0,0.09542729705572128,0.09542729705572128,1764,Ramadan Sobhi
0,0,0,35,Sub,Manchester City,Stoke,7,2,2017-10-14,7194,2017,178462,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,90,DML,Stoke,Chelsea,0,4,2017-09-23,7170,2017,177670,0.019809050485491753,0,1,0,0,0.09754602611064911,0.09754602611064911,1764,Ramadan Sobhi
0,0,0,27,Sub,Newcastle United,Stoke,2,1,2017-09-16,7163,2017,176535,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,20,Sub,West Bromwich Albion,Stoke,1,1,2017-08-27,7146,2017,176673,0.02863408625125885,0,1,0,0,0.4378269910812378,0.40919291973114014,1764,Ramadan Sobhi
0,0,0,17,Sub,Stoke,Arsenal,1,0,2017-08-19,7135,2017,176243,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,90,AMC,Southampton,Stoke,0,1,2017-05-21,3517,2016,125352,0.08966383337974548,0,2,0,0,0.6099478006362915,0.5202839970588684,1764,Ramadan Sobhi
0,0,0,8,Sub,Stoke,Arsenal,1,4,2017-05-13,3505,2016,133668,0,0,0,0,0,0.01877487264573574,0.01877487264573574,1764,Ramadan Sobhi
0,0,0,11,Sub,Swansea,Stoke,2,0,2017-04-22,3478,2016,134319,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,6,Sub,Stoke,Liverpool,1,2,2017-04-08,3451,2016,133585,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,90,ML,Leicester,Stoke,2,0,2017-04-01,3434,2016,132696,0.18169806897640228,0,2,0,0,0.26659607887268066,0.16400352120399475,1764,Ramadan Sobhi
0,1,0.059082500636577606,90,ML,Stoke,Chelsea,1,2,2017-03-18,3424,2016,133610,0,0,0,0,0.059082500636577606,0.059082500636577606,0,1764,Ramadan Sobhi
0,0,0,90,ML,Manchester City,Stoke,0,0,2017-03-08,3418,2016,132750,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,2,0.4617268145084381,90,AML,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133009,0.7150022983551025,0,2,0,0.4617268145084381,1.2879129648208618,0.6601316332817078,1764,Ramadan Sobhi
0,0,0,90,AMR,Tottenham,Stoke,4,0,2017-02-26,3397,2016,132007,0.028209565207362175,0,1,0,0,0.5564268231391907,0.5564268231391907,1764,Ramadan Sobhi
0,0,0,83,AML,Stoke,Crystal Palace,1,0,2017-02-11,3383,2016,131050,0.47260192036628723,1,2,0,0,0.47260192036628723,0,1764,Ramadan Sobhi
0,0,0,21,Sub,Liverpool,Stoke,4,1,2016-12-27,3153,2016,129474,0,0,0,0,0,0.0174248106777668,0.0174248106777668,1764,Ramadan Sobhi
0,0,0,1,Sub,Stoke,Leicester,2,2,2016-12-17,3138,2016,128629,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,6,Sub,Arsenal,Stoke,3,1,2016-12-10,3118,2016,129501,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,88,AML,West Ham,Stoke,1,1,2016-11-05,2690,2016,128230,0,0,0,0,0,0.021971892565488815,0.021971892565488815,1764,Ramadan Sobhi
0,1,0.07406111061573029,65,Sub,Stoke,Swansea,3,1,2016-11-01,2686,2016,127775,0,0,0,0,0.07406111061573029,0.4064043462276459,0.3323432207107544,1764,Ramadan Sobhi
0,0,0,10,Sub,Everton,Stoke,1,0,2016-08-27,487,2016,125770,0,0,0,0,0,0,0,1764,Ramadan Sobhi
0,0,0,1,Sub,Stoke,Manchester City,1,4,2016-08-20,472,2016,125507,0,0,0,0,0,0,0,1764,Ramadan Sobhi
