goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.12342137098312378,90,DC,Augsburg,Greuther Fuerth,2,1,2022-05-14,17814,2021,535475,0,0,0,0,0.12342137098312378,0.052380017936229706,0.052380017936229706,543,Reece Oxford
0,0,0,90,DC,RasenBallsport Leipzig,Augsburg,4,0,2022-05-08,17811,2021,533981,0,0,0,0,0,0,0,543,Reece Oxford
0,1,0.46462956070899963,90,DC,Augsburg,FC Cologne,1,4,2022-04-30,17796,2021,530352,0,0,0,0,0.46462956070899963,0,0,543,Reece Oxford
0,1,0.057297784835100174,90,DC,Bochum,Augsburg,0,2,2022-04-24,17787,2021,529491,0,0,0,0,0.057297784835100174,0.11438718438148499,0.11438718438148499,543,Reece Oxford
0,0,0,87,DC,Augsburg,Hertha Berlin,0,1,2022-04-16,17778,2021,526340,0,0,0,0,0,0.046040698885917664,0.046040698885917664,543,Reece Oxford
0,0,0,90,DC,Bayern Munich,Augsburg,1,0,2022-04-09,17776,2021,524468,0,0,0,0,0,0.13588735461235046,0.13588735461235046,543,Reece Oxford
0,0,0,90,DC,Augsburg,Mainz 05,2,1,2022-04-06,17742,2021,524100,0,0,0,0,0,0.10843659937381744,0.10843659937381744,543,Reece Oxford
0,1,0.06286855787038803,90,DC,Augsburg,Wolfsburg,3,0,2022-04-03,17760,2021,523493,1.470973253250122,1,2,0,0.06286855787038803,0.03200560063123703,0.03200560063123703,543,Reece Oxford
0,0,0,90,DC,VfB Stuttgart,Augsburg,3,2,2022-03-19,17755,2021,521154,0,0,0,0,0,0.4574407935142517,0.4574407935142517,543,Reece Oxford
0,0,0,90,DC,Arminia Bielefeld,Augsburg,0,1,2022-03-04,17734,2021,517145,0,0,0,0,0,0,0,543,Reece Oxford
0,1,0.02224624902009964,90,DC,Augsburg,Borussia Dortmund,1,1,2022-02-27,17725,2021,516792,0,0,0,0,0.02224624902009964,0,0,543,Reece Oxford
0,1,0.053400181233882904,90,DC,Augsburg,Freiburg,1,2,2022-02-19,17717,2021,514089,0,0,0,0,0.053400181233882904,0.05418558418750763,0.05418558418750763,543,Reece Oxford
0,0,0,90,DC,Borussia M.Gladbach,Augsburg,3,2,2022-02-12,17709,2021,512601,0,0,0,0,0,0.09925681352615356,0.09925681352615356,543,Reece Oxford
0,0,0,90,DC,Augsburg,Union Berlin,2,0,2022-02-05,17699,2021,511090,0,0,0,0,0,0.13731573522090912,0.13731573522090912,543,Reece Oxford
0,1,0.03214520961046219,90,DC,Bayer Leverkusen,Augsburg,5,1,2022-01-22,17693,2021,509564,0,0,0,0,0.03214520961046219,0.03214520961046219,0,543,Reece Oxford
0,0,0,90,DC,Augsburg,Eintracht Frankfurt,1,1,2022-01-16,17680,2021,508618,0,0,0,0,0,0.1565612107515335,0.1565612107515335,543,Reece Oxford
0,1,0.11392669379711151,90,DC,Greuther Fuerth,Augsburg,0,0,2021-12-18,17660,2021,503706,0,0,0,0,0.11392669379711151,0.8747860193252563,0.8747860193252563,543,Reece Oxford
0,1,0.4973795711994171,90,DC,Augsburg,RasenBallsport Leipzig,1,1,2021-12-15,17652,2021,503217,0,0,0,0,0.4973795711994171,0.09249858558177948,0.09249858558177948,543,Reece Oxford
