goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,5,Sub,SD Huesca,Valencia,0,0,2021-05-22,15151,2020,472984,0,0,0,0,0,0,0,754,Shinji Okazaki
0,1,0.06734056025743484,3,Sub,Cadiz,SD Huesca,2,1,2021-05-08,15123,2020,468893,0,0,0,0,0.06734056025743484,0.06734056025743484,0,754,Shinji Okazaki
0,0,0,13,Sub,SD Huesca,Getafe,0,2,2021-04-25,15091,2020,465806,0,0,0,0,0,0,0,754,Shinji Okazaki
0,0,0,64,FW,Atletico Madrid,SD Huesca,2,0,2021-04-22,15079,2020,464814,0,0,0,0,0,0,0,754,Shinji Okazaki
0,0,0,1,Sub,SD Huesca,Celta Vigo,3,4,2021-03-07,15032,2020,455024,0,0,0,0,0,0,0,754,Shinji Okazaki
0,0,0,21,Sub,SD Huesca,Granada,3,2,2021-02-21,15012,2020,451519,0,0,0,0,0,0,0,754,Shinji Okazaki
0,0,0,62,FW,Sevilla,SD Huesca,1,0,2021-02-13,15006,2020,449078,0,0,0,0,0,0.09223852306604385,0.09223852306604385,754,Shinji Okazaki
0,1,0.14084245264530182,62,FW,SD Huesca,Real Madrid,1,2,2021-02-06,14992,2020,447697,0.10447033494710922,1,2,0,0.14084245264530182,0.29530271887779236,0.04998992383480072,754,Shinji Okazaki
0,1,0.04580133035778999,56,FW,Real Valladolid,SD Huesca,1,3,2021-01-29,14986,2020,445342,0,0,0,0,0.04580133035778999,0.04580133035778999,0,754,Shinji Okazaki
0,0,0,59,FW,SD Huesca,Villarreal,0,0,2021-01-23,14975,2020,443899,0.016332518309354782,0,1,0,0,0.016332518309354782,0,754,Shinji Okazaki
0,0,0,11,Sub,Getafe,SD Huesca,1,0,2021-01-20,14963,2020,443414,0,0,0,0,0,0.016639724373817444,0.016639724373817444,754,Shinji Okazaki
0,1,0.4906024932861328,8,Sub,SD Huesca,Real Betis,0,2,2021-01-11,14952,2020,441706,0,0,0,0,0.4906024932861328,0.4906024932861328,0,754,Shinji Okazaki
0,1,0.013705178163945675,18,Sub,SD Huesca,Barcelona,0,1,2021-01-03,14942,2020,439891,0,0,0,0,0.013705178163945675,0.013705178163945675,0,754,Shinji Okazaki
0,3,0.20887373387813568,90,FW,Celta Vigo,SD Huesca,2,1,2020-12-30,14933,2020,438689,0,0,0,0,0.20887373387813568,0.20887373387813568,0,754,Shinji Okazaki
0,2,0.18037636578083038,81,FW,SD Huesca,Levante,1,1,2020-12-22,14920,2020,437265,0,0,0,0,0.18037636578083038,0.12862876057624817,0,754,Shinji Okazaki
0,0,0,62,FW,Athletic Club,SD Huesca,2,0,2020-12-18,14907,2020,435729,0,0,0,0,0,0,0,754,Shinji Okazaki
0,0,0,87,FW,SD Huesca,Alaves,1,0,2020-12-12,14902,2020,433235,0.07028483599424362,0,2,0,0,0.14928743243217468,0.07900259643793106,754,Shinji Okazaki
1,1,0.009907257743179798,25,Sub,Granada,SD Huesca,3,3,2020-12-06,14886,2020,431807,0,0,0,1,0.009907257743179798,0.06581690907478333,0.0559096522629261,754,Shinji Okazaki
0,1,0.08422467112541199,17,Sub,SD Huesca,Sevilla,0,1,2020-11-28,14879,2020,429828,0,0,0,0,0.08422467112541199,0.08422467112541199,0,754,Shinji Okazaki
0,0,0,15,Sub,Osasuna,SD Huesca,1,1,2020-11-20,14872,2020,427578,0,0,0,0,0,0,0,754,Shinji Okazaki
0,1,0.029921909794211388,39,FW,Elche,SD Huesca,0,0,2020-10-03,14824,2020,419713,0,0,0,0,0.029921909794211388,0.029921909794211388,0,754,Shinji Okazaki
0,0,0,70,FW,SD Huesca,Atletico Madrid,0,0,2020-09-30,14168,2020,418887,0,0,0,0,0,0,0,754,Shinji Okazaki
0,4,0.20758087933063507,82,AMC,Valencia,SD Huesca,1,1,2020-09-26,14161,2020,417421,0,0,0,0,0.20758087933063507,0.22172588109970093,0.12752021849155426,754,Shinji Okazaki
0,0,0,90,FW,SD Huesca,Cadiz,0,2,2020-09-20,14148,2020,416510,0,0,0,0,0,0,0,754,Shinji Okazaki
0,2,0.03318266570568085,90,FW,Villarreal,SD Huesca,1,1,2020-09-13,14143,2020,415201,0,0,0,0,0.03318266570568085,0.2797169089317322,0.26052919030189514,754,Shinji Okazaki
0,0,0,23,Sub,Leicester,Chelsea,0,0,2019-05-12,9572,2018,332325,0,0,0,0,0,0,0,754,Shinji Okazaki
0,0,0,28,Sub,Huddersfield,Leicester,1,4,2019-04-06,9523,2018,322595,0,0,0,0,0,0,0,754,Shinji Okazaki
