goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,GK,Real Madrid,Real Betis,0,0,2022-05-20,17510,2021,536889,0,0,0,0,0,0.1078110784292221,0.1078110784292221,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Levante,6,0,2022-05-12,17490,2021,535036,0,0,0,0,0,0.40949681401252747,0.40949681401252747,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Espanyol,4,0,2022-04-30,17471,2021,530581,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Osasuna,Real Madrid,1,3,2022-04-20,17463,2021,528137,0,0,0,0,0,0.02237612195312977,0.02237612195312977,680,Thibaut Courtois
0,0,0,90,GK,Sevilla,Real Madrid,2,3,2022-04-17,17453,2021,527383,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Getafe,2,0,2022-04-09,17441,2021,524903,0,0,0,0,0,0.03990417718887329,0.03990417718887329,680,Thibaut Courtois
0,0,0,90,GK,Celta Vigo,Real Madrid,1,2,2022-04-02,17430,2021,522996,0,0,0,0,0,0.3895666003227234,0.3895666003227234,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Barcelona,0,4,2022-03-20,17422,2021,522297,0,0,0,0,0,0.04434455186128616,0.04434455186128616,680,Thibaut Courtois
0,0,0,90,GK,Mallorca,Real Madrid,0,3,2022-03-14,17409,2021,520679,0,0,0,0,0,0.07566694170236588,0.07566694170236588,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Real Sociedad,4,1,2022-03-05,17403,2021,517872,0,0,0,0,0,0.021716125309467316,0.021716125309467316,680,Thibaut Courtois
0,0,0,90,GK,Rayo Vallecano,Real Madrid,0,1,2022-02-26,17394,2021,516235,0,0,0,0,0,0.3192187547683716,0.3192187547683716,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Alaves,3,0,2022-02-19,17383,2021,514555,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Villarreal,Real Madrid,0,0,2022-02-12,17375,2021,512744,0,0,0,0,0,0.3135508596897125,0.3135508596897125,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Granada,1,0,2022-02-06,17363,2021,511968,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Elche,2,2,2022-01-23,17351,2021,510489,0,0,0,0,0,0.025248605757951736,0.025248605757951736,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Valencia,4,1,2022-01-08,17331,2021,506957,0,0,0,0,0,0.07626909762620926,0.07626909762620926,680,Thibaut Courtois
0,0,0,90,GK,Getafe,Real Madrid,1,0,2022-01-02,17323,2021,505550,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Athletic Club,Real Madrid,1,2,2021-12-22,17336,2021,505023,0,0,0,0,0,0.10476770251989365,0.10476770251989365,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Cadiz,0,0,2021-12-19,17313,2021,504292,0,0,0,0,0,0.5214506387710571,0.5214506387710571,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Atletico Madrid,2,0,2021-12-12,17303,2021,502793,0,0,0,0,0,0.3808070421218872,0.3808070421218872,680,Thibaut Courtois
0,0,0,90,GK,Real Sociedad,Real Madrid,0,2,2021-12-04,17295,2021,500253,0,0,0,0,0,0.1342545747756958,0.1342545747756958,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Athletic Club,1,0,2021-12-01,17222,2021,499261,0,0,0,0,0,0.015668144449591637,0.015668144449591637,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Sevilla,2,1,2021-11-28,17283,2021,498457,0,0,0,0,0,0.15577414631843567,0.15577414631843567,680,Thibaut Courtois
0,0,0,90,GK,Granada,Real Madrid,1,4,2021-11-21,17270,2021,496550,0,0,0,0,0,0.2567574679851532,0.2567574679851532,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Rayo Vallecano,2,1,2021-11-06,17263,2021,494287,0,0,0,0,0,0.5801466107368469,0.5801466107368469,680,Thibaut Courtois
0,0,0,90,GK,Elche,Real Madrid,1,2,2021-10-30,17246,2021,491952,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Osasuna,0,0,2021-10-27,17237,2021,491633,0,0,0,0,0,0.007226358633488417,0.007226358633488417,680,Thibaut Courtois
0,0,0,90,GK,Barcelona,Real Madrid,1,2,2021-10-24,17234,2021,490760,0,0,0,0,0,0.1377708613872528,0.1377708613872528,680,Thibaut Courtois
0,0,0,90,GK,Espanyol,Real Madrid,2,1,2021-10-03,17207,2021,487331,0,0,0,0,0,0.43635454773902893,0.43635454773902893,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Villarreal,0,0,2021-09-25,17202,2021,485117,0,0,0,0,0,0.01619539223611355,0.01619539223611355,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Mallorca,6,1,2021-09-22,17190,2021,484056,0,0,0,0,0,0.9852917194366455,0.9852917194366455,680,Thibaut Courtois
0,0,0,90,GK,Valencia,Real Madrid,1,2,2021-09-19,17183,2021,483144,0,0,0,0,0,0.030724918469786644,0.030724918469786644,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Celta Vigo,5,2,2021-09-12,17173,2021,481418,0,0,0,0,0,0.0782885029911995,0.0782885029911995,680,Thibaut Courtois
0,0,0,90,GK,Real Betis,Real Madrid,0,1,2021-08-28,17161,2021,479345,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Levante,Real Madrid,3,3,2021-08-22,17153,2021,478087,0,0,0,0,0,0.35068759322166443,0.35068759322166443,680,Thibaut Courtois
0,0,0,90,GK,Alaves,Real Madrid,1,4,2021-08-14,17140,2021,475938,0,0,0,0,0,0.13705064356327057,0.13705064356327057,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Villarreal,2,1,2021-05-22,15154,2020,473035,0,0,0,0,0,0.0799148678779602,0.0799148678779602,680,Thibaut Courtois
0,0,0,90,GK,Athletic Club,Real Madrid,0,1,2021-05-16,15139,2020,471610,0,0,0,0,0,0.13121043145656586,0.13121043145656586,680,Thibaut Courtois
0,0,0,90,GK,Granada,Real Madrid,1,4,2021-05-13,15131,2020,470625,0,0,0,0,0,0.17940731346607208,0.17940731346607208,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Sevilla,2,2,2021-05-09,15124,2020,469686,0,0,0,0,0,0.09732671827077866,0.09732671827077866,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Osasuna,2,0,2021-05-01,15117,2020,467211,0,0,0,0,0,0.11168555170297623,0.11168555170297623,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Real Betis,0,0,2021-04-24,15092,2020,465621,0,0,0,0,0,0.23817667365074158,0.23817667365074158,680,Thibaut Courtois
0,0,0,90,GK,Cadiz,Real Madrid,0,3,2021-04-21,15082,2020,464745,0,0,0,0,0,0.14251647889614105,0.14251647889614105,680,Thibaut Courtois
0,0,0,90,GK,Getafe,Real Madrid,0,0,2021-04-18,15103,2020,463932,0,0,0,0,0,0.02159934677183628,0.02159934677183628,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Barcelona,2,1,2021-04-10,15074,2020,461449,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Eibar,2,0,2021-04-03,15064,2020,459673,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Celta Vigo,Real Madrid,1,3,2021-03-20,15051,2020,458159,0,0,0,0,0,0.3697950541973114,0.3697950541973114,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Elche,2,1,2021-03-13,15046,2020,456360,0,0,0,0,0,0.05362100154161453,0.05362100154161453,680,Thibaut Courtois
0,0,0,90,GK,Atletico Madrid,Real Madrid,1,1,2021-03-07,15029,2020,455231,0,0,0,0,0,0.06015020236372948,0.06015020236372948,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Real Sociedad,1,1,2021-03-01,15025,2020,453466,0,0,0,0,0,0.11237610131502151,0.11237610131502151,680,Thibaut Courtois
0,0,0,90,GK,Real Valladolid,Real Madrid,0,1,2021-02-20,15016,2020,450953,0,0,0,0,0,0.10339758545160294,0.10339758545160294,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Valencia,2,0,2021-02-14,15005,2020,449727,0,0,0,0,0,0.05321164429187775,0.05321164429187775,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Getafe,2,0,2021-02-09,14142,2020,448699,0,0,0,0,0,0.08631037175655365,0.08631037175655365,680,Thibaut Courtois
0,0,0,90,GK,SD Huesca,Real Madrid,1,2,2021-02-06,14992,2020,447703,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Levante,1,2,2021-01-30,14984,2020,445705,0,0,0,0,0,0.02552981674671173,0.02552981674671173,680,Thibaut Courtois
0,0,0,90,GK,Alaves,Real Madrid,1,4,2021-01-23,14968,2020,444368,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Osasuna,Real Madrid,0,0,2021-01-09,14954,2020,441044,0,0,0,0,0,0.2110282927751541,0.2110282927751541,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Celta Vigo,2,0,2021-01-02,14943,2020,439307,0,0,0,0,0,0.21700479090213776,0.21700479090213776,680,Thibaut Courtois
0,0,0,90,GK,Elche,Real Madrid,1,1,2020-12-30,14934,2020,438764,0,0,0,0,0,0.3017473816871643,0.3017473816871643,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Granada,2,0,2020-12-23,14921,2020,437584,0,0,0,0,0,0.19171477854251862,0.19171477854251862,680,Thibaut Courtois
0,0,0,90,GK,Eibar,Real Madrid,1,3,2020-12-20,14911,2020,437034,0,0,0,0,0,0.7000216841697693,0.7000216841697693,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Athletic Club,3,1,2020-12-15,14906,2020,434466,0,0,0,0,0,0.18949006497859955,0.18949006497859955,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Atletico Madrid,2,0,2020-12-12,14903,2020,433314,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Sevilla,Real Madrid,0,1,2020-12-05,14889,2020,431315,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Alaves,1,2,2020-11-28,14880,2020,429906,0,0,0,0,0,0.13450558483600616,0.13450558483600616,680,Thibaut Courtois
0,0,0,90,GK,Villarreal,Real Madrid,1,1,2020-11-21,14874,2020,427954,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Valencia,Real Madrid,4,1,2020-11-08,14862,2020,427476,0,0,0,0,0,0.0612286701798439,0.0612286701798439,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,SD Huesca,4,1,2020-10-31,14852,2020,424248,0,0,0,0,0,0.06276949495077133,0.06276949495077133,680,Thibaut Courtois
0,0,0,90,GK,Barcelona,Real Madrid,1,3,2020-10-24,14836,2020,422835,0,0,0,0,0,0.5266582369804382,0.5266582369804382,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Cadiz,0,1,2020-10-17,14833,2020,421334,0,0,0,0,0,0.1204424500465393,0.1204424500465393,680,Thibaut Courtois
0,0,0,90,GK,Levante,Real Madrid,0,2,2020-10-04,14819,2020,420439,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Real Valladolid,1,0,2020-09-30,14169,2020,418941,0,0,0,0,0,0.04698792099952698,0.04698792099952698,680,Thibaut Courtois
0,0,0,90,GK,Real Betis,Real Madrid,2,3,2020-09-26,14157,2020,417711,0,0,0,0,0,0.5525127053260803,0.5525127053260803,680,Thibaut Courtois
0,0,0,90,GK,Real Sociedad,Real Madrid,0,0,2020-09-20,14152,2020,416784,0,0,0,0,0,0.024550046771764755,0.024550046771764755,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Villarreal,2,1,2020-07-16,12390,2019,409232,0,0,0,0,0,0,0,680,Thibaut Courtois
0,0,0,90,GK,Granada,Real Madrid,1,2,2020-07-13,12376,2019,408457,0,0,0,0,0,0.12730251252651215,0.12730251252651215,680,Thibaut Courtois
0,0,0,90,GK,Real Madrid,Alaves,2,0,2020-07-10,12372,2019,407291,0,0,0,0,0,0.25803789496421814,0.25803789496421814,680,Thibaut Courtois
