goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,10,Sub,AC Milan,Atalanta,2,0,2022-05-15,17121,2021,536293,0,0,0,0,0,0,0,3429,Tiemoué Bakayoko
0,0,0,90,DMC,AC Milan,Spezia,1,2,2022-01-17,16970,2021,508826,0.019225560128688812,0,1,0,0,0.23632320761680603,0.21709765493869781,3429,Tiemoué Bakayoko
0,2,0.435892790555954,90,DMC,Venezia,AC Milan,0,3,2022-01-09,16965,2021,507040,0,0,0,0,0.435892790555954,0.15270282328128815,0.12876977026462555,3429,Tiemoué Bakayoko
0,0,0,21,Sub,AC Milan,Roma,3,1,2022-01-06,16951,2021,506434,0,0,0,0,0,0,0,3429,Tiemoué Bakayoko
0,0,0,24,Sub,Empoli,AC Milan,2,4,2021-12-22,16936,2021,504773,0,0,0,0,0,0.03537745773792267,0.03537745773792267,3429,Tiemoué Bakayoko
0,0,0,47,DMC,Udinese,AC Milan,1,1,2021-12-11,16924,2021,502023,0,0,0,0,0,0.10457279533147812,0.10457279533147812,3429,Tiemoué Bakayoko
0,0,0,47,DMC,AC Milan,Salernitana,2,0,2021-12-04,16910,2021,499705,0.3752839267253876,0,1,0,0,0.6404973268508911,0.26521337032318115,3429,Tiemoué Bakayoko
0,0,0,9,Sub,Genoa,AC Milan,0,3,2021-12-01,16899,2021,499084,0,0,0,0,0,0,0,3429,Tiemoué Bakayoko
0,1,0.03585004433989525,47,DMC,AC Milan,Sassuolo,1,3,2021-11-28,16889,2021,497958,0,0,0,0,0.03585004433989525,0.10150972753763199,0.06565968692302704,3429,Tiemoué Bakayoko
0,0,0,5,Sub,AC Milan,Inter,1,1,2021-11-07,16870,2021,495165,0,0,0,0,0,0,0,3429,Tiemoué Bakayoko
0,0,0,12,Sub,Roma,AC Milan,1,2,2021-10-31,16862,2021,493355,0,0,0,0,0,0,0,3429,Tiemoué Bakayoko
0,0,0,25,Sub,AC Milan,Torino,1,0,2021-10-26,16850,2021,491243,0.015446367673575878,0,1,0,0,0.015446367673575878,0,3429,Tiemoué Bakayoko
0,1,0.022206025198101997,42,Sub,Bologna,AC Milan,2,4,2021-10-23,16837,2021,490262,0,0,0,0,0.022206025198101997,0.11903106421232224,0.09682504087686539,3429,Tiemoué Bakayoko
