goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,3,0.4956020712852478,62,MC,Huddersfield,Arsenal,0,1,2018-05-13,7494,2017,240209,0,0,0,0,0.4956020712852478,0.4956020712852478,0,4454,Tom Ince
1,2,0.6096881031990051,28,Sub,Huddersfield,Watford,1,0,2018-04-14,7451,2017,232078,0,0,0,1,0.6096881031990051,0.6096881031990051,0,4454,Tom Ince
0,2,0.09744798392057419,90,MR,Brighton,Huddersfield,1,1,2018-04-07,7441,2017,230310,0.0596449077129364,0,1,0,0.09744798392057419,0.34365788102149963,0.18656501173973083,4454,Tom Ince
0,0,0,63,AML,Huddersfield,Crystal Palace,0,2,2018-03-17,7421,2017,223965,0,0,0,0,0,0,0,4454,Tom Ince
0,8,0.4660254120826721,90,AMR,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222380,0.26875367760658264,0,2,0,0.4660254120826721,0.5964532494544983,0.18005485832691193,4454,Tom Ince
0,1,0.08897837996482849,58,Sub,Tottenham,Huddersfield,2,0,2018-03-03,7407,2017,221021,0,0,0,0,0.08897837996482849,0.08897837996482849,0,4454,Tom Ince
0,0,0,1,Sub,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219204,0,0,0,0,0,0,0,4454,Tom Ince
0,1,0.5708639025688171,67,AMR,Huddersfield,Bournemouth,4,1,2018-02-11,7381,2017,215109,0.045717138797044754,0,1,0,0.5708639025688171,0.9968447089195251,0.38026365637779236,4454,Tom Ince
0,0,0,19,Sub,Manchester United,Huddersfield,2,0,2018-02-03,7376,2017,214993,0,0,0,0,0,0,0,4454,Tom Ince
0,3,0.14407283067703247,10,Sub,Huddersfield,Liverpool,0,3,2018-01-30,7359,2017,215338,0,0,0,0,0.14407283067703247,0.14407283067703247,0,4454,Tom Ince
0,0,0,57,AMR,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209272,0,0,0,0,0,0,0,4454,Tom Ince
0,0,0,90,AML,Huddersfield,West Ham,1,4,2018-01-13,7342,2017,207689,0,0,0,0,0,0.42775633931159973,0.42775633931159973,4454,Tom Ince
0,1,0.013703850097954273,90,AMC,Leicester,Huddersfield,3,0,2018-01-01,7334,2017,206457,0.03796834126114845,0,1,0,0.013703850097954273,0.2095085084438324,0.17154017090797424,4454,Tom Ince
0,0,0,56,AMC,Huddersfield,Burnley,0,0,2017-12-30,7322,2017,206086,0,0,0,0,0,0,0,4454,Tom Ince
1,6,0.8177401423454285,90,AMC,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205643,0.038178976625204086,0,1,1,0.8177401423454285,1.2945795059204102,0.5024633407592773,4454,Tom Ince
0,0,0,90,AMC,Southampton,Huddersfield,1,1,2017-12-23,7307,2017,203163,0,0,0,0,0,0.42888471484184265,0.42888471484184265,4454,Tom Ince
0,3,0.19418735802173615,72,Sub,Watford,Huddersfield,1,4,2017-12-16,7296,2017,202751,0.5627293586730957,0,2,0,0.19418735802173615,1.3944276571273804,0.7110896706581116,4454,Tom Ince
0,2,0.31993764638900757,90,ML,Huddersfield,Chelsea,1,3,2017-12-12,7280,2017,202677,0,0,0,0,0.31993764638900757,0.31993764638900757,0,4454,Tom Ince
0,6,1.150681495666504,89,AMC,Huddersfield,Brighton,2,0,2017-12-09,7274,2017,198826,0,0,0,0,1.150681495666504,1.150681495666504,0,4454,Tom Ince
0,2,0.09559810161590576,90,AMC,Everton,Huddersfield,2,0,2017-12-02,7260,2017,179801,0,0,0,0,0.09559810161590576,0.09559810161590576,0,4454,Tom Ince
0,0,0,83,MR,Huddersfield,Manchester City,1,2,2017-11-26,7245,2017,179261,0.024083105847239494,0,1,0,0,0.43020981550216675,0.4061267077922821,4454,Tom Ince
0,3,0.08168556541204453,90,AMC,Bournemouth,Huddersfield,4,0,2017-11-18,7237,2017,179665,0.11145743727684021,0,2,0,0.08168556541204453,0.38212645053863525,0.24337199330329895,4454,Tom Ince
0,3,0.11854058504104614,90,AMC,Huddersfield,West Bromwich Albion,1,0,2017-11-04,7221,2017,178196,0,0,0,0,0.11854058504104614,0.05027996748685837,0,4454,Tom Ince
0,1,0.05548015981912613,90,ML,Liverpool,Huddersfield,3,0,2017-10-28,7217,2017,177880,0,0,0,0,0.05548015981912613,0,0,4454,Tom Ince
0,1,0.15537004172801971,90,AML,Huddersfield,Manchester United,2,1,2017-10-21,7201,2017,177208,0,0,0,0,0.15537004172801971,0.15537004172801971,0,4454,Tom Ince
0,2,0.47796890139579773,90,AMC,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178515,0,0,0,0,0.47796890139579773,0.4892377257347107,0.011268806643784046,4454,Tom Ince
0,0,0,90,AMC,Huddersfield,Tottenham,0,4,2017-09-30,7179,2017,178055,0,0,0,0,0,0,0,4454,Tom Ince
0,1,0.01800651103258133,90,AML,Burnley,Huddersfield,0,0,2017-09-23,7174,2017,176943,0.10493044555187225,0,1,0,0.01800651103258133,0.13784532248973846,0.014908365905284882,4454,Tom Ince
