goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.385166198015213,69,FW,Brighton,Chelsea,0,4,2018-01-20,7350,2017,208902,0.032970868051052094,0,1,0,0.385166198015213,0.36506739258766174,0,4046,Tomer Hemed
0,0,0,28,Sub,Newcastle United,Brighton,0,0,2017-12-30,7325,2017,206158,0,0,0,0,0,0,0,4046,Tomer Hemed
0,2,0.16686514019966125,81,FW,Chelsea,Brighton,2,0,2017-12-26,7310,2017,205631,0,0,0,0,0.16686514019966125,0.16686514019966125,0,4046,Tomer Hemed
0,4,0.5213046073913574,88,FW,Brighton,Watford,1,0,2017-12-23,7305,2017,202899,0.047868628054857254,1,1,0,0.5213046073913574,0.569173276424408,0,4046,Tomer Hemed
0,0,0,26,Sub,Brighton,Burnley,0,0,2017-12-16,7291,2017,205481,0,0,0,0,0,0.01924082636833191,0.01924082636833191,4046,Tomer Hemed
0,2,0.11153938621282578,74,FW,Tottenham,Brighton,2,0,2017-12-13,7288,2017,203081,0,0,0,0,0.11153938621282578,0.1283976435661316,0.016858257353305817,4046,Tomer Hemed
0,0,0,15,Sub,Huddersfield,Brighton,2,0,2017-12-09,7274,2017,198844,0,0,0,0,0,0,0,4046,Tomer Hemed
0,0,0,4,Sub,Brighton,Crystal Palace,0,0,2017-11-28,7250,2017,178833,0,0,0,0,0,0,0,4046,Tomer Hemed
0,0,0,14,Sub,Manchester United,Brighton,1,0,2017-11-25,7243,2017,179446,0,0,0,0,0,0,0,4046,Tomer Hemed
0,0,0,10,Sub,Swansea,Brighton,0,1,2017-11-04,7225,2017,179336,0,0,0,0,0,0,0,4046,Tomer Hemed
1,3,0.18007993698120117,90,FW,Brighton,Newcastle United,1,0,2017-09-24,7177,2017,176851,0,0,0,1,0.18007993698120117,0.07241411507129669,0,4046,Tomer Hemed
0,0,0,90,FW,Bournemouth,Brighton,2,1,2017-09-15,7159,2017,177635,0,0,0,0,0,0.4996221363544464,0.4996221363544464,4046,Tomer Hemed
1,1,0.08508181571960449,85,FW,Brighton,West Bromwich Albion,3,1,2017-09-09,7153,2017,176824,0.02714518830180168,1,1,1,0.08508181571960449,0.11222700774669647,0,4046,Tomer Hemed
0,2,0.2306700199842453,90,FW,Watford,Brighton,0,0,2017-08-26,7143,2017,176616,0,0,0,0,0.2306700199842453,0.17357413470745087,0.06493154168128967,4046,Tomer Hemed
0,1,0.021732619032263756,22,Sub,Leicester,Brighton,2,0,2017-08-19,7133,2017,176175,0,0,0,0,0.021732619032263756,0.021732619032263756,0,4046,Tomer Hemed
0,0,0,63,FW,Brighton,Manchester City,0,2,2017-08-12,7126,2017,175829,0,0,0,0,0,0,0,4046,Tomer Hemed
0,0,0,10,Sub,Almeria,Valencia,2,3,2015-05-23,5500,2014,41613,0,0,0,0,0,0,0,4046,Tomer Hemed
0,1,0.05406394973397255,14,Sub,Sevilla,Almeria,2,1,2015-05-17,5494,2014,42434,0,0,0,0,0.05406394973397255,0.02061597630381584,0.02061597630381584,4046,Tomer Hemed
0,0,0,14,Sub,Almeria,Malaga,1,2,2015-05-10,5482,2014,40554,0,0,0,0,0,0,0,4046,Tomer Hemed
0,0,0,29,Sub,Almeria,Celta Vigo,2,2,2015-05-04,5474,2014,41780,0.9575836062431335,1,1,0,0,0,0,4046,Tomer Hemed
0,1,0.08233277499675751,90,FW,Real Madrid,Almeria,3,0,2015-04-29,5559,2014,41263,0,0,0,0,0.08233277499675751,0,0,4046,Tomer Hemed
0,1,0.01077157910913229,66,FW,Almeria,Eibar,2,0,2015-04-26,5551,2014,40691,0.055610835552215576,1,1,0,0.01077157910913229,0.06638241559267044,0,4046,Tomer Hemed
0,0,0,15,Sub,Rayo Vallecano,Almeria,2,0,2015-04-19,5540,2014,44236,0,0,0,0,0,0,0,4046,Tomer Hemed
0,1,0.1011052131652832,12,Sub,Almeria,Granada,3,0,2015-04-11,5528,2014,43943,0.5153870582580566,0,1,0,0.1011052131652832,0.5153870582580566,0.5153870582580566,4046,Tomer Hemed
1,5,0.8847842812538147,90,FW,Almeria,Levante,1,4,2015-04-04,5508,2014,43248,0,0,0,0,0.14150667190551758,0.4841318726539612,0.4109867811203003,4046,Tomer Hemed
0,2,0.09851931780576706,90,FW,Athletic Club,Almeria,2,1,2015-03-21,5595,2014,44570,0,0,0,0,0.09851931780576706,0.09851931780576706,0,4046,Tomer Hemed
0,3,1.0360562801361084,90,FW,Almeria,Villarreal,0,0,2015-03-15,5586,2014,44444,0.07157611846923828,0,1,0,1.0360562801361084,1.0360562801361084,0,4046,Tomer Hemed
0,3,0.24582116305828094,90,FW,Elche,Almeria,1,0,2015-03-07,5574,2014,44654,0,0,0,0,0.24582116305828094,0.10768283158540726,0,4046,Tomer Hemed
0,3,0.15972918272018433,90,FW,Almeria,Deportivo La Coruna,0,0,2015-02-28,5641,2014,44920,0,0,0,0,0.15972918272018433,0.09050333499908447,0.01809382624924183,4046,Tomer Hemed
0,1,0.012405473738908768,90,FW,Atletico Madrid,Almeria,3,0,2015-02-21,5631,2014,46464,0,0,0,0,0.012405473738908768,0.012405473738908768,0,4046,Tomer Hemed
1,4,0.20397140085697174,90,FW,Almeria,Real Sociedad,2,2,2015-02-13,5618,2014,45951,0,0,0,1,0.20397140085697174,0.2009701132774353,0.015279475599527359,4046,Tomer Hemed
0,3,0.448410302400589,84,FW,Almeria,Getafe,1,0,2015-02-01,5603,2014,42335,0.3344334065914154,1,1,0,0.448410302400589,0.7828437089920044,0.10777989029884338,4046,Tomer Hemed
0,0,0,90,FW,Espanyol,Almeria,3,0,2015-01-25,5679,2014,43234,0.08886949717998505,0,2,0,0,0.1345304548740387,0.04566095396876335,4046,Tomer Hemed
2,3,0.683083176612854,90,FW,Valencia,Almeria,3,2,2015-01-17,5664,2014,42600,0,0,0,2,0.683083176612854,0.5127447247505188,0,4046,Tomer Hemed
0,6,0.7626940608024597,90,FW,Almeria,Sevilla,0,2,2015-01-11,5657,2014,41109,0,0,0,0,0.7626940608024597,0.7177265286445618,0,4046,Tomer Hemed
2,3,1.2977416515350342,90,FW,Malaga,Almeria,1,2,2015-01-03,5646,2014,42072,0,0,0,1,0.5544640421867371,0,0,4046,Tomer Hemed
1,2,1.0307700634002686,90,FW,Celta Vigo,Almeria,0,1,2014-12-19,5707,2014,42517,0,0,0,1,1.0307700634002686,1.0307700634002686,0,4046,Tomer Hemed
0,3,0.10295483469963074,90,FW,Almeria,Real Madrid,1,4,2014-12-12,5697,2014,39278,0,0,0,0,0.10295483469963074,0.18002735078334808,0.07707251608371735,4046,Tomer Hemed
0,1,0.10684894025325775,48,FW,Eibar,Almeria,5,2,2014-12-08,5695,2014,38455,0,0,0,0,0.10684894025325775,0.2225218266248703,0.11567289382219315,4046,Tomer Hemed
0,2,0.12327022850513458,74,FW,Almeria,Rayo Vallecano,0,1,2014-12-01,5686,2014,37493,0.23135899007320404,0,1,0,0.12327022850513458,0.3546292185783386,0.23135899007320404,4046,Tomer Hemed
0,0,0,22,Sub,Almeria,Barcelona,1,2,2014-11-08,5726,2014,38638,0,0,0,0,0,0,0,4046,Tomer Hemed
0,2,0.13605283200740814,33,Sub,Levante,Almeria,2,1,2014-11-02,5722,2014,37789,0.06792715191841125,1,1,0,0.13605283200740814,0.05322154983878136,0,4046,Tomer Hemed
0,2,0.05170712247490883,90,FW,Almeria,Athletic Club,0,1,2014-10-25,5775,2014,40079,0,0,0,0,0.05170712247490883,0.05170712247490883,0,4046,Tomer Hemed
