goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.010138500481843948,90,DR,Southampton,Huddersfield,1,1,2019-05-12,9569,2018,332412,0,0,0,0,0.010138500481843948,0.010138500481843948,0,6029,Tommy Smith
0,0,0,42,Sub,Huddersfield,Manchester United,1,1,2019-05-05,9561,2018,330797,0,0,0,0,0,0,0,6029,Tommy Smith
0,0,0,90,DR,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328034,0,0,0,0,0,0.010153762064874172,0.010153762064874172,6029,Tommy Smith
0,0,0,90,DR,Huddersfield,Watford,1,2,2019-04-20,9541,2018,326033,0.10256414860486984,0,3,0,0,0.160853773355484,0.14526914060115814,6029,Tommy Smith
0,0,0,90,DR,Huddersfield,Leicester,1,4,2019-04-06,9523,2018,322571,0,0,0,0,0,0,0,6029,Tommy Smith
0,0,0,90,DR,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317928,0.03152693435549736,0,1,0,0,0.08637864142656326,0.0548517070710659,6029,Tommy Smith
0,1,0.028249219059944153,90,DR,West Ham,Huddersfield,4,3,2019-03-16,9498,2018,316381,0,0,0,0,0.028249219059944153,0.05076366662979126,0.022514449432492256,6029,Tommy Smith
0,0,0,20,DR,Newcastle United,Huddersfield,2,0,2019-02-23,9458,2018,304835,0,0,0,0,0,0,0,6029,Tommy Smith
0,0,0,90,DR,Huddersfield,Arsenal,1,2,2019-02-09,9456,2018,304576,0.0883777067065239,0,1,0,0,0.5547665357589722,0.4663888216018677,6029,Tommy Smith
0,0,0,90,DR,Chelsea,Huddersfield,5,0,2019-02-02,9443,2018,304229,0.04616432264447212,0,1,0,0,0,0,6029,Tommy Smith
0,0,0,90,DR,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303808,0,0,0,0,0,0.06623373180627823,0.06623373180627823,6029,Tommy Smith
0,1,0.03739817067980766,63,DR,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278322,0.12518778443336487,0,1,0,0.03739817067980766,0.16258595883846283,0,6029,Tommy Smith
0,0,0,23,Sub,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277764,0,0,0,0,0,0,0,6029,Tommy Smith
0,0,0,90,DC,Wolverhampton Wanderers,Huddersfield,0,2,2018-11-25,9325,2018,277603,0,0,0,0,0,0,0,6029,Tommy Smith
0,0,0,90,DR,Manchester City,Huddersfield,6,1,2018-08-19,9213,2018,259144,0,0,0,0,0,0.06586749851703644,0.06586749851703644,6029,Tommy Smith
