goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,12,Sub,Tottenham,Everton,2,2,2019-05-12,9568,2018,332436,0,0,0,0,0,0,0,1730,Vincent Janssen
0,3,0.3054769039154053,13,Sub,Tottenham,West Ham,0,1,2019-04-27,9548,2018,328087,0,0,0,0,0.3054769039154053,0.3054769039154053,0,1730,Vincent Janssen
0,0,0,9,Sub,Tottenham,Brighton,1,0,2019-04-23,9519,2018,327344,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,1,Sub,Tottenham,Chelsea,1,2,2017-08-20,7137,2017,176771,0,0,0,0,0,0,0,1730,Vincent Janssen
0,1,0.02693011797964573,9,Sub,Hull,Tottenham,1,7,2017-05-21,3513,2016,125247,0,0,0,0,0.02693011797964573,0.02693011797964573,0,1730,Vincent Janssen
0,1,0.04859187453985214,11,Sub,Leicester,Tottenham,1,6,2017-05-18,3475,2016,134236,0.10470370948314667,0,2,0,0.04859187453985214,0.2378493696451187,0.1475345343351364,1730,Vincent Janssen
0,0,0,15,Sub,West Ham,Tottenham,1,0,2017-05-05,3499,2016,135199,0,0,0,0,0,0,0,1730,Vincent Janssen
1,2,0.8969931602478027,1,Sub,Tottenham,Bournemouth,4,0,2017-04-15,3465,2016,134936,0,0,0,1,0.8969931602478027,0,0,1730,Vincent Janssen
0,2,0.1600036472082138,62,FW,Tottenham,Watford,4,0,2017-04-08,3453,2016,133802,0.03886409476399422,0,1,0,0.1600036472082138,0.14979733526706696,0,1730,Vincent Janssen
0,2,0.16558383405208588,28,Sub,Swansea,Tottenham,1,3,2017-04-05,3444,2016,132477,0.376124769449234,1,1,0,0.16558383405208588,0.6631518602371216,0.12144327908754349,1730,Vincent Janssen
0,1,0.032340023666620255,75,FW,Burnley,Tottenham,0,2,2017-04-01,3431,2016,132447,0.06439235806465149,0,1,0,0.032340023666620255,0.05223231017589569,0.019892286509275436,1730,Vincent Janssen
0,1,0.04733308032155037,1,Sub,Tottenham,Southampton,2,1,2017-03-19,3422,2016,133831,0,0,0,0,0.04733308032155037,0.04733308032155037,0,1730,Vincent Janssen
0,0,0,1,Sub,Tottenham,Everton,3,2,2017-03-05,3406,2016,133340,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,7,Sub,Liverpool,Tottenham,2,0,2017-02-11,3386,2016,130736,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,1,Sub,Tottenham,Middlesbrough,1,0,2017-02-04,3377,2016,130063,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,3,Sub,Sunderland,Tottenham,0,0,2017-01-31,3364,2016,132255,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,12,Sub,Watford,Tottenham,1,4,2017-01-01,3328,2016,131012,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,1,Sub,Southampton,Tottenham,1,4,2016-12-28,3154,2016,129694,0,0,0,0,0,0,0,1730,Vincent Janssen
0,0,0,6,Sub,Chelsea,Tottenham,2,1,2016-11-26,2712,2016,129195,0,0,0,0,0,0,0,1730,Vincent Janssen
0,1,0.04380808025598526,72,FW,Tottenham,West Ham,3,2,2016-11-19,2704,2016,128763,0,0,0,0,0.04380808025598526,0.04380808025598526,0,1730,Vincent Janssen
0,2,0.10054609924554825,14,Sub,Arsenal,Tottenham,1,1,2016-11-06,2692,2016,127927,0,0,0,0,0.10054609924554825,0.030628228560090065,0,1730,Vincent Janssen
1,4,1.0358829498291016,90,FW,Tottenham,Leicester,1,1,2016-10-29,2678,2016,127830,0.021730827167630196,0,1,0,0.2747141122817993,0.12151706218719482,0.0155098345130682,1730,Vincent Janssen
0,0,0,26,Sub,Bournemouth,Tottenham,0,0,2016-10-22,541,2016,127044,0,0,0,0,0,0.08113420754671097,0.08113420754671097,1730,Vincent Janssen
0,3,0.09270043671131134,90,FW,West Bromwich Albion,Tottenham,1,1,2016-10-15,536,2016,126963,0.40093421936035156,0,4,0,0.09270043671131134,0.7621150612831116,0.3004443049430847,1730,Vincent Janssen
0,0,0,1,Sub,Tottenham,Manchester City,2,0,2016-10-02,529,2016,127389,0,0,0,0,0,0,0,1730,Vincent Janssen
0,2,0.13369959592819214,87,FW,Middlesbrough,Tottenham,1,2,2016-09-24,512,2016,126684,0.1484130471944809,1,2,0,0.13369959592819214,0.38106393814086914,0.15592512488365173,1730,Vincent Janssen
0,1,0.05286677926778793,2,Sub,Tottenham,Sunderland,1,0,2016-09-18,510,2016,126450,0,0,0,0,0.05286677926778793,0.05286677926778793,0,1730,Vincent Janssen
0,1,0.13041888177394867,14,Sub,Stoke,Tottenham,0,4,2016-09-10,493,2016,126161,0.025750117376446724,0,1,0,0.13041888177394867,0.13041888177394867,0,1730,Vincent Janssen
0,0,0,63,Sub,Tottenham,Liverpool,1,1,2016-08-27,481,2016,125895,0,0,0,0,0,0,0,1730,Vincent Janssen
0,4,0.8544405698776245,90,FW,Tottenham,Crystal Palace,1,0,2016-08-20,475,2016,125587,0.033565912395715714,0,2,0,0.8544405698776245,0.9421519041061401,0.054145447909832,1730,Vincent Janssen
0,2,0.5949163436889648,33,Sub,Everton,Tottenham,1,1,2016-08-13,463,2016,125030,0.039559949189424515,0,1,0,0.5949163436889648,0.06952701508998871,0,1730,Vincent Janssen
