goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.030624492093920708,26,DC,Swansea,West Ham,4,1,2018-03-03,7406,2017,220982,0,0,0,0,0.030624492093920708,0,0,529,Winston Reid
0,0,0,90,DC,Tottenham,West Ham,1,1,2018-01-04,7326,2017,206699,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206520,0,0,0,0,0,0.16867785155773163,0.16867785155773163,529,Winston Reid
0,0,0,90,DC,West Ham,Newcastle United,2,3,2017-12-23,7300,2017,205362,0.11051006615161896,0,3,0,0,0.43915504217147827,0.3286449909210205,529,Winston Reid
0,0,0,90,DC,West Ham,Arsenal,0,0,2017-12-13,7286,2017,202755,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,Chelsea,1,0,2017-12-09,7269,2017,199016,0,0,0,0,0,0.11405710130929947,0.11405710130929947,529,Winston Reid
0,0,0,79,DC,Everton,West Ham,4,0,2017-11-29,7256,2017,179218,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,Leicester,1,1,2017-11-24,7247,2017,178576,0.1265721470117569,0,1,0,0,0.07156067341566086,0.07156067341566086,529,Winston Reid
0,1,0.02686736360192299,90,DC,Watford,West Ham,2,0,2017-11-19,7230,2017,178947,0,0,0,0,0.02686736360192299,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179478,0,0,0,0,0,0.5484766364097595,0.5484766364097595,529,Winston Reid
0,2,0.07985101640224457,90,DC,West Ham,Brighton,0,3,2017-10-20,7208,2017,177448,0,0,0,0,0.07985101640224457,0.1669648438692093,0.1669648438692093,529,Winston Reid
0,0,0,90,DC,Burnley,West Ham,1,1,2017-10-14,7190,2017,178342,0,0,0,0,0,0.02538367547094822,0.02538367547094822,529,Winston Reid
0,0,0,90,DC,West Ham,Swansea,1,0,2017-09-30,7183,2017,178272,0,0,0,0,0,0.08066011965274811,0.08066011965274811,529,Winston Reid
0,1,0.024247117340564728,90,DC,West Ham,Tottenham,2,3,2017-09-23,7169,2017,177775,0,0,0,0,0.024247117340564728,0.0875772014260292,0.0875772014260292,529,Winston Reid
0,0,0,90,DC,West Bromwich Albion,West Ham,0,0,2017-09-16,7165,2017,176718,0,0,0,0,0,0.0519617423415184,0.0519617423415184,529,Winston Reid
0,0,0,90,DC,West Ham,Huddersfield,2,0,2017-09-11,7158,2017,177528,0,0,0,0,0,0.08973091095685959,0.08973091095685959,529,Winston Reid
0,0,0,90,DC,Manchester United,West Ham,4,0,2017-08-13,7128,2017,175945,0,0,0,0,0,0.056733183562755585,0.056733183562755585,529,Winston Reid
0,1,0.013759874738752842,90,DC,West Ham,Liverpool,0,4,2017-05-14,3509,2016,134100,0.014151857234537601,0,1,0,0.013759874738752842,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,Tottenham,1,0,2017-05-05,3499,2016,135174,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,Stoke,West Ham,0,0,2017-04-29,3485,2016,134498,0,0,0,0,0,0.11138807237148285,0.11138807237148285,529,Winston Reid
0,0,0,90,DC,West Ham,Everton,0,0,2017-04-22,3479,2016,134322,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,17,DC,West Ham,Leicester,2,3,2017-03-18,3421,2016,134045,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,Bournemouth,West Ham,3,2,2017-03-11,3411,2016,133863,0.08479991555213928,0,1,0,0,0.10020022839307785,0.10020022839307785,529,Winston Reid
0,0,0,68,DC,West Ham,Chelsea,1,2,2017-03-06,3409,2016,133631,0.050458647310733795,0,1,0,0,0,0,529,Winston Reid
0,0,0,90,DC,Watford,West Ham,1,1,2017-02-25,3396,2016,132057,0,0,0,0,0,0.13960000872612,0.13960000872612,529,Winston Reid
0,0,0,90,DC,West Ham,West Bromwich Albion,2,2,2017-02-11,3385,2016,131348,0,0,0,0,0,0.2665480673313141,0.2665480673313141,529,Winston Reid
0,0,0,90,DC,Southampton,West Ham,1,3,2017-02-04,3376,2016,129959,0,0,0,0,0,0.016843969002366066,0.016843969002366066,529,Winston Reid
0,0,0,90,DC,West Ham,Manchester City,0,4,2017-02-01,3367,2016,132287,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,Middlesbrough,West Ham,1,3,2017-01-21,3351,2016,131808,0,0,0,0,0,0.8794853091239929,0.8794853091239929,529,Winston Reid
0,0,0,90,DC,West Ham,Crystal Palace,3,0,2017-01-14,3346,2016,131180,0,0,0,0,0,0.25651177763938904,0.25651177763938904,529,Winston Reid
0,0,0,90,DC,West Ham,Manchester United,0,2,2017-01-02,3335,2016,130082,0,0,0,0,0,0.0518554151058197,0.0518554151058197,529,Winston Reid
0,0,0,90,DC,Leicester,West Ham,1,0,2016-12-31,3156,2016,130451,0,0,0,0,0,0.1430303007364273,0.1430303007364273,529,Winston Reid
1,1,0.4759479761123657,90,DC,Swansea,West Ham,1,4,2016-12-26,3146,2016,129796,0,0,0,1,0.4759479761123657,0.07135794311761856,0.07135794311761856,529,Winston Reid
0,1,0.01815095543861389,90,DC,West Ham,Hull,1,0,2016-12-17,3137,2016,128951,0,0,0,0,0.01815095543861389,0,0,529,Winston Reid
0,1,0.020181501284241676,90,DC,West Ham,Burnley,1,0,2016-12-14,3129,2016,130904,0,0,0,0,0.020181501284241676,0.19454894959926605,0.19454894959926605,529,Winston Reid
0,0,0,90,DC,Liverpool,West Ham,2,2,2016-12-11,3124,2016,130040,0.08820217847824097,0,1,0,0,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,Arsenal,1,5,2016-12-03,3111,2016,129061,0.0293173436075449,0,1,0,0,0.08473014086484909,0.08473014086484909,529,Winston Reid
0,1,0.08095870912075043,90,DC,Tottenham,West Ham,3,2,2016-11-19,2704,2016,128770,0.5287325382232666,1,1,0,0.08095870912075043,0.10475236922502518,0.10475236922502518,529,Winston Reid
0,0,0,90,DC,Everton,West Ham,2,0,2016-10-30,2684,2016,127584,0,0,0,0,0,0,0,529,Winston Reid
1,2,0.07069458067417145,90,DC,West Ham,Sunderland,1,0,2016-10-22,542,2016,127459,0,0,0,1,0.07069458067417145,0,0,529,Winston Reid
0,0,0,90,DC,Crystal Palace,West Ham,0,1,2016-10-15,537,2016,127724,0,0,0,0,0,0,0,529,Winston Reid
0,2,0.10036423802375793,90,DC,West Ham,Middlesbrough,1,1,2016-10-01,526,2016,127487,0.12516336143016815,1,1,0,0.10036423802375793,0.1651363968849182,0.039973046630620956,529,Winston Reid
0,2,0.03286352753639221,90,DC,West Ham,Southampton,0,3,2016-09-25,519,2016,126776,0.01802046224474907,0,1,0,0.03286352753639221,0.013136913999915123,0,529,Winston Reid
0,0,0,90,DC,West Ham,Watford,2,4,2016-09-10,497,2016,126219,0,0,0,0,0,0.02862243354320526,0.02862243354320526,529,Winston Reid
0,0,0,80,DC,Manchester City,West Ham,3,1,2016-08-28,490,2016,125844,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,West Ham,Bournemouth,1,0,2016-08-21,480,2016,125663,0,0,0,0,0,0.7872709631919861,0.7872709631919861,529,Winston Reid
0,0,0,90,DC,Chelsea,West Ham,2,1,2016-08-15,470,2016,124965,0,0,0,0,0,0,0,529,Winston Reid
0,0,0,90,DC,Stoke,West Ham,2,1,2016-05-15,456,2015,57817,0.19079752266407013,1,4,0,0,0.08865568786859512,0.08865568786859512,529,Winston Reid
1,1,0.10681428015232086,90,DC,West Ham,Manchester United,3,2,2016-05-10,447,2015,62725,0,0,0,1,0.10681428015232086,0.3126562833786011,0.3126562833786011,529,Winston Reid
0,1,0.12242195755243301,90,DC,West Ham,Swansea,1,4,2016-05-07,439,2015,62973,0,0,0,0,0.12242195755243301,0.06263873726129532,0.06263873726129532,529,Winston Reid
0,0,0,90,DC,West Bromwich Albion,West Ham,0,3,2016-04-30,431,2015,63590,0.030547676607966423,0,1,0,0,0.6366066336631775,0.6060589551925659,529,Winston Reid
0,1,0.028406208381056786,90,DC,West Ham,Watford,3,1,2016-04-20,416,2015,65977,0,0,0,0,0.028406208381056786,0.07292045652866364,0.07292045652866364,529,Winston Reid
0,1,0.13560350239276886,90,DC,Leicester,West Ham,2,2,2016-04-17,411,2015,62466,0,0,0,0,0.13560350239276886,0.019676517695188522,0.019676517695188522,529,Winston Reid
0,1,0.07793440669775009,90,DC,West Ham,Arsenal,3,3,2016-04-09,394,2015,67497,0,0,0,0,0.07793440669775009,0.0993613675236702,0.0993613675236702,529,Winston Reid
