goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.08917761594057083,88,MC,Manchester City,Brighton,3,1,2018-05-09,7424,2017,238711,0.1565929800271988,0,2,0,0.08917761594057083,0.5509003400802612,0.461722731590271,878,Yaya Touré
0,1,0.12148134410381317,15,Sub,West Ham,Manchester City,1,4,2018-04-29,7478,2017,236517,0.08777240663766861,0,1,0,0.12148134410381317,0.11678440868854523,0.11678440868854523,878,Yaya Touré
0,2,0.07221733033657074,24,Sub,Manchester City,Swansea,5,0,2018-04-22,7465,2017,235054,0.4294293224811554,1,2,0,0.07221733033657074,1.0590571165084839,0.9599215388298035,878,Yaya Touré
0,0,0,1,Sub,Tottenham,Manchester City,1,3,2018-04-14,7457,2017,232509,0,0,0,0,0,0,0,878,Yaya Touré
0,0,0,6,Sub,Arsenal,Manchester City,0,3,2018-03-01,7389,2017,220443,0,0,0,0,0,0,0,878,Yaya Touré
0,0,0,17,Sub,Manchester City,Watford,3,1,2018-01-02,7335,2017,206614,0,0,0,0,0,0,0,878,Yaya Touré
0,1,0.07220432907342911,3,Sub,Crystal Palace,Manchester City,0,0,2017-12-31,7321,2017,206352,0,0,0,0,0.07220432907342911,0,0,878,Yaya Touré
0,0,0,31,Sub,Swansea,Manchester City,0,4,2017-12-13,7281,2017,205414,0.07555332779884338,1,1,0,0,0.206298366189003,0.1307450383901596,878,Yaya Touré
0,0,0,9,Sub,Manchester City,Burnley,3,0,2017-10-21,7202,2017,177267,0,0,0,0,0,0.3868783414363861,0.3868783414363861,878,Yaya Touré
0,0,0,15,Sub,Manchester City,Stoke,7,2,2017-10-14,7194,2017,178450,0.03558533266186714,0,1,0,0,0.10921940207481384,0.10921940207481384,878,Yaya Touré
0,1,0.0864553153514862,65,DMC,Watford,Manchester City,0,5,2017-05-21,3519,2016,125405,0,0,0,0,0.0864553153514862,0.546239972114563,0.546239972114563,878,Yaya Touré
1,1,0.33065733313560486,83,DMC,Manchester City,West Bromwich Albion,3,1,2017-05-16,3477,2016,134271,0.019147267565131187,0,1,1,0.33065733313560486,0.552670419216156,0.5335231423377991,878,Yaya Touré
0,2,0.05557950586080551,90,DMC,Manchester City,Leicester,2,1,2017-05-13,3503,2016,135290,0.05614591762423515,0,2,0,0.05557950586080551,0.18710941076278687,0.09624911099672318,878,Yaya Touré
