goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Huddersfield,Manchester United,1,1,2019-05-05,9561,2018,330796,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,5,0.7893819808959961,90,FW,Huddersfield,Arsenal,1,2,2019-02-09,9456,2018,304585,0.057664114981889725,0,1,0,0.7893819808959961,0.568669855594635,0.0883777067065239,5740,Adama Diakhaby
0,0,0,87,FWR,Chelsea,Huddersfield,5,0,2019-02-02,9443,2018,304236,0.11554982513189316,0,1,0,0,0.11554982513189316,0,5740,Adama Diakhaby
0,1,0.012124694883823395,89,FWL,Huddersfield,Everton,0,1,2019-01-29,9428,2018,303926,0.2706187069416046,0,2,0,0.012124694883823395,0.4449501037597656,0.16220669448375702,5740,Adama Diakhaby
0,1,0.06916984915733337,62,FW,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303817,0,0,0,0,0.06916984915733337,0.06916984915733337,0,5740,Adama Diakhaby
0,0,0,1,Sub,Huddersfield,Liverpool,0,1,2018-10-20,9284,2018,276464,0.0965978279709816,0,1,0,0,0.0965978279709816,0,5740,Adama Diakhaby
0,0,0,31,Sub,Leicester,Huddersfield,3,1,2018-09-22,9250,2018,260233,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,19,Sub,Huddersfield,Crystal Palace,0,1,2018-09-15,9240,2018,259865,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,62,MR,Everton,Huddersfield,1,1,2018-09-01,9229,2018,259648,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,73,AMR,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259303,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,27,Sub,Manchester City,Huddersfield,6,1,2018-08-19,9213,2018,259156,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,18,Sub,Huddersfield,Chelsea,0,3,2018-08-11,9200,2018,258750,0,0,0,0,0,0.027804803103208542,0.027804803103208542,5740,Adama Diakhaby
0,1,0.013818698935210705,32,Sub,Monaco,Amiens,0,0,2018-04-28,8910,2017,236168,0,0,0,0,0.013818698935210705,0.013818698935210705,0,5740,Adama Diakhaby
0,1,0.013094563968479633,64,FW,Guingamp,Monaco,3,1,2018-04-21,8901,2017,234564,0,0,0,0,0.013094563968479633,0.029920367524027824,0.016825802624225616,5740,Adama Diakhaby
0,0,0,13,Sub,Paris Saint Germain,Monaco,7,1,2018-04-15,8894,2017,233149,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,1,Sub,Monaco,Nantes,2,1,2018-04-07,8880,2017,230660,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,41,Sub,Rennes,Monaco,1,1,2018-04-04,8872,2017,228359,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,1,Sub,Toulouse,Monaco,3,3,2018-02-24,8827,2017,219287,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,61,AML,Monaco,Dijon,4,0,2018-02-16,8824,2017,217713,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,64,AML,Angers,Monaco,0,4,2018-02-10,8812,2017,216005,0.33828791975975037,1,2,0,0,0.8155239820480347,0.4772360920906067,5740,Adama Diakhaby
0,1,0.030936863273382187,58,FWL,Monaco,Metz,3,1,2018-01-21,8778,2017,209924,0,0,1,0,0.030936863273382187,0,0,5740,Adama Diakhaby
1,1,0.4573237895965576,76,AML,Monaco,Nice,2,2,2018-01-16,8772,2017,208543,0.015656884759664536,0,1,1,0.4573237895965576,0.47298067808151245,0,5740,Adama Diakhaby
0,0,0,18,Sub,Montpellier,Monaco,0,0,2018-01-13,8758,2017,208008,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,3,Sub,Saint-Etienne,Monaco,0,4,2017-12-15,8742,2017,203471,0,0,0,0,0,0,0,5740,Adama Diakhaby
0,0,0,6,Sub,Monaco,Troyes,3,2,2017-12-09,8731,2017,199246,0,0,0,0,0,0,0,5740,Adama Diakhaby
