goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.04763805493712425,74,FW,Real Sociedad,Atletico Madrid,1,2,2022-05-22,17511,2021,538263,0.37527996301651,0,1,0,0.04763805493712425,0.42291802167892456,0.04763805493712425,6531,Alexander Sørloth
0,1,0.4381728768348694,83,FW,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536616,0.5424782037734985,0,2,0,0.4381728768348694,1.0458084344863892,0.57736736536026,6531,Alexander Sørloth
1,2,0.5725353956222534,90,FW,Real Sociedad,Cadiz,3,0,2022-05-12,17491,2021,534955,0,0,0,1,0.5725353956222534,0.9017789363861084,0.329243540763855,6531,Alexander Sørloth
0,1,0.17260706424713135,90,FW,Levante,Real Sociedad,2,1,2022-05-06,17484,2021,531957,0.03571087121963501,0,1,0,0.17260706424713135,0.3413132131099701,0.13299526274204254,6531,Alexander Sørloth
1,2,0.07481897622346878,90,FW,Rayo Vallecano,Real Sociedad,1,1,2022-05-01,17474,2021,531432,0.36024215817451477,0,1,1,0.07481897622346878,0.7332020998001099,0.2981409430503845,6531,Alexander Sørloth
0,3,0.5902640223503113,90,FW,Real Sociedad,Barcelona,0,1,2022-04-21,17464,2021,528284,0.34270521998405457,0,1,0,0.5902640223503113,0.9596348404884338,0.41743922233581543,6531,Alexander Sørloth
0,3,0.27500465512275696,90,FW,Real Sociedad,Real Betis,0,0,2022-04-15,17452,2021,525981,0,0,0,0,0.27500465512275696,0.17922721803188324,0.02706736885011196,6531,Alexander Sørloth
1,1,0.37936893105506897,70,FW,Elche,Real Sociedad,1,2,2022-04-10,17445,2021,525656,0.3189743161201477,0,4,1,0.37936893105506897,0.6983432769775391,0,6531,Alexander Sørloth
0,2,0.13603709638118744,90,FW,Real Sociedad,Espanyol,1,0,2022-04-04,17434,2021,523982,0.4319985508918762,0,1,0,0.13603709638118744,0.27568870782852173,0.1396516114473343,6531,Alexander Sørloth
0,3,0.6819639801979065,90,FW,Sevilla,Real Sociedad,0,0,2022-03-20,17423,2021,522197,0,0,0,0,0.6819639801979065,0.7745274901390076,0.09256349503993988,6531,Alexander Sørloth
0,2,0.9378175139427185,26,Sub,Real Sociedad,Alaves,1,0,2022-03-13,17413,2021,520430,0.06929150223731995,0,1,0,0.9378175139427185,1.0964690446853638,0.15865151584148407,6531,Alexander Sørloth
0,0,0,9,Sub,Real Madrid,Real Sociedad,4,1,2022-03-05,17403,2021,517901,0,0,0,0,0,0,0,6531,Alexander Sørloth
0,2,0.18766014277935028,90,FW,Mallorca,Real Sociedad,0,2,2022-03-02,17341,2021,517120,0.08307930082082748,0,1,0,0.18766014277935028,0.3738526403903961,0.10311318933963776,6531,Alexander Sørloth
0,0,0,18,Sub,Real Sociedad,Osasuna,1,0,2022-02-27,17392,2021,516859,0.16033825278282166,0,2,0,0,0.16033825278282166,0,6531,Alexander Sørloth
0,0,0,75,FW,Athletic Club,Real Sociedad,4,0,2022-02-20,17376,2021,515217,0,0,0,0,0,0.119777150452137,0.119777150452137,6531,Alexander Sørloth
0,0,0,6,Sub,Real Sociedad,Granada,2,0,2022-02-13,17372,2021,513585,0,0,0,0,0,0,0,6531,Alexander Sørloth
0,0,0,68,FW,Valencia,Real Sociedad,0,0,2022-02-06,17364,2021,511508,0,0,0,0,0,0,0,6531,Alexander Sørloth
0,2,0.14050684869289398,62,FW,Real Sociedad,Getafe,0,0,2022-01-23,17352,2021,510642,0,0,0,0,0.14050684869289398,0.07474084198474884,0,6531,Alexander Sørloth
0,0,0,10,Sub,Alaves,Real Sociedad,1,1,2022-01-02,17319,2021,505787,0.0597589947283268,0,1,0,0,0.0597589947283268,0,6531,Alexander Sørloth
0,2,0.5389335751533508,7,Sub,Real Sociedad,Villarreal,1,3,2021-12-18,17312,2021,503729,0,0,0,0,0.5389335751533508,0.5389335751533508,0,6531,Alexander Sørloth
0,0,0,16,Sub,Real Betis,Real Sociedad,4,0,2021-12-12,17298,2021,502726,0,0,0,0,0,0,0,6531,Alexander Sørloth
0,0,0,62,FW,Real Sociedad,Real Madrid,0,2,2021-12-04,17295,2021,500246,0.13509923219680786,0,1,0,0,0.16421779990196228,0.16421779990196228,6531,Alexander Sørloth
0,1,0.7855316996574402,61,FW,Espanyol,Real Sociedad,1,0,2021-11-28,17281,2021,498210,0,0,0,0,0.7855316996574402,0.7855316996574402,0,6531,Alexander Sørloth
0,0,0,5,Sub,Real Sociedad,Valencia,0,0,2021-11-21,17272,2021,496810,0,0,0,0,0,0,0,6531,Alexander Sørloth
0,0,0,18,Sub,Osasuna,Real Sociedad,0,2,2021-11-07,17262,2021,495055,0,0,0,0,0,0,0,6531,Alexander Sørloth
0,2,0.16559180617332458,68,FW,Real Sociedad,Athletic Club,1,1,2021-10-31,17250,2021,493368,0.022007424384355545,0,1,0,0.16559180617332458,0.12184016406536102,0,6531,Alexander Sørloth
0,0,0,25,Sub,Celta Vigo,Real Sociedad,0,2,2021-10-28,17240,2021,491690,0,0,0,0,0,0,0,6531,Alexander Sørloth
1,1,0.27923455834388733,89,FW,Atletico Madrid,Real Sociedad,2,2,2021-10-24,17235,2021,491069,0.2735183537006378,0,3,1,0.27923455834388733,0.49946653842926025,0.12334531545639038,6531,Alexander Sørloth
0,0,0,19,Sub,Real Sociedad,Mallorca,1,0,2021-10-16,17223,2021,488459,0,0,0,0,0,0.06831296533346176,0.06831296533346176,6531,Alexander Sørloth
