goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Fulham,Newcastle United,0,4,2019-05-12,9573,2018,332288,0,0,0,0,0,0.14740291237831116,0.14740291237831116,1727,Alfie Mawson
0,0,0,1,Sub,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328337,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,47,DC,Fulham,Huddersfield,1,0,2018-12-29,9393,2018,291427,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Fulham,Wolverhampton Wanderers,1,1,2018-12-26,9383,2018,279004,0,0,0,0,0,0.11852918565273285,0.11852918565273285,1727,Alfie Mawson
0,0,0,90,DC,Newcastle United,Fulham,0,0,2018-12-22,9369,2018,278825,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Fulham,West Ham,0,2,2018-12-15,9364,2018,278617,0,0,0,0,0,0.23444870114326477,0.23444870114326477,1727,Alfie Mawson
0,0,0,90,DC,Manchester United,Fulham,4,1,2018-12-08,9349,2018,278241,0,0,0,0,0,0.02000785432755947,0.02000785432755947,1727,Alfie Mawson
0,1,0.014571301639080048,90,DC,Fulham,Leicester,1,1,2018-12-05,9342,2018,278032,0,0,0,0,0.014571301639080048,0,0,1727,Alfie Mawson
0,0,0,90,DC,Chelsea,Fulham,2,0,2018-12-02,9334,2018,277851,0.008890624158084393,0,1,0,0,0.04401436075568199,0.04401436075568199,1727,Alfie Mawson
0,0,0,90,DC,Fulham,Southampton,3,2,2018-11-24,9320,2018,277451,0,0,0,0,0,0.8333278894424438,0.8333278894424438,1727,Alfie Mawson
0,0,0,90,DC,Liverpool,Fulham,2,0,2018-11-11,9313,2018,277271,0,0,0,0,0,0,0,1727,Alfie Mawson
0,1,0.3043335974216461,39,Sub,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276422,0,0,0,0,0.3043335974216461,0,0,1727,Alfie Mawson
0,0,0,47,DC,Fulham,Watford,1,1,2018-09-22,9247,2018,260183,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Manchester City,Fulham,3,0,2018-09-15,9239,2018,259895,0,0,0,0,0,0.1046997457742691,0.1046997457742691,1727,Alfie Mawson
0,0,0,90,DC,Brighton,Fulham,2,2,2018-09-01,9233,2018,259506,0.04350477084517479,0,1,0,0,0.4654809832572937,0.4654809832572937,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Stoke,1,2,2018-05-13,7491,2017,240066,0,0,0,0,0,0.23299582302570343,0.23299582302570343,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Southampton,0,1,2018-05-08,7426,2017,238624,0,0,0,0,0,0.040756706148386,0.040756706148386,1727,Alfie Mawson
0,1,0.010336915962398052,90,DC,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237612,0,0,0,0,0.010336915962398052,0.41719046235084534,0.41719046235084534,1727,Alfie Mawson
0,1,0.018143927678465843,90,DC,Swansea,Chelsea,0,1,2018-04-28,7476,2017,235909,0,0,0,0,0.018143927678465843,0.20318327844142914,0.18503934144973755,1727,Alfie Mawson
0,2,0.13880860805511475,90,DC,Manchester City,Swansea,5,0,2018-04-22,7465,2017,235059,0,0,0,0,0.13880860805511475,0.037505872547626495,0,1727,Alfie Mawson
0,1,0.012951066717505455,90,DC,Swansea,Everton,1,1,2018-04-14,7456,2017,232096,0,0,0,0,0.012951066717505455,0.10289730131626129,0.10289730131626129,1727,Alfie Mawson
0,0,0,90,DC,West Bromwich Albion,Swansea,1,1,2018-04-07,7448,2017,230501,0,0,0,0,0,0.028037862852215767,0.028037862852215767,1727,Alfie Mawson
0,0,0,90,DC,Manchester United,Swansea,2,0,2018-03-31,7435,2017,226878,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222390,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Swansea,West Ham,4,1,2018-03-03,7406,2017,220970,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Brighton,Swansea,4,1,2018-02-24,7391,2017,219224,0.07800467312335968,0,2,0,0,0.08200882375240326,0.06837346404790878,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Burnley,1,0,2018-02-10,7386,2017,215246,0,0,0,0,0,0.16259799897670746,0.16259799897670746,1727,Alfie Mawson
0,0,0,90,DC,Leicester,Swansea,1,1,2018-02-03,7374,2017,214928,0.09428528696298599,0,1,0,0,0.09428528696298599,0,1727,Alfie Mawson
0,2,0.40061068534851074,90,DC,Swansea,Arsenal,3,1,2018-01-30,7361,2017,215357,0.3424455523490906,1,1,0,0.40061068534851074,0.6991455554962158,0,1727,Alfie Mawson
1,1,0.413555771112442,90,DC,Swansea,Liverpool,1,0,2018-01-22,7357,2017,210195,0,0,0,1,0.413555771112442,0,0,1727,Alfie Mawson
0,0,0,90,DC,Newcastle United,Swansea,1,1,2018-01-13,7345,2017,207721,0,0,0,0,0,0.09139592945575714,0.09139592945575714,1727,Alfie Mawson
0,1,0.04039965197443962,90,DC,Swansea,Tottenham,0,2,2018-01-02,7338,2017,206577,0,0,0,0,0.04039965197443962,0,0,1727,Alfie Mawson
0,1,0.09470880776643753,90,DC,Watford,Swansea,1,2,2017-12-30,7327,2017,206176,0,0,0,0,0.09470880776643753,0.5565005540847778,0.5565005540847778,1727,Alfie Mawson
0,1,0.057326167821884155,90,DC,Liverpool,Swansea,5,0,2017-12-26,7313,2017,205762,0,0,0,0,0.057326167821884155,0.026621079072356224,0.026621079072356224,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Crystal Palace,1,1,2017-12-23,7299,2017,202562,0,0,0,0,0,0.3727417290210724,0.3727417290210724,1727,Alfie Mawson
0,0,0,90,DC,Everton,Swansea,3,1,2017-12-18,7293,2017,203242,0,0,0,0,0,0.01773793250322342,0.01773793250322342,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Manchester City,0,4,2017-12-13,7281,2017,205390,0.04957208037376404,0,1,0,0,0,0,1727,Alfie Mawson
0,2,0.20049387216567993,90,DC,Swansea,West Bromwich Albion,1,0,2017-12-09,7271,2017,198961,0,0,0,0,0.20049387216567993,0.17284168303012848,0.021741406992077827,1727,Alfie Mawson
0,0,0,90,DC,Stoke,Swansea,2,1,2017-12-02,7263,2017,178699,0,0,0,0,0,0.07055293768644333,0.07055293768644333,1727,Alfie Mawson
0,0,0,90,DC,Chelsea,Swansea,1,0,2017-11-29,7255,2017,179138,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Bournemouth,0,0,2017-11-25,7240,2017,179674,0,0,0,0,0,0.08578319102525711,0.08578319102525711,1727,Alfie Mawson
0,1,0.05907171219587326,90,DC,Burnley,Swansea,2,0,2017-11-18,7233,2017,178562,0,0,0,0,0.05907171219587326,0.028314614668488503,0.028314614668488503,1727,Alfie Mawson
0,1,0.04116323962807655,90,DC,Swansea,Brighton,0,1,2017-11-04,7225,2017,179314,0,0,0,0,0.04116323962807655,0,0,1727,Alfie Mawson
0,0,0,90,DC,Arsenal,Swansea,2,1,2017-10-28,7209,2017,177489,0,0,0,0,0,0,0,1727,Alfie Mawson
1,1,0.11151149123907089,90,DC,Swansea,Leicester,1,2,2017-10-21,7206,2017,177394,0,0,0,1,0.11151149123907089,0.04054946452379227,0.04054946452379227,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178496,0,0,0,0,0,0.3597782850265503,0.3597782850265503,1727,Alfie Mawson
0,0,0,90,DC,West Ham,Swansea,1,0,2017-09-30,7183,2017,178287,0,0,0,0,0,0,0,1727,Alfie Mawson
0,1,0.012063798494637012,90,DC,Swansea,Watford,1,2,2017-09-23,7171,2017,177721,0,0,0,0,0.012063798494637012,0.10367484390735626,0.10367484390735626,1727,Alfie Mawson
0,0,0,90,DC,Tottenham,Swansea,0,0,2017-09-16,7166,2017,176581,0,0,0,0,0,0,0,1727,Alfie Mawson
0,1,0.49643009901046753,90,DC,Swansea,Newcastle United,0,1,2017-09-10,7157,2017,177285,0,0,0,0,0.49643009901046753,0,0,1727,Alfie Mawson
0,1,0.3981255888938904,90,DC,Crystal Palace,Swansea,0,2,2017-08-26,7141,2017,177077,0,0,0,0,0.3981255888938904,0.2661818563938141,0.2661818563938141,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Manchester United,0,4,2017-08-19,7129,2017,176677,0,0,0,0,0,0.17404508590698242,0.17404508590698242,1727,Alfie Mawson
0,0,0,90,DC,Southampton,Swansea,0,0,2017-08-12,7122,2017,176001,0,0,0,0,0,0.11461592465639114,0.11461592465639114,1727,Alfie Mawson
0,1,0.10644108802080154,90,DC,Swansea,West Bromwich Albion,2,1,2017-05-21,3518,2016,125360,0.013566706329584122,0,1,0,0.10644108802080154,0.19161854684352875,0.19161854684352875,1727,Alfie Mawson
0,0,0,90,DC,Sunderland,Swansea,0,2,2017-05-13,3506,2016,133781,0,0,0,0,0,0,0,1727,Alfie Mawson
0,1,0.5656325221061707,90,DC,Swansea,Everton,1,0,2017-05-06,3498,2016,135120,0,0,0,0,0.5656325221061707,0,0,1727,Alfie Mawson
0,1,0.0621328130364418,90,DC,Manchester United,Swansea,1,1,2017-04-30,3482,2016,134418,0,0,0,0,0.0621328130364418,0.03815702348947525,0.03815702348947525,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Stoke,2,0,2017-04-22,3478,2016,134297,0,0,0,0,0,0.07435907423496246,0.07435907423496246,1727,Alfie Mawson
0,0,0,90,DC,Watford,Swansea,1,0,2017-04-15,3466,2016,134996,0,0,0,0,0,0,0,1727,Alfie Mawson
0,0,0,90,DC,West Ham,Swansea,1,0,2017-04-08,3455,2016,134032,0,0,0,0,0,0,0,1727,Alfie Mawson
0,1,0.08586633950471878,90,DC,Swansea,Tottenham,1,3,2017-04-05,3444,2016,132454,0.09012394398450851,0,2,0,0.08586633950471878,0.021252349019050598,0.021252349019050598,1727,Alfie Mawson
0,2,0.11235234886407852,90,DC,Swansea,Middlesbrough,0,0,2017-04-02,3438,2016,133087,0,0,0,0,0.11235234886407852,0.031310681253671646,0,1727,Alfie Mawson
0,1,0.07080680876970291,90,DC,Bournemouth,Swansea,2,0,2017-03-18,3429,2016,133073,0,0,0,0,0.07080680876970291,0.019676579162478447,0.019676579162478447,1727,Alfie Mawson
1,3,0.24850469827651978,90,DC,Hull,Swansea,2,1,2017-03-11,3417,2016,132663,0,0,0,1,0.24850469827651978,0.029662132263183594,0.029662132263183594,1727,Alfie Mawson
0,2,0.17442262172698975,90,DC,Swansea,Burnley,3,2,2017-03-04,3405,2016,133221,0,0,0,0,0.17442262172698975,0.5263866186141968,0.5263866186141968,1727,Alfie Mawson
0,0,0,90,DC,Chelsea,Swansea,3,1,2017-02-25,3391,2016,131446,0,0,0,0,0,0,0,1727,Alfie Mawson
1,1,0.09633336216211319,90,DC,Swansea,Leicester,2,0,2017-02-12,3388,2016,131265,0,0,0,1,0.09633336216211319,0,0,1727,Alfie Mawson
0,1,0.01805148832499981,90,DC,Manchester City,Swansea,2,1,2017-02-05,3378,2016,129850,0,0,0,0,0.01805148832499981,0,0,1727,Alfie Mawson
1,1,0.12352260202169418,90,DC,Swansea,Southampton,2,1,2017-01-31,3365,2016,132260,0,0,0,1,0.12352260202169418,0.03982227295637131,0.03982227295637131,1727,Alfie Mawson
0,1,0.015287726186215878,90,DC,Liverpool,Swansea,2,3,2017-01-21,3350,2016,131641,0,0,0,0,0.015287726186215878,0,0,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Arsenal,0,4,2017-01-14,3343,2016,130849,0,0,0,0,0,0,0,1727,Alfie Mawson
1,1,0.08148293942213058,90,DC,Crystal Palace,Swansea,1,2,2017-01-04,3337,2016,131223,0.28815802931785583,0,1,1,0.08148293942213058,0.05582405999302864,0.05582405999302864,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Bournemouth,0,3,2016-12-31,3161,2016,130877,0,0,0,0,0,0,0,1727,Alfie Mawson
0,1,0.013213998638093472,90,DC,Swansea,West Ham,1,4,2016-12-26,3146,2016,129782,0,0,0,0,0.013213998638093472,0.2602117657661438,0.2602117657661438,1727,Alfie Mawson
0,1,0.09719613939523697,90,DC,Middlesbrough,Swansea,3,0,2016-12-17,3136,2016,131919,0,0,0,0,0.09719613939523697,0,0,1727,Alfie Mawson
0,2,0.04100516065955162,90,DC,West Bromwich Albion,Swansea,3,1,2016-12-15,3131,2016,131140,0,0,0,0,0.04100516065955162,0.27073293924331665,0.27073293924331665,1727,Alfie Mawson
0,1,0.0997951403260231,90,DC,Swansea,Sunderland,3,0,2016-12-10,3117,2016,130355,0,0,0,0,0.0997951403260231,0.033511966466903687,0.033511966466903687,1727,Alfie Mawson
0,1,0.03532871603965759,90,DC,Swansea,Manchester United,1,3,2016-11-06,2695,2016,128154,0,0,0,0,0.03532871603965759,0.021022362634539604,0.021022362634539604,1727,Alfie Mawson
0,0,0,90,DC,Stoke,Swansea,3,1,2016-11-01,2686,2016,127781,0,0,0,0,0,0.06647469848394394,0.06647469848394394,1727,Alfie Mawson
0,0,0,90,DC,Swansea,Watford,0,0,2016-10-22,543,2016,127408,0,0,0,0,0,0.019078558310866356,0.019078558310866356,1727,Alfie Mawson
