goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,85,DR,Brighton,Manchester City,1,4,2019-05-12,9576,2018,332203,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Arsenal,Brighton,1,1,2019-05-05,9566,2018,331104,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Brighton,Newcastle United,1,1,2019-04-27,9556,2018,328435,0,0,0,0,0,0.5108199119567871,0.5108199119567871,6046,Bruno
0,0,0,72,DR,Wolverhampton Wanderers,Brighton,0,0,2019-04-20,9537,2018,325992,0.03936590626835823,0,1,0,0,0.05030765011906624,0.05030765011906624,6046,Bruno
0,0,0,90,DR,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325342,0.030813144519925117,0,1,0,0,0.22863562405109406,0.1978224813938141,6046,Bruno
0,0,0,90,DR,Chelsea,Brighton,3,0,2019-04-03,9462,2018,321947,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Burnley,Brighton,1,0,2018-12-08,9354,2018,278294,0,0,0,0,0,0.2955125570297241,0.2955125570297241,6046,Bruno
0,0,0,82,DR,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277766,0.06939731538295746,0,1,0,0,0.47191545367240906,0.4025181233882904,6046,Bruno
0,1,0.017558282241225243,90,DR,Brighton,Leicester,1,1,2018-11-24,9322,2018,277504,0,0,0,0,0.017558282241225243,0.09238342940807343,0.07482514530420303,6046,Bruno
0,0,0,90,DR,Everton,Brighton,3,1,2018-11-03,9301,2018,276909,0,0,0,0,0,0.009629997424781322,0.009629997424781322,6046,Bruno
0,1,0.04942611977458,90,DR,Brighton,Wolverhampton Wanderers,1,0,2018-10-27,9290,2018,276588,0.38823041319847107,1,2,0,0.04942611977458,0.4376565217971802,0.036954738199710846,6046,Bruno
0,0,0,76,DR,Newcastle United,Brighton,0,1,2018-10-20,9280,2018,276354,0,0,0,0,0,0.024512846022844315,0.024512846022844315,6046,Bruno
0,0,0,90,DR,Brighton,West Ham,1,0,2018-10-05,9267,2018,275981,0,0,0,0,0,0.040911514312028885,0.040911514312028885,6046,Bruno
0,0,0,25,DR,Watford,Brighton,2,0,2018-08-11,9199,2018,258892,0.0610811822116375,0,1,0,0,0.0610811822116375,0.0610811822116375,6046,Bruno
0,0,0,90,DR,Manchester City,Brighton,3,1,2018-05-09,7424,2017,238719,0,0,0,0,0,0.05302562937140465,0.05302562937140465,6046,Bruno
0,0,0,90,DR,Brighton,Manchester United,1,0,2018-05-04,7484,2017,237012,0.10592754930257797,0,2,0,0,0.12064068019390106,0.07066884636878967,6046,Bruno
0,1,0.045522209256887436,90,DR,Burnley,Brighton,0,0,2018-04-28,7469,2017,235725,0,0,0,0,0.045522209256887436,0,0,6046,Bruno
0,0,0,90,DR,Brighton,Tottenham,1,1,2018-04-17,7462,2017,233235,0,0,0,0,0,0.10687673091888428,0.10687673091888428,6046,Bruno
0,0,0,19,Sub,Brighton,Arsenal,2,1,2018-03-04,7399,2017,221558,0,0,0,0,0,0,0,6046,Bruno
0,1,0.016643015667796135,90,DR,West Bromwich Albion,Brighton,2,0,2018-01-13,7348,2017,207776,0.13547217845916748,0,2,0,0.016643015667796135,0.27539998292922974,0.18634828925132751,6046,Bruno
0,0,0,12,Sub,Brighton,Bournemouth,2,2,2018-01-01,7331,2017,206392,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Newcastle United,Brighton,0,0,2017-12-30,7325,2017,206148,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Brighton,Watford,1,0,2017-12-23,7305,2017,202890,0,0,0,0,0,0.029757997021079063,0.029757997021079063,6046,Bruno
0,0,0,90,DR,Brighton,Burnley,0,0,2017-12-16,7291,2017,205470,0.05783284083008766,0,1,0,0,0.1207677572965622,0.06293492019176483,6046,Bruno
0,0,0,90,DR,Huddersfield,Brighton,2,0,2017-12-09,7274,2017,198833,0,0,0,0,0,0.014630598947405815,0.014630598947405815,6046,Bruno
0,0,0,78,DR,Brighton,Liverpool,1,5,2017-12-02,7268,2017,179616,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Brighton,Crystal Palace,0,0,2017-11-28,7250,2017,178823,0,0,0,0,0,0,0,6046,Bruno
0,0,0,90,DR,Manchester United,Brighton,1,0,2017-11-25,7243,2017,179435,0.04850044846534729,0,1,0,0,0.06984923034906387,0.06984923034906387,6046,Bruno
0,0,0,90,DR,Brighton,Stoke,2,2,2017-11-20,7238,2017,179727,0,0,0,0,0,0.09714549779891968,0.09714549779891968,6046,Bruno
0,0,0,90,DR,Swansea,Brighton,0,1,2017-11-04,7225,2017,179326,0,0,0,0,0,0.6266245245933533,0.6266245245933533,6046,Bruno
