goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,47,MR,Arsenal,Crystal Palace,2,3,2019-04-21,9546,2018,326729,0,0,0,0,0,0.23981747031211853,0.23981747031211853,938,Carl Jenkinson
0,0,0,90,DMR,Arsenal,Bournemouth,5,1,2019-02-27,9470,2018,305048,0.055605288594961166,0,1,0,0,0.809711754322052,0.809711754322052,938,Carl Jenkinson
0,0,0,29,Sub,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303873,0,0,0,0,0,0.17780734598636627,0.17780734598636627,938,Carl Jenkinson
0,0,0,84,DR,Manchester United,Arsenal,1,1,2016-11-19,2697,2016,128385,0,0,0,0,0,0.012359938584268093,0.012359938584268093,938,Carl Jenkinson
0,0,0,12,DR,West Ham,Manchester City,2,2,2016-01-23,308,2015,58680,0,0,0,0,0,0,0,938,Carl Jenkinson
0,0,0,13,Sub,Newcastle United,West Ham,2,1,2016-01-16,293,2015,58046,0,0,0,0,0,0,0,938,Carl Jenkinson
0,0,0,27,Sub,Bournemouth,West Ham,1,3,2016-01-12,283,2015,59171,0,0,0,0,0,0.5386313199996948,0.5386313199996948,938,Carl Jenkinson
0,0,0,1,Sub,West Ham,Liverpool,2,0,2016-01-02,271,2015,58609,0,0,0,0,0,0,0,938,Carl Jenkinson
0,0,0,90,DL,West Ham,Southampton,2,1,2015-12-28,268,2015,60469,0.2692088782787323,0,1,0,0,0.2692088782787323,0,938,Carl Jenkinson
0,0,0,40,Sub,Aston Villa,West Ham,1,1,2015-12-26,254,2015,59476,0,0,0,0,0,0,0,938,Carl Jenkinson
0,0,0,4,Sub,Swansea,West Ham,0,0,2015-12-20,249,2015,58651,0,0,0,0,0,0,0,938,Carl Jenkinson
0,0,0,1,Sub,Manchester United,West Ham,0,0,2015-12-05,226,2015,60106,0,0,0,0,0,0,0,938,Carl Jenkinson
0,0,0,90,DR,West Ham,West Bromwich Albion,1,1,2015-11-29,218,2015,58981,0,0,0,0,0,0.5336716175079346,0.5336716175079346,938,Carl Jenkinson
0,1,0.016396688297390938,90,DR,Tottenham,West Ham,4,1,2015-11-22,209,2015,60977,0,0,0,0,0.016396688297390938,0.016396688297390938,0,938,Carl Jenkinson
0,1,0.02675333432853222,90,DR,West Ham,Everton,1,1,2015-11-07,195,2015,58762,0,0,0,0,0.02675333432853222,0.20515498518943787,0.1784016489982605,938,Carl Jenkinson
