goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,65,DMC,West Ham,Leicester,1,2,2019-12-28,11842,2019,372813,0,0,0,0,0,0.054154932498931885,0.054154932498931885,667,Carlos Sánchez
0,0,0,9,Sub,Southampton,West Ham,0,1,2019-12-14,11811,2019,369955,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,24,Sub,West Ham,Tottenham,2,3,2019-11-23,11772,2019,364444,0,0,0,0,0,0.11869049817323685,0.11869049817323685,667,Carlos Sánchez
0,0,0,2,Sub,West Ham,Norwich,2,0,2019-08-31,11674,2019,347409,0,0,0,0,0,0.08002863079309464,0.08002863079309464,667,Carlos Sánchez
0,0,0,1,Sub,Watford,West Ham,1,3,2019-08-24,11667,2019,344089,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,6,Sub,Brighton,West Ham,1,1,2019-08-17,11655,2019,341864,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,9,Sub,Watford,West Ham,1,4,2019-05-12,9567,2018,332200,0,0,0,0,0,0.1646595150232315,0.1646595150232315,667,Carlos Sánchez
0,0,0,11,Sub,West Ham,Southampton,3,0,2019-05-04,9558,2018,330242,0,0,0,0,0,0.02055703103542328,0.02055703103542328,667,Carlos Sánchez
0,0,0,5,Sub,West Ham,Chelsea,0,0,2018-09-23,9255,2018,260302,0,0,0,0,0,0,0,667,Carlos Sánchez
0,1,0.01740475744009018,17,Sub,Everton,West Ham,1,3,2018-09-16,9245,2018,259849,0,0,0,0,0.01740475744009018,0.01740475744009018,0,667,Carlos Sánchez
0,0,0,90,DMC,West Ham,Wolverhampton Wanderers,0,1,2018-09-01,9228,2018,259745,0.03348137438297272,0,1,0,0,0.19570210576057434,0.16222073137760162,667,Carlos Sánchez
0,1,0.024389753118157387,90,MC,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259232,0.01203099638223648,0,1,0,0.024389753118157387,0.1584821492433548,0.13409240543842316,667,Carlos Sánchez
0,1,0.015331433154642582,11,Sub,West Ham,Bournemouth,1,2,2018-08-18,9208,2018,259196,0,0,0,0,0.015331433154642582,0.0801369920372963,0.06480555981397629,667,Carlos Sánchez
0,1,0.022965049371123314,90,MC,Espanyol,Malaga,4,1,2018-05-13,8242,2017,240320,0,0,0,0,0.022965049371123314,0.6234049201011658,0.6234049201011658,667,Carlos Sánchez
0,0,0,90,MC,Atletico Madrid,Espanyol,0,2,2018-05-06,8231,2017,238116,0,0,0,0,0,0.1491372287273407,0.1491372287273407,667,Carlos Sánchez
0,0,0,90,MC,Girona,Espanyol,0,2,2018-04-22,8210,2017,234698,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,90,MC,Espanyol,Eibar,0,1,2018-04-18,8199,2017,233434,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,65,DMC,Getafe,Espanyol,1,0,2018-04-15,8189,2017,233030,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,64,DMC,Valencia,Espanyol,1,0,2018-04-08,8183,2017,231057,0,0,0,0,0,0.29003703594207764,0.29003703594207764,667,Carlos Sánchez
0,0,0,90,MC,Espanyol,Alaves,0,0,2018-04-01,8169,2017,227588,0,0,0,0,0,0.03997320681810379,0.03997320681810379,667,Carlos Sánchez
0,0,0,90,MC,Real Betis,Espanyol,3,0,2018-03-17,8160,2017,224384,0,0,0,0,0,0.0624493807554245,0.0624493807554245,667,Carlos Sánchez
0,1,0.013112097047269344,90,MC,Espanyol,Real Sociedad,2,1,2018-03-11,8150,2017,222878,0,0,0,0,0.013112097047269344,0.2419566661119461,0.2288445681333542,667,Carlos Sánchez
0,1,0.01781981997191906,90,MC,Espanyol,Real Madrid,1,0,2018-02-27,8133,2017,220151,0.2870486080646515,0,2,0,0.01781981997191906,0.3949868381023407,0.139829620718956,667,Carlos Sánchez
0,1,0.015459619462490082,90,MC,Deportivo La Coruna,Espanyol,0,0,2018-02-23,8125,2017,218895,0.020358851179480553,0,1,0,0.015459619462490082,0.05797501653432846,0.022156545892357826,667,Carlos Sánchez
0,0,0,90,MC,Espanyol,Villarreal,1,1,2018-02-18,8112,2017,218604,0,0,0,0,0,0.018904974684119225,0.018904974684119225,667,Carlos Sánchez
0,0,0,90,MC,Celta Vigo,Espanyol,2,2,2018-02-11,8103,2017,216916,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,4,Sub,Espanyol,Barcelona,1,1,2018-02-04,8093,2017,217687,0,0,0,0,0,0,0,667,Carlos Sánchez
1,3,0.7388229370117188,18,Sub,Sampdoria,Fiorentina,3,1,2018-01-21,7702,2017,209717,0,0,0,1,0.7388229370117188,0.06722113490104675,0,667,Carlos Sánchez
0,0,0,6,Sub,Cagliari,Fiorentina,0,1,2017-12-22,7669,2017,205107,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,23,Sub,Napoli,Fiorentina,0,0,2017-12-10,7655,2017,199977,0,0,0,0,0,0,0,667,Carlos Sánchez
0,1,0.048712704330682755,90,MC,SPAL 2013,Fiorentina,1,1,2017-11-19,7626,2017,195224,0,0,0,0,0.048712704330682755,0.20583181083202362,0.20583181083202362,667,Carlos Sánchez
0,0,0,14,Sub,Fiorentina,Roma,2,4,2017-11-05,7613,2017,194882,0,0,0,0,0,0.0448148176074028,0.0448148176074028,667,Carlos Sánchez
0,0,0,6,Sub,Fiorentina,Udinese,2,1,2017-10-15,7572,2017,193738,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,90,DMC,Fiorentina,Atalanta,1,1,2017-09-24,7551,2017,193146,0,0,0,0,0,0.03433675691485405,0.03433675691485405,667,Carlos Sánchez
0,0,0,21,Sub,Juventus,Fiorentina,1,0,2017-09-20,7545,2017,192999,0,0,0,0,0,0.06676036864519119,0.06676036864519119,667,Carlos Sánchez
0,1,0.017729250714182854,90,MC,Inter,Fiorentina,3,0,2017-08-20,7503,2017,191846,0,0,0,0,0.017729250714182854,0.08049090951681137,0.06276165693998337,667,Carlos Sánchez
0,0,0,25,Sub,Fiorentina,Lazio,3,2,2017-05-13,3696,2016,170341,0,0,0,0,0,0.21160298585891724,0.21160298585891724,667,Carlos Sánchez
0,0,0,90,DC,Sassuolo,Fiorentina,2,2,2017-05-07,3686,2016,169788,0.04571541026234627,0,1,0,0,0.11647564172744751,0.07076022773981094,667,Carlos Sánchez
0,0,0,90,DC,Palermo,Fiorentina,2,0,2017-04-30,3673,2016,169146,0,0,0,0,0,0.5163829922676086,0.5163829922676086,667,Carlos Sánchez
0,0,0,90,DC,Fiorentina,Inter,5,4,2017-04-22,3667,2016,168688,0,0,0,0,0,0.1184973195195198,0.1184973195195198,667,Carlos Sánchez
0,0,0,90,DC,Fiorentina,Empoli,1,2,2017-04-15,3656,2016,254585,0,0,0,0,0,0.17470474541187286,0.17470474541187286,667,Carlos Sánchez
0,1,0.4401135742664337,90,DC,Sampdoria,Fiorentina,2,2,2017-04-09,3643,2016,167471,0.014744251035153866,0,1,0,0.4401135742664337,0.16136792302131653,0.1466236710548401,667,Carlos Sánchez
0,1,0.015283076092600822,90,DC,Fiorentina,Bologna,1,0,2017-04-02,3633,2016,166896,0,0,0,0,0.015283076092600822,0.19647100567817688,0.19647100567817688,667,Carlos Sánchez
0,0,0,90,DC,Crotone,Fiorentina,0,1,2017-03-19,3623,2016,166353,0,0,0,0,0,0.8618209958076477,0.8618209958076477,667,Carlos Sánchez
0,0,0,22,Sub,Fiorentina,Cagliari,1,0,2017-03-12,3614,2016,165819,0.023501193150877953,0,1,0,0,0.4637084901332855,0.4637084901332855,667,Carlos Sánchez
0,0,0,90,DC,Atalanta,Fiorentina,0,0,2017-03-05,3603,2016,165239,0,0,0,0,0,0,0,667,Carlos Sánchez
0,1,0.018005667254328728,77,DL,Fiorentina,Torino,2,2,2017-02-27,3600,2016,164808,0,0,0,0,0.018005667254328728,0.031326550990343094,0.031326550990343094,667,Carlos Sánchez
0,1,0.4187661409378052,90,DC,AC Milan,Fiorentina,2,1,2017-02-19,3591,2016,164120,0,0,0,0,0.4187661409378052,0.7192775011062622,0.7192775011062622,667,Carlos Sánchez
0,0,0,90,DC,Roma,Fiorentina,4,0,2017-02-07,3569,2016,163031,0,0,0,0,0,0.03619072586297989,0.03619072586297989,667,Carlos Sánchez
0,2,0.029939688742160797,90,DC,Pescara,Fiorentina,1,2,2017-02-01,3523,2016,171266,0,0,0,0,0.029939688742160797,0.20750309526920319,0.17756341397762299,667,Carlos Sánchez
0,1,0.019010381773114204,90,DC,Fiorentina,Genoa,3,3,2017-01-29,3556,2016,162514,0.0181922297924757,1,1,0,0.019010381773114204,0.17460082471370697,0.15640859305858612,667,Carlos Sánchez
0,0,0,90,DC,Chievo,Fiorentina,0,3,2017-01-21,3540,2016,161915,0,0,0,0,0,0.11407193541526794,0.11407193541526794,667,Carlos Sánchez
0,0,0,90,DC,Fiorentina,Juventus,2,1,2017-01-15,3538,2016,161431,0,0,0,0,0,0.46829938888549805,0.46829938888549805,667,Carlos Sánchez
0,1,0.021362977102398872,12,Sub,Fiorentina,Napoli,3,3,2016-12-22,3104,2016,170622,0,0,0,0,0.021362977102398872,0.05401356890797615,0.03265058994293213,667,Carlos Sánchez
0,0,0,90,MC,Lazio,Fiorentina,3,1,2016-12-18,3095,2016,170071,0.025155548006296158,0,1,0,0,0.11438965052366257,0.08923410624265671,667,Carlos Sánchez
0,0,0,90,MC,Genoa,Fiorentina,1,0,2016-12-15,3086,2016,162254,0,0,0,0,0,0.016533879563212395,0.016533879563212395,667,Carlos Sánchez
0,0,0,2,Sub,Fiorentina,Sassuolo,2,1,2016-12-12,3084,2016,169505,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,18,Sub,Fiorentina,Sampdoria,1,1,2016-11-06,2754,2016,167186,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,16,Sub,Bologna,Fiorentina,0,1,2016-10-29,3290,2016,166642,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,24,Sub,Cagliari,Fiorentina,3,5,2016-10-23,1014,2016,165553,0,0,0,0,0,0.0690375491976738,0.0690375491976738,667,Carlos Sánchez
0,1,0.0557483434677124,59,MC,Fiorentina,Atalanta,0,0,2016-10-16,1003,2016,164948,0,0,0,0,0.0557483434677124,0,0,667,Carlos Sánchez
0,1,0.09459100663661957,90,MC,Torino,Fiorentina,2,1,2016-10-02,997,2016,164851,0.08903934806585312,0,2,0,0.09459100663661957,0.7766334414482117,0.6875941157341003,667,Carlos Sánchez
0,1,0.010854373686015606,90,MC,Fiorentina,AC Milan,0,0,2016-09-25,987,2016,163859,0.031364805996418,0,1,0,0.010854373686015606,0.23237977921962738,0.1901606023311615,667,Carlos Sánchez
0,1,0.048696450889110565,90,MC,Udinese,Fiorentina,2,2,2016-09-21,978,2016,163511,0,0,0,0,0.048696450889110565,0.020420711487531662,0.020420711487531662,667,Carlos Sánchez
0,1,0.037409860640764236,90,MC,Fiorentina,Roma,1,0,2016-09-18,969,2016,162740,0.023190634325146675,0,1,0,0.037409860640764236,0.23473259806632996,0.1741321086883545,667,Carlos Sánchez
1,2,0.16023065149784088,63,MC,Fiorentina,Chievo,1,0,2016-08-28,950,2016,161628,0,0,0,1,0.16023065149784088,0.08629101514816284,0.03898577392101288,667,Carlos Sánchez
0,1,0.018759965896606445,24,Sub,Juventus,Fiorentina,2,1,2016-08-20,932,2016,161174,0,0,0,0,0.018759965896606445,0.018759965896606445,0.018759965896606445,667,Carlos Sánchez
0,1,0.015080784447491169,90,MC,Arsenal,Aston Villa,4,0,2016-05-15,451,2015,57653,0,0,0,0,0.015080784447491169,0.08869423717260361,0.07361344993114471,667,Carlos Sánchez
0,0,0,90,MC,Aston Villa,Newcastle United,0,0,2016-05-07,440,2015,63635,0,0,0,0,0,0.012210095301270485,0.012210095301270485,667,Carlos Sánchez
0,0,0,9,Sub,Watford,Aston Villa,3,2,2016-04-30,430,2015,63543,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,69,MC,Aston Villa,Southampton,2,4,2016-04-23,421,2015,63084,0.02015308476984501,0,1,0,0,0.07734134048223495,0.0571882538497448,667,Carlos Sánchez
0,1,0.02417905256152153,70,MC,Aston Villa,Chelsea,0,4,2016-04-02,384,2015,67304,0,0,0,0,0.02417905256152153,0.126787930727005,0.126787930727005,667,Carlos Sánchez
0,0,0,37,MC,Aston Villa,West Ham,1,1,2015-12-26,254,2015,59455,0,0,0,0,0,0.02485770918428898,0.02485770918428898,667,Carlos Sánchez
0,2,0.033799778670072556,90,MC,Newcastle United,Aston Villa,1,1,2015-12-19,247,2015,57957,0,0,0,0,0.033799778670072556,0.1099228709936142,0.07612308859825134,667,Carlos Sánchez
0,1,0.009952668100595474,90,MC,Aston Villa,Arsenal,0,2,2015-12-13,237,2015,58793,0.011144997552037239,0,1,0,0.009952668100595474,0.43668320775032043,0.41558554768562317,667,Carlos Sánchez
0,0,0,90,MC,Southampton,Aston Villa,1,1,2015-12-05,227,2015,60651,0.2973921298980713,0,1,0,0,0.2973921298980713,0.2973921298980713,667,Carlos Sánchez
0,2,0.059563834220170975,90,MC,Aston Villa,Watford,2,3,2015-11-28,212,2015,61622,0,0,0,0,0.059563834220170975,0.21270976960659027,0.20131321251392365,667,Carlos Sánchez
0,0,0,43,Sub,Everton,Aston Villa,4,0,2015-11-21,206,2015,59612,0,0,0,0,0,0.08180283010005951,0.08180283010005951,667,Carlos Sánchez
0,0,0,90,MC,Aston Villa,Manchester City,0,0,2015-11-08,198,2015,60113,0,0,0,0,0,0.018255477771162987,0.018255477771162987,667,Carlos Sánchez
0,0,0,90,DMC,Tottenham,Aston Villa,3,1,2015-11-03,190,2015,59025,0,0,0,0,0,0.04718289524316788,0.04718289524316788,667,Carlos Sánchez
0,0,0,61,MC,Liverpool,Aston Villa,3,2,2015-09-26,145,2015,64421,0,0,0,0,0,0,0,667,Carlos Sánchez
0,2,0.02969294600188732,83,MC,Aston Villa,West Bromwich Albion,0,1,2015-09-19,133,2015,64104,0,0,0,0,0.02969294600188732,0.02969294600188732,0,667,Carlos Sánchez
0,2,0.11324749886989594,90,DMC,Leicester,Aston Villa,3,2,2015-09-13,129,2015,63922,0,0,0,0,0.11324749886989594,0.018057160079479218,0.018057160079479218,667,Carlos Sánchez
0,1,0.06184859201312065,90,MC,Aston Villa,Sunderland,2,2,2015-08-29,113,2015,63359,0,0,0,0,0.06184859201312065,0.9705564975738525,0.9705564975738525,667,Carlos Sánchez
0,1,0.0184324998408556,72,MC,Crystal Palace,Aston Villa,2,1,2015-08-22,104,2015,62496,0.0491250716149807,0,1,0,0.0184324998408556,0.11426829546689987,0.046710725873708725,667,Carlos Sánchez
0,0,0,11,Sub,Aston Villa,Manchester United,0,1,2015-08-14,91,2015,57369,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,18,Sub,Bournemouth,Aston Villa,0,1,2015-08-08,82,2015,222648,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,1,Sub,Aston Villa,West Ham,1,0,2015-05-09,4411,2014,23210,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,13,Sub,Aston Villa,Everton,3,2,2015-05-02,4401,2014,23459,0,0,0,0,0,0,0,667,Carlos Sánchez
1,1,0.09417961537837982,90,MC,Manchester City,Aston Villa,3,2,2015-04-25,4475,2014,25639,0.011273191310465336,0,1,1,0.09417961537837982,0.11525267362594604,0.11525267362594604,667,Carlos Sánchez
0,0,0,90,MC,Tottenham,Aston Villa,0,1,2015-04-11,4455,2014,24402,0,0,0,0,0,0.09293854236602783,0.09293854236602783,667,Carlos Sánchez
0,2,0.02518903650343418,90,MC,Aston Villa,Queens Park Rangers,3,3,2015-04-07,4450,2014,25267,0,0,0,0,0.02518903650343418,0.3846239447593689,0.3731730282306671,667,Carlos Sánchez
0,0,0,90,MC,Manchester United,Aston Villa,3,1,2015-04-04,4443,2014,25089,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,66,Sub,Aston Villa,Swansea,0,1,2015-03-21,4504,2014,24147,0,0,0,0,0,0.1925508826971054,0.1925508826971054,667,Carlos Sánchez
0,0,0,24,Sub,Sunderland,Aston Villa,0,4,2015-03-14,4497,2014,23500,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,90,MC,Aston Villa,Stoke,1,2,2015-02-21,4535,2014,26637,0,0,0,0,0,0,0,667,Carlos Sánchez
0,1,0.010707518085837364,77,MC,Arsenal,Aston Villa,5,0,2015-02-01,4513,2014,22368,0,0,0,0,0.010707518085837364,0.0798637792468071,0.06915626674890518,667,Carlos Sánchez
0,2,0.039962999522686005,90,MC,Aston Villa,Liverpool,0,2,2015-01-17,4571,2014,21269,0,0,0,0,0.039962999522686005,0.4117949903011322,0.371832013130188,667,Carlos Sánchez
0,1,0.018391642719507217,77,MC,Leicester,Aston Villa,1,0,2015-01-10,4567,2014,20735,0,0,0,0,0.018391642719507217,0.1039995551109314,0.08560791611671448,667,Carlos Sánchez
0,1,0.012547343969345093,90,MC,Aston Villa,Crystal Palace,0,0,2015-01-01,4557,2014,22216,0.33771875500679016,0,1,0,0.012547343969345093,0.026052741333842278,0.013505397364497185,667,Carlos Sánchez
0,0,0,90,MC,Aston Villa,Sunderland,0,0,2014-12-28,4644,2014,21134,0.1273236721754074,0,2,0,0,0.2508081793785095,0.12348449975252151,667,Carlos Sánchez
0,0,0,90,MC,Swansea,Aston Villa,1,0,2014-12-26,4631,2014,20929,0,0,0,0,0,0.7168437838554382,0.7168437838554382,667,Carlos Sánchez
0,1,0.020025713369250298,90,MC,Aston Villa,Manchester United,1,1,2014-12-20,4624,2014,21514,0.09915979951620102,0,1,0,0.020025713369250298,0.14009323716163635,0.1200675219297409,667,Carlos Sánchez
0,0,0,80,MC,West Bromwich Albion,Aston Villa,1,0,2014-12-13,4612,2014,21419,0.01739390380680561,0,1,0,0,0.01739390380680561,0,667,Carlos Sánchez
0,0,0,90,MC,Aston Villa,Leicester,2,1,2014-12-07,4607,2014,22714,0,0,0,0,0,0.5353952050209045,0.5353952050209045,667,Carlos Sánchez
0,1,0.009547928348183632,82,Sub,Crystal Palace,Aston Villa,0,1,2014-12-02,4593,2014,22209,0.03023925982415676,0,1,0,0.009547928348183632,0,0,667,Carlos Sánchez
0,2,0.06817183643579483,90,MC,Burnley,Aston Villa,1,1,2014-11-29,4685,2014,20082,0,0,0,0,0.06817183643579483,0.12246645987033844,0.10785727202892303,667,Carlos Sánchez
0,1,0.013201375491917133,75,MC,Aston Villa,Southampton,1,1,2014-11-24,4678,2014,18910,0,0,0,0,0.013201375491917133,0.0288145262748003,0.0288145262748003,667,Carlos Sánchez
0,1,0.016122516244649887,90,MC,West Ham,Aston Villa,0,0,2014-11-08,4662,2014,18732,0.02548900432884693,0,1,0,0.016122516244649887,0.14900141954421997,0.107389897108078,667,Carlos Sánchez
0,1,0.017225585877895355,90,MC,Aston Villa,Tottenham,1,2,2014-11-02,4657,2014,19599,0.05437590181827545,0,1,0,0.017225585877895355,0.21282514929771423,0.15844924747943878,667,Carlos Sánchez
0,2,0.025427671149373055,90,MC,Queens Park Rangers,Aston Villa,2,0,2014-10-27,4718,2014,20383,0,0,0,0,0.025427671149373055,0.05293774977326393,0.027510078623890877,667,Carlos Sánchez
0,0,0,89,MC,Aston Villa,Arsenal,0,3,2014-09-20,4731,2014,18138,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,3,Sub,Liverpool,Aston Villa,0,1,2014-09-13,4726,2014,17990,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,24,Sub,Aston Villa,Hull,2,1,2014-08-31,4776,2014,17589,0,0,0,0,0,0,0,667,Carlos Sánchez
0,0,0,26,Sub,Aston Villa,Newcastle United,0,0,2014-08-23,4759,2014,17310,0,0,0,0,0,0,0,667,Carlos Sánchez
