goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,10,Sub,Monaco,Lens,0,2,2021-08-21,17843,2021,477117,0,0,0,0,0,0,0,686,Cesc Fàbregas
0,0,0,21,Sub,Lorient,Monaco,1,0,2021-08-13,17832,2021,475261,0.07736572623252869,0,2,0,0,0.028601793572306633,0,686,Cesc Fàbregas
0,0,0,11,Sub,Lens,Monaco,0,0,2021-05-23,16128,2020,473870,0,0,0,0,0,0,0,686,Cesc Fàbregas
0,0,0,62,AMC,Monaco,Lyon,2,3,2021-05-02,16101,2020,467910,0.15720675885677338,0,3,0,0,0.5773242115974426,0.45879319310188293,686,Cesc Fàbregas
0,0,0,6,Sub,Angers,Monaco,0,1,2021-04-25,16095,2020,466185,0.12040353566408157,0,1,0,0,0.12040353566408157,0,686,Cesc Fàbregas
0,0,0,39,Sub,Monaco,Dijon,3,0,2021-04-11,16070,2020,462033,0.05392785370349884,0,1,0,0,0.8921900987625122,0.8921900987625122,686,Cesc Fàbregas
1,1,0.7600951194763184,76,AMC,Monaco,Metz,4,0,2021-04-03,16063,2020,459132,0.016339978203177452,0,1,0,0,0.016339978203177452,0,686,Cesc Fàbregas
0,0,0,23,Sub,Saint-Etienne,Monaco,0,4,2021-03-19,16054,2020,457933,0.3724246621131897,1,1,0,0,0.41972291469573975,0.04729824885725975,686,Cesc Fàbregas
0,0,0,13,Sub,Monaco,Lille,0,0,2021-03-14,16039,2020,457167,0,0,0,0,0,0,0,686,Cesc Fàbregas
0,0,0,30,Sub,Strasbourg,Monaco,1,0,2021-03-03,16035,2020,454107,0,0,0,0,0,0,0,686,Cesc Fàbregas
0,0,0,20,Sub,Monaco,Brest,2,0,2021-02-28,16021,2020,452738,0,0,0,0,0,0.042911406606435776,0.042911406606435776,686,Cesc Fàbregas
0,0,0,31,Sub,Monaco,Lorient,2,2,2021-02-14,16002,2020,449416,0,0,0,0,0,0.5606237649917603,0.5606237649917603,686,Cesc Fàbregas
0,0,0,32,Sub,Nimes,Monaco,3,4,2021-02-07,15989,2020,448223,0,0,0,0,0,0.054223962128162384,0.054223962128162384,686,Cesc Fàbregas
0,0,0,32,Sub,Lille,Monaco,2,1,2020-12-06,15879,2020,431779,0.40035510063171387,1,2,0,0,0.38139066100120544,0.023323290050029755,686,Cesc Fàbregas
0,2,0.560255765914917,64,AMC,Monaco,Nimes,3,0,2020-11-29,15869,2020,430253,0.02551552839577198,0,1,0,0.560255765914917,1.4030441045761108,0.8172728419303894,686,Cesc Fàbregas
1,3,1.439456820487976,43,Sub,Monaco,Paris Saint Germain,3,2,2020-11-20,15861,2020,427596,0.7372580766677856,1,3,0,0.6793617010116577,1.3390382528305054,0,686,Cesc Fàbregas
0,0,0,6,Sub,Monaco,Bordeaux,4,0,2020-11-01,15838,2020,425343,0,0,0,0,0,0.020228460431098938,0.020228460431098938,686,Cesc Fàbregas
0,0,0,43,Sub,Lyon,Monaco,4,1,2020-10-25,15827,2020,423896,0.09325490146875381,0,3,0,0,0,0,686,Cesc Fàbregas
0,0,0,29,Sub,Monaco,Montpellier,1,1,2020-10-18,15820,2020,421824,0,0,0,0,0,0.07397932559251785,0.07397932559251785,686,Cesc Fàbregas
0,1,0.012635386548936367,66,MC,Brest,Monaco,1,0,2020-10-04,15812,2020,420150,0,0,0,0,0.012635386548936367,0.45474717020988464,0.4421117603778839,686,Cesc Fàbregas
0,1,0.04797372221946716,74,MC,Monaco,Strasbourg,3,2,2020-09-27,14220,2020,418011,0,0,0,0,0.04797372221946716,0.5560801029205322,0.5560801029205322,686,Cesc Fàbregas
0,0,0,75,MC,Rennes,Monaco,2,1,2020-09-19,14206,2020,416041,0.23071396350860596,0,4,0,0,0.09604572504758835,0.09604572504758835,686,Cesc Fàbregas
0,2,0.18455661833286285,90,MC,Monaco,Nantes,2,1,2020-09-13,14199,2020,415097,0.2895358204841614,0,4,0,0.18455661833286285,1.163745403289795,0.8606898188591003,686,Cesc Fàbregas
0,1,0.04777762293815613,73,AMC,Nice,Monaco,2,1,2020-03-07,12979,2019,396930,0,0,0,0,0.04777762293815613,0.6654870510101318,0.6177093982696533,686,Cesc Fàbregas
0,0,0,9,Sub,Dijon,Monaco,1,1,2020-02-22,12963,2019,394941,0,0,0,0,0,0,0,686,Cesc Fàbregas
0,0,0,1,Sub,Amiens,Monaco,1,2,2020-02-08,12944,2019,392858,0.04359416291117668,1,1,0,0,0,0,686,Cesc Fàbregas
0,0,0,58,AMC,Monaco,Angers,1,0,2020-02-04,12936,2019,392063,0.06527148187160492,0,2,0,0,0.015180678106844425,0,686,Cesc Fàbregas
0,1,0.06561237573623657,71,AMC,Monaco,Strasbourg,1,3,2020-01-25,12910,2019,390341,0.03767623007297516,0,1,0,0.06561237573623657,0.017938878387212753,0.017938878387212753,686,Cesc Fàbregas
0,1,0.014215540140867233,82,AMC,Monaco,Paris Saint Germain,1,4,2020-01-15,12851,2019,389063,0.040403250604867935,0,1,0,0.014215540140867233,0.08276630192995071,0.028147514909505844,686,Cesc Fàbregas
0,0,0,67,MC,Paris Saint Germain,Monaco,3,3,2020-01-12,12907,2019,388964,0.06199338287115097,0,1,0,0,0.4880867898464203,0.4880867898464203,686,Cesc Fàbregas
0,0,0,25,Sub,Angers,Monaco,0,0,2019-12-14,12882,2019,370124,0,0,0,0,0,0.07718169689178467,0.07718169689178467,686,Cesc Fàbregas
0,1,0.014454638585448265,90,AMC,Monaco,Amiens,3,0,2019-12-07,12877,2019,368612,0.1080145612359047,0,2,0,0.014454638585448265,1.1815205812454224,1.1180559396743774,686,Cesc Fàbregas
0,0,0,21,Sub,Toulouse,Monaco,1,2,2019-12-04,12867,2019,367579,0.048673924058675766,0,1,0,0,0.5280027389526367,0.47932884097099304,686,Cesc Fàbregas
0,0,0,1,Sub,Nantes,Monaco,0,1,2019-10-25,12815,2019,359056,0,0,0,0,0,0,0,686,Cesc Fàbregas
0,2,0.0906296968460083,88,AMC,Monaco,Rennes,3,2,2019-10-20,12808,2019,358649,0.9693969488143921,1,3,0,0.0906296968460083,1.4473811388015747,0.42977866530418396,686,Cesc Fàbregas
0,1,0.06516102701425552,69,MC,Montpellier,Monaco,3,1,2019-10-05,12792,2019,356518,0.4424874782562256,0,2,0,0.06516102701425552,0.5807100534439087,0.21663296222686768,686,Cesc Fàbregas
0,0,0,90,MC,Monaco,Brest,4,1,2019-09-28,12782,2019,355005,0.16160373389720917,0,4,0,0,1.010547399520874,0.9093739986419678,686,Cesc Fàbregas
0,2,0.17658871412277222,90,MC,Monaco,Nice,3,1,2019-09-24,12769,2019,353532,0.2944973111152649,1,4,0,0.17658871412277222,0.9575212597846985,0.7078912854194641,686,Cesc Fàbregas
0,0,0,5,Sub,Reims,Monaco,0,0,2019-09-21,12759,2019,352631,0,0,0,0,0,0,0,686,Cesc Fàbregas
